	GTEX.13CF3.2126.SM.5IFJP	TCGA.CZ.5466.11A.01R.1503.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF29.2026.SM.4WWB7	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.14A6H.2426.SM.5Q5BO	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
ABHD16B	55.49	37.59	13.72	27.05	23.08	39.22	0.0	353.59	201.25	94.01	199.85	123.5	107.38	133.36	102.25	108.14	131.51	62.56	98.73	164.42	120.94	198.47	113.56	118.43	115.16	140.04	201.25	90.77	105.15	115.97	92.7	175.07	186.4	248.0	182.55	124.37	148.09	126.12	154.42	140.04	157.68	130.6	193.01	161.02	163.28	157.68	181.28	126.12	105.89	139.07	140.04	198.47	91.41	112.77	154.42	80.01	94.67	147.06	111.21	183.82	267.73	156.59	129.69	103.69	93.35	139.07	108.9	169.07	139.07	82.87	158.79	84.04
AC062017.1	70.01	34.75	8.13	0.0	25.35	7.46	0.0	346.29	246.28	96.01	148.09	46.18	43.94	50.63	41.22	104.42	109.66	29.48	43.02	106.63	82.29	39.79	54.33	84.63	50.98	131.51	93.35	36.53	57.89	75.11	13.22	66.65	135.24	140.04	100.13	175.07	74.58	37.85	128.79	31.0	105.89	41.52	42.11	175.07	73.54	148.09	114.36	44.57	114.36	32.82	44.89	62.56	68.07	38.12	61.25	10.31	29.48	59.97	82.29	116.78	201.25	65.26	49.91	21.94	44.25	78.34	56.28	73.54	123.5	32.36	127.0	32.82
ACYP1	51.71	159.9	25.72	42.71	36.79	29.06	0.0	403.5	934.76	688.78	1001.93	547.75	435.55	480.04	395.18	915.51	656.11	426.57	412.0	1037.29	540.19	567.1	525.39	518.15	441.64	819.3	454.09	395.18	555.41	476.71	339.14	656.11	819.3	679.29	819.3	708.18	733.19	616.37	698.41	470.14	591.22	351.14	890.44	981.29	624.99	679.29	941.27	373.81	559.28	559.28	518.15	896.64	624.99	486.75	669.92	312.0	480.04	470.14	571.05	1088.92	1407.55	271.48	460.44	318.57	256.78	769.69	1015.93	961.07	967.76	563.18	1059.11	325.29
ALKBH6	134.3	151.22	139.07	154.42	194.36	244.57	0.0	629.35	514.56	341.51	575.03	476.71	366.09	497.0	334.46	264.03	540.19	195.72	269.6	547.75	414.87	567.1	320.8	420.68	353.59	334.46	417.77	341.51	414.87	463.65	248.0	423.61	698.41	603.67	514.56	620.67	376.41	441.64	486.75	438.59	529.06	379.04	620.67	708.18	521.76	567.1	366.09	426.57	366.09	409.15	400.71	629.35	518.15	332.14	397.93	325.29	406.31	500.46	395.18	642.59	703.28	329.84	896.64	400.71	299.25	514.56	438.59	559.28	463.65	358.54	426.57	303.44
ANKRD24	3.82	12.27	20.41	32.82	10.24	16.51	0.0	153.34	105.89	50.27	73.03	232.94	26.47	16.27	20.41	77.79	65.26	32.82	34.02	85.82	26.86	81.14	13.32	25.17	18.03	63.89	39.22	18.84	40.93	18.7	25.91	108.9	117.6	56.68	52.08	94.67	82.29	58.71	102.97	32.13	58.71	17.9	73.54	129.69	22.1	71.5	100.83	15.22	46.5	26.47	13.62	63.45	43.94	24.28	53.57	11.38	31.0	7.75	15.45	79.45	99.43	29.27	36.53	21.78	30.78	55.89	27.64	57.49	143.01	24.28	92.7	21.32
ANKS3	115.97	242.88	64.8	53.57	53.19	57.49	0.0	1008.9	802.41	429.54	753.83	403.5	403.5	403.5	409.15	529.06	738.29	293.07	258.57	785.88	423.61	583.07	363.56	486.75	336.79	591.22	432.53	307.69	395.18	376.41	279.14	703.28	669.92	698.41	769.69	579.04	567.1	503.95	483.38	406.31	684.02	314.17	708.18	591.22	435.55	583.07	679.29	341.51	743.43	406.31	426.57	733.19	426.57	312.0	493.56	267.73	381.68	351.14	320.8	764.36	902.89	447.82	460.44	281.09	314.17	607.87	454.09	780.44	738.29	409.15	808.0	309.83
ARHGEF19	183.82	36.01	8.58	6.84	38.12	18.03	0.0	890.44	583.07	339.14	595.34	447.82	283.05	371.22	283.05	423.61	525.39	420.68	301.33	529.06	395.18	738.29	454.09	529.06	547.75	420.68	435.55	244.57	343.89	406.31	206.94	406.31	723.08	563.18	547.75	262.2	447.82	674.59	361.04	334.46	480.04	387.02	669.92	363.56	447.82	490.14	423.61	387.02	400.71	423.61	379.04	616.37	497.0	325.29	435.55	258.57	483.38	384.34	305.55	780.44	532.74	497.0	438.59	248.0	395.18	353.59	466.88	529.06	555.41	500.46	547.75	400.71
ATP6V1G2	2.23	94.01	21.01	12.0	1.73	2.71	0.0	134.3	283.05	269.6	256.78	59.13	88.88	54.72	137.14	253.23	218.79	151.22	71.5	231.32	102.97	102.97	56.28	107.38	73.03	180.02	100.13	73.54	156.59	101.54	59.55	285.03	236.21	201.25	214.27	122.64	248.0	107.38	195.72	69.03	204.07	36.53	194.36	325.29	45.85	158.79	214.27	72.52	361.04	69.03	53.19	242.88	175.07	23.08	301.33	33.3	81.71	23.59	191.67	262.2	164.42	97.36	152.28	52.08	56.68	169.07	149.12	229.72	182.55	59.13	242.88	65.72
ATXN7L2	40.07	29.7	18.84	21.16	19.68	22.26	0.0	414.87	231.32	132.44	246.28	166.73	117.6	161.02	169.07	127.0	187.71	144.01	103.69	228.13	171.45	229.72	171.45	204.07	152.28	177.53	183.82	102.25	166.73	114.36	105.89	289.02	301.33	258.57	285.03	234.57	148.09	220.32	201.25	181.28	226.54	155.5	285.03	212.78	295.11	293.07	205.5	153.34	166.73	273.37	180.02	229.72	151.22	124.37	289.02	120.1	198.47	185.11	199.85	336.79	265.87	154.42	136.19	119.26	237.86	265.87	167.9	246.28	303.44	147.06	190.34	120.1
BZRAP1	15.45	96.01	18.29	10.88	28.24	8.32	0.0	1745.2	1457.23	890.44	2004.85	791.35	358.54	536.45	559.28	1073.91	1135.2	525.39	363.56	1498.22	529.06	1008.9	336.79	775.05	395.18	1081.39	866.07	389.72	759.08	518.15	323.03	1745.2	1883.54	1498.22	1540.37	1467.37	1175.27	947.83	1508.65	669.92	1388.16	450.94	941.27	1674.06	323.03	1286.18	1277.29	633.73	1088.92	848.22	353.59	1487.87	896.64	518.15	1096.5	371.22	612.11	463.65	435.55	1832.01	1605.83	470.14	878.17	373.81	591.22	1066.48	819.3	1304.15	1991.0	480.04	1143.1	389.72
