	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.TMMY.0726.SM.33HBE	TCGA.73.4676.11A.01R.1755.07	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.U412.0826.SM.3DB9K	GTEX.POYW.1226.SM.2XCEP	GTEX.13JUV.0526.SM.5K7XE	GTEX.ZYY3.0926.SM.5E454	GTEX.147F4.0926.SM.5Q5EO	GTEX.11UD2.0726.SM.5EQ69	GTEX.13O3P.1026.SM.5N9E7	GTEX.11GSP.0726.SM.5986L	GTEX.U3ZN.0626.SM.3DB7U	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.1128S.0726.SM.5N9D6	GTEX.12ZZW.0926.SM.5LZUD	GTEX.13JVG.1426.SM.5MR4W	GTEX.13NZA.1426.SM.5KM4Y	GTEX.N7MS.0926.SM.2HMIZ	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NL3G.0526.SM.4RTWW	GTEX.PLZ5.0726.SM.2I5F9	GTEX.QEG4.0526.SM.48TZD	GTEX.QMR6.1926.SM.32PL9	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.77.7338.11A.01R.2045.07
AASDH	69.03	260.38	215.77	277.2	287.01	316.37	414.87	236.21	80.57	87.03	45.21	202.66	107.38	167.9	124.37	43.32	51.71	55.49	74.06	42.71	171.45	120.94	24.28	94.01	102.97	66.65	82.29	76.71	131.51	27.44	115.16	177.53	68.07	212.78	81.71	204.07	120.94	97.36	136.19
ACTR6	269.6	718.08	728.11	1208.34	679.29	890.44	1477.58	1008.9	438.59	334.46	125.24	607.87	490.14	555.41	647.07	248.0	134.3	251.48	256.78	136.19	642.59	438.59	90.77	305.55	412.0	224.97	301.33	171.45	473.41	170.25	473.41	547.75	289.02	854.13	334.46	791.35	346.29	307.69	532.74
AKAP10	120.94	500.46	409.15	511.0	836.53	764.36	718.08	713.11	258.57	191.67	85.22	269.6	289.02	297.17	366.09	172.65	124.37	214.27	221.86	78.34	409.15	312.0	117.6	299.25	291.04	177.53	303.44	204.07	271.48	84.63	323.03	466.88	194.36	612.11	231.32	599.49	231.32	339.14	265.87
AP4E1	47.5	143.01	103.69	124.37	166.73	151.22	234.57	253.23	53.95	72.01	33.54	101.54	80.01	173.85	91.41	55.89	50.98	37.05	75.64	37.32	118.43	121.79	12.83	119.26	87.03	49.21	65.72	58.3	110.43	32.13	98.04	127.0	65.26	182.55	62.12	100.83	88.88	55.1	81.71
AP5M1	142.01	651.58	507.46	674.59	511.0	728.11	836.53	616.37	351.14	295.11	107.38	358.54	265.87	583.07	376.41	199.85	194.36	195.72	209.84	214.27	679.29	353.59	84.63	307.69	242.88	143.01	234.57	214.27	361.04	178.77	239.52	363.56	218.79	660.68	178.77	1167.14	248.0	301.33	412.0
ATL3	447.82	1175.27	921.88	1037.29	842.36	848.22	1605.83	928.3	532.74	480.04	166.73	444.72	521.76	1572.76	878.17	518.15	463.65	295.11	486.75	325.29	819.3	1242.34	92.05	785.88	642.59	473.41	525.39	454.09	743.43	591.22	836.53	507.46	579.04	748.61	356.05	1051.79	287.01	819.3	718.08
ATP6V1C1	500.46	1037.29	1001.93	1208.34	848.22	1277.29	2555.58	2178.83	575.03	616.37	346.29	595.34	529.06	813.63	802.41	629.35	507.46	361.04	435.55	343.89	1030.12	599.49	277.2	543.96	414.87	314.17	500.46	511.0	525.39	406.31	567.1	780.44	470.14	890.44	460.44	587.13	507.46	397.93	638.15
BRAP	198.47	320.8	384.34	325.29	412.0	514.56	476.71	373.81	223.41	191.67	75.64	289.02	248.0	277.2	218.79	162.14	186.4	162.14	154.42	169.07	271.48	241.19	158.79	195.72	255.0	162.14	229.72	191.67	236.21	84.63	197.09	318.57	176.29	323.03	176.29	351.14	217.27	185.11	281.09
C16orf70	161.02	432.53	381.68	438.59	432.53	480.04	351.14	450.94	202.66	218.79	82.87	236.21	221.86	417.77	361.04	142.01	119.26	169.07	167.9	125.24	346.29	218.79	85.22	258.57	234.57	197.09	251.48	186.4	249.73	67.12	231.32	217.27	195.72	447.82	205.5	438.59	249.73	209.84	218.79
C6orf211	150.17	748.61	674.59	974.5	743.43	1529.73	1950.0	738.29	579.04	329.84	146.03	438.59	303.44	426.57	420.68	258.57	206.94	187.71	253.23	191.67	896.64	507.46	103.69	341.51	348.71	224.97	341.51	215.77	371.22	172.65	336.79	656.11	295.11	866.07	281.09	525.39	289.02	336.79	540.19
