	TCGA.LL.A440.01A.11R.A24H.07	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.98.A53H.01A.12R.A262.07	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.EL.A3CY.01A.11R.A19O.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.Y5LM.0626.SM.4V6G4	GTEX.11I78.0526.SM.5986A	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
ABCB4	18.43	56.68	38.67	115.97	33.78	92.7	11.21	13.03	8.25	16.27	18.29	18.03	2.84	20.11	8.38	12.09	10.79	9.2	6.31	16.75	4.78	10.08
ADAMTS10	708.18	934.76	579.04	995.0	884.29	536.45	77.79	116.78	122.64	248.0	129.69	134.3	120.1	90.77	98.73	147.06	56.68	51.35	92.05	108.9	85.82	90.14
ADAMTS2	1457.23	1572.76	764.36	3614.55	234.57	239.52	54.33	29.27	75.11	180.02	129.69	123.5	116.78	80.57	35.25	161.02	18.97	20.11	20.71	63.0	13.62	51.35
ADAMTS7	132.44	169.07	172.65	723.08	109.66	139.07	10.63	14.67	17.51	29.27	16.03	17.64	21.94	17.25	14.45	24.81	17.77	14.45	12.18	19.53	5.87	17.64
AFAP1L1	277.2	299.25	229.72	400.71	226.54	277.2	146.03	121.79	162.14	171.45	136.19	180.02	57.89	136.19	75.11	205.5	146.03	61.68	49.91	87.65	52.82	70.01
AGAP2	58.3	194.36	104.42	73.54	73.03	176.29	23.59	35.5	5.92	64.8	55.1	48.87	10.79	56.68	36.01	65.26	12.74	13.03	19.68	49.91	7.17	29.7
AGAP2-AS1	518.15	287.01	348.71	346.29	123.5	126.12	43.02	36.79	47.84	73.03	38.4	49.56	38.67	54.72	28.04	100.13	56.68	29.06	24.46	84.63	36.79	42.41
ARHGEF1	2485.67	3018.3	4268.94	3103.19	2417.67	4512.4	1183.45	1216.75	1340.84	1662.49	1437.15	1639.59	1733.13	1359.57	1088.92	1674.06	1359.57	1081.39	1175.27	1427.22	934.76	1769.57
BACE2	1119.56	1066.48	1844.76	3589.58	684.02	909.17	356.05	348.71	607.87	595.34	607.87	647.07	599.49	454.09	486.75	872.1	540.19	1023.0	638.15	497.0	332.14	358.54
BGN	14262.1	16496.96	22535.88	38430.46	12943.04	9215.48	2451.44	1447.15	2303.12	4836.35	4181.07	4095.0	2537.92	2591.27	1268.46	2739.08	967.76	1378.57	2367.9	3395.89	1331.57	1594.73
C15orf62	63.0	64.8	69.03	55.89	88.26	43.94	32.13	27.05	31.0	45.53	40.64	27.84	42.41	27.25	34.51	28.86	9.93	13.03	18.03	21.63	31.22	33.3
C3orf62	221.86	159.9	148.09	175.07	189.02	182.55	126.12	99.43	104.42	143.01	157.68	135.24	122.64	125.24	116.78	140.04	128.79	150.17	93.35	134.3	126.12	102.25
C7orf61	17.25	32.59	8.92	4.98	33.54	22.43	1.62	2.41	3.38	8.58	7.34	3.2	3.5	7.22	1.62	7.4	1.3	2.39	4.9	5.19	4.9	2.53
CALHM2	1857.6	1870.53	884.29	450.94	642.59	647.07	211.31	303.44	500.46	423.61	476.71	543.96	314.17	414.87	193.01	525.39	309.83	190.34	166.73	312.0	279.14	329.84
CAMTA2	1340.84	1216.75	1225.22	1709.26	1388.16	1519.15	825.0	819.3	941.27	1250.98	830.75	967.76	1044.52	1081.39	743.43	1199.98	954.43	1250.98	981.29	1073.91	830.75	1199.98
CARD14	297.17	297.17	120.94	45.85	23.76	14.14	2.63	2.46	6.11	6.21	8.19	5.96	2.73	2.12	5.5	12.36	3.35	1.89	9.85	11.64	4.06	2.25
CCDC88B	500.46	409.15	1322.37	264.03	432.53	1467.37	82.87	81.14	88.26	130.6	97.36	178.77	109.66	75.64	92.7	121.79	82.29	127.89	50.27	186.4	65.72	92.05
CDK11B	1143.1	1378.57	1159.07	1159.07	1313.23	1208.34	928.3	1111.82	1015.93	1286.18	1059.11	1096.5	961.07	1119.56	872.1	1225.22	830.75	848.22	967.76	802.41	902.89	947.83
CDR2L	341.51	518.15	283.05	656.11	237.86	256.78	45.21	50.63	51.35	96.68	63.89	71.5	69.52	54.33	29.27	77.79	49.56	33.3	43.32	99.43	31.9	36.01
CHST13	30.56	13.42	5.45	31.0	13.12	30.56	1.87	0.0	5.28	5.32	4.35	3.59	2.07	1.07	1.5	4.21	4.21	0.0	0.78	0.73	0.0	0.0
CHST7	136.19	111.21	96.01	264.03	162.14	176.29	42.41	122.64	172.65	195.72	93.35	124.37	31.45	73.54	68.55	141.02	76.71	43.63	119.26	62.56	98.04	55.49
COL3A1	159145.95	23009.42	56265.94	147462.67	11992.79	9740.98	909.17	616.37	1467.37	2193.99	1397.83	1551.09	1662.49	1073.91	698.41	1487.87	267.73	490.14	336.79	738.29	201.25	450.94
COL5A1	8598.28	4575.41	5517.27	13399.51	1457.23	1030.12	65.72	83.45	96.01	358.54	318.57	198.47	199.85	159.9	83.45	256.78	28.04	42.41	20.41	141.02	56.68	54.72
COL6A2	45386.27	25179.16	15934.98	53230.77	9344.14	7180.15	1286.18	1322.37	2319.15	3928.15	2976.74	2701.35	1923.14	1487.87	1073.91	3325.99	759.08	981.29	703.28	1806.78	836.53	872.1
CPA4	35.25	0.92	14.56	4.35	3.63	6.06	0.0	0.12	0.12	4.9	2.92	0.0	0.0	0.0	1.85	1.71	0.09	0.33	0.0	2.94	0.59	0.0
CYGB	802.41	995.0	775.05	2271.4	902.89	836.53	301.33	656.11	497.0	1605.83	1388.16	603.67	466.88	974.5	348.71	1023.0	511.0	450.94	162.14	559.28	251.48	543.96
DAB2IP	651.58	624.99	525.39	775.05	995.0	723.08	435.55	409.15	409.15	616.37	555.41	802.41	379.04	400.71	532.74	607.87	305.55	299.25	387.02	500.46	303.44	293.07
DCLK3	8.92	16.51	6.78	29.06	22.59	10.47	0.07	0.07	0.83	5.73	1.14	0.89	1.22	1.73	1.83	2.14	0.29	0.75	0.35	2.94	0.3	2.32
DND1	10.08	3.41	8.71	21.01	13.52	3.35	4.86	1.99	12.27	19.11	3.59	2.81	7.4	4.74	5.77	12.18	5.23	3.59	1.89	4.58	7.94	1.48
DOCK6	693.58	1295.13	1233.75	1467.37	1950.0	1331.57	753.83	603.67	723.08	941.27	723.08	629.35	769.69	780.44	603.67	1119.56	660.68	587.13	669.92	941.27	708.18	764.36
FADS3	791.35	785.88	785.88	1651.0	974.5	866.07	166.73	209.84	363.56	466.88	379.04	264.03	363.56	172.65	163.28	285.03	148.09	271.48	318.57	384.34	209.84	232.94
FAM109B	591.22	279.14	361.04	329.84	262.2	221.86	178.77	206.94	178.77	183.82	193.01	204.07	170.25	208.38	100.83	212.78	140.04	162.14	90.14	205.5	85.22	122.64
FEN1	303.44	297.17	426.57	343.89	205.5	217.27	120.1	92.05	127.89	182.55	189.02	164.42	171.45	166.73	124.37	172.65	142.01	132.44	144.01	155.5	111.99	111.99
FMNL3	511.0	733.19	490.14	1008.9	612.11	684.02	450.94	500.46	503.95	693.58	603.67	366.09	532.74	384.34	361.04	559.28	218.79	309.83	379.04	595.34	167.9	283.05
FRMD8	603.67	679.29	764.36	769.69	713.11	808.0	353.59	414.87	403.5	435.55	329.84	432.53	379.04	392.44	271.48	466.88	384.34	251.48	258.57	454.09	237.86	351.14
GDI1	2956.17	2796.65	3589.58	2591.27	3146.52	2777.33	1628.26	1519.15	1832.01	2004.85	1936.53	1709.26	1794.29	1709.26	1662.49	2271.4	1794.29	1268.46	1745.2	1896.65	1529.73	1697.45
GGT5	1769.57	2537.92	1617.0	3103.19	3235.01	2855.44	2701.35	2240.11	2104.58	3768.09	3690.52	3372.43	1674.06	2609.3	2335.28	3665.02	2119.22	1397.83	1572.76	2417.67	2148.82	2720.15
GNAI2	7230.1	7433.4	6652.97	8840.04	6935.54	8247.98	3491.39	3589.58	4066.71	4181.07	2796.65	3690.52	2875.3	4123.49	2796.65	4328.55	3874.05	3168.41	2915.45	3540.14	2271.4	3124.78
GPR68	88.88	248.0	293.07	738.29	98.73	117.6	13.42	12.0	8.0	67.12	22.75	35.76	20.11	16.75	14.78	31.67	7.57	9.85	10.79	14.78	7.11	12.64
GRAP	202.66	146.03	264.03	111.21	98.04	305.55	138.1	132.44	146.03	161.02	96.01	251.48	34.75	189.02	57.49	221.86	108.14	98.04	31.0	149.12	53.57	109.66
GRIK1	7.57	2.63	1.45	2.94	0.71	0.72	2.94	1.22	1.58	2.29	3.38	1.68	0.39	1.16	0.41	2.14	0.17	0.39	0.2	2.56	0.39	0.38
HHLA2	1.87	8.92	89.51	10.55	0.82	2.94	0.0	1.06	2.14	3.26	3.0	0.69	0.0	0.0	0.0	3.03	0.0	0.64	0.68	0.0	1.38	0.0
HIC1	532.74	1073.91	277.2	647.07	164.42	312.0	33.3	112.77	104.42	163.28	132.44	87.03	92.7	91.41	70.51	116.78	82.29	44.57	32.13	91.41	49.56	53.95
HNRNPAB	2520.38	2468.49	2701.35	3303.0	2351.53	2502.97	1662.49	1487.87	1594.73	2271.4	1936.53	1963.57	2004.85	2224.63	1467.37	2004.85	2032.85	1651.0	1378.57	1806.78	1407.55	1832.01
IER5L	669.92	540.19	329.84	414.87	693.58	194.36	32.36	49.91	61.25	114.36	72.01	39.79	57.08	50.27	43.02	92.7	66.18	49.91	32.36	66.65	61.25	25.35
IFFO1	603.67	1183.45	497.0	403.5	368.65	511.0	57.08	108.14	144.01	217.27	158.79	157.68	95.34	134.3	115.97	190.34	137.14	87.65	127.89	145.02	68.55	115.16
IL18R1	88.88	291.04	151.22	231.32	101.54	320.8	29.91	23.93	57.49	61.68	89.51	29.48	19.97	30.12	41.81	65.26	23.08	19.53	15.45	55.49	13.83	30.12
IL18RAP	19.39	40.36	68.07	265.87	11.13	85.22	16.27	8.99	9.7	19.97	14.56	14.24	7.4	13.32	7.4	22.26	4.86	4.78	10.63	4.39	3.17	6.31
IMPDH1	1674.06	819.3	1757.34	1331.57	921.88	896.64	224.97	194.36	279.14	327.56	226.54	346.29	241.19	220.32	193.01	371.22	239.52	195.72	162.14	366.09	183.82	234.57
ITGA5	2701.35	4836.35	2319.15	15075.35	1167.14	3325.99	579.04	490.14	599.49	698.41	854.13	543.96	454.09	395.18	346.29	780.44	373.81	329.84	351.14	612.11	438.59	403.5
KCNH8	9.85	15.68	12.45	43.63	29.27	10.39	5.5	5.45	4.9	8.51	7.28	4.54	4.5	3.96	3.96	2.76	2.97	3.38	6.16	9.7	6.11	1.6
KCNK6	293.07	148.09	251.48	521.76	117.6	193.01	22.75	19.53	47.17	38.4	59.97	35.25	31.67	28.45	27.64	65.72	42.11	11.3	10.55	47.17	15.56	16.03
KRTAP5-9	6.84	3.69	8.45	5.92	22.59	8.58	1.51	3.2	3.35	5.41	5.45	7.75	5.06	3.38	2.05	6.84	1.85	4.5	2.34	1.25	2.46	0.47
LIMD2	1037.29	718.08	1909.85	656.11	567.1	1870.53	140.04	94.67	187.71	198.47	197.09	212.78	84.63	91.41	113.56	295.11	169.07	100.83	72.01	140.04	43.32	112.77
LRP4	86.43	127.89	66.18	76.71	3372.43	1617.0	34.51	38.4	64.34	119.26	45.21	28.45	20.11	74.06	31.45	21.01	14.14	82.29	107.38	115.97	37.32	36.01
MAPKAPK2	1936.53	1781.89	2148.82	3325.99	1857.6	2224.63	1437.15	1427.22	1487.87	1870.53	1794.29	1583.71	1427.22	1745.2	1369.04	1561.89	1159.07	1304.15	1388.16	1447.15	1044.52	1313.23
MESDC1	450.94	285.03	361.04	1233.75	237.86	397.93	150.17	151.22	271.48	228.13	244.57	161.02	180.02	215.77	136.19	246.28	226.54	176.29	217.27	224.97	133.36	132.44
MFNG	620.67	303.44	518.15	529.06	279.14	1001.93	249.73	246.28	320.8	275.28	297.17	379.04	109.66	332.14	148.09	454.09	283.05	172.65	92.05	301.33	104.42	182.55
MOB2	967.76	1143.1	830.75	511.0	915.51	896.64	688.78	808.0	819.3	836.53	848.22	819.3	753.83	703.28	638.15	909.17	642.59	591.22	688.78	753.83	743.43	620.67
MRC2	3639.7	1487.87	2609.3	3874.05	3515.68	2537.92	85.82	53.95	106.63	182.55	232.94	314.17	139.07	90.14	63.0	147.06	49.21	57.89	63.89	73.03	52.45	53.95
MTSS1L	1096.5	1127.35	1268.46	1639.59	848.22	669.92	258.57	258.57	366.09	497.0	441.64	299.25	454.09	269.6	180.02	186.4	186.4	221.86	182.55	312.0	215.77	236.21
N4BP3	132.44	36.01	55.89	113.56	46.84	29.7	36.79	36.53	23.93	64.34	22.75	33.06	33.3	30.12	23.08	67.59	31.9	31.45	23.42	53.95	22.26	21.63
NFKBID	579.04	248.0	397.93	379.04	358.54	974.5	151.22	123.5	226.54	264.03	318.57	170.25	191.67	134.3	122.64	217.27	171.45	206.94	155.5	237.86	204.07	151.22
NLRP12	8.99	7.51	7.06	23.08	11.21	5.87	2.43	1.87	1.85	5.19	2.81	2.27	0.41	2.03	0.74	3.29	0.95	0.67	1.64	2.61	0.0	0.14
NPTX2	43.02	142.01	90.77	273.37	82.29	90.14	9.34	10.88	15.45	47.84	18.43	28.65	7.34	26.67	26.28	7.69	12.55	15.22	4.35	37.32	7.46	4.21
NUP188	567.1	947.83	665.29	1175.27	785.88	616.37	381.68	336.79	381.68	567.1	559.28	503.95	412.0	483.38	476.71	417.77	297.17	267.73	366.09	339.14	287.01	409.15
NYAP1	20.11	22.43	19.25	3.08	8.06	13.22	3.96	10.16	15.0	11.91	13.52	9.56	7.11	10.96	6.36	18.97	6.21	7.22	8.85	11.3	5.45	4.58
PAPD7	432.53	647.07	463.65	928.3	438.59	490.14	384.34	307.69	348.71	417.77	429.54	358.54	403.5	316.37	303.44	309.83	249.73	256.78	307.69	291.04	283.05	366.09
PHLDA3	1639.59	2163.77	1322.37	595.34	2997.45	1757.34	273.37	460.44	612.11	1143.1	612.11	518.15	486.75	264.03	273.37	669.92	348.71	830.75	457.25	395.18	358.54	283.05
PIEZO1	2895.31	4095.0	3257.52	3982.99	2555.58	2573.36	1081.39	1397.83	1572.76	1733.13	1135.2	1340.84	665.29	1199.98	688.78	1963.57	1225.22	1417.35	738.29	1313.23	981.29	1044.52
PLXND1	5076.84	3103.19	3212.66	4152.18	6381.92	5954.47	785.88	961.07	1015.93	1936.53	1508.65	1331.57	872.1	1127.35	836.53	1457.23	848.22	674.59	928.3	1819.35	579.04	1331.57
PPM1F	638.15	447.82	412.0	559.28	332.14	521.76	275.28	293.07	277.2	358.54	281.09	253.23	287.01	244.57	279.14	426.57	215.77	193.01	167.9	400.71	177.53	202.66
PROCR	463.65	1487.87	647.07	642.59	830.75	728.11	217.27	273.37	514.56	218.79	309.83	497.0	237.86	220.32	108.9	718.08	281.09	186.4	142.01	211.31	224.97	255.0
PROZ	4.7	4.24	5.02	8.99	4.06	2.51	1.3	3.08	2.94	6.31	1.51	3.66	0.12	1.91	2.29	7.06	1.33	2.97	2.63	3.14	0.62	7.0
PRRX2	483.38	264.03	299.25	316.37	221.86	153.34	12.74	38.12	77.79	143.01	65.72	107.38	100.83	111.99	20.26	107.38	59.97	77.79	10.55	73.54	23.08	50.27
RAB35	909.17	974.5	693.58	785.88	536.45	748.61	518.15	486.75	603.67	536.45	575.03	599.49	414.87	503.95	371.22	660.68	426.57	312.0	371.22	420.68	373.81	476.71
RABIF	194.36	217.27	189.02	149.12	145.02	197.09	121.79	81.71	109.66	148.09	111.21	120.94	130.6	121.79	96.68	127.89	111.21	127.0	120.1	118.43	104.42	102.97
RASAL3	236.21	301.33	599.49	229.72	181.28	748.61	52.45	52.45	91.41	96.01	81.71	144.01	51.35	70.51	74.58	118.43	51.35	40.36	36.01	50.98	18.43	54.72
RBM17	1832.01	3018.3	2271.4	2178.83	3372.43	2367.9	2133.97	1923.14	2758.13	2701.35	2855.44	2148.82	2303.12	2303.12	2047.0	2018.8	1733.13	1540.37	2537.92	1806.78	2018.8	2319.15
RELB	620.67	420.68	909.17	1088.92	493.56	902.89	156.59	193.01	195.72	234.57	212.78	195.72	153.34	173.85	146.03	186.4	136.19	229.72	152.28	214.27	156.59	165.57
RHBDF1	1111.82	1781.89	988.12	1304.15	2255.7	902.89	373.81	575.03	656.11	1008.9	688.78	363.56	587.13	426.57	457.25	647.07	525.39	559.28	543.96	497.0	429.54	476.71
SH3BP2	1073.91	674.59	915.51	1037.29	1088.92	967.76	253.23	228.13	307.69	314.17	358.54	414.87	283.05	314.17	157.68	493.56	150.17	131.51	208.38	476.71	190.34	248.0
SHMT2	1286.18	1199.98	1909.85	1551.09	1073.91	1378.57	559.28	493.56	791.35	915.51	1183.45	825.0	688.78	703.28	555.41	819.3	612.11	426.57	500.46	1081.39	483.38	460.44
SIGLEC10	82.29	808.0	277.2	325.29	140.04	490.14	32.59	44.89	36.01	71.0	74.06	60.82	28.86	52.82	31.22	69.52	52.08	10.55	17.0	49.91	9.48	25.72
