	TCGA.ZF.AA53.01A.11R.A39I.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.FY.A3TY.11A.12R.A22U.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.ZV6S.1526.SM.5NQ7O
AC024580.1	0.0	0.59	0.0	4.82	4.58	0.0	135.24	19.82	12.09	4.39	122.64	112.77	8.13	19.53	9.93	43.63	5.68	88.88	3.63	2.61	5.87	71.5	12.0	69.03	120.1	59.97	46.5	16.39	14.14	7.94	31.22	16.03	32.59	8.58	34.51	14.67	65.72	104.42	15.68	51.71	98.73	70.51	42.41	59.55	11.13	56.68	59.97	68.07	15.0	16.75	32.36	0.04
AC139426.2	0.64	0.0	0.0	0.8	0.0	1.14	32.82	2.51	10.16	3.11	106.63	117.6	13.83	21.78	7.28	30.56	9.85	77.79	17.13	18.43	29.06	49.21	28.86	57.08	74.58	72.01	62.12	7.88	27.25	11.64	23.93	16.75	42.71	7.0	28.04	11.73	43.32	78.34	2.94	61.68	67.12	45.53	36.01	75.64	8.85	74.06	19.68	84.04	9.13	7.4	33.3	0.33
AL136115.1	0.0	0.0	0.0	0.0	0.0	0.0	16.75	1.75	4.28	0.0	16.51	15.68	3.26	9.78	5.02	12.18	4.82	8.32	2.63	4.78	13.83	8.51	6.11	8.38	3.72	8.51	7.82	3.82	2.61	3.41	14.24	6.41	4.06	0.62	4.54	4.54	7.4	5.23	4.86	9.7	7.94	7.11	10.0	5.19	5.32	12.18	5.59	8.71	1.51	7.17	3.44	0.0
AP001468.1	1.93	0.0	2.89	0.0	0.44	2.01	36.27	0.0	0.0	0.0	67.12	51.35	1.97	10.71	3.59	24.28	4.1	54.72	11.3	10.71	7.22	23.59	13.12	16.88	18.43	12.64	20.26	15.68	7.0	17.25	33.3	9.2	10.47	6.21	14.03	6.21	16.75	38.4	3.41	41.22	29.06	20.86	14.24	28.04	2.61	34.02	10.39	45.21	5.92	20.11	45.85	0.0
BAZ2A	185.11	242.88	49.21	204.07	232.94	195.72	1233.75	341.51	387.02	356.05	1259.69	1242.34	426.57	532.74	616.37	860.08	490.14	1059.11	599.49	460.44	624.99	830.75	571.05	967.76	896.64	738.29	1059.11	532.74	612.11	532.74	629.35	476.71	579.04	473.41	555.41	529.06	813.63	1081.39	299.25	974.5	1104.13	954.43	813.63	909.17	258.57	791.35	647.07	848.22	607.87	836.53	612.11	147.06
C11orf42	0.0	0.84	0.0	0.0	0.0	0.0	10.63	0.0	1.69	0.0	5.23	4.21	0.6	0.0	0.58	6.94	0.0	4.03	0.83	1.81	0.82	1.33	0.82	6.52	4.62	2.01	2.32	1.95	2.81	0.0	0.0	0.0	2.48	1.46	0.0	0.6	4.35	8.92	0.41	5.28	2.07	5.73	0.89	1.85	0.0	4.7	4.5	3.06	0.38	0.37	6.16	1.22
CCDC93	55.1	90.14	24.28	94.01	84.04	90.77	647.07	151.22	251.48	132.44	559.28	563.18	209.84	293.07	314.17	329.84	231.32	450.94	316.37	301.33	325.29	346.29	423.61	366.09	480.04	417.77	432.53	251.48	316.37	368.65	379.04	255.0	325.29	361.04	312.0	193.01	406.31	500.46	205.5	486.75	543.96	389.72	363.56	493.56	226.54	444.72	339.14	466.88	303.44	406.31	339.14	56.68
CCNT2	58.71	51.71	29.06	52.45	19.97	45.21	493.56	127.0	195.72	97.36	473.41	583.07	149.12	269.6	152.28	307.69	175.07	400.71	246.28	205.5	334.46	356.05	299.25	343.89	285.03	283.05	368.65	211.31	220.32	229.72	279.14	221.86	305.55	164.42	307.69	199.85	323.03	486.75	260.38	361.04	329.84	343.89	412.0	409.15	231.32	371.22	198.47	371.22	209.84	320.8	275.28	116.78
CPSF6	575.03	500.46	120.94	373.81	351.14	403.5	967.76	463.65	698.41	480.04	802.41	995.0	633.73	842.36	529.06	665.29	651.58	718.08	738.29	733.19	688.78	660.68	612.11	651.58	791.35	693.58	791.35	603.67	624.99	599.49	624.99	708.18	738.29	559.28	587.13	571.05	738.29	775.05	753.83	954.43	848.22	738.29	896.64	713.11	633.73	878.17	780.44	961.07	603.67	764.36	785.88	563.18
CREBZF	177.53	164.42	121.79	172.65	150.17	277.2	1397.83	232.94	329.84	297.17	1388.16	1572.76	490.14	791.35	660.68	961.07	444.72	1208.34	713.11	796.86	738.29	947.83	896.64	1119.56	1096.5	909.17	1159.07	575.03	684.02	1059.11	848.22	624.99	967.76	808.0	575.03	620.67	1208.34	1143.1	934.76	902.89	1208.34	1037.29	878.17	1199.98	743.43	1051.79	579.04	1359.57	825.0	860.08	1030.12	273.37
CTC-349C3.1	7.22	1.89	2.39	7.51	5.28	11.47	84.63	8.51	21.32	16.27	63.89	41.52	13.93	14.03	13.72	51.71	14.45	55.49	22.43	11.3	24.11	58.71	26.47	59.55	81.14	63.0	50.27	18.16	13.72	13.83	28.04	31.0	35.25	7.63	23.08	13.52	69.52	56.28	15.34	35.25	69.52	45.53	53.95	42.11	17.25	56.68	24.99	57.49	12.64	29.27	18.03	0.23
