	TCGA.38.4625.01A.01R.1206.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.ET.A39S.01A.11R.A19O.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.QV44.0826.SM.2S1RG	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
AC012123.1	0.0	9.85	10.88	9.56	17.51	20.26	13.93	22.75	15.45	6.41	15.91	16.39	9.06	9.06	23.42	22.92	15.0	185.11	64.34	49.91	22.59	42.11	78.34	25.72	38.95	74.58	53.95	33.54	32.59	48.18	53.95	18.43	38.12	70.01	37.32	50.98	44.25	55.1	51.71	36.27	28.86	17.25	23.42	21.78	30.12	36.01	74.58	16.63	11.47	51.35	101.54	26.28	23.08	31.45	64.34	32.36	38.95
ACADSB	0.0	96.01	84.04	76.17	107.38	112.77	131.51	85.22	156.59	110.43	125.24	139.07	83.45	74.58	169.07	114.36	116.78	490.14	358.54	336.79	164.42	248.0	334.46	181.28	417.77	426.57	320.8	256.78	199.85	318.57	262.2	323.03	314.17	409.15	275.28	334.46	212.78	323.03	348.71	287.01	138.1	295.11	366.09	167.9	211.31	273.37	256.78	273.37	158.79	287.01	368.65	267.73	218.79	153.34	343.89	327.56	316.37
ACSF2	0.0	974.5	1175.27	1037.29	921.88	1437.15	1963.57	1277.29	1340.84	1350.18	1151.06	961.07	1286.18	1295.13	1191.69	896.64	1508.65	4704.07	2796.65	3716.2	2193.99	3901.01	2976.74	1709.26	1487.87	4704.07	4607.24	2835.7	3564.78	1583.71	3716.2	2645.74	3540.14	4268.94	2104.58	2451.44	3716.2	1977.24	3280.18	2739.08	4066.71	1639.59	2573.36	3928.15	3794.3	1909.85	5112.16	1023.0	3768.09	3515.68	5995.9	4575.41	2627.46	825.0	6745.86	2645.74	4671.57
ALG6	0.0	151.22	153.34	57.49	127.89	191.67	182.55	156.59	182.55	121.79	153.34	127.89	146.03	127.89	112.77	166.73	175.07	232.94	199.85	201.25	125.24	159.9	163.28	198.47	189.02	232.94	289.02	169.07	150.17	177.53	190.34	182.55	183.82	231.32	186.4	170.25	191.67	166.73	194.36	170.25	170.25	220.32	226.54	214.27	221.86	140.04	177.53	180.02	170.25	159.9	248.0	120.1	159.9	172.65	209.84	176.29	208.38
ANKFN1	0.0	0.71	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.82	0.0	0.75	0.79	0.0	1.3	0.0	1.22	3.92	2.61	6.78	1.66	1.5	2.27	1.77	2.89	1.41	1.77	9.93	1.83	8.85	4.13	1.53	2.63	1.3	3.0	7.11	1.71	5.41	4.7	1.73	0.29	7.63	4.17	0.68	0.88	0.69	2.07	4.06	1.19	1.14	7.4	0.48	6.62	0.83	1.77	2.36	3.38
ANKRD31	0.0	1.2	1.66	0.13	1.99	0.99	0.87	1.46	1.36	0.49	1.68	1.95	0.14	0.96	4.66	0.96	1.27	9.27	3.56	8.51	1.57	1.19	4.78	0.79	4.58	5.59	8.06	8.06	1.16	5.77	5.96	4.86	4.35	6.26	6.31	5.02	4.78	7.28	7.4	4.06	0.82	8.06	5.92	3.56	2.76	1.62	6.67	2.89	1.89	1.64	5.73	4.46	1.11	0.74	5.96	2.32	9.56
ARMC2	0.0	34.51	51.71	26.28	57.89	32.36	45.85	31.9	44.25	38.4	41.81	41.22	28.86	40.36	66.65	46.5	48.18	107.38	106.63	117.6	85.82	81.71	110.43	77.25	165.57	178.77	180.02	125.24	72.01	164.42	90.77	105.89	101.54	115.16	124.37	149.12	88.88	106.63	136.19	70.51	76.17	67.59	130.6	49.21	116.78	70.51	127.89	88.88	63.0	96.01	155.5	78.34	76.17	120.94	96.01	96.68	98.04
ARMCX1	0.0	295.11	237.86	248.0	314.17	480.04	376.41	457.25	323.03	220.32	281.09	358.54	265.87	237.86	341.51	336.79	343.89	595.34	748.61	878.17	400.71	607.87	591.22	314.17	579.04	769.69	679.29	426.57	547.75	785.88	579.04	490.14	703.28	483.38	854.13	612.11	497.0	629.35	748.61	423.61	361.04	728.11	848.22	571.05	629.35	466.88	679.29	376.41	457.25	616.37	656.11	529.06	551.56	414.87	624.99	620.67	603.67
ASPA	0.0	22.43	2.48	2.53	16.39	26.47	17.0	16.15	13.52	13.42	9.2	14.56	6.01	5.73	8.92	15.8	18.56	45.85	67.59	44.89	16.63	25.35	23.76	14.14	60.82	84.04	66.18	45.53	42.41	81.14	76.17	40.07	57.49	36.01	23.76	76.17	32.59	56.68	79.45	33.06	23.42	58.71	61.25	29.06	9.34	19.39	38.95	28.86	31.9	9.48	69.52	37.59	31.9	7.34	60.39	51.35	65.72
ATP6V1G2	0.0	66.65	36.01	15.45	65.26	85.22	15.68	82.87	44.89	38.12	52.82	37.32	28.65	34.26	73.03	115.97	62.56	325.29	269.6	231.32	88.88	54.72	128.79	108.9	253.23	228.13	231.32	102.97	73.03	180.02	100.13	101.54	285.03	201.25	122.64	248.0	107.38	195.72	204.07	36.53	45.85	214.27	361.04	69.03	53.19	23.08	301.33	33.3	23.59	191.67	262.2	56.68	149.12	115.97	229.72	218.79	242.88
