	GTEX.13FLV.1126.SM.5J2NO	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	GTEX.13O3P.1026.SM.5N9E7	GTEX.1128S.0726.SM.5N9D6	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.11OF3.1126.SM.5986C	TCGA.56.8082.11A.01R.2247.07
ACAA2	279.14	24832.5	31870.96	3982.99	21320.18	73730.83	36864.92	12764.83	22225.61	6471.02	8778.97	38697.77	38430.46	30151.71	18560.17	23009.42	3467.27	29124.6	11189.6	26431.04	25887.07	66449.85	0.0	435.55	441.64	251.48	248.0	414.87	1359.57
ACADM	417.77	4152.18	5995.9	954.43	2956.17	7331.05	5954.47	1583.71	2193.99	1662.49	1745.2	5751.61	7642.41	6207.38	3303.0	4066.71	785.88	3874.05	3081.75	5366.37	3874.05	8538.88	0.0	423.61	353.59	316.37	438.59	295.11	559.28
ACOT2	262.2	2816.11	4038.61	1909.85	2855.44	5791.62	4298.64	1216.75	1313.23	988.12	470.14	2047.0	5594.3	5954.47	3874.05	5751.61	420.68	3235.01	3467.27	5292.48	1806.78	3874.05	0.0	713.11	480.04	384.34	466.88	148.09	348.71
ACOX1	457.25	1857.6	2573.36	860.08	1832.01	2701.35	3491.39	514.56	529.06	1208.34	1191.69	2555.58	3639.7	2537.92	1662.49	2835.7	555.41	2682.69	2163.77	2875.3	1583.71	3372.43	237.86	368.65	536.45	264.03	361.04	353.59	457.25
ADH5	2018.8	6840.04	9279.58	4869.99	7130.55	10808.41	8778.97	2148.82	4066.71	6745.86	5006.93	8363.13	10225.32	6983.79	7803.01	7180.15	1662.49	7032.37	5831.91	7180.15	8191.0	8658.09	0.0	2119.22	1529.73	921.88	1447.15	1088.92	2090.03
AGMAT	0.6	796.86	5041.77	591.22	1794.29	3419.52	4152.18	414.87	785.88	723.08	1709.26	2976.74	2240.11	4704.07	995.0	2591.27	37.32	1508.65	2451.44	1322.37	967.76	2895.31	105.15	1.87	1.43	0.4	1.85	0.0	2.27
AMACR	108.9	1832.01	3212.66	309.83	1135.2	5479.15	6037.61	176.29	312.0	769.69	679.29	3018.3	3039.3	3124.78	1685.71	2032.85	136.19	1883.54	1896.65	1685.71	1350.18	13399.51	0.0	105.89	231.32	117.6	124.37	32.13	89.51
APOC2	21.47	202841.44	489177.0	14163.58	102125.66	263966.36	663619.99	14163.58	9673.69	9606.86	49322.93	256748.15	405683.88	160252.91	68318.04	155870.75	3540.14	32315.87	32767.0	90773.53	72213.45	237899.7	0.0	232.94	723.08	314.17	1583.71	1135.2	514.56
ATP5J	3564.78	10225.32	23169.48	7537.18	11504.21	11424.74	11345.82	5913.33	9606.86	7537.18	7180.15	8778.97	11992.79	11992.79	10733.74	10512.82	5751.61	10585.95	10959.3	11035.54	10808.41	13776.25	0.0	3794.3	2739.08	1639.59	1870.53	1977.24	3081.75
BNIP3	163.28	3325.99	9344.14	1151.06	6079.61	5441.3	7589.61	813.63	2255.7	2664.15	1909.85	5831.91	4903.87	5672.41	4937.99	6471.02	3395.89	5872.48	5076.84	6935.54	3589.58	9474.59	0.0	928.3	1030.12	218.79	368.65	320.8	802.41
