	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14AS3.0126.SM.5Q5F4	GTEX.P78B.1326.SM.3P611	GTEX.13PVR.0126.SM.5S2PY	TCGA.38.4625.01A.01R.1206.07
AC005003.1	17.9	22.26	8.06	12.09	6.62	17.51	12.55	12.09	25.91	7.51	40.93	42.11	10.24	17.64	11.38	14.56	16.63	36.27	5.5	18.56	10.88	13.83	13.83	7.46	10.39	38.95	14.35	31.0	28.04	16.88	34.26	33.78	10.88	20.86	22.75	17.77	13.03	12.36	18.56	15.68	16.63	13.22	16.88	15.0	6.36	10.31	11.91	8.06	11.38	17.51	25.72	26.28	6.06	3.44	9.85	15.22	14.56	2.73	0.69	3.35	0.6	1.17	6.89	2.2	3.63	6.84	5.92	8.0	0.0
AFF2	1.81	0.96	5.96	22.59	1.69	2.63	3.59	3.82	4.54	5.59	0.91	2.41	4.86	2.41	9.13	2.03	4.31	3.53	1.22	4.86	0.54	82.87	4.98	0.88	0.93	92.05	3.0	13.93	5.5	7.4	4.58	12.36	10.39	9.78	8.19	7.17	4.66	23.76	2.71	11.13	11.04	31.22	15.0	5.54	23.59	1.87	8.06	8.0	3.26	7.63	4.43	22.26	0.0	1.33	2.92	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.21	0.0	0.0
ARHGAP19	285.03	127.0	124.37	158.79	157.68	185.11	100.83	226.54	221.86	181.28	116.78	212.78	133.36	220.32	91.41	122.64	258.57	116.78	88.26	486.75	126.12	125.24	129.69	108.14	115.97	457.25	316.37	543.96	536.45	511.0	698.41	595.34	612.11	603.67	603.67	497.0	693.58	426.57	358.54	934.76	486.75	607.87	872.1	503.95	384.34	460.44	429.54	145.02	232.94	514.56	301.33	616.37	66.65	70.01	43.63	42.11	71.5	97.36	33.78	44.57	31.9	48.18	63.45	44.57	50.63	49.91	53.95	30.78	0.0
ARHGAP22	77.79	26.47	38.12	183.82	76.17	125.24	50.27	79.45	77.25	173.85	123.5	15.91	94.67	65.26	76.17	66.18	67.12	78.34	45.53	65.72	25.17	193.01	14.89	16.15	42.41	309.83	52.45	56.28	57.89	85.82	69.52	32.36	72.52	45.21	76.17	43.94	42.71	110.43	124.37	89.51	101.54	82.87	57.49	130.6	133.36	30.56	48.87	46.18	28.45	27.05	47.84	94.67	30.12	4.54	18.56	3.63	15.68	35.5	14.78	5.19	1.41	8.71	18.84	4.43	3.89	8.13	4.31	6.06	0.0
ARHGEF10	384.34	63.45	112.77	249.73	108.9	205.5	162.14	218.79	175.07	303.44	176.29	248.0	170.25	327.56	206.94	116.78	149.12	217.27	220.32	293.07	159.9	281.09	127.0	63.0	241.19	525.39	267.73	444.72	441.64	363.56	435.55	447.82	567.1	497.0	463.65	323.03	379.04	551.56	303.44	642.59	532.74	412.0	325.29	743.43	733.19	536.45	603.67	232.94	127.0	297.17	130.6	397.93	60.82	37.32	24.28	10.0	30.78	10.31	23.59	21.32	19.39	22.75	40.93	19.39	6.41	14.03	13.72	19.97	0.0
ARL13A	1.27	0.0	0.0	0.62	0.0	0.69	0.95	1.68	1.03	0.0	0.32	0.32	1.19	0.32	0.69	0.0	1.06	0.68	0.0	0.0	0.0	0.0	0.0	0.0	1.64	6.01	0.0	2.25	0.0	2.78	0.73	1.11	2.1	3.29	1.07	0.0	5.87	1.1	0.36	1.23	1.53	6.01	4.62	0.89	2.34	0.0	1.85	2.43	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BEND3	44.57	19.53	22.43	52.08	31.45	87.65	31.45	31.9	35.0	42.41	30.56	36.53	29.7	21.32	29.06	19.11	43.63	17.64	26.47	45.85	32.82	20.26	21.94	9.93	105.89	105.15	42.11	37.32	54.33	36.53	34.51	39.5	40.93	34.51	35.25	42.71	44.25	24.11	25.35	31.22	15.68	28.65	78.34	36.53	10.96	30.56	29.91	37.85	33.78	6.52	30.56	33.3	5.45	12.64	19.25	8.51	7.94	24.46	5.92	4.35	7.22	3.14	3.99	4.74	17.51	6.73	15.8	21.78	37.32
BOC	457.25	48.87	161.02	490.14	87.03	336.79	111.99	412.0	358.54	323.03	42.71	53.19	209.84	540.19	130.6	361.04	115.97	161.02	66.65	909.17	55.1	177.53	50.98	50.98	74.06	2240.11	967.76	1322.37	1233.75	1081.39	1322.37	1191.69	1059.11	902.89	1870.53	928.3	775.05	1477.58	1044.52	2537.92	1295.13	2133.97	1437.15	1498.22	1561.89	679.29	1991.0	591.22	1268.46	1259.69	547.75	1340.84	43.02	32.59	27.84	18.43	2.16	10.08	27.25	11.04	4.31	6.89	12.93	3.86	2.14	10.0	12.0	10.24	0.0
C20orf194	150.17	50.27	63.0	110.43	46.5	193.01	93.35	103.69	117.6	143.01	75.64	106.63	172.65	172.65	116.78	94.01	86.43	105.15	129.69	156.59	66.65	122.64	81.71	29.27	105.15	199.85	118.43	217.27	258.57	239.52	265.87	265.87	223.41	271.48	237.86	189.02	199.85	295.11	187.71	473.41	363.56	368.65	381.68	267.73	273.37	189.02	215.77	69.03	61.68	226.54	72.01	381.68	47.84	32.82	28.24	24.11	51.71	34.51	23.42	26.86	18.16	28.04	32.59	24.81	19.68	28.04	37.85	26.28	0.0
C2orf61	2.25	0.0	1.07	4.43	0.0	1.41	1.3	0.0	0.0	0.8	0.99	0.0	2.01	5.19	0.72	0.0	0.0	1.71	0.99	4.17	0.88	4.35	0.96	0.0	0.67	17.64	2.1	7.63	1.45	1.77	10.39	7.17	11.04	6.67	5.41	10.0	5.59	29.06	6.36	9.56	12.27	3.82	2.46	2.58	33.78	0.56	12.0	0.0	4.74	19.68	5.06	8.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	1.97	0.0
