	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E9.01B.11R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.11ZUS.2526.SM.59872	GTEX.X4EO.1126.SM.4QARQ	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.145MH.0426.SM.5LU8T	GTEX.13O1R.0826.SM.5J2MB
AC007390.5	536.45	872.1	1096.5	1191.69	1001.93	791.35	961.07	872.1	915.51	1001.93	988.12	503.95	466.88	195.72	409.15	351.14	738.29	307.69	248.0	343.89	289.02	813.63	995.0	1030.12	836.53	961.07	836.53	981.29	1023.0	995.0	748.61
AFTPH	1709.26	1259.69	1498.22	1175.27	1322.37	1119.56	902.89	941.27	988.12	928.3	1030.12	273.37	305.55	170.25	256.78	265.87	303.44	314.17	170.25	264.03	228.13	429.54	444.72	563.18	476.71	540.19	441.64	563.18	633.73	591.22	339.14
AMZ2	1936.53	1883.54	3419.52	2224.63	2351.53	2287.2	1844.76	1963.57	1991.0	1583.71	2555.58	688.78	759.08	551.56	884.29	775.05	909.17	346.29	457.25	277.2	316.37	1709.26	1397.83	2047.0	1594.73	1757.34	1651.0	1685.71	1662.49	2148.82	1037.29
BLZF1	1096.5	703.28	947.83	1167.14	718.08	836.53	470.14	447.82	480.04	497.0	836.53	136.19	136.19	55.1	113.56	134.3	61.68	104.42	44.57	115.16	73.03	275.28	205.5	303.44	255.0	309.83	242.88	307.69	329.84	339.14	305.55
BORA	130.6	85.82	75.64	107.38	80.01	95.34	90.77	93.35	110.43	133.36	137.14	35.5	23.25	8.85	24.81	31.67	24.46	7.57	2.63	15.0	6.41	59.13	67.12	55.49	63.0	64.8	62.12	69.52	71.5	67.12	68.07
BTRC	514.56	339.14	480.04	289.02	406.31	591.22	325.29	497.0	447.82	373.81	698.41	76.17	53.57	52.82	75.11	80.01	63.0	28.65	32.59	36.53	55.49	175.07	141.02	181.28	167.9	195.72	162.14	226.54	256.78	191.67	105.89
C11orf63	173.85	291.04	279.14	384.34	128.79	177.53	170.25	223.41	158.79	159.9	381.68	16.39	8.13	2.84	3.03	3.2	12.83	7.46	5.68	0.41	3.53	54.72	23.76	59.55	32.36	52.45	29.48	60.39	35.25	177.53	67.59
C1orf112	620.67	96.68	162.14	178.77	339.14	169.07	94.01	132.44	138.1	108.9	237.86	54.33	28.86	20.11	31.22	41.81	12.83	13.83	39.79	11.91	36.79	55.1	45.53	49.56	39.79	55.1	47.84	67.12	83.45	88.26	25.91
C1orf131	693.58	387.02	532.74	567.1	529.06	414.87	327.56	353.59	301.33	332.14	460.44	277.2	262.2	65.72	197.09	191.67	193.01	185.11	43.94	145.02	52.45	182.55	170.25	260.38	175.07	236.21	202.66	249.73	356.05	231.32	287.01
CAP2	759.08	108.14	759.08	128.79	748.61	511.0	301.33	384.34	343.89	325.29	571.05	55.49	34.26	28.45	38.95	50.63	27.84	56.28	17.77	14.45	41.52	521.76	108.14	232.94	103.69	309.83	167.9	224.97	167.9	244.57	39.22
CCDC117	780.44	616.37	961.07	529.06	543.96	480.04	432.53	511.0	555.41	384.34	567.1	299.25	209.84	201.25	325.29	283.05	248.0	194.36	264.03	137.14	167.9	237.86	253.23	356.05	237.86	334.46	327.56	327.56	249.73	255.0	262.2
CCDC132	860.08	379.04	395.18	409.15	532.74	473.41	480.04	400.71	503.95	460.44	551.56	105.15	78.34	47.84	97.36	99.43	79.45	53.19	33.78	50.63	47.17	205.5	149.12	206.94	183.82	214.27	169.07	193.01	381.68	283.05	145.02
CEP97	351.14	126.12	96.01	110.43	132.44	127.89	100.13	127.89	120.94	98.73	164.42	17.9	12.64	3.66	15.22	15.0	9.7	6.01	4.74	6.57	8.19	55.1	42.41	56.28	47.17	64.34	48.52	65.26	61.68	46.5	44.25
CEPT1	967.76	708.18	1088.92	764.36	620.67	1369.04	728.11	733.19	890.44	854.13	1277.29	409.15	432.53	480.04	376.41	409.15	447.82	366.09	384.34	387.02	218.79	414.87	363.56	441.64	511.0	507.46	417.77	460.44	470.14	486.75	387.02
CERS6	3018.3	954.43	1331.57	808.0	988.12	1781.89	660.68	718.08	638.15	607.87	651.58	115.97	123.5	75.64	94.67	125.24	41.22	85.82	183.82	91.41	72.52	356.05	339.14	341.51	532.74	587.13	571.05	579.04	285.03	339.14	161.02
CRLF3	397.93	149.12	159.9	156.59	253.23	183.82	228.13	255.0	295.11	297.17	363.56	73.54	59.13	35.76	44.25	62.56	40.36	45.85	25.17	37.32	24.28	85.22	52.45	93.35	75.64	102.25	66.65	80.57	133.36	114.36	63.89
CTCF	620.67	884.29	854.13	830.75	775.05	1088.92	748.61	825.0	854.13	884.29	909.17	301.33	234.57	234.57	269.6	264.03	325.29	202.66	159.9	195.72	246.28	497.0	444.72	540.19	435.55	583.07	483.38	532.74	525.39	612.11	384.34
DAXX	1183.45	1561.89	1322.37	1806.78	974.5	1883.54	1066.48	1304.15	1143.1	1143.1	836.53	532.74	454.09	242.88	301.33	264.03	329.84	521.76	232.94	669.92	356.05	813.63	819.3	791.35	656.11	728.11	665.29	813.63	728.11	860.08	808.0
DBNDD1	215.77	802.41	638.15	718.08	503.95	764.36	226.54	318.57	229.72	273.37	281.09	212.78	88.88	132.44	47.5	51.35	134.3	148.09	63.0	25.91	112.77	154.42	185.11	135.24	277.2	149.12	178.77	189.02	202.66	236.21	158.79
DENND2D	1008.9	1030.12	1883.54	1127.35	1096.5	1639.59	733.19	674.59	915.51	878.17	1073.91	356.05	332.14	417.77	205.5	224.97	343.89	307.69	136.19	1378.57	289.02	403.5	466.88	599.49	612.11	532.74	466.88	612.11	529.06	397.93	435.55
DENR	961.07	1059.11	1001.93	1159.07	902.89	1369.04	1051.79	1081.39	1233.75	1104.13	1487.87	346.29	316.37	212.78	341.51	318.57	287.01	220.32	175.07	260.38	123.5	708.18	679.29	819.3	665.29	775.05	684.02	759.08	764.36	753.83	514.56
FAM200A	215.77	182.55	249.73	194.36	217.27	220.32	211.31	178.77	193.01	190.34	325.29	72.01	33.3	12.64	42.11	39.22	71.5	15.8	34.02	22.92	11.64	111.21	119.26	139.07	137.14	195.72	130.6	177.53	185.11	172.65	100.83
FBXO28	1277.29	595.34	928.3	836.53	872.1	769.69	511.0	529.06	540.19	514.56	748.61	172.65	189.02	144.01	187.71	181.28	111.21	241.19	162.14	157.68	118.43	255.0	175.07	281.09	211.31	242.88	193.01	244.57	201.25	260.38	301.33
G3BP1	2119.22	2451.44	1977.24	2287.2	1721.16	3018.3	1551.09	1628.26	2119.22	2047.0	1781.89	563.18	620.67	583.07	708.18	819.3	507.46	836.53	830.75	1015.93	769.69	836.53	753.83	921.88	748.61	921.88	647.07	921.88	866.07	759.08	981.29
GABPB2	420.68	195.72	242.88	224.97	417.77	289.02	169.07	176.29	158.79	150.17	205.5	44.25	54.72	40.64	47.5	49.21	57.08	22.75	20.26	9.13	100.83	154.42	97.36	92.7	97.36	115.16	97.36	112.77	170.25	155.5	58.3
GIN1	217.27	142.01	175.07	214.27	126.12	158.79	181.28	182.55	157.68	155.5	221.86	83.45	43.94	18.56	93.35	55.89	68.55	14.03	25.72	23.76	29.7	111.99	85.22	131.51	102.25	119.26	103.69	100.13	121.79	151.22	102.97
GNPAT	1498.22	1051.79	1331.57	1477.58	1447.15	941.27	620.67	674.59	743.43	780.44	813.63	511.0	500.46	327.56	450.94	438.59	314.17	400.71	265.87	208.38	307.69	579.04	480.04	559.28	486.75	616.37	483.38	638.15	551.56	679.29	483.38
GOLM1	4239.45	6381.92	5995.9	5913.33	5255.91	5255.91	1936.53	2148.82	2018.8	1757.34	2133.97	356.05	209.84	271.48	142.01	198.47	82.29	88.26	56.68	497.0	96.68	241.19	693.58	638.15	224.97	183.82	201.25	305.55	1832.01	3716.2	981.29
