	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A1.A0SG.01A.11R.A144.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.E9.A1R6.01A.11R.A14D.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.B8.5552.11A.01R.1672.07	TCGA.44.3918.01A.01R.A278.07
CDIPT	1023.0	4210.15	3874.05	2855.44	3768.09	1617.0	2468.49	3235.01	3124.78	1540.37	3235.01	1909.85	3928.15	4769.75	2384.37	4903.87	2384.37	1950.0	1250.98	2777.33	3235.01	2468.49	2573.36	1883.54	2163.77	3372.43	2133.97	1819.35	2287.2	1540.37	1583.71	2075.59	1066.48	1427.22	1359.57	1437.15	2816.11	1250.98	2468.49	1617.0	1397.83	551.56
CEMP1	43.63	297.17	150.17	126.12	412.0	85.82	256.78	384.34	214.27	57.89	140.04	70.51	267.73	368.65	73.03	209.84	199.85	129.69	139.07	103.69	241.19	141.02	170.25	45.53	88.26	214.27	80.57	56.28	100.13	48.52	39.79	98.04	53.57	57.08	32.36	23.59	136.19	59.13	143.01	111.21	21.47	14.67
CHMP4B	854.13	8778.97	3901.01	4450.27	5403.7	1605.83	4671.57	6983.79	4704.07	4450.27	5076.84	4181.07	4298.64	4575.41	6037.61	7485.11	4769.75	5479.15	2997.45	4512.4	4671.57	3847.29	4210.15	3212.66	4575.41	5711.87	1781.89	1977.24	3257.52	2645.74	2796.65	2976.74	2664.15	2591.27	2664.15	5517.27	2701.35	3419.52	4358.66	2835.7	2816.11	1819.35
CLCN7	358.54	2075.59	1721.16	1225.22	3742.05	1167.14	1572.76	2367.9	1745.2	1127.35	1617.0	708.18	2104.58	3395.89	819.3	1936.53	1051.79	1208.34	1015.93	988.12	2032.85	764.36	1437.15	1088.92	1119.56	1378.57	571.05	555.41	974.5	395.18	796.86	1088.92	1081.39	575.03	348.71	518.15	507.46	366.09	808.0	642.59	620.67	339.14
CLN3	703.28	2555.58	3280.18	1407.55	5954.47	1572.76	2537.92	3257.52	3081.75	1208.34	2777.33	1529.73	4903.87	4358.66	1685.71	2645.74	2739.08	3443.31	2468.49	2018.8	2956.17	1674.06	3395.89	1127.35	1628.26	1991.0	769.69	878.17	1583.71	518.15	1104.13	1487.87	928.3	825.0	785.88	607.87	1340.84	1088.92	2090.03	995.0	866.07	236.21
DCTPP1	708.18	5517.27	3039.3	2935.74	2777.33	1127.35	2682.69	2163.77	1896.65	1259.69	3639.7	1159.07	1628.26	3349.13	3639.7	3794.3	3820.7	1594.73	1745.2	1819.35	2591.27	1225.22	1896.65	796.86	1540.37	2240.11	507.46	713.11	1167.14	764.36	854.13	769.69	1051.79	583.07	1143.1	2090.03	3564.78	896.64	2434.5	1143.1	1059.11	1208.34
DECR2	161.02	1388.16	559.28	928.3	796.86	275.28	961.07	1008.9	775.05	312.0	642.59	603.67	928.3	1088.92	463.65	688.78	825.0	251.48	392.44	493.56	775.05	283.05	854.13	171.45	669.92	836.53	293.07	262.2	301.33	111.99	403.5	575.03	500.46	229.72	204.07	346.29	423.61	193.01	612.11	397.93	77.79	186.4
DEXI	536.45	1923.14	1250.98	693.58	1104.13	595.34	1143.1	934.76	1051.79	435.55	1073.91	651.58	1487.87	1745.2	202.66	1023.0	1037.29	638.15	493.56	915.51	1111.82	825.0	1127.35	941.27	902.89	738.29	656.11	529.06	819.3	395.18	591.22	454.09	616.37	660.68	493.56	819.3	1407.55	525.39	1286.18	521.76	373.81	297.17
DNAJA3	400.71	1733.13	1781.89	1551.09	1794.29	607.87	2061.24	1331.57	1008.9	836.53	2148.82	718.08	1551.09	2287.2	954.43	1936.53	1277.29	1127.35	802.41	1216.75	1407.55	830.75	1216.75	633.73	981.29	1794.29	480.04	473.41	693.58	480.04	753.83	743.43	753.83	642.59	703.28	785.88	718.08	607.87	563.18	651.58	521.76	674.59
E4F1	197.09	2855.44	547.75	540.19	825.0	163.28	1111.82	1175.27	796.86	312.0	521.76	291.04	896.64	1378.57	301.33	703.28	708.18	397.93	305.55	346.29	688.78	381.68	563.18	226.54	490.14	684.02	87.65	84.63	231.32	71.0	189.02	371.22	262.2	186.4	167.9	228.13	353.59	85.22	363.56	244.57	94.67	56.68
