	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.A1.A0SG.01A.11R.A144.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.E9.A1R6.01A.11R.A14D.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.B8.5552.11A.01R.1672.07	TCGA.44.3918.01A.01R.A278.07
LMF1	164.42	1051.79	665.29	616.37	967.76	142.01	1008.9	974.5	723.08	287.01	457.25	426.57	785.88	624.99	305.55	1175.27	435.55	954.43	232.94	490.14	607.87	583.07	579.04	309.83	511.0	866.07	353.59	343.89	463.65	305.55	748.61	463.65	521.76	603.67	260.38	237.86	178.77	251.48	373.81	438.59	130.6	127.0
MAZ	3716.2	11035.54	6471.02	5041.77	10084.54	4639.29	6294.04	9945.68	5872.48	5403.7	8305.36	3955.48	8191.0	11504.21	4671.57	10296.45	5995.9	3742.05	5403.7	4869.99	7382.04	3820.7	7433.4	2701.35	5041.77	7280.4	1583.71	1617.0	3665.02	1561.89	1936.53	4095.0	2485.67	2915.45	1159.07	1909.85	4358.66	1104.13	4152.18	2956.17	1721.16	1540.37
MGP	221968.2	275175.93	998912.34	1139523.1	48643.87	659036.03	593956.43	329517.51	386469.83	736332.6	363097.14	623486.02	231394.29	194578.47	716197.51	126606.21	462789.59	546551.29	569761.05	1196176.45	228208.61	623486.02	246289.25	706337.4	687022.54	305326.92	38966.94	275175.93	800198.39	397335.0	598087.73	585779.24	1524599.69	496005.67	475800.4	869603.57	1100706.72	845824.19	1308968.45	614902.29	47974.16	6792.79
MGRN1	232.94	1407.55	909.17	830.75	1806.78	738.29	1477.58	1191.69	1066.48	521.76	1883.54	947.83	1295.13	1769.57	884.29	1909.85	961.07	842.36	753.83	836.53	1378.57	633.73	1216.75	624.99	287.01	1001.93	373.81	450.94	629.35	305.55	486.75	921.88	620.67	647.07	417.77	543.96	363.56	175.07	688.78	575.03	521.76	198.47
MLST8	144.01	2816.11	1745.2	1066.48	2119.22	842.36	1651.0	1950.0	1369.04	665.29	1498.22	753.83	1794.29	2451.44	723.08	2271.4	1313.23	1044.52	909.17	988.12	1923.14	872.1	1119.56	684.02	1359.57	1685.71	363.56	555.41	1044.52	389.72	540.19	775.05	559.28	529.06	514.56	587.13	1313.23	397.93	1286.18	780.44	329.84	47.5
MRPS34	612.11	10084.54	4388.98	3768.09	6121.9	1331.57	6745.86	5791.62	3235.01	1977.24	3847.29	2119.22	5147.73	6250.56	2591.27	4575.41	4181.07	2997.45	1977.24	3768.09	3768.09	2468.49	3325.99	1467.37	4123.49	4607.24	612.11	483.38	1498.22	336.79	1242.34	1295.13	1119.56	967.76	928.3	1259.69	3874.05	738.29	2555.58	1111.82	941.27	669.92
NAGPA	116.78	547.75	279.14	124.37	426.57	136.19	395.18	303.44	260.38	144.01	234.57	173.85	314.17	457.25	108.14	244.57	260.38	181.28	178.77	159.9	287.01	164.42	332.14	258.57	162.14	241.19	111.99	90.14	155.5	65.26	113.56	201.25	80.01	147.06	85.22	69.52	215.77	57.89	201.25	277.2	104.42	62.56
NARFL	249.73	1709.26	915.51	684.02	1268.46	287.01	1769.57	1242.34	961.07	426.57	1008.9	379.04	1030.12	2018.8	432.53	1051.79	902.89	884.29	624.99	693.58	813.63	483.38	769.69	314.17	551.56	909.17	220.32	244.57	457.25	214.27	473.41	507.46	642.59	395.18	228.13	323.03	507.46	273.37	551.56	450.94	224.97	281.09
NDUFAB1	1529.73	8247.98	5751.61	4388.98	4358.66	3982.99	4639.29	4972.34	2520.38	2335.28	5219.6	2367.9	4419.52	5041.77	4038.61	7589.61	6121.9	3589.58	2287.2	3589.58	3820.7	2777.33	3901.01	1806.78	4152.18	6207.38	2451.44	2367.9	2163.77	2367.9	1487.87	1487.87	2104.58	1628.26	2417.67	2997.45	5366.37	1936.53	3874.05	2148.82	1870.53	2816.11
NECAB3	457.25	2935.74	1073.91	872.1	1135.2	143.01	1191.69	2163.77	1044.52	1081.39	1088.92	454.09	629.35	988.12	1295.13	2976.74	759.08	872.1	633.73	974.5	967.76	348.71	775.05	208.38	2351.53	1135.2	234.57	242.88	563.18	153.34	629.35	733.19	656.11	244.57	269.6	150.17	253.23	215.77	928.3	265.87	100.13	129.69
NMRAL1	842.36	4095.0	2645.74	2240.11	2895.31	909.17	2417.67	2701.35	2163.77	785.88	2664.15	1216.75	2591.27	2739.08	1896.65	2451.44	1806.78	2090.03	1437.15	2434.5	1909.85	1437.15	2193.99	547.75	2061.24	1883.54	206.94	497.0	1208.34	507.46	967.76	1111.82	1096.5	1001.93	595.34	748.61	1617.0	703.28	1340.84	909.17	406.31	423.61
NPRL3	99.43	1313.23	1167.14	808.0	1191.69	559.28	1167.14	1350.18	1111.82	466.88	921.88	674.59	1350.18	1119.56	603.67	1572.76	607.87	642.59	521.76	872.1	1167.14	665.29	1030.12	511.0	583.07	1175.27	563.18	599.49	848.22	473.41	595.34	902.89	403.5	511.0	470.14	301.33	587.13	332.14	591.22	934.76	236.21	91.41
NSMCE1	1151.06	4639.29	4769.75	2119.22	3515.68	599.49	1896.65	2739.08	2573.36	1806.78	3982.99	1857.6	4210.15	4038.61	1662.49	4268.94	3372.43	3124.78	1832.01	2627.46	3419.52	1950.0	3395.89	1832.01	2664.15	2997.45	1242.34	1340.84	2287.2	1447.15	1639.59	1697.45	928.3	1572.76	2384.37	1561.89	6652.97	890.44	3081.75	2133.97	1369.04	738.29
NUBP2	454.09	6516.03	1909.85	1870.53	3325.99	441.64	3820.7	3280.18	2119.22	842.36	1508.65	1457.23	2609.3	3419.52	825.0	3168.41	2287.2	1127.35	1467.37	1369.04	1909.85	1286.18	1936.53	813.63	1447.15	2502.97	309.83	293.07	808.0	202.66	669.92	738.29	684.02	403.5	400.71	890.44	3212.66	208.38	1769.57	791.35	368.65	87.65
NUDT16L1	323.03	3039.3	1745.2	1051.79	2485.67	420.68	1721.16	1519.15	1487.87	802.41	1001.93	848.22	1733.13	3060.45	1331.57	1991.0	1757.34	954.43	1023.0	808.0	1662.49	995.0	1304.15	473.41	2004.85	1617.0	215.77	191.67	642.59	195.72	497.0	890.44	848.22	305.55	237.86	187.71	967.76	172.65	842.36	379.04	371.22	248.0
PAGR1	612.11	1806.78	2018.8	878.17	1709.26	563.18	748.61	1467.37	830.75	825.0	1286.18	559.28	1769.57	1757.34	860.08	1923.14	521.76	1037.29	995.0	651.58	1175.27	802.41	1295.13	409.15	1388.16	1896.65	239.52	327.56	748.61	307.69	220.32	718.08	457.25	497.0	450.94	256.78	660.68	256.78	403.5	414.87	429.54	218.79
PGP	53.19	981.29	490.14	323.03	723.08	149.12	796.86	493.56	241.19	218.79	242.88	173.85	346.29	447.82	177.53	463.65	193.01	206.94	208.38	135.24	356.05	144.01	305.55	154.42	305.55	435.55	86.43	127.89	145.02	87.03	137.14	90.14	114.36	87.03	87.65	101.54	132.44	63.0	218.79	57.89	107.38	92.7
PIGQ	198.47	3039.3	1662.49	1167.14	2935.74	320.8	2193.99	3124.78	1651.0	603.67	1572.76	748.61	2193.99	2240.11	878.17	1950.0	1519.15	941.27	825.0	1066.48	1551.09	819.3	1388.16	587.13	1388.16	1233.75	206.94	316.37	591.22	251.48	713.11	1066.48	651.58	620.67	244.57	381.68	536.45	155.5	825.0	400.71	420.68	77.25
POLR3E	583.07	1127.35	1331.57	802.41	1977.24	633.73	1059.11	1242.34	1477.58	764.36	1331.57	718.08	1936.53	2555.58	830.75	1819.35	1233.75	1143.1	785.88	854.13	1594.73	921.88	1127.35	563.18	988.12	1651.0	454.09	629.35	1015.93	607.87	967.76	988.12	1233.75	961.07	620.67	947.83	665.29	825.0	921.88	713.11	307.69	559.28
POLR3K	88.26	2609.3	1369.04	1111.82	1037.29	417.77	1487.87	1015.93	753.83	473.41	819.3	392.44	1104.13	1407.55	633.73	1594.73	679.29	836.53	381.68	656.11	902.89	483.38	679.29	316.37	884.29	1977.24	185.11	173.85	397.93	170.25	142.01	450.94	228.13	293.07	251.48	204.07	775.05	277.2	947.83	214.27	214.27	212.78
PRR14	155.5	1794.29	1183.45	579.04	1721.16	587.13	1242.34	1023.0	1233.75	587.13	866.07	808.0	1437.15	1639.59	728.11	1417.35	1508.65	612.11	629.35	961.07	1088.92	748.61	1369.04	429.54	1001.93	1111.82	420.68	473.41	651.58	395.18	595.34	575.03	463.65	595.34	444.72	341.51	813.63	253.23	743.43	587.13	251.48	248.0
PYCRL	150.17	1208.34	785.88	1268.46	848.22	155.5	361.04	723.08	511.0	249.73	486.75	273.37	708.18	1233.75	303.44	830.75	518.15	229.72	665.29	490.14	511.0	239.52	409.15	141.02	341.51	679.29	33.54	54.72	177.53	53.57	142.01	154.42	307.69	124.37	82.87	208.38	193.01	80.57	239.52	165.57	92.05	83.45
RAB11FIP3	228.13	1883.54	595.34	974.5	1191.69	251.48	860.08	1685.71	902.89	417.77	1583.71	532.74	1167.14	1498.22	665.29	1844.76	587.13	791.35	432.53	775.05	1151.06	567.1	1216.75	346.29	764.36	934.76	234.57	249.73	384.34	163.28	395.18	543.96	435.55	599.49	289.02	146.03	198.47	119.26	287.01	218.79	327.56	127.0
RAB26	63.89	1073.91	395.18	186.4	902.89	50.98	854.13	231.32	122.64	183.82	493.56	147.06	327.56	490.14	201.25	775.05	285.03	111.99	234.57	193.01	718.08	158.79	351.14	14.14	1216.75	532.74	1.33	32.13	60.39	18.16	67.12	58.71	215.77	141.02	42.11	14.24	96.01	20.11	97.36	49.21	14.35	19.39
RAB40C	165.57	2271.4	607.87	674.59	1233.75	199.85	1096.5	1304.15	934.76	246.28	967.76	320.8	1183.45	1487.87	339.14	1135.2	909.17	796.86	466.88	444.72	961.07	423.61	825.0	237.86	679.29	896.64	120.94	156.59	297.17	108.9	258.57	320.8	271.48	275.28	112.77	141.02	358.54	248.0	264.03	256.78	147.06	72.01
RABEP2	323.03	1073.91	540.19	620.67	1277.29	166.73	934.76	1259.69	1066.48	454.09	579.04	476.71	1143.1	1551.09	497.0	1191.69	995.0	684.02	441.64	723.08	743.43	435.55	775.05	307.69	599.49	796.86	45.53	72.52	297.17	49.56	490.14	633.73	309.83	299.25	201.25	255.0	273.37	209.84	563.18	392.44	175.07	73.03
RHBDF1	231.32	2400.97	1923.14	785.88	2255.7	532.74	1561.89	1407.55	1259.69	764.36	1819.35	780.44	1909.85	1745.2	947.83	981.29	1378.57	1572.76	825.0	1030.12	1651.0	915.51	1369.04	748.61	723.08	1331.57	521.76	780.44	909.17	693.58	854.13	842.36	1208.34	1151.06	884.29	518.15	389.72	679.29	616.37	529.06	336.79	164.42
RHOT2	316.37	5633.22	1378.57	1605.83	2645.74	540.19	3820.7	3665.02	2591.27	981.29	1819.35	1023.0	2319.15	3124.78	915.51	2417.67	2485.67	974.5	1388.16	1295.13	2319.15	1111.82	1963.57	743.43	1286.18	1745.2	351.14	361.04	703.28	312.0	728.11	651.58	902.89	902.89	693.58	947.83	1008.9	346.29	1277.29	872.1	463.65	223.41
RNF40	1135.2	4388.98	4066.71	3124.78	4836.35	2075.59	2739.08	2555.58	2178.83	1991.0	5041.77	1733.13	4481.23	5403.7	2075.59	5711.87	2627.46	2573.36	2178.83	2875.3	3515.68	2384.37	4152.18	1437.15	2502.97	3564.78	1242.34	1397.83	1991.0	1427.22	1685.71	2133.97	2537.92	2520.38	1268.46	1529.73	1135.2	2119.22	1295.13	1883.54	1191.69	1467.37
RNPS1	1044.52	8022.41	6381.92	4210.15	6699.25	4152.18	5791.62	6079.61	5219.6	2875.3	6164.49	2935.74	6381.92	8305.36	3303.0	6561.36	5366.37	3280.18	3325.99	3564.78	6607.01	3589.58	4769.75	2384.37	2997.45	6745.86	1709.26	2047.0	3820.7	2004.85	2104.58	2520.38	3081.75	1950.0	3419.52	6426.31	6516.03	2032.85	4607.24	3060.45	1617.0	1806.78
ROGDI	205.5	2384.37	2061.24	1487.87	2384.37	356.05	1844.76	1963.57	1651.0	947.83	1233.75	842.36	2537.92	3039.3	738.29	1709.26	1250.98	995.0	1081.39	819.3	1806.78	902.89	1870.53	967.76	1594.73	1322.37	106.63	287.01	780.44	175.07	1015.93	921.88	854.13	665.29	500.46	318.57	796.86	312.0	775.05	674.59	395.18	126.12
RPUSD1	131.51	2895.31	660.68	525.39	1151.06	327.56	1340.84	1059.11	703.28	253.23	575.03	366.09	961.07	1551.09	256.78	866.07	660.68	796.86	441.64	540.19	842.36	336.79	567.1	271.48	497.0	825.0	70.51	113.56	232.94	79.45	205.5	212.78	202.66	169.07	101.54	237.86	297.17	109.66	486.75	211.31	93.35	25.54
SBK1	55.89	339.14	142.01	27.44	567.1	229.72	173.85	808.0	182.55	52.82	387.02	41.52	563.18	379.04	66.18	312.0	63.45	172.65	389.72	41.81	275.28	151.22	412.0	11.91	124.37	180.02	2.23	24.81	94.67	28.04	67.59	94.01	76.71	63.0	14.45	28.04	55.49	29.27	78.89	48.18	20.56	25.54
SEPHS2	395.18	4802.93	5219.6	6294.04	4575.41	2209.26	3768.09	2224.63	1674.06	1977.24	6294.04	1519.15	4181.07	5112.16	4481.23	4736.79	2645.74	2451.44	1407.55	2163.77	3124.78	1540.37	2555.58	1199.98	1340.84	4358.66	743.43	974.5	1529.73	1096.5	647.07	1519.15	961.07	848.22	1551.09	848.22	1781.89	2451.44	4123.49	884.29	1388.16	1242.34
SETD1A	40.36	343.89	221.86	176.29	361.04	202.66	249.73	356.05	277.2	204.07	381.68	183.82	329.84	329.84	181.28	312.0	226.54	189.02	205.5	191.67	366.09	228.13	299.25	189.02	169.07	231.32	167.9	191.67	199.85	189.02	154.42	267.73	187.71	197.09	123.5	251.48	198.47	94.01	215.77	199.85	127.0	34.51
SMIM22	1594.73	30361.44	22535.88	14765.09	23820.89	638.15	10368.08	15824.9	7331.05	5076.84	15075.35	5913.33	13492.72	16960.78	10808.41	16611.71	12160.22	11992.79	4268.94	14765.09	9344.14	3614.55	14461.21	2682.69	10883.59	14561.8	0.0	698.41	3955.48	1015.93	2537.92	1508.65	1936.53	1350.18	1044.52	1685.71	3820.7	1208.34	4388.98	1583.71	1781.89	1427.22
STX4	444.72	2335.28	1350.18	1008.9	2119.22	665.29	1477.58	1745.2	1572.76	753.83	1447.15	1540.37	2240.11	1844.76	1159.07	1832.01	1529.73	1208.34	902.89	1051.79	1529.73	1151.06	1639.59	954.43	693.58	1350.18	571.05	579.04	764.36	381.68	988.12	974.5	860.08	1151.06	1733.13	1540.37	624.99	967.76	579.04	1233.75	480.04	785.88
TAOK2	656.11	785.88	551.56	536.45	1096.5	314.17	679.29	769.69	708.18	624.99	775.05	656.11	890.44	1044.52	629.35	1183.45	575.03	723.08	624.99	476.71	769.69	555.41	1001.93	426.57	540.19	759.08	376.41	334.46	409.15	204.07	339.14	555.41	312.0	511.0	420.68	275.28	228.13	236.21	341.51	536.45	363.56	177.53
TBC1D10B	343.89	1883.54	860.08	866.07	1572.76	493.56	1119.56	1286.18	896.64	638.15	1427.22	785.88	1487.87	1529.73	703.28	1583.71	1143.1	753.83	723.08	759.08	1066.48	738.29	1417.35	511.0	674.59	1073.91	351.14	406.31	547.75	346.29	450.94	660.68	454.09	607.87	351.14	327.56	551.56	316.37	348.71	532.74	339.14	379.04
TBL3	198.47	2739.08	1487.87	1096.5	2075.59	444.72	2468.49	2119.22	1388.16	629.35	1378.57	934.76	1977.24	2609.3	769.69	1857.6	1340.84	967.76	896.64	1551.09	1359.57	1015.93	1651.0	743.43	1023.0	1721.16	329.84	305.55	842.36	291.04	607.87	591.22	836.53	633.73	587.13	1030.12	1151.06	400.71	928.3	947.83	346.29	62.12
TELO2	115.97	2061.24	543.96	698.41	1151.06	232.94	2400.97	2777.33	1437.15	406.31	967.76	547.75	1437.15	1605.83	384.34	1044.52	1388.16	514.56	633.73	836.53	995.0	514.56	1111.82	336.79	511.0	866.07	107.38	153.34	336.79	84.63	511.0	559.28	660.68	171.45	108.9	244.57	299.25	149.12	674.59	466.88	129.69	47.84
TFAP4	97.36	314.17	297.17	217.27	267.73	163.28	327.56	583.07	387.02	228.13	256.78	202.66	426.57	579.04	121.79	473.41	373.81	161.02	134.3	226.54	397.93	307.69	376.41	164.42	339.14	384.34	78.34	64.34	193.01	49.91	186.4	264.03	237.86	135.24	83.45	211.31	132.44	178.77	182.55	234.57	143.01	43.02
TMEM186	201.25	679.29	693.58	429.54	785.88	293.07	514.56	466.88	503.95	241.19	733.19	234.57	769.69	1088.92	248.0	753.83	483.38	460.44	269.6	429.54	607.87	339.14	571.05	169.07	339.14	518.15	197.09	156.59	334.46	155.5	214.27	320.8	281.09	206.94	182.55	220.32	638.15	237.86	612.11	148.09	151.22	293.07
TMEM219	2645.74	7433.4	10959.3	5041.77	8191.0	3639.7	3515.68	3955.48	5913.33	4358.66	5711.87	4704.07	6745.86	8479.89	4419.52	7180.15	4268.94	5255.91	3794.3	5112.16	5441.3	4671.57	6250.56	3168.41	8078.22	5995.9	2935.74	3103.19	4802.93	2875.3	3443.31	3820.7	3847.29	3372.43	3639.7	2520.38	15392.14	2018.8	10296.45	4298.64	2591.27	2148.82
TRAP1	583.07	3349.13	2047.0	2485.67	2627.46	1135.2	4095.0	2915.45	1819.35	1030.12	2796.65	1104.13	2701.35	4639.29	1242.34	2417.67	1936.53	1594.73	1857.6	1819.35	2555.58	1199.98	2119.22	928.3	1950.0	2032.85	860.08	1008.9	1407.55	995.0	1233.75	1183.45	2682.69	1467.37	1066.48	2319.15	1111.82	693.58	1096.5	1427.22	616.37	896.64
TSR3	483.38	4419.52	1331.57	1617.0	2573.36	780.44	2875.3	2224.63	1745.2	848.22	1551.09	1208.34	1832.01	2434.5	934.76	2271.4	2061.24	1233.75	1096.5	1233.75	1388.16	1427.22	1651.0	896.64	1304.15	1745.2	518.15	363.56	759.08	258.57	547.75	753.83	723.08	651.58	872.1	660.68	2090.03	291.04	1151.06	842.36	525.39	154.42
TUFM	1519.15	12589.08	6426.31	3847.29	8305.36	2119.22	6381.92	7230.1	5791.62	3124.78	5219.6	3419.52	8718.32	9344.14	3235.01	7485.11	5479.15	4543.8	3419.52	5441.3	6164.49	4639.29	6207.38	2956.17	6250.56	6121.9	1883.54	1870.53	3372.43	1540.37	2537.92	2777.33	2739.08	2682.69	1397.83	3257.52	4152.18	1477.58	5479.15	1950.0	1963.57	1870.53
UBE2I	406.31	5292.48	3491.39	3235.01	4388.98	2758.13	4575.41	5366.37	2758.13	2351.53	4769.75	2400.97	5479.15	5441.3	2434.5	3257.52	3103.19	2591.27	2335.28	2720.15	4181.07	2855.44	3168.41	1757.34	2271.4	4152.18	1639.59	1745.2	2271.4	1936.53	1388.16	2400.97	2739.08	1437.15	1250.98	2434.5	2271.4	2178.83	2591.27	1857.6	1674.06	1572.76
WDR24	78.34	961.07	336.79	262.2	521.76	78.89	373.81	466.88	299.25	161.02	358.54	157.68	379.04	432.53	151.22	529.06	260.38	181.28	154.42	199.85	403.5	149.12	299.25	127.0	211.31	255.0	68.07	59.13	144.01	31.22	111.99	234.57	163.28	108.9	52.45	87.03	182.55	42.11	151.22	111.21	59.13	16.63
YPEL3	447.82	4543.8	4210.15	2047.0	8247.98	825.0	2075.59	3280.18	4010.71	1044.52	2935.74	1628.26	5479.15	4010.71	961.07	5594.3	3955.48	1651.0	1111.82	2682.69	4575.41	2555.58	2935.74	2573.36	1844.76	4066.71	1769.57	1540.37	2367.9	1437.15	3639.7	2701.35	1844.76	2417.67	1216.75	525.39	4869.99	764.36	4038.61	1832.01	651.58	473.41
ZNF205	111.99	808.0	277.2	307.69	684.02	86.43	603.67	743.43	567.1	287.01	295.11	299.25	647.07	848.22	241.19	607.87	514.56	214.27	242.88	285.03	384.34	285.03	525.39	183.82	295.11	476.71	59.55	58.71	157.68	48.18	211.31	316.37	154.42	181.28	69.03	169.07	271.48	82.87	228.13	260.38	81.14	26.47
ZNF213	66.65	713.11	830.75	429.54	1008.9	226.54	559.28	567.1	493.56	229.72	733.19	318.57	988.12	961.07	248.0	629.35	493.56	395.18	327.56	414.87	575.03	336.79	620.67	169.07	242.88	532.74	112.77	159.9	327.56	127.0	172.65	353.59	316.37	215.77	193.01	137.14	336.79	141.02	358.54	251.48	104.42	16.27
ZNF48	194.36	373.81	273.37	214.27	379.04	102.97	237.86	376.41	253.23	169.07	332.14	132.44	351.14	429.54	177.53	476.71	293.07	209.84	146.03	234.57	318.57	220.32	289.02	101.54	204.07	387.02	38.4	52.08	162.14	47.17	102.25	202.66	139.07	103.69	31.9	85.82	138.1	61.68	180.02	97.36	88.88	80.01
ZNF500	100.83	293.07	221.86	218.79	336.79	111.99	285.03	339.14	334.46	202.66	368.65	144.01	327.56	420.68	153.34	356.05	309.83	180.02	183.82	167.9	329.84	150.17	346.29	119.26	183.82	249.73	103.69	108.14	149.12	95.34	214.27	255.0	267.73	131.51	85.22	134.3	119.26	111.21	146.03	231.32	88.26	117.6
ZNF517	125.24	397.93	463.65	387.02	444.72	158.79	101.54	638.15	339.14	146.03	309.83	140.04	595.34	665.29	107.38	348.71	258.57	178.77	140.04	170.25	447.82	204.07	332.14	90.14	248.0	249.73	69.52	90.14	199.85	56.28	176.29	358.54	202.66	130.6	66.18	51.35	100.83	96.68	224.97	122.64	67.12	86.43
ZNF747	148.09	291.04	486.75	239.52	587.13	124.37	127.0	251.48	295.11	220.32	406.31	181.28	497.0	540.19	239.52	748.61	363.56	293.07	167.9	277.2	409.15	283.05	381.68	187.71	220.32	563.18	127.0	158.79	234.57	169.07	140.04	209.84	256.78	120.1	90.77	237.86	237.86	156.59	371.22	248.0	122.64	145.02
ZNF764	82.29	256.78	191.67	113.56	221.86	72.01	197.09	232.94	173.85	109.66	189.02	99.43	221.86	239.52	153.34	329.84	169.07	166.73	98.04	120.94	205.5	134.3	260.38	79.45	194.36	242.88	73.54	81.14	110.43	69.03	95.34	153.34	108.9	70.01	45.21	82.87	94.01	55.89	82.29	98.73	63.0	88.88
ZNF768	397.93	2485.67	1277.29	1044.52	2451.44	480.04	1427.22	2075.59	1651.0	651.58	1561.89	733.19	2133.97	2777.33	808.0	2255.7	1896.65	785.88	825.0	954.43	1331.57	988.12	1540.37	629.35	808.0	1447.15	334.46	361.04	775.05	325.29	616.37	915.51	878.17	583.07	262.2	273.37	769.69	414.87	819.3	674.59	301.33	267.73
ZNF785	181.28	150.17	248.0	118.43	309.83	66.65	198.47	329.84	269.6	194.36	289.02	123.5	267.73	397.93	183.82	497.0	241.19	137.14	125.24	158.79	249.73	221.86	271.48	124.37	166.73	271.48	64.34	108.14	152.28	88.88	147.06	289.02	171.45	191.67	63.89	81.14	131.51	81.14	99.43	111.99	65.26	176.29
