	GTEX.U3ZN.1226.SM.4DXUD	GTEX.SNMC.0826.SM.4DM66	GTEX.WYVS.1726.SM.3NMAY	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.12WSI.0226.SM.5GCNA	GTEX.UTHO.2426.SM.4JBHD	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.Q734.0326.SM.48U15	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13FTZ.0526.SM.5IJCW	GTEX.U412.0826.SM.3DB9K	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZYY3.0926.SM.5E454	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.111CU.0326.SM.5GZXO	GTEX.12WSE.0826.SM.5S2VL	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.RVPV.1726.SM.5SI8C	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.QDT8.0926.SM.32PL2	GTEX.ZDXO.1326.SM.57WBS	GTEX.U3ZH.0526.SM.3DB75	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.OXRP.0526.SM.2I3EW	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.145LU.0526.SM.5O9AT	GTEX.WK11.0526.SM.3NB3O	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.WVJS.0826.SM.4MVNR	GTEX.13OVL.0626.SM.5KM13	GTEX.QEG4.0526.SM.48TZD	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZE7O.3026.SM.51MS4	GTEX.13QJ3.2726.SM.5SI6L	GTEX.14BMV.2226.SM.5RQHX	GTEX.UPK5.2126.SM.4JBJK	GTEX.11ZTT.1726.SM.5EQL4	GTEX.11GSP.2426.SM.5N9BD	GTEX.WEY5.0726.SM.4LMID	GTEX.11EMC.1826.SM.5A5JT	GTEX.11ZTS.2326.SM.5EQMY
APPL2	438.59	493.56	1127.35	251.48	256.78	165.57	273.37	403.5	325.29	379.04	480.04	157.68	0.0	0.71	316.37	514.56	318.57	633.73	435.55	540.19	532.74	483.38	206.94	595.34	303.44	638.15	414.87	426.57	921.88	669.92	368.65	279.14	660.68	470.14	1437.15	473.41	154.42	381.68	620.67	500.46	289.02	450.94	271.48	466.88	591.22	226.54	555.41	674.59	224.97	738.29	607.87	713.11	521.76	279.14	403.5	376.41	587.13	500.46	629.35	518.15	830.75	738.29	287.01	825.0	1023.0
ARHGEF28	226.54	232.94	825.0	68.55	69.03	115.97	199.85	122.64	6.21	98.04	71.5	73.03	0.0	0.24	127.0	253.23	145.02	358.54	141.02	287.01	547.75	98.04	37.85	353.59	144.01	400.71	209.84	295.11	830.75	647.07	366.09	71.5	392.44	348.71	698.41	208.38	122.64	236.21	460.44	169.07	242.88	129.69	107.38	420.68	185.11	182.55	124.37	612.11	358.54	466.88	409.15	463.65	187.71	136.19	334.46	102.97	118.43	102.97	195.72	111.99	273.37	119.26	277.2	151.22	507.46
ARHGEF6	563.18	559.28	1340.84	93.35	84.04	39.79	163.28	356.05	19.25	60.82	118.43	16.27	123.5	81.14	769.69	1697.45	981.29	2645.74	890.44	813.63	2004.85	595.34	146.03	1208.34	915.51	981.29	866.07	1216.75	2004.85	1437.15	616.37	293.07	1781.89	559.28	2240.11	988.12	376.41	890.44	669.92	490.14	825.0	249.73	718.08	1250.98	698.41	633.73	1001.93	1242.34	366.09	1030.12	660.68	2193.99	2148.82	769.69	728.11	507.46	1806.78	759.08	884.29	974.5	429.54	295.11	287.01	303.44	363.56
ATG14	158.79	165.57	525.39	70.01	44.89	37.32	132.44	70.51	49.21	49.56	71.5	56.68	0.0	0.18	106.63	156.59	127.0	178.77	122.64	95.34	242.88	137.14	93.35	209.84	166.73	215.77	104.42	151.22	289.02	182.55	149.12	76.17	283.05	169.07	320.8	150.17	108.14	164.42	170.25	148.09	115.16	89.51	162.14	141.02	84.63	86.43	237.86	205.5	150.17	165.57	102.97	198.47	172.65	57.49	139.07	119.26	189.02	231.32	234.57	157.68	299.25	183.82	212.78	191.67	239.52
ATP8A1	124.37	112.77	229.72	21.47	22.59	5.23	52.45	43.94	9.48	13.93	17.38	10.63	0.0	0.49	738.29	395.18	206.94	1208.34	454.09	239.52	336.79	170.25	65.72	878.17	283.05	708.18	157.68	490.14	633.73	1175.27	441.64	76.17	633.73	82.87	974.5	346.29	128.79	329.84	718.08	285.03	108.9	47.84	52.45	368.65	260.38	154.42	921.88	273.37	68.07	486.75	141.02	579.04	536.45	241.19	348.71	57.89	182.55	199.85	100.83	123.5	145.02	514.56	113.56	287.01	450.94
CARF	115.16	61.25	255.0	38.95	22.26	9.13	43.02	47.84	21.63	26.47	40.36	9.56	0.0	0.13	63.45	129.69	85.22	149.12	76.17	23.93	138.1	33.54	33.06	183.82	108.9	149.12	52.08	142.01	199.85	187.71	23.76	39.22	218.79	82.87	201.25	80.01	13.03	54.33	123.5	55.89	57.49	70.01	49.91	115.16	100.13	45.85	82.29	118.43	42.71	135.24	84.04	167.9	88.26	52.08	41.52	30.78	137.14	157.68	206.94	126.12	162.14	112.77	92.05	185.11	163.28
CASD1	291.04	214.27	1674.06	140.04	92.7	73.54	228.13	169.07	108.14	93.35	115.97	109.66	0.0	0.54	303.44	395.18	285.03	1030.12	312.0	226.54	368.65	137.14	104.42	400.71	229.72	532.74	281.09	447.82	743.43	728.11	212.78	110.43	1044.52	343.89	909.17	353.59	83.45	271.48	373.81	150.17	176.29	220.32	172.65	305.55	273.37	289.02	486.75	432.53	187.71	497.0	336.79	603.67	366.09	195.72	237.86	175.07	813.63	547.75	457.25	409.15	397.93	780.44	224.97	825.0	921.88
CCDC82	339.14	463.65	713.11	177.53	163.28	68.55	291.04	220.32	169.07	127.89	162.14	71.0	0.0	0.68	616.37	591.22	587.13	603.67	540.19	607.87	748.61	785.88	371.22	674.59	283.05	567.1	297.17	500.46	830.75	674.59	356.05	361.04	2555.58	540.19	723.08	1066.48	327.56	583.07	854.13	409.15	351.14	236.21	603.67	660.68	603.67	473.41	521.76	1167.14	309.83	995.0	336.79	743.43	1051.79	450.94	476.71	947.83	698.41	791.35	403.5	429.54	669.92	567.1	368.65	674.59	1191.69
CEP57L1	88.88	115.16	277.2	104.42	90.14	31.67	157.68	204.07	52.08	80.57	106.63	30.78	0.0	0.29	102.97	343.89	169.07	164.42	246.28	82.87	217.27	72.52	50.63	320.8	218.79	325.29	297.17	329.84	351.14	277.2	189.02	80.01	314.17	154.42	206.94	277.2	85.22	159.9	275.28	115.16	153.34	137.14	107.38	226.54	178.77	145.02	96.68	198.47	156.59	291.04	214.27	309.83	161.02	115.97	150.17	68.07	387.02	356.05	441.64	275.28	297.17	269.6	111.99	275.28	299.25
CEP78	195.72	218.79	373.81	61.68	59.55	29.91	108.9	110.43	47.84	34.26	49.21	32.36	205.5	194.36	175.07	303.44	166.73	432.53	323.03	100.13	201.25	144.01	57.49	358.54	151.22	392.44	133.36	327.56	221.86	279.14	134.3	138.1	289.02	142.01	265.87	251.48	228.13	119.26	229.72	154.42	96.68	91.41	130.6	195.72	218.79	117.6	234.57	151.22	115.16	212.78	170.25	387.02	368.65	158.79	141.02	98.73	260.38	293.07	242.88	208.38	231.32	343.89	138.1	414.87	470.14
CLEC4F	22.1	10.47	58.71	6.89	4.5	0.39	13.72	11.73	1.66	0.99	14.45	3.79	0.0	0.0	26.28	27.25	7.34	51.35	23.25	5.77	44.25	8.99	4.1	31.0	12.36	37.05	29.27	12.64	33.54	36.53	44.57	34.02	84.04	43.94	31.22	65.26	15.22	24.28	33.78	20.41	21.47	10.47	0.0	41.52	21.47	9.13	9.41	48.18	8.13	67.12	44.57	28.86	44.89	24.63	17.13	2.36	28.04	20.56	30.78	27.84	22.59	52.45	14.56	20.86	110.43
CNTRL	256.78	156.59	429.54	76.17	43.32	14.45	135.24	143.01	80.57	24.99	77.79	67.59	0.0	0.59	111.99	318.57	214.27	447.82	293.07	127.0	356.05	124.37	111.99	389.72	94.01	384.34	262.2	429.54	441.64	403.5	170.25	135.24	579.04	226.54	521.76	251.48	115.16	150.17	366.09	209.84	80.57	164.42	161.02	170.25	212.78	153.34	511.0	358.54	152.28	387.02	228.13	500.46	162.14	105.15	186.4	60.82	130.6	205.5	244.57	152.28	325.29	214.27	113.56	406.31	348.71
DIS3L2	438.59	441.64	432.53	218.79	211.31	195.72	186.4	204.07	105.15	173.85	197.09	125.24	0.0	0.57	273.37	525.39	417.77	490.14	318.57	191.67	406.31	135.24	120.94	379.04	361.04	591.22	476.71	567.1	764.36	432.53	295.11	341.51	518.15	363.56	406.31	299.25	131.51	373.81	463.65	343.89	363.56	476.71	351.14	336.79	532.74	244.57	281.09	454.09	279.14	480.04	285.03	674.59	620.67	334.46	305.55	70.01	281.09	271.48	660.68	232.94	314.17	808.0	248.0	656.11	674.59
DMTF1	547.75	336.79	1191.69	246.28	148.09	31.22	312.0	460.44	246.28	151.22	353.59	185.11	0.0	1.16	1044.52	1066.48	713.11	1757.34	896.64	698.41	1030.12	934.76	400.71	1242.34	277.2	961.07	1001.93	1044.52	1674.06	1781.89	1127.35	860.08	2367.9	1127.35	2178.83	1437.15	974.5	638.15	1594.73	921.88	813.63	684.02	1073.91	967.76	1111.82	921.88	1639.59	1286.18	454.09	1477.58	738.29	1225.22	1407.55	954.43	764.36	802.41	1651.0	1896.65	1551.09	928.3	1268.46	1191.69	483.38	1286.18	1685.71
DOPEY1	241.19	162.14	457.25	64.8	56.28	39.5	126.12	54.33	72.01	43.94	62.12	45.85	0.0	0.58	175.07	239.52	144.01	435.55	132.44	171.45	204.07	217.27	94.01	329.84	90.14	220.32	229.72	166.73	351.14	334.46	228.13	125.24	242.88	255.0	454.09	406.31	105.15	202.66	444.72	178.77	149.12	103.69	325.29	175.07	194.36	158.79	314.17	248.0	208.38	307.69	120.94	361.04	201.25	162.14	208.38	100.83	260.38	406.31	403.5	146.03	281.09	220.32	148.09	387.02	521.76
ELMOD2	316.37	429.54	830.75	223.41	170.25	99.43	220.32	162.14	218.79	130.6	212.78	62.56	0.0	0.32	148.09	473.41	135.24	426.57	242.88	141.02	256.78	93.35	128.79	293.07	164.42	363.56	198.47	366.09	480.04	392.44	141.02	136.19	420.68	231.32	463.65	260.38	98.73	142.01	258.57	127.89	147.06	226.54	127.0	167.9	166.73	164.42	202.66	334.46	135.24	309.83	239.52	395.18	171.45	95.34	189.02	95.34	251.48	285.03	279.14	217.27	532.74	224.97	251.48	599.49	738.29
EXOC1	693.58	540.19	866.07	145.02	122.64	44.57	186.4	234.57	70.51	127.89	182.55	75.64	0.0	0.51	170.25	679.29	343.89	791.35	497.0	187.71	603.67	194.36	470.14	629.35	228.13	679.29	373.81	406.31	665.29	738.29	275.28	275.28	1135.2	356.05	1135.2	642.59	142.01	366.09	403.5	209.84	258.57	287.01	397.93	368.65	293.07	348.71	305.55	603.67	256.78	529.06	476.71	836.53	409.15	208.38	432.53	92.05	728.11	633.73	547.75	591.22	624.99	674.59	435.55	587.13	743.43
FRYL	476.71	438.59	723.08	131.51	120.1	46.18	141.02	220.32	122.64	108.14	128.79	41.52	144.01	121.79	511.0	733.19	450.94	1135.2	660.68	356.05	493.56	368.65	176.29	785.88	358.54	656.11	493.56	616.37	1059.11	599.49	497.0	253.23	733.19	529.06	780.44	559.28	341.51	441.64	540.19	371.22	599.49	231.32	518.15	371.22	366.09	327.56	1088.92	607.87	346.29	603.67	269.6	703.28	595.34	397.93	567.1	497.0	514.56	417.77	420.68	400.71	463.65	642.59	305.55	387.02	540.19
GLCCI1	265.87	220.32	759.08	23.93	39.5	41.81	142.01	112.77	10.88	54.72	66.18	13.83	0.0	0.32	232.94	1096.5	172.65	1397.83	457.25	138.1	353.59	135.24	83.45	518.15	353.59	679.29	379.04	555.41	529.06	1208.34	414.87	170.25	329.84	181.28	733.19	195.72	165.57	441.64	633.73	155.5	226.54	256.78	301.33	414.87	199.85	81.14	460.44	226.54	169.07	241.19	295.11	785.88	555.41	325.29	417.77	275.28	660.68	264.03	607.87	224.97	75.64	142.01	24.11	165.57	260.38
GOLGA1	256.78	180.02	447.82	156.59	148.09	96.01	153.34	194.36	131.51	164.42	156.59	107.38	0.0	0.52	66.18	265.87	176.29	309.83	145.02	72.52	220.32	112.77	105.15	267.73	147.06	244.57	155.5	226.54	191.67	275.28	144.01	86.43	363.56	217.27	373.81	197.09	61.25	131.51	177.53	137.14	127.0	171.45	124.37	136.19	111.21	123.5	214.27	314.17	224.97	201.25	220.32	366.09	169.07	85.22	118.43	32.59	297.17	297.17	293.07	251.48	224.97	138.1	204.07	316.37	346.29
