	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.B0.5691.01A.11R.1541.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.5187.01A.01R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.B8.4622.01A.02R.1277.07	TCGA.DD.A3A8.11A.11R.A22L.07
TRAPPC10	197.09	267.73	269.6	384.34	273.37	155.5	281.09	260.38	320.8	262.2	264.03	423.61	162.14	140.04	178.77	171.45	316.37	351.14	248.0	224.97	265.87	371.22	193.01	273.37	189.02	297.17	381.68	172.65	303.44	194.36	221.86	312.0	299.25	312.0	205.5	191.67	178.77	414.87	204.07	201.25	163.28	325.29	138.1
TRIM23	100.83	66.65	291.04	336.79	211.31	155.5	152.28	134.3	81.14	283.05	153.34	242.88	171.45	110.43	136.19	124.37	301.33	293.07	201.25	79.45	255.0	316.37	129.69	98.04	138.1	173.85	244.57	100.83	327.56	152.28	171.45	133.36	177.53	232.94	96.01	175.07	104.42	299.25	186.4	186.4	142.01	253.23	35.76
UBE3A	551.56	406.31	796.86	872.1	642.59	316.37	497.0	647.07	334.46	748.61	363.56	684.02	518.15	381.68	376.41	387.02	830.75	674.59	624.99	307.69	713.11	743.43	476.71	480.04	457.25	813.63	775.05	435.55	780.44	441.64	547.75	583.07	503.95	791.35	320.8	529.06	447.82	679.29	669.92	414.87	420.68	669.92	134.3
UBE4A	170.25	178.77	447.82	579.04	414.87	198.47	318.57	291.04	253.23	426.57	264.03	616.37	209.84	175.07	242.88	212.78	497.0	587.13	327.56	206.94	507.46	503.95	260.38	236.21	264.03	432.53	563.18	195.72	571.05	417.77	334.46	397.93	314.17	493.56	260.38	323.03	206.94	575.03	363.56	170.25	246.28	460.44	163.28
UBR2	162.14	138.1	316.37	373.81	312.0	162.14	260.38	269.6	124.37	336.79	128.79	368.65	181.28	142.01	177.53	175.07	395.18	395.18	244.57	135.24	320.8	387.02	228.13	158.79	194.36	273.37	426.57	175.07	429.54	253.23	214.27	271.48	256.78	389.72	151.22	301.33	178.77	384.34	285.03	127.89	144.01	299.25	121.79
UEVLD	264.03	151.22	348.71	353.59	241.19	214.27	189.02	231.32	158.79	332.14	228.13	363.56	183.82	111.99	182.55	150.17	346.29	271.48	242.88	140.04	267.73	351.14	175.07	157.68	153.34	271.48	271.48	148.09	309.83	229.72	190.34	312.0	271.48	320.8	138.1	195.72	209.84	325.29	246.28	156.59	122.64	277.2	52.45
USP16	361.04	395.18	490.14	679.29	406.31	287.01	403.5	463.65	397.93	514.56	403.5	500.46	403.5	325.29	291.04	379.04	473.41	518.15	432.53	376.41	633.73	503.95	381.68	480.04	371.22	575.03	629.35	376.41	511.0	454.09	406.31	571.05	426.57	536.45	366.09	361.04	417.77	642.59	514.56	480.04	224.97	529.06	81.71
USP25	529.06	289.02	454.09	529.06	348.71	208.38	303.44	373.81	343.89	403.5	285.03	420.68	236.21	158.79	309.83	236.21	435.55	447.82	295.11	242.88	607.87	476.71	258.57	320.8	293.07	466.88	493.56	231.32	444.72	363.56	323.03	412.0	256.78	473.41	209.84	343.89	287.01	521.76	301.33	258.57	122.64	371.22	105.89
USP46	703.28	71.5	145.02	212.78	153.34	76.71	127.0	77.25	43.02	140.04	69.52	191.67	87.65	74.58	118.43	74.06	164.42	186.4	151.22	55.49	116.78	199.85	83.45	85.22	87.65	113.56	108.9	52.82	223.41	102.25	85.82	134.3	170.25	141.02	50.63	152.28	75.11	122.64	115.16	75.64	65.72	147.06	21.32
USP8	503.95	305.55	587.13	866.07	547.75	241.19	500.46	473.41	289.02	629.35	285.03	723.08	409.15	293.07	291.04	318.57	718.08	688.78	518.15	258.57	665.29	674.59	323.03	366.09	291.04	684.02	693.58	256.78	764.36	444.72	332.14	514.56	423.61	708.18	293.07	432.53	392.44	651.58	547.75	224.97	269.6	633.73	105.15
