	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.B0.5691.01A.11R.1541.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.5187.01A.01R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.B8.4622.01A.02R.1277.07	TCGA.DD.A3A8.11A.11R.A22L.07
AASDH	94.67	63.89	148.09	171.45	125.24	71.0	79.45	112.77	59.55	156.59	60.82	148.09	73.03	72.01	77.79	98.73	155.5	159.9	116.78	76.17	178.77	145.02	106.63	53.95	92.05	149.12	155.5	98.04	161.02	98.04	92.7	96.01	88.26	126.12	69.03	97.36	73.03	119.26	119.26	44.25	55.89	117.6	60.82
ABI1	4704.07	543.96	753.83	974.5	769.69	642.59	607.87	693.58	309.83	872.1	435.55	1066.48	693.58	384.34	616.37	447.82	921.88	1111.82	748.61	392.44	813.63	961.07	547.75	503.95	555.41	934.76	1015.93	563.18	759.08	738.29	521.76	830.75	753.83	848.22	395.18	802.41	575.03	921.88	769.69	490.14	348.71	921.88	175.07
AKAP10	162.14	223.41	423.61	497.0	348.71	164.42	277.2	336.79	228.13	339.14	242.88	409.15	178.77	141.02	155.5	226.54	466.88	435.55	265.87	178.77	423.61	470.14	303.44	181.28	231.32	414.87	490.14	217.27	400.71	305.55	253.23	356.05	281.09	384.34	242.88	325.29	215.77	441.64	307.69	159.9	157.68	381.68	44.57
AKAP11	88.88	85.22	316.37	450.94	258.57	103.69	193.01	214.27	133.36	312.0	117.6	403.5	173.85	116.78	141.02	145.02	406.31	435.55	234.57	98.73	336.79	395.18	176.29	114.36	202.66	220.32	348.71	121.79	381.68	234.57	183.82	283.05	198.47	346.29	127.0	249.73	124.37	379.04	199.85	166.73	121.79	287.01	38.67
ALS2	45.53	98.73	193.01	264.03	178.77	113.56	142.01	156.59	127.0	175.07	163.28	260.38	112.77	128.79	114.36	162.14	236.21	229.72	150.17	132.44	157.68	279.14	153.34	108.14	133.36	194.36	229.72	128.79	244.57	89.51	144.01	162.14	214.27	221.86	138.1	172.65	116.78	189.02	162.14	118.43	104.42	199.85	185.11
ANKRD12	312.0	92.05	256.78	466.88	224.97	67.59	161.02	217.27	94.01	244.57	59.97	339.14	125.24	85.82	79.45	111.21	327.56	323.03	156.59	108.9	356.05	403.5	116.78	157.68	111.21	206.94	376.41	87.65	536.45	127.0	158.79	177.53	87.65	297.17	120.94	83.45	100.83	253.23	191.67	102.97	70.01	246.28	26.47
API5	842.36	540.19	1216.75	1208.34	1037.29	693.58	791.35	688.78	647.07	1242.34	583.07	1167.14	866.07	536.45	759.08	651.58	1216.75	1096.5	995.0	624.99	1037.29	1277.29	775.05	647.07	642.59	1268.46	1216.75	647.07	1322.37	974.5	748.61	902.89	830.75	1167.14	486.75	974.5	679.29	1111.82	1015.93	629.35	718.08	1044.52	543.96
APOOL	75.11	57.08	166.73	199.85	124.37	62.12	97.36	54.72	57.89	209.84	68.07	171.45	76.71	37.32	43.02	43.32	183.82	190.34	100.83	34.51	105.89	244.57	70.01	51.35	50.98	93.35	246.28	37.59	277.2	146.03	94.67	86.43	130.6	212.78	50.27	117.6	71.5	149.12	134.3	71.0	35.76	144.01	71.5
ARHGEF12	1662.49	563.18	1685.71	2090.03	1388.16	444.72	1073.91	1119.56	785.88	1639.59	872.1	2032.85	941.27	624.99	842.36	629.35	2018.8	1832.01	1208.34	571.05	1104.13	1844.76	848.22	813.63	961.07	1498.22	1437.15	629.35	1781.89	1304.15	1127.35	1457.23	1199.98	1662.49	688.78	1295.13	1151.06	1674.06	1216.75	656.11	909.17	1572.76	438.59
ARIH1	638.15	295.11	563.18	532.74	412.0	309.83	334.46	450.94	343.89	460.44	262.2	651.58	379.04	339.14	289.02	366.09	518.15	595.34	426.57	260.38	591.22	599.49	346.29	493.56	412.0	447.82	642.59	412.0	518.15	299.25	373.81	591.22	454.09	490.14	438.59	395.18	293.07	633.73	409.15	232.94	279.14	599.49	154.42
ARMCX5	150.17	111.21	182.55	166.73	136.19	120.1	172.65	122.64	169.07	178.77	105.89	163.28	122.64	97.36	118.43	141.02	157.68	181.28	146.03	81.71	189.02	217.27	119.26	88.88	142.01	208.38	195.72	88.88	195.72	204.07	135.24	187.71	314.17	218.79	136.19	139.07	136.19	194.36	180.02	71.0	141.02	147.06	81.71
ASH1L	152.28	96.01	275.28	500.46	325.29	82.29	205.5	221.86	127.0	348.71	162.14	412.0	153.34	97.36	148.09	119.26	406.31	384.34	199.85	128.79	366.09	476.71	212.78	139.07	151.22	368.65	473.41	105.89	587.13	249.73	187.71	348.71	189.02	351.14	139.07	185.11	158.79	329.84	285.03	126.12	127.0	273.37	24.11
ASXL2	199.85	70.01	206.94	403.5	194.36	69.03	120.1	108.14	68.55	201.25	79.45	260.38	96.68	64.8	86.43	90.77	314.17	246.28	138.1	69.52	164.42	366.09	99.43	88.88	82.87	183.82	305.55	68.55	332.14	139.07	135.24	163.28	155.5	229.72	61.25	150.17	87.03	208.38	133.36	56.28	91.41	202.66	23.25
ATAD1	323.03	336.79	738.29	791.35	679.29	343.89	466.88	525.39	75.64	713.11	460.44	620.67	587.13	327.56	406.31	361.04	743.43	638.15	624.99	279.14	688.78	808.0	392.44	473.41	423.61	543.96	651.58	329.84	796.86	466.88	417.77	571.05	563.18	753.83	251.48	583.07	432.53	836.53	595.34	470.14	351.14	587.13	297.17
ATP10D	205.5	142.01	551.56	493.56	297.17	170.25	187.71	253.23	109.66	361.04	99.43	514.56	209.84	153.34	215.77	264.03	521.76	480.04	336.79	175.07	312.0	483.38	273.37	182.55	279.14	353.59	463.65	262.2	460.44	178.77	209.84	358.54	159.9	457.25	199.85	339.14	191.67	376.41	223.41	125.24	115.16	305.55	29.7
ATXN7	271.48	87.65	136.19	197.09	249.73	71.5	102.97	175.07	110.43	152.28	77.25	201.25	70.01	55.89	75.64	73.03	173.85	249.73	122.64	82.87	185.11	279.14	101.54	100.13	75.64	176.29	327.56	125.24	181.28	129.69	109.66	224.97	127.89	146.03	175.07	100.83	72.52	256.78	102.97	96.01	111.99	198.47	52.82
BBX	74.06	189.02	669.92	612.11	493.56	215.77	312.0	244.57	146.03	529.06	201.25	529.06	253.23	98.73	244.57	164.42	854.13	591.22	438.59	220.32	275.28	928.3	336.79	273.37	264.03	808.0	698.41	191.67	1001.93	293.07	221.86	414.87	444.72	567.1	177.53	497.0	232.94	432.53	476.71	229.72	221.86	336.79	25.17
BMPR1A	146.03	68.55	242.88	351.14	185.11	116.78	95.34	167.9	66.18	228.13	65.26	248.0	100.83	57.89	154.42	94.67	256.78	244.57	161.02	47.84	287.01	341.51	112.77	84.04	123.5	171.45	152.28	80.57	332.14	147.06	127.89	189.02	164.42	256.78	66.65	170.25	88.26	194.36	150.17	64.34	78.34	234.57	33.54
BMS1	212.78	185.11	244.57	255.0	191.67	120.94	212.78	183.82	124.37	224.97	180.02	226.54	116.78	169.07	190.34	178.77	232.94	212.78	158.79	147.06	220.32	208.38	205.5	163.28	186.4	217.27	221.86	152.28	232.94	190.34	189.02	242.88	205.5	258.57	155.5	171.45	182.55	246.28	198.47	119.26	126.12	186.4	66.18
BOD1L1	167.9	332.14	384.34	656.11	514.56	143.01	329.84	441.64	204.07	540.19	195.72	647.07	199.85	183.82	301.33	275.28	457.25	532.74	432.53	295.11	583.07	532.74	283.05	307.69	234.57	555.41	665.29	256.78	518.15	305.55	327.56	397.93	438.59	463.65	366.09	209.84	348.71	483.38	529.06	152.28	215.77	438.59	31.9
BPTF	521.76	490.14	728.11	1030.12	693.58	201.25	555.41	620.67	392.44	802.41	397.93	1059.11	307.69	312.0	454.09	447.82	791.35	866.07	647.07	403.5	1059.11	961.07	603.67	460.44	363.56	819.3	1037.29	299.25	954.43	583.07	414.87	830.75	688.78	728.11	543.96	403.5	555.41	830.75	669.92	314.17	679.29	748.61	80.57
CASC4	397.93	909.17	2384.37	2255.7	1583.71	753.83	1191.69	1551.09	1175.27	1709.26	1417.35	1806.78	1407.55	884.29	1304.15	1081.39	1651.0	1923.14	1487.87	1044.52	1651.0	1806.78	1378.57	1233.75	1350.18	2018.8	1745.2	1857.6	2004.85	1127.35	1242.34	1487.87	1769.57	1883.54	981.29	1417.35	1183.45	2485.67	1487.87	2224.63	1417.35	1936.53	231.32
CCSER2	529.06	275.28	543.96	575.03	432.53	229.72	356.05	392.44	199.85	612.11	361.04	748.61	373.81	206.94	327.56	190.34	595.34	575.03	376.41	154.42	366.09	579.04	273.37	414.87	323.03	457.25	563.18	228.13	603.67	441.64	312.0	651.58	376.41	620.67	267.73	403.5	460.44	669.92	387.02	253.23	170.25	447.82	54.72
CD2AP	2664.15	191.67	595.34	854.13	698.41	346.29	575.03	454.09	220.32	791.35	211.31	684.02	409.15	285.03	358.54	316.37	748.61	802.41	651.58	129.69	612.11	728.11	373.81	264.03	412.0	713.11	612.11	320.8	819.3	647.07	460.44	483.38	559.28	928.3	232.94	463.65	356.05	759.08	543.96	293.07	193.01	723.08	55.1
CDK12	208.38	183.82	366.09	476.71	289.02	135.24	234.57	271.48	190.34	299.25	215.77	460.44	202.66	142.01	187.71	190.34	400.71	438.59	258.57	214.27	514.56	470.14	293.07	167.9	194.36	351.14	603.67	189.02	423.61	248.0	236.21	423.61	277.2	379.04	234.57	185.11	171.45	392.44	218.79	121.79	318.57	395.18	105.15
CENPC	220.32	98.73	148.09	223.41	139.07	56.28	124.37	190.34	76.71	150.17	56.68	214.27	83.45	69.52	94.01	98.04	195.72	206.94	109.66	161.02	289.02	201.25	125.24	89.51	96.68	167.9	239.52	114.36	224.97	96.01	106.63	177.53	89.51	214.27	132.44	85.82	80.01	232.94	135.24	58.71	79.45	145.02	16.88
CHD2	409.15	239.52	361.04	688.78	429.54	143.01	341.51	432.53	348.71	480.04	197.09	688.78	193.01	256.78	193.01	279.14	483.38	638.15	301.33	293.07	884.29	575.03	420.68	232.94	211.31	460.44	802.41	229.72	633.73	358.54	297.17	490.14	351.14	457.25	376.41	223.41	204.07	493.56	316.37	223.41	346.29	551.56	94.67
CHD9	265.87	151.22	497.0	733.19	387.02	255.0	212.78	291.04	180.02	420.68	209.84	444.72	229.72	132.44	172.65	201.25	595.34	543.96	297.17	148.09	529.06	438.59	269.6	199.85	191.67	616.37	483.38	165.57	642.59	289.02	316.37	417.77	205.5	500.46	186.4	220.32	246.28	414.87	307.69	169.07	139.07	336.79	50.63
CHIC1	17.25	63.0	181.28	218.79	140.04	69.03	120.1	116.78	88.26	152.28	92.05	194.36	102.25	74.58	81.14	85.82	198.47	202.66	134.3	57.89	146.03	189.02	81.14	99.43	93.35	153.34	197.09	74.06	223.41	177.53	114.36	144.01	258.57	189.02	103.69	158.79	88.88	217.27	111.21	115.97	62.56	169.07	6.52
CLOCK	260.38	81.14	205.5	273.37	154.42	125.24	133.36	103.69	61.25	191.67	87.65	258.57	129.69	58.71	186.4	94.67	291.04	236.21	127.89	77.79	112.77	239.52	111.21	136.19	134.3	248.0	205.5	151.22	246.28	120.94	124.37	198.47	189.02	251.48	97.36	148.09	111.99	229.72	142.01	85.22	91.41	208.38	14.67
CPEB3	217.27	19.11	55.1	66.18	47.17	16.88	53.57	50.63	24.63	43.94	15.34	59.97	28.86	21.94	12.93	37.85	64.8	55.89	33.54	23.59	58.3	62.56	29.48	19.53	25.72	24.28	60.39	20.11	59.97	32.82	36.01	47.17	21.01	64.34	26.28	51.35	29.27	59.13	46.84	18.84	11.38	45.53	73.03
CSNK1G1	348.71	76.71	170.25	212.78	147.06	102.25	141.02	89.51	82.87	189.02	91.41	211.31	87.03	89.51	83.45	96.01	198.47	189.02	141.02	60.39	129.69	182.55	119.26	97.36	100.13	154.42	187.71	78.89	191.67	130.6	96.01	124.37	98.04	177.53	74.06	147.06	89.51	144.01	131.51	74.06	88.26	177.53	17.38
CTDSPL2	137.14	115.16	392.44	547.75	343.89	140.04	229.72	267.73	163.28	503.95	119.26	438.59	269.6	114.36	137.14	148.09	441.64	559.28	303.44	108.14	409.15	473.41	193.01	187.71	199.85	397.93	460.44	185.11	444.72	258.57	214.27	309.83	229.72	389.72	171.45	387.02	198.47	420.68	279.14	165.57	162.14	392.44	37.59
CUL2	314.17	244.57	529.06	540.19	358.54	303.44	316.37	351.14	198.47	426.57	299.25	444.72	327.56	231.32	371.22	277.2	409.15	384.34	329.84	226.54	356.05	403.5	327.56	318.57	395.18	457.25	514.56	312.0	420.68	325.29	316.37	414.87	454.09	409.15	223.41	366.09	295.11	536.45	305.55	341.51	191.67	395.18	71.0
CUL4A	551.56	629.35	819.3	1015.93	836.53	503.95	684.02	1397.83	486.75	947.83	470.14	909.17	607.87	525.39	688.78	507.46	791.35	825.0	825.0	480.04	819.3	866.07	753.83	457.25	587.13	872.1	791.35	525.39	785.88	915.51	693.58	679.29	684.02	890.44	575.03	612.11	579.04	728.11	808.0	555.41	403.5	802.41	447.82
CUL5	104.42	111.21	351.14	414.87	283.05	154.42	206.94	218.79	205.5	307.69	157.68	361.04	186.4	130.6	175.07	172.65	358.54	316.37	281.09	121.79	256.78	348.71	186.4	157.68	170.25	309.83	295.11	170.25	366.09	253.23	187.71	275.28	173.85	318.57	117.6	236.21	154.42	246.28	253.23	165.57	102.25	312.0	77.79
CYFIP1	679.29	866.07	1674.06	1605.83	1388.16	954.43	1167.14	915.51	796.86	1651.0	718.08	1651.0	1183.45	915.51	974.5	743.43	1923.14	1594.73	1359.57	1051.79	1369.04	1467.37	1208.34	1030.12	928.3	1709.26	1359.57	780.44	1551.09	961.07	1037.29	1208.34	1001.93	1437.15	974.5	1583.71	1030.12	1950.0	1127.35	896.64	555.41	1331.57	476.71
DCAF16	88.26	97.36	205.5	281.09	209.84	66.18	158.79	189.02	129.69	231.32	69.03	265.87	127.89	126.12	101.54	169.07	221.86	279.14	173.85	140.04	255.0	361.04	183.82	136.19	131.51	198.47	420.68	122.64	356.05	116.78	177.53	242.88	176.29	224.97	177.53	115.97	129.69	231.32	251.48	74.06	111.99	195.72	32.82
DCLRE1A	131.51	88.88	148.09	153.34	99.43	83.45	112.77	128.79	84.04	131.51	113.56	108.14	94.01	66.18	120.1	72.52	150.17	119.26	123.5	70.01	99.43	120.94	92.05	81.14	88.26	147.06	115.97	107.38	135.24	132.44	100.13	103.69	97.36	139.07	66.65	118.43	100.83	138.1	133.36	81.14	91.41	125.24	41.22
DLG1	3467.27	264.03	780.44	848.22	559.28	483.38	514.56	476.71	563.18	587.13	497.0	860.08	397.93	182.55	379.04	323.03	708.18	780.44	503.95	387.02	575.03	890.44	376.41	591.22	414.87	1127.35	629.35	389.72	825.0	633.73	426.57	583.07	466.88	688.78	612.11	518.15	454.09	571.05	480.04	493.56	387.02	902.89	162.14
DNAJC27	21.16	31.22	89.51	119.26	83.45	30.78	74.58	74.58	37.59	108.14	29.27	110.43	63.0	39.5	29.06	60.82	114.36	108.9	63.89	43.02	161.02	111.21	68.55	36.01	40.93	81.71	161.02	47.17	118.43	73.03	52.45	85.82	65.26	98.04	37.59	57.08	36.01	100.13	87.03	37.59	52.45	88.88	10.31
DOPEY1	138.1	73.03	236.21	297.17	191.67	56.28	167.9	194.36	115.97	139.07	56.28	260.38	94.01	65.72	128.79	88.88	264.03	265.87	128.79	118.43	273.37	307.69	166.73	123.5	106.63	163.28	384.34	145.02	307.69	150.17	122.64	182.55	117.6	201.25	126.12	135.24	101.54	246.28	171.45	45.85	141.02	253.23	39.5
ERMP1	954.43	100.83	460.44	457.25	387.02	141.02	271.48	239.52	115.97	339.14	197.09	447.82	351.14	234.57	134.3	212.78	376.41	318.57	312.0	145.02	356.05	591.22	329.84	181.28	199.85	376.41	371.22	105.15	563.18	389.72	379.04	197.09	339.14	441.64	128.79	412.0	251.48	309.83	303.44	214.27	100.13	231.32	99.43
EXOC1	860.08	339.14	525.39	543.96	490.14	341.51	395.18	476.71	285.03	551.56	269.6	607.87	371.22	258.57	432.53	366.09	521.76	575.03	447.82	429.54	529.06	536.45	397.93	327.56	348.71	563.18	638.15	392.44	521.76	403.5	426.57	450.94	525.39	555.41	476.71	358.54	373.81	579.04	480.04	262.2	262.2	500.46	44.57
FAM76B	111.99	115.16	229.72	346.29	211.31	137.14	197.09	281.09	271.48	246.28	91.41	500.46	107.38	43.63	150.17	102.25	246.28	409.15	176.29	212.78	551.56	221.86	197.09	166.73	135.24	273.37	473.41	248.0	269.6	98.73	159.9	420.68	169.07	256.78	273.37	140.04	85.82	316.37	128.79	144.01	159.9	314.17	46.84
FAM91A1	444.72	215.77	718.08	470.14	525.39	336.79	334.46	447.82	332.14	486.75	301.33	656.11	323.03	249.73	432.53	368.65	679.29	656.11	429.54	339.14	441.64	559.28	420.68	332.14	392.44	543.96	555.41	397.93	583.07	351.14	379.04	476.71	638.15	591.22	260.38	403.5	228.13	525.39	353.59	332.14	329.84	555.41	135.24
FBXO38	525.39	320.8	466.88	583.07	376.41	305.55	325.29	409.15	279.14	373.81	348.71	540.19	234.57	237.86	244.57	336.79	595.34	579.04	339.14	366.09	480.04	587.13	423.61	325.29	384.34	543.96	708.18	332.14	616.37	327.56	301.33	551.56	363.56	547.75	332.14	334.46	291.04	591.22	518.15	414.87	305.55	460.44	167.9
FNDC3A	41.22	265.87	785.88	753.83	620.67	206.94	429.54	571.05	291.04	698.41	281.09	769.69	486.75	204.07	358.54	403.5	775.05	775.05	493.56	435.55	713.11	819.3	423.61	291.04	392.44	612.11	718.08	242.88	884.29	507.46	429.54	497.0	460.44	854.13	348.71	543.96	358.54	603.67	571.05	195.72	186.4	543.96	146.03
FRYL	595.34	264.03	532.74	633.73	463.65	264.03	397.93	376.41	246.28	507.46	211.31	656.11	325.29	309.83	361.04	339.14	703.28	624.99	395.18	295.11	447.82	591.22	426.57	325.29	457.25	599.49	624.99	400.71	616.37	318.57	339.14	457.25	1111.82	543.96	314.17	473.41	384.34	599.49	514.56	242.88	417.77	473.41	46.18
GANC	183.82	155.5	221.86	303.44	214.27	100.83	212.78	221.86	217.27	234.57	255.0	346.29	143.01	134.3	147.06	193.01	279.14	293.07	195.72	157.68	463.65	249.73	176.29	191.67	180.02	251.48	366.09	236.21	236.21	127.89	190.34	244.57	121.79	275.28	206.94	193.01	180.02	325.29	248.0	251.48	211.31	307.69	112.77
GCC2	221.86	198.47	412.0	669.92	414.87	181.28	277.2	291.04	186.4	363.56	211.31	571.05	134.3	163.28	202.66	312.0	563.18	638.15	264.03	246.28	813.63	656.11	299.25	214.27	214.27	463.65	733.19	214.27	688.78	332.14	246.28	395.18	239.52	463.65	194.36	178.77	197.09	665.29	249.73	191.67	343.89	444.72	21.63
GLIS3	0.0	130.6	320.8	441.64	346.29	84.04	176.29	303.44	195.72	368.65	78.34	346.29	285.03	98.04	101.54	126.12	297.17	426.57	211.31	103.69	579.04	463.65	275.28	118.43	153.34	518.15	651.58	128.79	460.44	220.32	224.97	191.67	305.55	363.56	150.17	205.5	155.5	497.0	307.69	283.05	28.45	239.52	32.59
GNL3L	90.14	84.04	199.85	265.87	108.14	63.45	88.26	88.88	62.12	145.02	81.14	211.31	63.0	53.95	66.18	56.28	228.13	237.86	90.77	50.27	88.26	208.38	108.9	56.68	78.34	150.17	220.32	38.67	186.4	132.44	108.9	181.28	171.45	191.67	71.5	96.68	74.58	145.02	111.21	47.84	53.57	149.12	36.27
GPATCH8	164.42	153.34	287.01	429.54	291.04	90.77	224.97	314.17	175.07	291.04	143.01	463.65	154.42	112.77	175.07	155.5	356.05	444.72	209.84	143.01	450.94	358.54	228.13	183.82	173.85	301.33	447.82	150.17	381.68	229.72	201.25	339.14	307.69	358.54	181.28	166.73	161.02	285.03	217.27	118.43	189.02	320.8	51.71
GTF3C3	147.06	189.02	379.04	463.65	301.33	242.88	228.13	241.19	237.86	301.33	172.65	457.25	197.09	134.3	211.31	211.31	351.14	307.69	248.0	234.57	387.02	490.14	215.77	173.85	187.71	318.57	381.68	183.82	356.05	157.68	232.94	325.29	305.55	285.03	221.86	260.38	162.14	312.0	234.57	198.47	320.8	346.29	81.14
HEATR5B	198.47	132.44	297.17	361.04	267.73	82.29	237.86	231.32	123.5	293.07	130.6	303.44	177.53	100.83	76.71	166.73	325.29	351.14	212.78	171.45	305.55	289.02	211.31	123.5	133.36	195.72	341.51	96.01	341.51	237.86	176.29	195.72	228.13	332.14	152.28	176.29	134.3	262.2	214.27	116.78	120.1	279.14	56.68
IMPA1	163.28	193.01	392.44	307.69	384.34	301.33	285.03	351.14	376.41	363.56	164.42	500.46	312.0	202.66	275.28	255.0	366.09	511.0	327.56	267.73	417.77	351.14	363.56	255.0	241.19	295.11	366.09	289.02	312.0	237.86	309.83	361.04	503.95	441.64	176.29	363.56	212.78	366.09	277.2	334.46	214.27	392.44	156.59
INTS2	57.89	55.49	147.06	171.45	102.97	51.35	86.43	87.65	62.12	135.24	76.71	180.02	67.12	43.32	49.56	57.49	178.77	181.28	105.89	46.5	142.01	142.01	75.11	55.89	61.68	87.03	134.3	51.71	156.59	79.45	78.34	115.16	75.11	128.79	66.65	94.67	71.5	111.99	88.26	30.78	72.52	124.37	21.16
IREB2	258.57	190.34	503.95	693.58	409.15	154.42	246.28	309.83	195.72	529.06	182.55	579.04	258.57	167.9	140.04	199.85	591.22	532.74	400.71	133.36	507.46	703.28	277.2	206.94	185.11	395.18	651.58	149.12	718.08	303.44	281.09	327.56	295.11	473.41	178.77	320.8	236.21	543.96	392.44	201.25	166.73	518.15	115.16
JAK1	759.08	1674.06	2816.11	3168.41	2520.38	1397.83	2075.59	2104.58	1066.48	2997.45	748.61	2758.13	2004.85	1350.18	1605.83	1159.07	2976.74	2758.13	2451.44	1088.92	1950.0	2627.46	1617.0	1583.71	1529.73	4802.93	2384.37	1096.5	2796.65	1819.35	1963.57	2609.3	1417.35	3060.45	1225.22	2875.3	2319.15	3190.46	2163.77	1540.37	1519.15	2271.4	791.35
KANSL1	1044.52	351.14	441.64	688.78	587.13	191.67	373.81	493.56	376.41	490.14	281.09	759.08	281.09	231.32	470.14	309.83	450.94	665.29	466.88	244.57	603.67	679.29	441.64	329.84	373.81	543.96	693.58	450.94	624.99	371.22	363.56	583.07	599.49	514.56	490.14	323.03	301.33	647.07	466.88	187.71	559.28	674.59	111.99
KAT6A	134.3	157.68	303.44	356.05	287.01	73.54	221.86	214.27	169.07	371.22	136.19	409.15	169.07	111.21	142.01	115.16	389.72	397.93	258.57	83.45	283.05	473.41	161.02	169.07	115.97	269.6	376.41	82.87	540.19	249.73	186.4	265.87	237.86	346.29	177.53	246.28	166.73	327.56	260.38	87.03	93.35	297.17	61.25
KAT6B	140.04	98.04	180.02	293.07	212.78	50.63	171.45	176.29	63.0	273.37	86.43	236.21	104.42	67.59	111.21	82.29	241.19	256.78	187.71	85.22	269.6	336.79	132.44	131.51	96.68	206.94	253.23	81.71	358.54	202.66	156.59	201.25	136.19	217.27	117.6	136.19	136.19	255.0	236.21	76.17	95.34	176.29	32.13
KCTD7	97.36	100.83	157.68	262.2	164.42	76.17	139.07	141.02	71.5	214.27	173.85	220.32	79.45	77.25	132.44	87.03	178.77	220.32	148.09	127.0	211.31	176.29	117.6	90.77	89.51	220.32	297.17	129.69	202.66	167.9	94.67	275.28	199.85	215.77	126.12	98.04	82.29	201.25	173.85	87.03	157.68	186.4	23.59
KIAA0196	575.03	414.87	660.68	503.95	688.78	507.46	616.37	559.28	579.04	647.07	403.5	638.15	417.77	540.19	679.29	454.09	698.41	651.58	703.28	511.0	559.28	698.41	486.75	480.04	447.82	708.18	679.29	507.46	633.73	647.07	500.46	536.45	665.29	708.18	334.46	529.06	423.61	703.28	555.41	518.15	486.75	684.02	242.88
KIAA1109	132.44	208.38	587.13	941.27	656.11	127.89	480.04	511.0	223.41	693.58	215.77	1208.34	297.17	262.2	269.6	429.54	780.44	785.88	457.25	291.04	830.75	674.59	476.71	303.44	293.07	629.35	1059.11	229.72	961.07	339.14	486.75	490.14	303.44	830.75	341.51	265.87	275.28	684.02	679.29	166.73	237.86	599.49	84.04
KIAA2026	101.54	89.51	228.13	262.2	190.34	65.72	117.6	190.34	101.54	185.11	78.34	248.0	106.63	57.89	86.43	81.71	256.78	255.0	142.01	101.54	212.78	275.28	105.89	111.21	108.9	244.57	289.02	69.03	218.79	132.44	137.14	205.5	111.99	226.54	125.24	92.7	129.69	273.37	145.02	70.01	84.04	171.45	17.51
KIF3A	53.19	57.08	142.01	177.53	91.41	59.13	110.43	111.21	76.17	103.69	83.45	154.42	29.7	67.12	57.89	92.7	170.25	198.47	105.89	88.88	126.12	148.09	141.02	90.77	98.04	91.41	206.94	103.69	147.06	79.45	108.14	164.42	114.36	164.42	85.22	102.97	43.63	142.01	104.42	87.65	47.5	135.24	9.13
LATS1	74.06	74.06	209.84	327.56	198.47	101.54	157.68	218.79	71.0	232.94	75.64	318.57	135.24	75.64	127.89	107.38	253.23	277.2	183.82	78.34	220.32	273.37	150.17	118.43	137.14	194.36	287.01	129.69	275.28	181.28	149.12	229.72	183.82	241.19	123.5	139.07	108.9	260.38	167.9	91.41	81.14	221.86	43.02
LRCH3	92.7	249.73	348.71	417.77	291.04	231.32	208.38	351.14	163.28	323.03	146.03	460.44	144.01	79.45	224.97	236.21	353.59	518.15	312.0	289.02	316.37	327.56	269.6	180.02	241.19	567.1	497.0	181.28	476.71	251.48	211.31	457.25	420.68	303.44	273.37	265.87	190.34	318.57	332.14	183.82	397.93	293.07	115.97
LRRC57	204.07	130.6	341.51	363.56	236.21	96.68	146.03	183.82	152.28	246.28	135.24	341.51	189.02	150.17	133.36	208.38	303.44	248.0	183.82	136.19	205.5	287.01	221.86	120.94	189.02	202.66	221.86	159.9	242.88	154.42	189.02	299.25	212.78	242.88	127.89	177.53	221.86	228.13	234.57	130.6	145.02	224.97	59.55
LRRCC1	57.49	82.29	62.56	183.82	146.03	96.01	82.87	69.52	112.77	93.35	110.43	130.6	41.52	71.5	75.64	111.21	176.29	113.56	67.12	75.64	177.53	161.02	66.18	56.68	66.65	182.55	162.14	82.87	118.43	101.54	87.65	140.04	82.29	108.14	59.97	78.34	43.94	190.34	136.19	62.56	54.72	95.34	0.83
