	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9ST.01A.11R.A42T.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.DK.A2I6.01A.12R.A18C.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.RA.A741.01A.11R.A33Z.07	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.VR.AA4G.01A.11R.A37I.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZT9W.2126.SM.51MSF
AC024940.1	0.0	0.55	0.28	0.58	1.19	0.65	3.92	0.35	3.72	3.29	0.79	3.08	0.93	5.06	1.48	2.41	0.4	4.39	1.83	1.71	0.91	0.32	0.0	0.0
AKAP9	127.89	244.57	172.65	267.73	323.03	392.44	759.08	356.05	500.46	941.27	429.54	921.88	329.84	1617.0	830.75	921.88	540.19	1030.12	518.15	414.87	490.14	267.73	0.0	514.56
ANKIB1	180.02	141.02	152.28	146.03	191.67	140.04	392.44	239.52	316.37	490.14	237.86	460.44	239.52	1001.93	412.0	470.14	314.17	607.87	299.25	246.28	264.03	73.54	305.55	195.72
ATL2	624.99	571.05	307.69	1037.29	1268.46	555.41	2178.83	1397.83	1519.15	2178.83	1051.79	1628.26	1397.83	5403.7	1794.29	1936.53	1561.89	2573.36	1295.13	1437.15	1594.73	267.73	0.0	651.58
BICD1	82.87	108.9	147.06	164.42	226.54	53.95	503.95	151.22	91.41	476.71	136.19	262.2	164.42	743.43	228.13	444.72	42.71	309.83	124.37	181.28	55.49	36.53	0.0	22.26
CALCOCO1	480.04	454.09	234.57	525.39	698.41	1199.98	4066.71	1059.11	3212.66	1662.49	967.76	2875.3	1447.15	2935.74	2163.77	2956.17	2573.36	2777.33	1295.13	1427.22	1757.34	507.46	0.0	854.13
CASD1	23.42	154.42	68.55	101.54	94.67	66.65	253.23	112.77	105.15	269.6	108.9	291.04	102.25	642.59	275.28	363.56	143.01	395.18	100.83	126.12	94.01	115.97	0.0	46.18
CDK13	253.23	159.9	267.73	406.31	299.25	295.11	748.61	447.82	529.06	660.68	429.54	842.36	486.75	995.0	708.18	785.88	595.34	599.49	525.39	466.88	587.13	178.77	0.0	392.44
CDK6	76.17	19.25	24.28	32.59	29.91	33.78	221.86	116.78	124.37	358.54	229.72	239.52	132.44	718.08	273.37	273.37	102.97	423.61	132.44	141.02	70.51	45.53	0.0	62.12
CHD9	67.59	35.0	92.05	35.0	120.94	173.85	460.44	242.88	248.0	307.69	175.07	387.02	205.5	366.09	353.59	406.31	260.38	395.18	220.32	256.78	242.88	45.85	0.0	155.5
CLASP1	116.78	120.1	100.83	132.44	115.16	149.12	830.75	277.2	447.82	567.1	269.6	571.05	379.04	480.04	466.88	473.41	514.56	718.08	373.81	368.65	454.09	70.51	454.09	248.0
CLDN12	176.29	229.72	127.0	170.25	126.12	206.94	543.96	389.72	438.59	543.96	497.0	642.59	409.15	1950.0	503.95	460.44	403.5	981.29	460.44	397.93	264.03	483.38	0.0	221.86
CNFN	1059.11	43.32	220.32	638.15	11035.54	890.44	9088.59	1567462.05	1238359.56	3419.52	971597.0	450134.56	1123834.93	672883.8	546551.29	64632.75	2965819.8	17078.76	1545882.32	726195.27	7719092.49	120.1	0.0	2011721.67
DDX5	5255.91	5329.3	5219.6	8718.32	7433.4	7280.4	15715.58	12076.21	11584.24	16496.96	3901.01	15285.81	10733.74	27363.16	15607.02	18431.96	7857.29	11504.21	9808.75	14561.8	7485.11	3928.15	0.0	3614.55
DLGAP4	825.0	1378.57	1073.91	872.1	796.86	967.76	2627.46	1583.71	1233.75	1583.71	1519.15	2163.77	1781.89	7537.18	1081.39	2835.7	836.53	1662.49	1175.27	2178.83	1023.0	848.22	0.0	612.11
DMTF1	132.44	441.64	212.78	237.86	343.89	312.0	1794.29	748.61	928.3	1583.71	490.14	1936.53	647.07	4152.18	1427.22	3794.3	1008.9	3257.52	819.3	866.07	748.61	212.78	0.0	128.79
EFCAB13	4.13	0.6	26.28	5.02	7.22	22.59	78.34	40.64	41.81	47.5	29.06	100.13	22.43	152.28	81.71	72.52	53.95	95.34	30.56	18.43	46.84	1.41	0.0	3.14
FAM21C	178.77	145.02	49.21	180.02	148.09	131.51	559.28	275.28	463.65	397.93	229.72	575.03	336.79	486.75	473.41	511.0	373.81	633.73	336.79	384.34	435.55	112.77	0.0	146.03
FAM26E	2.34	3.32	3.66	5.23	7.57	2.66	45.85	4.66	18.16	48.18	63.45	31.45	31.0	150.17	11.64	39.5	6.84	8.45	8.92	6.84	6.01	1.45	0.0	7.11
FOXO1	49.21	8.92	15.11	49.56	34.02	123.5	384.34	92.05	241.19	262.2	90.77	356.05	139.07	395.18	217.27	217.27	137.14	289.02	148.09	214.27	158.79	19.82	0.0	180.02
FRS2	63.0	97.36	43.94	44.25	102.25	81.71	214.27	100.83	175.07	165.57	88.26	246.28	113.56	647.07	197.09	262.2	135.24	251.48	125.24	146.03	131.51	36.79	0.0	64.8
GABBR1	30.56	75.11	57.08	273.37	176.29	173.85	1044.52	397.93	638.15	1605.83	283.05	884.29	555.41	915.51	796.86	2555.58	567.1	2148.82	353.59	848.22	518.15	9.27	0.0	15.91
GATAD1	150.17	253.23	198.47	154.42	180.02	265.87	591.22	246.28	339.14	785.88	387.02	612.11	262.2	1685.71	532.74	612.11	323.03	723.08	327.56	417.77	312.0	201.25	483.38	100.83
GJA1	50.63	2004.85	201.25	138.1	1250.98	819.3	9808.75	7032.37	2895.31	9673.69	1519.15	4298.64	3928.15	21172.91	4095.0	12943.04	3820.7	4769.75	2004.85	2720.15	3190.46	40.36	0.0	9876.98
GPATCH8	123.5	209.84	73.54	126.12	120.94	116.78	599.49	204.07	414.87	490.14	289.02	555.41	343.89	500.46	483.38	603.67	457.25	629.35	376.41	314.17	412.0	49.91	0.0	223.41
GPCPD1	91.41	59.97	128.79	77.25	101.54	118.43	1111.82	244.57	403.5	802.41	309.83	638.15	420.68	1909.85	612.11	1030.12	647.07	1127.35	567.1	351.14	414.87	36.53	0.0	146.03
