	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07
AASDH	145.02	154.42	205.5	202.66	253.23	199.85	163.28	226.54	172.65	186.4	150.17	215.77	122.64	215.77	121.79	214.27	232.94	140.04	130.6	141.02	109.66	159.9	167.9	153.34	155.5	55.89	81.14	45.21	71.0	57.89	76.17	66.18	72.01	79.45	60.82	62.56	69.52	0.0
ABHD17C	532.74	775.05	1540.37	748.61	1388.16	738.29	1015.93	1216.75	819.3	884.29	417.77	848.22	229.72	753.83	785.88	733.19	848.22	974.5	518.15	368.65	567.1	616.37	476.71	902.89	642.59	100.13	115.16	96.01	112.77	99.43	101.54	74.06	114.36	73.54	85.22	132.44	65.26	0.0
ABLIM1	1832.01	1628.26	2090.03	1757.34	1857.6	1896.65	1540.37	2915.45	1896.65	2061.24	1250.98	1870.53	954.43	2163.77	1477.58	2255.7	2090.03	1697.45	624.99	941.27	1313.23	1457.23	1487.87	2090.03	1572.76	466.88	283.05	339.14	287.01	244.57	426.57	191.67	251.48	158.79	144.01	197.09	169.07	0.0
AC018755.1	27.44	44.89	50.98	29.06	68.55	38.95	25.91	54.72	46.84	46.84	31.9	44.89	33.06	36.01	43.63	47.5	35.25	48.52	38.4	30.12	38.67	43.02	37.32	42.41	28.86	7.11	3.0	2.12	5.11	3.06	8.78	8.99	10.47	3.76	6.36	8.38	8.51	0.0
ACSS1	1225.22	1819.35	2367.9	1388.16	2796.65	2367.9	1674.06	2502.97	1721.16	2485.67	1088.92	2271.4	718.08	1605.83	1594.73	2287.2	1467.37	2417.67	1397.83	1199.98	1757.34	2573.36	1529.73	2351.53	1685.71	348.71	139.07	127.89	62.56	101.54	82.87	64.8	95.34	119.26	65.72	66.18	124.37	0.0
AK9	132.44	134.3	189.02	111.99	204.07	139.07	177.53	356.05	141.02	157.68	87.65	181.28	118.43	193.01	181.28	121.79	206.94	97.36	78.34	86.43	85.82	127.0	89.51	126.12	156.59	48.87	23.08	38.4	31.67	23.25	31.22	28.65	37.32	24.81	15.56	38.4	24.28	0.0
AKAP3	72.01	85.22	217.27	70.01	397.93	104.42	90.14	170.25	90.77	116.78	82.29	123.5	94.67	149.12	57.49	135.24	128.79	100.13	60.39	52.82	92.7	80.01	72.01	132.44	87.03	16.88	13.93	6.41	7.94	10.16	5.59	34.26	25.54	23.76	14.45	13.83	13.42	0.0
AKNAD1	0.65	7.22	9.06	5.77	22.92	1.22	3.38	19.11	11.82	1.25	0.0	6.62	0.0	5.28	4.78	4.21	6.11	0.39	2.63	4.94	0.39	0.37	0.0	0.82	5.19	0.0	0.0	0.0	0.0	0.0	0.46	0.0	2.61	0.0	0.0	0.0	0.0	0.0
AKTIP	967.76	1015.93	1832.01	995.0	1529.73	995.0	1191.69	1883.54	1216.75	1437.15	995.0	1199.98	928.3	1519.15	1397.83	1277.29	1151.06	1081.39	1208.34	934.76	884.29	1081.39	1151.06	1151.06	1096.5	414.87	500.46	728.11	463.65	753.83	447.82	444.72	514.56	387.02	387.02	514.56	571.05	0.0
ALG10	43.94	44.57	47.5	87.03	82.29	76.17	77.25	74.06	59.55	62.12	55.89	59.55	42.71	76.71	57.89	82.29	81.14	37.32	43.02	60.39	59.97	47.84	69.52	63.45	53.57	17.77	21.63	6.52	21.63	27.84	20.71	17.13	22.75	22.92	32.13	16.03	21.78	0.0
