	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13FLV.1126.SM.5J2NO	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.5375.01A.01R.1628.07	TCGA.50.5055.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5049.01A.01R.1628.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
SIVA1	248.0	1781.89	2148.82	2255.7	1674.06	3742.05	1806.78	1008.9	1216.75	1745.2	5913.33	9279.58	2178.83	3280.18	7485.11	11267.44	3589.58	121.79	3168.41	6699.25	6381.92	6840.04	8658.09	8658.09	8901.53	3372.43	1605.83	1023.0	1051.79	961.07	1242.34	1259.69	1350.18
SLC25A17	291.04	373.81	239.52	309.83	231.32	316.37	198.47	231.32	248.0	142.01	1259.69	1268.46	429.54	327.56	483.38	521.76	547.75	0.28	507.46	486.75	738.29	723.08	819.3	819.3	769.69	307.69	220.32	305.55	205.5	316.37	281.09	332.14	314.17
SMIM12	339.14	808.0	941.27	1030.12	802.41	1295.13	878.17	954.43	961.07	896.64	1870.53	3018.3	1135.2	1757.34	2417.67	1477.58	1519.15	334.46	1175.27	2119.22	2682.69	2303.12	1295.13	1295.13	3103.19	1936.53	1286.18	1359.57	1225.22	1561.89	1191.69	591.22	571.05
SNRPD1	1745.2	2664.15	1369.04	2061.24	961.07	1457.23	941.27	974.5	713.11	1066.48	5041.77	6294.04	2163.77	1639.59	6607.01	2935.74	2104.58	0.21	1561.89	4210.15	3690.52	3103.19	3303.0	3303.0	2555.58	4512.4	2537.92	1745.2	2303.12	1662.49	2591.27	1340.84	981.29
SNRPE	363.56	2997.45	2287.2	3325.99	1870.53	2335.28	1685.71	1286.18	1540.37	1651.0	6037.61	8718.32	3325.99	3467.27	11035.54	9945.68	6250.56	0.74	4010.71	7537.18	6887.62	6164.49	10154.69	10154.69	6983.79	5831.91	2193.99	2400.97	2739.08	2816.11	2367.9	2047.0	1605.83
SNRPG	2209.26	2796.65	2796.65	3540.14	2319.15	3639.7	2075.59	1359.57	1331.57	2090.03	16269.83	22850.48	3639.7	5183.54	24660.96	11664.82	5255.91	0.73	5633.22	12764.83	16611.71	11424.74	18560.17	18560.17	18052.61	6745.86	5517.27	2701.35	3928.15	3146.52	5041.77	2032.85	1540.37
STK16	307.69	764.36	669.92	599.49	633.73	642.59	660.68	620.67	802.41	575.03	802.41	1697.45	769.69	1350.18	1427.22	1135.2	1268.46	0.46	1167.14	2367.9	2417.67	854.13	1498.22	1498.22	2816.11	1159.07	525.39	791.35	872.1	854.13	633.73	441.64	490.14
TCEB1	529.06	3081.75	1896.65	2627.46	1909.85	2384.37	1896.65	1427.22	1143.1	1417.35	7433.4	6983.79	2240.11	3303.0	10883.59	6652.97	4419.52	0.74	3190.46	7130.55	7230.1	7485.11	2591.27	2591.27	5633.22	4937.99	3060.45	1832.01	2956.17	2609.3	4095.0	1477.58	1388.16
TIMM9	967.76	684.02	884.29	1104.13	669.92	796.86	693.58	808.0	665.29	607.87	2739.08	3103.19	1199.98	1127.35	3467.27	3955.48	1605.83	0.72	1407.55	2451.44	1936.53	1819.35	1388.16	1388.16	2400.97	2018.8	684.02	1242.34	785.88	679.29	1066.48	909.17	842.36
TMEM14B	1936.53	1572.76	1023.0	1167.14	1151.06	1208.34	1051.79	866.07	1096.5	748.61	2758.13	9088.59	1313.23	3060.45	9540.5	9088.59	3235.01	0.72	3443.31	8598.28	7180.15	3614.55	8134.41	8134.41	7589.61	2956.17	1119.56	1066.48	1199.98	1498.22	902.89	1259.69	1159.07
TMEM14C	1216.75	1662.49	1685.71	1923.14	1844.76	1806.78	1963.57	1437.15	1733.13	1437.15	4869.99	7803.01	2047.0	3768.09	12329.98	12160.22	4543.8	0.77	4181.07	11745.96	8778.97	4869.99	6607.01	6607.01	11504.21	6250.56	1427.22	2075.59	3081.75	2384.37	2816.11	1832.01	1896.65
TMEM18	748.61	753.83	624.99	473.41	571.05	688.78	693.58	660.68	638.15	540.19	1369.04	830.75	775.05	1199.98	2997.45	1721.16	878.17	0.51	842.36	1639.59	1268.46	2351.53	1936.53	1936.53	2915.45	941.27	703.28	775.05	521.76	587.13	579.04	660.68	612.11
TMEM208	329.84	1015.93	866.07	1096.5	718.08	947.83	775.05	896.64	1023.0	854.13	3874.05	3124.78	1498.22	1909.85	4869.99	3235.01	2976.74	0.48	2047.0	4239.45	4095.0	5517.27	2061.24	2061.24	4937.99	2209.26	748.61	1340.84	1304.15	1268.46	825.0	743.43	665.29
TMEM258	1447.15	3443.31	3419.52	3564.78	3280.18	3467.27	3303.0	3146.52	3081.75	2319.15	13123.73	8247.98	4328.55	6471.02	21320.18	7803.01	8363.13	0.93	7803.01	11035.54	13872.08	8538.88	8247.98	8247.98	10659.59	4802.93	3168.41	2915.45	3564.78	2997.45	2976.74	2777.33	2319.15
TMEM261	119.26	647.07	708.18	819.3	808.0	629.35	693.58	426.57	454.09	507.46	1119.56	1487.87	842.36	808.0	1242.34	1540.37	1175.27	0.46	1540.37	1498.22	1923.14	2032.85	2915.45	2915.45	2075.59	1073.91	503.95	486.75	371.22	563.18	381.68	603.67	612.11
TMEM42	104.42	287.01	208.38	228.13	253.23	228.13	239.52	234.57	214.27	214.27	660.68	616.37	236.21	426.57	543.96	486.75	463.65	0.17	486.75	1674.06	1519.15	603.67	728.11	728.11	1277.29	269.6	176.29	256.78	177.53	181.28	151.22	173.85	211.31
TOMM5	1628.26	2047.0	2271.4	2720.15	2061.24	2796.65	2047.0	1350.18	1313.23	1769.57	5329.3	4802.93	3103.19	3395.89	5479.15	4152.18	3103.19	0.77	3515.68	7032.37	5292.48	7032.37	6887.62	6887.62	6037.61	7537.18	1950.0	2209.26	1639.59	2240.11	2485.67	1487.87	1407.55
TPRKB	384.34	1088.92	941.27	1081.39	981.29	1175.27	915.51	753.83	674.59	599.49	2400.97	2224.63	961.07	1388.16	2468.49	2701.35	1096.5	0.51	1015.93	1447.15	1304.15	1697.45	1923.14	1923.14	1388.16	1936.53	1151.06	669.92	813.63	884.29	1096.5	860.08	759.08
UFD1L	836.53	1304.15	1870.53	1286.18	1540.37	2271.4	1437.15	1135.2	1119.56	860.08	4736.79	9808.75	2104.58	3039.3	4066.71	3039.3	2645.74	961.07	2351.53	4836.35	3257.52	4358.66	4450.27	4450.27	3564.78	3146.52	1594.73	1936.53	1388.16	1883.54	2335.28	1081.39	954.43
UQCC2	819.3	1857.6	1407.55	1819.35	1259.69	1733.13	1135.2	934.76	1066.48	1467.37	5791.62	13681.08	2287.2	3901.01	26248.46	37379.55	4066.71	0.52	4328.55	11424.74	9474.59	10368.08	9279.58	9279.58	10808.41	4704.07	2875.3	2502.97	2468.49	2956.17	2609.3	1015.93	836.53
UQCR10	791.35	4543.8	2555.58	1977.24	2417.67	2875.3	2555.58	2451.44	1991.0	1605.83	6381.92	9540.5	3639.7	4481.23	5329.3	6792.79	5219.6	0.56	4450.27	7485.11	6607.01	6887.62	6652.97	6652.97	7695.57	5751.61	3540.14	3820.7	4298.64	4358.66	4038.61	2400.97	1781.89
UROD	500.46	728.11	1540.37	1529.73	1096.5	1819.35	1208.34	890.44	981.29	748.61	3303.0	3257.52	1208.34	1709.26	2875.3	3540.14	2451.44	0.51	1832.01	4066.71	3901.01	3018.3	2061.24	2061.24	3614.55	1304.15	890.44	1594.73	1199.98	1467.37	1037.29	808.0	890.44
YRDC	209.84	406.31	226.54	353.59	185.11	384.34	301.33	336.79	346.29	587.13	1008.9	825.0	555.41	497.0	909.17	529.06	500.46	0.1	476.71	902.89	703.28	521.76	638.15	638.15	775.05	624.99	559.28	466.88	532.74	476.71	497.0	199.85	236.21
ZNHIT1	928.3	1277.29	1313.23	1508.65	1183.45	1417.35	1151.06	1059.11	1023.0	738.29	3716.2	3060.45	1594.73	2835.7	5183.54	9945.68	2855.44	0.85	2384.37	7180.15	6516.03	12415.75	4066.71	4066.71	6079.61	2997.45	1359.57	1331.57	1397.83	1199.98	1378.57	902.89	769.69
