	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13FLV.1126.SM.5J2NO	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.5375.01A.01R.1628.07	TCGA.50.5055.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5049.01A.01R.1628.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
MRPL11	450.94	1088.92	1447.15	1685.71	1277.29	1794.29	1143.1	769.69	753.83	769.69	3235.01	6294.04	1605.83	2209.26	3589.58	3742.05	2240.11	0.52	2193.99	3589.58	3847.29	5441.3	4639.29	4639.29	4419.52	3874.05	1331.57	1572.76	1225.22	1628.26	1757.34	764.36	703.28
MRPL13	381.68	1191.69	934.76	1233.75	842.36	1104.13	753.83	830.75	679.29	540.19	6337.83	4802.93	1242.34	1991.0	4298.64	4543.8	1709.26	0.37	1781.89	4066.71	4769.75	5872.48	3060.45	3060.45	3928.15	3372.43	1407.55	1119.56	1135.2	1167.14	1519.15	656.11	759.08
MRPL14	1051.79	2104.58	1427.22	1023.0	1088.92	1250.98	941.27	1044.52	819.3	825.0	4123.49	7966.99	1896.65	2384.37	6935.54	5292.48	2758.13	0.18	2451.44	5255.91	6037.61	2835.7	4095.0	4095.0	5329.3	2895.31	1896.65	1628.26	2178.83	1857.6	1883.54	698.41	629.35
MRPL16	497.0	791.35	693.58	866.07	607.87	967.76	688.78	514.56	638.15	543.96	2133.97	1119.56	974.5	1127.35	1832.01	1175.27	1143.1	0.41	1030.12	1594.73	1883.54	813.63	1088.92	1088.92	1417.35	1088.92	802.41	934.76	733.19	785.88	514.56	603.67	633.73
MRPL22	547.75	764.36	860.08	808.0	819.3	954.43	866.07	563.18	503.95	693.58	1225.22	2384.37	921.88	1388.16	3081.75	2384.37	1322.37	0.79	934.76	1733.13	2178.83	1963.57	1427.22	1427.22	1909.85	1909.85	884.29	872.1	830.75	656.11	909.17	928.3	796.86
MRPL40	201.25	1407.55	728.11	660.68	665.29	723.08	713.11	423.61	559.28	435.55	1794.29	2935.74	1059.11	1135.2	1378.57	1498.22	1447.15	0.27	1135.2	2255.7	2400.97	2591.27	1745.2	1745.2	2104.58	1870.53	988.12	1001.93	974.5	1397.83	830.75	633.73	547.75
MRPL50	201.25	175.07	177.53	195.72	140.04	163.28	148.09	183.82	127.89	103.69	759.08	466.88	277.2	251.48	642.59	376.41	392.44	110.43	236.21	423.61	521.76	470.14	412.0	412.0	480.04	412.0	178.77	152.28	144.01	208.38	180.02	166.73	195.72
MRPL52	713.11	3212.66	2555.58	3280.18	2645.74	4450.27	2591.27	2739.08	1991.0	2384.37	9606.86	15392.14	4010.71	6792.79	16843.62	23492.92	4419.52	1250.98	4639.29	10368.08	8134.41	12244.81	5479.15	5479.15	9279.58	6561.36	5633.22	4543.8	5183.54	4123.49	6699.25	1594.73	1427.22
MRPL54	162.14	1340.84	1183.45	836.53	1015.93	1135.2	1208.34	1208.34	1208.34	1127.35	2956.17	5913.33	2240.11	3820.7	5255.91	3303.0	3303.0	0.54	2303.12	3874.05	5672.41	4328.55	2255.7	2255.7	5913.33	4639.29	1508.65	2018.8	1561.89	2287.2	1844.76	995.0	796.86
MRPS15	1369.04	1331.57	1883.54	2090.03	1639.59	2224.63	1697.45	1268.46	1233.75	1199.98	5831.91	7695.57	2537.92	3280.18	5791.62	6337.83	3540.14	215.77	2739.08	5292.48	7032.37	4181.07	3794.3	3794.3	6207.38	4836.35	2367.9	2303.12	1936.53	2451.44	2627.46	1594.73	1467.37
