	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.BH.A0DT.01A.21R.A12D.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A25A.01A.12R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.BH.A0DK.01A.21R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A06N.01A.11R.A00Z.07	TCGA.A2.A0CV.01A.31R.A115.07	TCGA.BH.A0H3.01A.11R.A12P.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCB1	32.59	123.5	25.91	29.27	25.91	115.16	89.51	87.03	21.47	384.34	262.2	229.72	107.38	63.45	14.67	146.03	12.55	23.59	37.05	30.56	26.86	113.56	191.67	96.68	35.25	11.91	44.89	25.35	140.04	38.95	23.25	21.01	84.63	38.67	22.1	46.18	99.43	25.91	132.44	30.34	26.47	69.03	8.45	111.99	234.57	10.08	88.26	115.97	13.62	21.01	17.9	126.12	28.86	22.92	182.55	25.91	35.0	96.68	15.68	229.72	31.0	2.94	2.86	42.11	17.51	20.11	20.86	0.0	0.02
ADTRP	17.13	81.71	9.48	8.51	9.7	35.25	12.0	88.26	12.74	79.45	91.41	81.14	4.7	21.47	2.29	136.19	4.54	14.03	23.76	1.83	53.57	24.46	61.25	103.69	20.86	8.85	21.78	3.56	70.01	17.38	6.01	18.43	63.89	48.52	5.87	8.92	50.98	8.51	82.87	10.96	3.63	12.0	0.83	59.55	67.59	1.99	108.9	14.56	0.0	17.25	1.23	62.56	6.21	4.46	55.1	4.28	7.11	155.5	1.69	62.56	10.16	0.83	2.41	8.92	1.97	0.82	14.89	0.0	0.05
AL953854.2	1.04	25.72	2.03	0.72	0.46	26.47	4.43	20.11	0.4	45.21	102.25	56.28	5.77	4.86	1.35	34.26	0.45	3.66	6.62	0.42	0.0	5.36	11.38	16.03	2.73	0.44	9.34	0.39	8.65	2.92	8.65	0.43	22.43	3.96	0.43	2.25	20.11	1.81	16.51	0.77	5.02	16.15	0.39	15.68	18.56	2.53	31.22	18.97	0.0	3.79	0.43	6.62	4.54	2.03	22.26	0.72	9.48	24.28	0.4	30.56	2.51	6.78	0.39	5.19	0.4	1.87	0.78	0.0	0.35
ARHGAP20	7.28	45.21	1.93	3.35	7.46	57.89	5.54	22.75	3.29	86.43	61.68	24.46	4.66	9.85	4.54	24.28	4.46	8.19	8.51	2.61	3.14	25.35	48.87	18.97	8.0	4.03	7.57	3.23	17.0	9.48	10.79	4.24	73.54	26.1	6.84	5.92	17.77	6.31	17.51	6.41	5.19	20.26	1.51	20.56	37.32	3.03	16.75	53.95	1.01	8.78	3.59	23.93	4.39	8.71	48.87	6.31	4.86	11.13	1.25	39.5	10.63	0.92	0.33	7.82	3.0	1.79	14.89	0.0	0.32
BACH2	6.11	29.48	4.74	4.54	10.88	42.41	5.23	25.17	4.43	81.14	55.89	57.89	14.35	18.29	3.06	53.57	7.46	10.31	25.17	3.56	3.14	25.54	52.08	24.46	7.4	4.03	4.17	1.79	36.53	10.55	12.93	7.4	40.93	18.16	6.52	5.59	28.86	3.06	55.49	4.24	3.86	9.27	0.64	19.68	40.36	5.06	76.17	42.41	1.33	6.52	1.35	28.65	3.79	6.31	56.28	10.96	4.86	16.88	2.43	68.07	6.67	1.2	0.61	8.45	1.23	0.62	15.22	0.0	0.3
BAI3	0.95	3.5	0.96	0.62	0.39	6.94	3.23	3.08	0.61	16.63	6.36	3.76	3.59	0.69	0.0	4.13	0.37	2.53	0.74	0.35	0.0	4.1	6.06	2.1	2.25	0.37	0.35	0.89	2.94	5.06	0.39	0.0	5.54	0.78	0.68	1.07	5.5	0.69	4.43	9.13	4.46	5.19	0.0	3.38	2.46	0.33	1.79	7.57	0.0	3.56	1.31	4.35	0.34	0.0	10.55	1.22	1.22	4.9	0.62	4.7	0.69	0.0	0.31	3.11	4.39	0.6	2.32	0.0	0.25
BHLHE41	82.87	738.29	63.45	158.79	267.73	947.83	135.24	486.75	185.11	2434.5	1250.98	981.29	104.42	224.97	132.44	1225.22	127.0	323.03	209.84	18.56	55.49	244.57	813.63	507.46	197.09	108.9	206.94	47.17	854.13	201.25	162.14	175.07	791.35	406.31	123.5	130.6	303.44	191.67	1015.93	180.02	127.0	660.68	43.94	559.28	842.36	74.06	620.67	318.57	47.84	152.28	80.01	995.0	55.49	120.1	1104.13	101.54	121.79	1059.11	81.71	2047.0	185.11	4.58	15.68	297.17	40.07	87.03	376.41	0.0	0.21
BOC	87.03	470.14	35.76	67.59	117.6	624.99	122.64	371.22	93.35	1417.35	961.07	387.02	108.14	147.06	32.36	583.07	67.12	116.78	140.04	17.0	53.19	251.48	872.1	329.84	100.83	57.49	77.79	87.65	314.17	105.89	112.77	77.25	332.14	265.87	77.25	106.63	373.81	47.5	384.34	48.52	59.55	318.57	5.87	647.07	417.77	70.01	291.04	480.04	46.5	115.97	26.47	303.44	127.0	55.49	890.44	92.7	149.12	339.14	54.72	638.15	124.37	20.41	66.18	172.65	20.41	13.42	113.56	0.0	0.48
C10orf105	1.83	2.81	0.64	0.0	1.07	2.61	0.34	2.76	0.3	3.79	5.36	4.13	0.34	1.68	0.61	4.86	0.69	0.0	0.37	0.33	0.29	0.69	4.7	2.1	0.65	0.34	0.0	0.3	1.11	0.0	0.72	1.95	2.12	0.0	1.31	0.71	3.14	0.67	1.38	0.0	0.36	1.55	0.0	1.36	1.41	0.6	4.28	2.12	0.96	0.0	0.33	1.69	0.0	0.64	2.61	0.31	0.0	0.34	0.0	6.94	0.68	0.3	0.0	0.0	0.3	0.58	0.67	0.0	0.22
C2orf40	6.52	642.59	23.76	14.14	5.11	267.73	103.69	277.2	25.91	1628.26	547.75	555.41	82.29	44.25	2.86	753.83	2.18	89.51	29.7	0.0	1.53	47.84	698.41	186.4	33.3	6.46	64.8	12.74	186.4	62.12	18.97	1.41	297.17	117.6	3.72	47.84	51.35	16.88	703.28	15.45	39.79	271.48	0.99	454.09	651.58	10.79	175.07	141.02	5.23	9.27	3.38	341.51	20.41	17.77	490.14	7.06	62.12	688.78	3.72	620.67	94.67	7.06	0.0	37.59	7.22	0.97	6.41	0.0	0.19
