	TCGA.BP.4798.01A.01R.1305.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11GSP.0626.SM.5986T	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	TCGA.55.6985.11A.01R.1949.07	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.S7SE.0926.SM.2XCD6	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13NZA.1426.SM.5KM4Y	GTEX.W5X1.0526.SM.3GILH
AGTPBP1	181.28	19.39	89.51	46.5	40.64	42.71	33.3	34.02	59.55	46.18	503.95	397.93	1143.1	256.78	429.54	366.09	297.17	547.75
ALKBH8	94.01	20.11	35.5	40.07	47.5	52.08	18.29	42.71	40.64	59.55	111.99	129.69	137.14	169.07	191.67	143.01	75.11	143.01
ALMS1	267.73	37.32	116.78	53.19	53.19	124.37	92.05	57.08	103.69	123.5	269.6	275.28	193.01	258.57	438.59	327.56	178.77	156.59
AMN1	209.84	43.94	45.53	94.01	61.25	102.97	92.05	45.21	34.51	67.59	205.5	204.07	450.94	180.02	426.57	232.94	159.9	164.42
ANKRD13C	241.19	48.18	138.1	81.71	75.11	118.43	117.6	142.01	110.43	149.12	249.73	287.01	379.04	226.54	423.61	260.38	175.07	307.69
APOA1	4.17	641014.63	2.009035788E7	1.228163998E7	5199709.96	8330662.65	4.21783688E7	1.491230465E7	6269851.18	1.307221145E7	27.25	35.25	7.4	4.98	25.17	44.89	34.02	16.51
ARL6	132.44	18.97	77.25	35.0	30.34	48.52	18.43	47.84	29.48	39.5	191.67	329.84	334.46	209.84	341.51	351.14	228.13	336.79
ARMCX1	223.41	21.32	212.78	12.74	34.26	110.43	87.65	111.99	44.89	90.14	466.88	1191.69	753.83	595.34	1037.29	1151.06	361.04	981.29
ATF7	551.56	155.5	283.05	181.28	125.24	301.33	226.54	281.09	204.07	397.93	629.35	656.11	1340.84	896.64	1119.56	825.0	733.19	878.17
CASQ2	35.25	1.31	21.78	2.41	0.66	11.64	3.76	4.86	4.46	9.63	123.5	145.02	371.22	50.63	476.71	90.14	47.5	62.12
CD2AP	432.53	55.1	221.86	181.28	134.3	267.73	231.32	141.02	122.64	229.72	470.14	718.08	1081.39	483.38	1143.1	836.53	264.03	796.86
CNBP	5041.77	4095.0	6745.86	7857.29	7230.1	7642.41	4543.8	6745.86	7081.29	7537.18	8479.89	10883.59	13872.08	8598.28	13968.57	8901.53	7537.18	7589.61
CTCF	633.73	234.57	309.83	215.77	271.48	297.17	229.72	262.2	293.07	289.02	612.11	878.17	1104.13	713.11	775.05	780.44	791.35	674.59
CTNND1	2119.22	1044.52	2384.37	954.43	665.29	1369.04	967.76	1295.13	988.12	1208.34	2777.33	7749.1	8901.53	3060.45	6121.9	6840.04	3443.31	3146.52
DENND6A	211.31	48.52	104.42	67.12	43.02	104.42	88.88	79.45	82.29	96.68	256.78	387.02	438.59	429.54	414.87	403.5	275.28	339.14
EDEM3	320.8	118.43	373.81	289.02	191.67	237.86	320.8	241.19	224.97	226.54	435.55	454.09	476.71	332.14	476.71	511.0	334.46	414.87
ENAH	329.84	37.85	242.88	96.68	98.73	152.28	125.24	180.02	132.44	138.1	764.36	1467.37	860.08	1044.52	1051.79	1286.18	612.11	1030.12
EPHA4	112.77	8.85	25.72	5.28	14.24	51.35	16.63	48.18	8.58	29.91	164.42	392.44	679.29	376.41	775.05	444.72	483.38	363.56
ERCC6	76.71	14.24	127.0	53.57	43.02	37.59	19.82	67.59	61.68	52.08	88.26	126.12	153.34	144.01	92.7	155.5	56.68	195.72
ETV3	180.02	39.22	74.58	44.89	267.73	75.64	75.11	53.57	106.63	60.39	339.14	780.44	642.59	246.28	363.56	366.09	244.57	262.2
EVI5	108.14	43.32	269.6	108.14	120.94	157.68	120.94	193.01	114.36	186.4	215.77	318.57	412.0	208.38	603.67	264.03	134.3	234.57
FAM26E	25.35	3.63	11.47	5.45	2.29	5.19	3.99	4.5	4.21	8.51	44.57	94.01	125.24	89.51	147.06	92.05	72.52	76.17
FEM1B	414.87	101.54	187.71	150.17	173.85	217.27	293.07	152.28	186.4	265.87	392.44	248.0	450.94	571.05	432.53	435.55	251.48	409.15
FOXD4L2	0.38	0.0	0.0	0.0	0.0	0.05	0.65	0.05	0.3	1.25	0.82	0.59	1.83	0.23	0.92	2.51	0.82	0.59
FRY	214.27	176.29	551.56	144.01	108.14	125.24	111.99	236.21	612.11	178.77	647.07	723.08	1794.29	607.87	4010.71	2555.58	1447.15	529.06
FYCO1	287.01	135.24	149.12	190.34	108.9	150.17	117.6	94.67	69.52	153.34	591.22	679.29	651.58	981.29	967.76	1119.56	199.85	493.56
FZD1	1001.93	40.93	138.1	32.59	48.87	140.04	54.33	36.01	26.28	52.08	412.0	2163.77	1104.13	1183.45	2163.77	2303.12	202.66	656.11
GAB2	246.28	70.51	53.57	18.7	40.36	33.54	34.02	66.18	49.21	51.35	612.11	417.77	279.14	187.71	759.08	551.56	118.43	551.56
GPATCH8	307.69	51.71	118.43	48.18	67.12	94.01	36.27	137.14	124.37	145.02	281.09	323.03	435.55	429.54	559.28	473.41	193.01	454.09
GPR161	62.56	2.63	16.63	0.47	12.64	13.52	3.86	8.13	4.43	8.38	77.25	108.14	104.42	172.65	199.85	329.84	127.89	155.5
