	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.G4.6306.01A.11R.1774.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.62.A46U.01A.11R.A24H.07	TCGA.75.5122.01A.01R.1755.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.S7SE.0926.SM.2XCD6	GTEX.147JS.1226.SM.5RQK4	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU	TCGA.33.4589.01A.01R.1443.07	TCGA.18.3406.01A.01R.0980.07	GTEX.WHPG.0426.SM.4M1XW
ABCC9	7.57	1.55	7.82	4.94	6.84	1.66	1.77	0.58	3.5	2.81	8.58	69.03	11.38	24.28	135.24	139.07	237.86	297.17	92.7	159.9	389.72	293.07	128.79	63.0	265.87	371.22	269.6	63.45	253.23	140.04	208.38	285.03	83.45	208.38	153.34	480.04	67.12	139.07	7.28	73.54	27.44
AMOTL2	215.77	514.56	226.54	307.69	674.59	307.69	583.07	223.41	232.94	185.11	148.09	156.59	460.44	258.57	656.11	229.72	1233.75	447.82	269.6	1745.2	1857.6	1781.89	616.37	463.65	420.68	1350.18	1331.57	915.51	656.11	575.03	543.96	2351.53	2119.22	1051.79	733.19	500.46	295.11	2400.97	77.25	120.94	356.05
ARHGAP29	29.48	1268.46	89.51	90.77	80.57	21.32	12.74	6.16	26.1	12.83	69.52	71.0	142.01	265.87	785.88	221.86	450.94	941.27	518.15	242.88	5594.3	2032.85	1175.27	1806.78	748.61	1477.58	1216.75	1242.34	1151.06	995.0	1216.75	567.1	536.45	674.59	2047.0	1977.24	143.01	1487.87	142.01	125.24	37.85
ATG2B	42.41	32.36	27.44	43.63	71.0	32.13	72.01	68.55	105.89	106.63	74.06	158.79	144.01	98.04	204.07	96.01	190.34	223.41	148.09	212.78	265.87	312.0	291.04	104.42	185.11	366.09	229.72	182.55	334.46	198.47	256.78	217.27	49.91	223.41	183.82	186.4	94.67	191.67	17.77	82.87	53.19
ATP1B2	8.85	1.85	7.51	4.17	9.13	1.45	2.61	2.14	1.17	1.79	41.22	3.96	1.0	9.78	87.65	65.26	127.0	204.07	111.21	109.66	152.28	201.25	197.09	153.34	66.18	111.99	111.99	52.45	88.88	229.72	117.6	68.07	45.53	129.69	69.03	84.63	15.56	119.26	0.0	5.82	27.05
ATP2B1	116.78	128.79	161.02	127.0	128.79	151.22	144.01	164.42	96.68	224.97	209.84	88.26	127.0	486.75	947.83	1167.14	591.22	791.35	493.56	329.84	728.11	713.11	1447.15	1104.13	872.1	713.11	1457.23	420.68	848.22	2384.37	318.57	273.37	258.57	389.72	480.04	854.13	559.28	890.44	171.45	267.73	182.55
ATP6V1G2	8.19	5.5	9.06	6.46	6.46	6.26	2.84	5.11	8.99	2.58	19.82	6.78	33.78	14.35	17.25	13.12	33.54	68.07	15.45	71.5	41.52	68.55	36.27	27.25	29.06	73.54	102.25	23.93	31.45	46.18	22.43	23.76	2.81	26.1	34.75	31.22	10.16	44.89	2.92	20.56	16.15
C1QTNF7	7.88	1.85	5.96	2.97	4.9	4.1	1.62	0.0	0.0	0.88	0.0	0.69	5.63	5.63	343.89	110.43	642.59	507.46	17.9	221.86	1617.0	1340.84	173.85	36.79	218.79	239.52	447.82	163.28	447.82	275.28	420.68	217.27	256.78	96.68	209.84	265.87	24.99	171.45	0.89	20.11	43.63
CADM2	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	3.41	5.15	0.68	23.59	4.35	2.53	2.05	102.97	44.25	8.19	17.9	4.58	7.88	8.25	3.14	30.12	1.93	34.51	1.55	1.53	3.14	36.01	3.06	1.06	28.45	0.0	0.0	2.39
CD300LG	0.99	0.0	0.32	5.59	3.0	0.0	0.0	0.0	0.49	0.0	3.72	9.7	0.28	2.89	14.78	53.95	463.65	209.84	285.03	183.82	915.51	483.38	85.82	262.2	50.63	128.79	24.11	128.79	358.54	89.51	332.14	1819.35	78.89	131.51	251.48	579.04	108.14	147.06	0.0	2.48	2.29
CNRIP1	68.07	14.67	100.83	44.89	54.33	42.71	22.1	12.27	16.27	15.22	49.21	20.26	131.51	256.78	334.46	353.59	540.19	629.35	406.31	642.59	1208.34	1059.11	334.46	1127.35	403.5	291.04	429.54	106.63	521.76	486.75	791.35	400.71	698.41	283.05	444.72	361.04	208.38	397.93	46.18	187.71	197.09
CPM	100.83	37.59	60.82	125.24	728.11	251.48	45.85	24.81	173.85	52.45	221.86	90.14	1151.06	728.11	748.61	529.06	2835.7	785.88	1183.45	7749.1	4869.99	1199.98	743.43	295.11	981.29	6652.97	1685.71	808.0	10440.2	366.09	7081.29	24660.96	4869.99	10084.54	1322.37	2720.15	1378.57	660.68	105.15	273.37	94.01
DENND2A	24.63	3.72	34.02	12.93	22.92	4.74	8.13	3.11	9.78	30.12	23.59	19.97	65.26	63.89	457.25	187.71	483.38	878.17	341.51	327.56	1030.12	1369.04	387.02	579.04	438.59	540.19	529.06	154.42	409.15	511.0	679.29	429.54	314.17	180.02	384.34	466.88	134.3	543.96	5.06	27.25	76.71
FAM13C	9.2	3.08	17.51	7.94	13.62	3.29	4.7	1.3	4.39	3.14	5.92	3.03	6.67	41.52	148.09	61.68	435.55	417.77	97.36	309.83	748.61	536.45	151.22	45.85	136.19	353.59	281.09	69.52	248.0	148.09	320.8	206.94	163.28	293.07	109.66	189.02	102.25	181.28	0.93	38.67	57.89
FAM155A	4.9	1.83	2.51	1.69	1.48	0.0	0.88	0.07	1.35	0.48	0.0	0.36	12.64	23.93	63.89	98.73	31.67	18.29	28.24	30.12	69.03	51.71	38.4	5.02	36.79	51.35	44.57	41.52	13.42	23.93	10.79	28.24	6.73	35.5	35.0	41.81	14.78	29.27	1.77	0.31	1.6
FAM198A	5.63	15.45	7.28	13.22	6.78	2.81	0.95	1.6	3.66	3.06	2.34	2.63	56.28	38.12	56.68	98.73	23.93	63.45	74.06	232.94	52.45	49.21	59.97	13.32	83.45	76.17	126.12	9.2	25.54	11.73	17.13	255.0	60.39	64.34	84.63	161.02	51.71	76.71	4.82	12.74	24.99
FAT4	3.92	1.23	3.47	2.34	2.66	5.63	0.72	0.45	1.85	2.07	1.04	6.21	12.64	22.43	143.01	58.3	75.11	182.55	82.29	167.9	656.11	234.57	104.42	109.66	536.45	209.84	265.87	50.27	134.3	208.38	264.03	193.01	36.79	75.11	156.59	406.31	28.65	98.04	1.17	23.59	23.59
FBXL7	29.48	4.31	29.27	12.36	16.39	24.81	6.89	2.63	9.63	11.38	7.82	8.78	30.56	24.28	265.87	113.56	209.84	429.54	118.43	226.54	540.19	476.71	256.78	277.2	336.79	532.74	423.61	68.55	95.34	218.79	141.02	177.53	120.1	65.72	309.83	460.44	32.82	255.0	1.79	65.26	82.29
FGF2	4.28	2.46	11.82	6.21	2.81	12.55	0.8	1.13	3.0	11.38	1.77	12.93	7.51	54.33	289.02	208.38	108.14	93.35	131.51	38.67	212.78	165.57	376.41	507.46	518.15	98.73	173.85	189.02	57.49	220.32	52.08	53.19	69.52	49.91	334.46	265.87	56.28	255.0	4.78	26.86	40.07
FHL5	4.94	1.25	2.84	2.39	3.79	2.05	2.12	1.22	3.66	1.73	1.04	2.53	3.06	41.22	159.9	24.81	674.59	373.81	148.09	301.33	995.0	967.76	237.86	101.54	511.0	753.83	182.55	60.39	141.02	90.14	314.17	283.05	61.68	209.84	108.14	638.15	69.52	403.5	1.3	55.49	13.32
FOXP2	9.85	0.64	1.28	3.11	1.03	18.56	0.62	0.64	1.83	3.32	0.0	1.85	9.85	27.05	126.12	45.21	78.89	129.69	2.94	53.57	291.04	249.73	136.19	13.12	48.87	148.09	94.67	285.03	212.78	17.77	131.51	72.01	47.84	15.68	17.51	29.06	81.71	173.85	2.89	36.79	37.85
GP5	0.97	0.0	0.62	0.28	0.87	0.28	0.49	0.0	0.3	0.58	0.0	1.22	0.62	0.66	2.58	1.58	6.52	5.54	2.12	7.57	4.39	2.73	2.25	0.55	2.03	3.0	1.99	4.78	8.45	0.56	27.05	22.1	6.06	2.07	1.2	1.33	4.98	3.08	0.0	1.3	3.63
GUCY1A3	68.55	17.38	69.52	16.88	31.22	70.51	8.92	8.06	20.86	7.94	13.72	5.23	166.73	134.3	728.11	147.06	595.34	1447.15	143.01	497.0	2573.36	1540.37	242.88	137.14	236.21	305.55	647.07	151.22	915.51	336.79	693.58	493.56	441.64	173.85	155.5	151.22	277.2	208.38	46.5	111.21	120.94
HLA-DRA	122293.5	26431.04	58655.36	54349.29	69753.56	51775.15	32994.92	51417.5	47974.16	4575.41	88905.42	3564.78	96616.71	169390.27	569761.05	606436.73	253213.41	163620.18	269512.87	195931.88	170568.48	69271.73	341137.96	341137.96	466008.55	233003.78	668235.84	378516.38	345900.08	417089.23	215898.44	198667.0	318292.9	1085552.95	273275.14	645473.24	299043.36	327241.36	44761.41	175363.84	143430.26
HMCN1	20.26	1.57	19.68	10.71	41.81	33.54	6.67	11.73	8.32	12.27	12.93	79.45	78.34	85.22	559.28	579.04	764.36	775.05	854.13	764.36	1457.23	2895.31	279.14	356.05	1023.0	1721.16	961.07	476.71	387.02	1015.93	1721.16	842.36	231.32	417.77	575.03	1104.13	229.72	208.38	21.78	102.25	102.25
ITGA8	29.06	5.5	21.16	10.96	36.01	19.53	3.76	4.17	7.28	7.57	5.63	7.4	9.85	30.34	463.65	129.69	684.02	679.29	239.52	1143.1	1350.18	1662.49	536.45	363.56	587.13	638.15	651.58	165.57	312.0	854.13	441.64	1340.84	251.48	226.54	432.53	457.25	90.14	1096.5	7.75	70.01	134.3
JAM2	55.49	6.16	68.07	35.76	49.21	46.5	5.82	4.86	15.68	8.78	12.18	16.15	28.45	33.54	825.0	466.88	1350.18	1923.14	392.44	536.45	3419.52	2855.44	1037.29	909.17	529.06	723.08	1088.92	368.65	1407.55	1088.92	2047.0	426.57	947.83	379.04	1304.15	723.08	249.73	928.3	19.39	97.36	190.34
KIF17	26.28	5.77	109.66	15.8	28.65	19.11	9.63	13.03	15.22	5.41	17.64	10.39	96.01	121.79	142.01	44.89	165.57	343.89	98.73	162.14	1286.18	376.41	88.26	289.02	94.67	172.65	88.26	61.68	108.9	127.89	237.86	189.02	239.52	124.37	137.14	74.58	50.27	197.09	15.91	48.18	14.14
LHFP	205.5	40.07	205.5	229.72	167.9	140.04	50.98	30.34	53.19	48.18	60.39	36.01	189.02	246.28	1923.14	1073.91	1936.53	2816.11	1794.29	1259.69	4512.4	3614.55	1721.16	2255.7	2935.74	3928.15	2555.58	995.0	1304.15	2573.36	1794.29	1331.57	1870.53	1143.1	2255.7	2555.58	547.75	3443.31	156.59	417.77	301.33
LIMCH1	78.89	8.71	178.77	80.01	264.03	135.24	29.27	3.41	59.13	12.36	38.12	10.08	633.73	366.09	1781.89	1359.57	11112.3	2777.33	476.71	1044.52	30785.28	15499.21	2956.17	1721.16	4607.24	10585.95	3716.2	2271.4	4736.79	3515.68	4543.8	6840.04	2555.58	1437.15	3515.68	4210.15	348.71	3928.15	57.89	253.23	150.17
LONRF3	63.0	6.41	28.65	19.53	17.64	10.24	15.8	6.67	4.78	49.56	36.53	60.39	115.16	76.17	753.83	2895.31	339.14	47.84	149.12	42.71	145.02	68.55	802.41	1096.5	51.71	603.67	591.22	237.86	102.97	813.63	96.68	237.86	163.28	151.22	301.33	441.64	186.4	253.23	3.14	37.85	123.5
LRRN4CL	9.85	7.63	6.62	11.73	15.8	9.7	2.53	2.03	0.59	7.82	1.39	0.57	0.96	3.76	144.01	135.24	30.56	98.04	36.27	50.63	48.52	35.76	87.65	33.06	137.14	43.94	102.97	58.3	10.08	92.7	9.13	20.26	65.26	17.51	116.78	113.56	21.32	198.47	3.11	19.39	61.68
MTMR9	50.63	21.47	26.47	53.19	38.12	27.44	25.54	43.02	63.89	13.12	16.51	10.39	48.18	70.01	57.89	131.51	97.36	110.43	123.5	123.5	105.89	177.53	48.87	52.82	77.25	59.55	84.63	90.14	154.42	75.11	81.14	88.26	82.29	31.67	52.45	66.18	127.0	71.0	46.18	67.59	64.34
MYCT1	35.76	7.34	60.39	19.25	27.64	10.88	12.36	4.62	10.55	10.71	18.97	19.97	27.84	65.26	361.04	111.99	384.34	669.92	206.94	221.86	1870.53	995.0	483.38	718.08	327.56	785.88	381.68	267.73	400.71	341.51	848.22	316.37	819.3	287.01	490.14	819.3	162.14	866.07	19.97	104.42	56.68
