	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.147F4.0926.SM.5Q5EO	GTEX.11OF3.1126.SM.5986C	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.11WQK.2926.SM.5EQKT	GTEX.YFC4.2826.SM.5P9FR	GTEX.P78B.2526.SM.3P5ZY
ACBD4	500.46	417.77	616.37	0.0	0.48	155.5	44.25	656.11	47.84	713.11	660.68
ADD1	9606.86	7803.01	10084.54	0.0	1.0	4481.23	5403.7	8421.31	1242.34	8247.98	7695.57
AIP	2119.22	1819.35	1709.26	0.0	0.72	629.35	1088.92	4268.94	389.72	2997.45	4704.07
AL162389.1	0.0	98.04	3.03	0.0	0.18	0.0	4.06	5.77	8.32	5.41	8.58
APOM	73.03	63.45	52.45	0.0	0.17	44.57	10.39	228.13	29.7	220.32	145.02
B3GNTL1	73.03	109.66	55.1	0.0	0.64	51.35	57.89	93.35	22.59	199.85	148.09
BANF1	5147.73	5711.87	3395.89	0.0	0.62	1487.87	1819.35	8901.53	1427.22	7081.29	7537.18
BCL7C	1037.29	748.61	693.58	0.0	0.52	289.02	301.33	1477.58	236.21	1639.59	1331.57
C11orf49	642.59	395.18	412.0	0.0	0.49	209.84	146.03	775.05	74.06	1286.18	995.0
C12orf10	1242.34	759.08	660.68	0.0	0.64	329.84	356.05	2335.28	624.99	2075.59	3467.27
C16orf13	1857.6	1883.54	1519.15	0.0	0.69	454.09	532.74	4010.71	603.67	3349.13	3928.15
C1orf204	56.28	45.21	36.27	0.0	0.37	12.64	27.64	50.63	3.29	88.26	60.39
C1orf86	1572.76	1135.2	1199.98	0.0	0.92	473.41	341.51	2956.17	381.68	2018.8	1651.0
C7orf13	58.71	44.89	26.1	0.0	0.25	20.26	29.7	122.64	25.35	170.25	47.84
CABP1	191.67	20.11	37.32	0.0	0.28	5.19	9.63	309.83	0.0	173.85	96.01
CCDC101	1242.34	339.14	651.58	0.0	0.19	211.31	318.57	1111.82	85.82	1286.18	1709.26
CDAN1	201.25	170.25	161.02	0.0	0.59	88.88	58.3	249.73	69.52	343.89	307.69
CDPF1	466.88	244.57	314.17	0.0	0.15	53.95	54.33	551.56	55.1	563.18	420.68
