	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FL.A1YT.11A.12R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.AX.A0J0.11A.11R.A27V.07	TCGA.FL.A1YV.11A.12R.A32Y.07	GTEX.RWS6.1326.SM.47JXB	GTEX.11DXX.1526.SM.5H115	GTEX.11I78.2126.SM.5A5K8	GTEX.QCQG.1326.SM.48U24
ACTL10	2.14	0.97	8.32	14.89	17.0	11.13	18.29	3.99	4.54	21.94	10.71	12.55	40.36	0.0	0.15	29.27	13.03	37.32	17.38	53.95	60.82	118.43	62.12	67.12
ANKRD23	15.91	27.05	43.02	11.64	22.75	21.94	13.32	10.16	8.32	35.0	29.27	37.85	15.68	0.0	0.74	90.14	103.69	141.02	51.71	151.22	162.14	156.59	171.45	93.35
ARL3	165.57	211.31	229.72	217.27	204.07	187.71	51.35	164.42	348.71	161.02	327.56	136.19	183.82	167.9	103.69	417.77	503.95	432.53	406.31	555.41	1030.12	723.08	1457.23	909.17
ATP1B2	69.52	54.33	182.55	34.02	37.59	32.59	5.15	17.77	14.45	102.97	39.5	63.89	43.02	0.0	0.01	624.99	232.94	299.25	389.72	343.89	529.06	341.51	1757.34	133.36
B3GALNT1	81.71	147.06	271.48	134.3	125.24	95.34	74.58	162.14	112.77	197.09	237.86	178.77	90.77	0.0	0.28	309.83	403.5	339.14	361.04	361.04	587.13	642.59	293.07	165.57
B3GNT9	84.04	124.37	162.14	36.79	251.48	65.26	49.21	30.78	38.95	176.29	98.73	127.0	136.19	0.0	0.45	384.34	332.14	429.54	363.56	299.25	571.05	450.94	376.41	351.14
BMP8A	0.89	0.52	9.2	1.69	2.25	0.0	1.11	1.48	0.0	3.76	6.16	1.04	15.45	0.0	0.43	23.42	69.03	8.71	17.25	11.47	45.21	17.51	33.78	9.48
C12orf23	417.77	429.54	543.96	332.14	575.03	351.14	281.09	373.81	432.53	473.41	612.11	540.19	514.56	738.29	457.25	753.83	854.13	713.11	884.29	665.29	974.5	769.69	860.08	441.64
C12orf50	0.0	0.46	0.42	0.26	0.0	0.0	0.21	0.48	0.01	0.39	0.61	0.44	0.36	0.0	0.0	0.73	2.41	1.68	1.77	3.23	1.35	2.48	3.69	5.41
C14orf1	269.6	297.17	400.71	289.02	384.34	248.0	170.25	260.38	178.77	295.11	291.04	366.09	363.56	0.0	0.0	633.73	616.37	728.11	808.0	743.43	1199.98	1119.56	819.3	2075.59
