	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07
AFF4	336.79	808.0	1487.87	312.0	460.44	866.07	314.17	1088.92	743.43	743.43	224.97	947.83	1015.93	629.35	551.56	674.59	620.67	476.71	612.11	441.64	116.78	728.11	587.13	1819.35	1250.98	1268.46	1477.58	289.02	113.56	180.02	149.12	193.01	162.14	283.05	111.99
ANKHD1	890.44	1447.15	1870.53	995.0	836.53	1350.18	406.31	1745.2	1529.73	1467.37	884.29	1896.65	1242.34	1447.15	961.07	2047.0	1030.12	1457.23	1331.57	1001.93	738.29	1277.29	1104.13	2075.59	2133.97	1936.53	1628.26	1066.48	289.02	708.18	543.96	473.41	764.36	409.15	426.57
ARFIP1	457.25	878.17	1044.52	540.19	529.06	961.07	320.8	1081.39	624.99	836.53	420.68	860.08	1088.92	836.53	624.99	738.29	547.75	656.11	759.08	497.0	256.78	909.17	723.08	1030.12	1104.13	1286.18	1111.82	703.28	169.07	228.13	190.34	187.71	262.2	231.32	131.51
ARL6	91.41	147.06	199.85	46.84	123.5	126.12	82.87	111.21	125.24	74.06	45.21	115.16	228.13	129.69	69.03	131.51	81.14	100.13	100.13	84.63	35.0	105.89	76.71	190.34	190.34	182.55	181.28	99.43	27.05	29.91	26.28	20.41	23.08	41.52	18.97
ASB8	426.57	723.08	723.08	441.64	450.94	591.22	454.09	669.92	624.99	638.15	412.0	743.43	995.0	264.03	432.53	647.07	507.46	507.46	466.88	358.54	305.55	567.1	536.45	813.63	718.08	647.07	791.35	583.07	224.97	279.14	341.51	303.44	295.11	244.57	242.88
BBX	145.02	753.83	723.08	164.42	299.25	543.96	129.69	759.08	409.15	521.76	91.41	802.41	1030.12	320.8	262.2	441.64	371.22	460.44	497.0	269.6	94.67	336.79	279.14	848.22	1111.82	571.05	669.92	327.56	46.5	77.79	61.68	43.02	48.18	54.72	25.17
BRD8	441.64	854.13	1529.73	780.44	595.34	1250.98	260.38	1151.06	896.64	909.17	656.11	1295.13	1135.2	954.43	713.11	1030.12	536.45	921.88	642.59	376.41	511.0	624.99	579.04	1447.15	1250.98	1304.15	1104.13	1295.13	215.77	361.04	438.59	414.87	412.0	258.57	170.25
C17orf80	131.51	269.6	351.14	173.85	215.77	323.03	136.19	490.14	273.37	248.0	218.79	366.09	267.73	123.5	248.0	205.5	173.85	253.23	273.37	111.21	105.89	208.38	314.17	480.04	435.55	423.61	334.46	285.03	46.84	89.51	85.22	101.54	141.02	78.34	44.57
C3orf17	532.74	830.75	780.44	547.75	669.92	802.41	381.68	728.11	483.38	555.41	423.61	599.49	915.51	616.37	591.22	688.78	684.02	559.28	633.73	307.69	293.07	480.04	587.13	785.88	1015.93	1225.22	713.11	493.56	223.41	269.6	185.11	195.72	325.29	153.34	133.36
C5orf24	420.68	748.61	764.36	346.29	432.53	808.0	215.77	780.44	633.73	466.88	285.03	624.99	684.02	571.05	397.93	473.41	441.64	555.41	503.95	341.51	115.16	500.46	603.67	941.27	890.44	1066.48	684.02	454.09	134.3	339.14	351.14	271.48	189.02	503.95	258.57
CCNG2	567.1	2956.17	5366.37	1594.73	796.86	1991.0	363.56	2303.12	1199.98	1331.57	1322.37	4152.18	3467.27	1769.57	2287.2	1359.57	684.02	1388.16	1583.71	890.44	253.23	909.17	2224.63	2240.11	2502.97	7032.37	3039.3	1044.52	323.03	111.99	60.39	44.89	107.38	43.32	42.11
CDC23	414.87	599.49	688.78	363.56	373.81	532.74	237.86	555.41	409.15	547.75	285.03	536.45	507.46	514.56	361.04	457.25	392.44	287.01	358.54	346.29	244.57	438.59	316.37	723.08	813.63	651.58	647.07	403.5	307.69	297.17	262.2	260.38	277.2	241.19	208.38
CEP120	182.55	199.85	293.07	110.43	215.77	244.57	74.06	249.73	162.14	181.28	80.01	215.77	275.28	88.88	123.5	217.27	157.68	204.07	205.5	125.24	65.26	149.12	130.6	454.09	470.14	348.71	483.38	231.32	16.15	48.18	45.21	34.26	51.71	31.45	28.45
CEP63	595.34	559.28	748.61	599.49	426.57	579.04	267.73	616.37	457.25	493.56	444.72	651.58	825.0	713.11	642.59	438.59	463.65	559.28	507.46	356.05	269.6	376.41	366.09	486.75	624.99	902.89	583.07	309.83	81.14	301.33	309.83	193.01	258.57	194.36	88.88
CEP97	46.5	115.97	202.66	61.25	54.33	191.67	30.78	176.29	113.56	81.14	31.9	145.02	265.87	48.52	102.25	88.26	56.28	63.45	73.03	55.1	21.78	71.5	73.54	158.79	147.06	120.1	125.24	37.32	8.06	16.39	12.27	7.11	12.74	12.27	3.66
CLINT1	733.19	1447.15	1250.98	791.35	1127.35	1183.45	728.11	1111.82	1427.22	1135.2	540.19	1277.29	1208.34	1167.14	967.76	1437.15	1477.58	825.0	1628.26	947.83	423.61	995.0	1143.1	1477.58	1295.13	1407.55	1369.04	947.83	444.72	703.28	540.19	651.58	460.44	693.58	647.07
CSNK1A1	2555.58	3768.09	6294.04	2573.36	3146.52	4639.29	1977.24	5219.6	3419.52	4419.52	2090.03	4704.07	5041.77	4239.45	3235.01	4152.18	3039.3	2163.77	2758.13	2835.7	1651.0	4736.79	2739.08	4298.64	5219.6	5147.73	5366.37	1498.22	400.71	708.18	543.96	480.04	642.59	595.34	420.68
CYB5R4	183.82	551.56	376.41	147.06	264.03	454.09	127.89	332.14	166.73	348.71	185.11	432.53	356.05	158.79	215.77	339.14	423.61	226.54	397.93	303.44	120.94	343.89	249.73	414.87	332.14	348.71	312.0	133.36	212.78	134.3	96.01	79.45	114.36	46.5	72.01
DDX20	176.29	206.94	224.97	199.85	124.37	279.14	172.65	285.03	206.94	211.31	157.68	209.84	228.13	187.71	204.07	151.22	218.79	187.71	158.79	142.01	86.43	217.27	256.78	323.03	334.46	242.88	198.47	142.01	41.81	87.03	60.82	79.45	65.72	57.08	32.82
