	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.QEG4.0726.SM.4R1JL	GTEX.Q2AH.0826.SM.48TZN	GTEX.Y3IK.1126.SM.51MSV	GTEX.RU1J.0326.SM.46MUM	GTEX.QDVJ.0726.SM.48U1W	GTEX.14E1K.1226.SM.5S2PD	GTEX.VJYA.0726.SM.4KL1T	GTEX.RWS6.0826.SM.47JXF	GTEX.13PVR.1826.SM.5Q5CC	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.145MF.0826.SM.5QGQA	GTEX.14DAQ.1726.SM.5S2R2	GTEX.14753.1626.SM.5NQ9L	TCGA.IN.8663.11A.01R.2402.13
ABCF2	366.09	830.75	941.27	587.13	698.41	575.03	684.02	748.61	403.5	802.41	743.43	473.41	802.41	525.39	486.75	191.67	166.73	182.55	199.85	226.54	190.34	223.41	175.07	177.53	161.02	133.36	371.22
AC132872.2	5.59	12.64	8.85	17.25	28.24	9.93	6.52	25.17	8.99	28.04	12.83	16.88	18.97	17.38	14.78	2.71	0.0	1.08	1.04	2.58	0.0	0.0	5.45	0.09	1.06	1.04	7.34
AGAP4	42.71	64.34	123.5	152.28	142.01	92.7	373.81	105.15	86.43	157.68	125.24	124.37	167.9	150.17	114.36	71.0	76.17	32.82	27.84	21.32	23.42	30.34	24.46	33.3	48.18	2.32	73.54
ANKRD11	954.43	1030.12	995.0	1008.9	974.5	1066.48	1359.57	2451.44	718.08	1781.89	1304.15	1111.82	2485.67	1427.22	1044.52	403.5	361.04	381.68	473.41	426.57	406.31	348.71	348.71	379.04	366.09	470.14	995.0
AP3D1	854.13	1583.71	1594.73	1350.18	1628.26	1331.57	1819.35	2209.26	769.69	2075.59	1674.06	1350.18	2224.63	1417.35	1233.75	753.83	642.59	780.44	909.17	536.45	748.61	723.08	429.54	529.06	500.46	343.89	1066.48
AP5B1	134.3	389.72	334.46	299.25	395.18	366.09	277.2	305.55	195.72	346.29	387.02	318.57	414.87	346.29	305.55	25.17	31.9	38.95	49.21	37.59	36.53	32.59	30.34	51.35	46.18	79.45	198.47
ARIH2	371.22	872.1	928.3	748.61	1001.93	902.89	1073.91	1540.37	802.41	1340.84	1151.06	1135.2	1427.22	1191.69	775.05	395.18	555.41	486.75	507.46	536.45	486.75	417.77	454.09	536.45	420.68	403.5	836.53
ARMCX5	150.17	137.14	121.79	133.36	132.44	128.79	156.59	197.09	215.77	154.42	175.07	121.79	283.05	204.07	180.02	83.45	90.77	92.05	120.1	104.42	106.63	102.97	83.45	61.68	82.29	38.95	187.71
ATAD3A	525.39	698.41	1159.07	460.44	759.08	497.0	1037.29	738.29	420.68	688.78	688.78	412.0	665.29	511.0	466.88	325.29	275.28	293.07	366.09	265.87	358.54	305.55	221.86	205.5	218.79	303.44	334.46
BAIAP2	21320.18	3419.52	2682.69	3665.02	2895.31	4298.64	3690.52	5219.6	3303.0	5366.37	4512.4	3515.68	4210.15	4903.87	4181.07	1794.29	1242.34	1857.6	2075.59	1639.59	1923.14	1023.0	2287.2	1208.34	1781.89	1923.14	2976.74
BCL2L2	483.38	1044.52	995.0	1268.46	1051.79	1561.89	1519.15	1088.92	703.28	1096.5	981.29	1268.46	1096.5	1378.57	1015.93	140.04	234.57	237.86	194.36	141.02	169.07	182.55	104.42	181.28	129.69	110.43	1030.12
BRD4	480.04	780.44	753.83	808.0	902.89	775.05	1081.39	1340.84	483.38	1001.93	1001.93	890.44	1259.69	825.0	620.67	397.93	368.65	353.59	497.0	514.56	518.15	392.44	381.68	384.34	473.41	221.86	878.17
BRPF1	148.09	285.03	271.48	228.13	289.02	281.09	353.59	301.33	132.44	295.11	314.17	231.32	351.14	262.2	231.32	92.7	80.01	73.54	77.25	78.89	65.26	73.54	65.72	50.98	88.26	24.28	161.02
C17orf70	187.71	579.04	688.78	387.02	599.49	514.56	674.59	493.56	363.56	412.0	563.18	325.29	547.75	532.74	463.65	301.33	279.14	314.17	323.03	256.78	285.03	199.85	176.29	447.82	356.05	185.11	289.02
C1GALT1	2032.85	441.64	231.32	529.06	518.15	438.59	612.11	1540.37	1001.93	1191.69	521.76	743.43	1088.92	775.05	708.18	140.04	221.86	178.77	275.28	346.29	217.27	244.57	283.05	163.28	343.89	444.72	759.08
C1orf109	291.04	312.0	314.17	256.78	346.29	314.17	312.0	301.33	183.82	341.51	285.03	239.52	514.56	376.41	237.86	92.05	135.24	96.01	182.55	127.89	105.89	131.51	91.41	140.04	177.53	46.5	249.73
C8orf33	143.01	656.11	718.08	454.09	651.58	529.06	1104.13	529.06	426.57	417.77	470.14	400.71	684.02	473.41	551.56	246.28	299.25	293.07	285.03	297.17	316.37	297.17	180.02	460.44	339.14	157.68	521.76
CAPN15	547.75	753.83	1088.92	507.46	1233.75	1081.39	2090.03	819.3	412.0	860.08	848.22	728.11	1268.46	1167.14	909.17	356.05	325.29	320.8	358.54	185.11	341.51	231.32	400.71	242.88	211.31	154.42	532.74
CARD14	6935.54	2193.99	738.29	2271.4	5831.91	9673.69	343.89	529.06	283.05	629.35	392.44	332.14	579.04	476.71	351.14	3.35	5.68	7.46	6.41	5.15	3.03	4.24	18.97	0.3	6.73	0.0	264.03
CBLC	5872.48	348.71	848.22	172.65	1378.57	2255.7	1059.11	1572.76	890.44	1304.15	1143.1	764.36	1295.13	1037.29	842.36	426.57	435.55	444.72	395.18	299.25	387.02	206.94	384.34	101.54	406.31	764.36	723.08
CCDC120	1104.13	2573.36	1059.11	2777.33	2935.74	3349.13	1359.57	713.11	642.59	718.08	961.07	921.88	988.12	974.5	775.05	59.55	56.28	55.1	63.45	55.89	49.21	55.1	50.63	44.25	73.03	65.26	934.76
CDYL	518.15	441.64	483.38	543.96	493.56	521.76	299.25	802.41	346.29	679.29	521.76	447.82	551.56	400.71	389.72	56.68	90.14	73.54	91.41	111.99	87.03	95.34	65.26	56.68	85.82	63.45	447.82
CEP170B	1088.92	954.43	1199.98	830.75	1583.71	872.1	1529.73	995.0	518.15	988.12	902.89	909.17	1498.22	1233.75	813.63	100.13	78.89	112.77	148.09	69.03	107.38	111.99	124.37	73.54	55.49	41.81	718.08
CHERP	389.72	759.08	769.69	587.13	848.22	612.11	896.64	679.29	327.56	525.39	733.19	567.1	703.28	679.29	463.65	518.15	368.65	363.56	638.15	429.54	518.15	332.14	403.5	314.17	642.59	223.41	454.09
CIAO1	896.64	1015.93	1088.92	884.29	1051.79	802.41	1407.55	1073.91	629.35	1304.15	1088.92	733.19	1081.39	974.5	780.44	718.08	915.51	967.76	1143.1	941.27	896.64	679.29	612.11	842.36	808.0	775.05	830.75
CLEC16A	368.65	363.56	395.18	373.81	332.14	417.77	620.67	514.56	295.11	551.56	497.0	412.0	368.65	406.31	314.17	125.24	124.37	127.89	129.69	102.97	159.9	154.42	117.6	105.89	81.14	103.69	327.56
CLUH	1685.71	3395.89	2502.97	1540.37	2193.99	2520.38	2796.65	2224.63	1259.69	2400.97	2434.5	2075.59	2520.38	2351.53	1427.22	2018.8	2400.97	1721.16	2004.85	1427.22	2047.0	1508.65	1498.22	1583.71	1857.6	1397.83	1119.56
