	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.B0.4834.01A.01R.1305.07	TCGA.B8.4619.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.SJXC.1226.SM.4DM78	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A4CR.01A.11R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.3M.AB47.01A.22R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
ABCE1	1151.06	249.73	301.33	161.02	532.74	563.18	684.02	438.59	540.19	325.29	351.14	368.65	154.42	258.57	336.79	301.33	239.52	884.29	902.89	1037.29	825.0	460.44	1477.58	693.58	339.14	591.22	493.56	460.44	332.14	486.75	536.45	603.67	325.29	429.54
ADNP	1225.22	341.51	414.87	397.93	785.88	836.53	915.51	591.22	674.59	206.94	289.02	346.29	163.28	201.25	301.33	246.28	181.28	934.76	884.29	1340.84	854.13	718.08	1183.45	713.11	525.39	497.0	500.46	575.03	373.81	511.0	435.55	591.22	426.57	318.57
ADNP2	336.79	157.68	103.69	139.07	275.28	323.03	318.57	215.77	199.85	53.95	110.43	100.13	50.98	51.71	70.01	71.0	43.02	204.07	253.23	450.94	336.79	158.79	339.14	191.67	122.64	163.28	144.01	115.97	106.63	111.99	131.51	151.22	105.89	91.41
AKAP11	599.49	50.98	103.69	77.25	264.03	366.09	379.04	341.51	366.09	88.88	123.5	96.68	38.67	77.79	90.77	44.89	83.45	403.5	503.95	1225.22	381.68	154.42	353.59	253.23	135.24	256.78	85.82	277.2	144.01	166.73	186.4	229.72	142.01	136.19
ALG11	297.17	36.27	28.86	33.54	139.07	307.69	277.2	154.42	189.02	29.48	36.27	39.5	28.65	26.47	54.33	46.5	24.99	117.6	170.25	587.13	127.0	98.04	126.12	66.18	63.45	115.16	31.9	112.77	60.82	50.98	88.26	116.78	57.08	37.59
AMD1	1605.83	323.03	629.35	309.83	698.41	1487.87	1583.71	1127.35	1417.35	189.02	412.0	733.19	201.25	392.44	346.29	346.29	246.28	1295.13	1127.35	2224.63	1199.98	1378.57	1819.35	967.76	974.5	651.58	555.41	728.11	591.22	684.02	583.07	872.1	620.67	497.0
API5	1870.53	713.11	743.43	791.35	1268.46	1322.37	1594.73	1286.18	1331.57	395.18	620.67	808.0	543.96	595.34	607.87	616.37	759.08	1250.98	1437.15	2417.67	1388.16	825.0	1457.23	1143.1	915.51	1088.92	679.29	896.64	738.29	961.07	1295.13	633.73	743.43	679.29
APPL1	872.1	228.13	249.73	153.34	490.14	493.56	521.76	412.0	470.14	151.22	236.21	271.48	44.25	87.65	86.43	75.11	100.13	669.92	624.99	890.44	660.68	283.05	518.15	387.02	301.33	343.89	279.14	366.09	232.94	256.78	339.14	435.55	224.97	237.86
C12orf29	521.76	103.69	154.42	123.5	299.25	255.0	409.15	348.71	366.09	121.79	182.55	120.94	97.36	267.73	287.01	193.01	209.84	228.13	236.21	769.69	293.07	241.19	490.14	312.0	248.0	166.73	142.01	262.2	134.3	275.28	212.78	229.72	141.02	155.5
C2orf44	126.12	42.11	77.25	32.82	83.45	84.63	119.26	72.01	85.22	33.06	42.11	44.57	22.75	43.94	67.12	45.21	49.21	122.64	98.04	131.51	82.87	61.25	127.0	84.63	62.12	55.49	52.45	49.56	63.0	41.81	39.5	42.71	41.52	49.56
