	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.V1D1.1026.SM.4JBHE	GTEX.ZZPT.1426.SM.5N9C5	GTEX.UJHI.0826.SM.4IHLM	GTEX.ZAB4.1126.SM.5HL86	GTEX.P4QS.0626.SM.3NMD1	GTEX.13YAN.2026.SM.5Q5EY	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.VQ.A8PQ.01A.11R.A414.31
ACAD8	105.89	277.2	132.44	198.47	371.22	384.34	295.11	400.71	307.69	348.71	389.72	320.8	514.56	480.04	454.09	587.13	1015.93	909.17	878.17	603.67	921.88	460.44	0.0	1.07	144.01	175.07	162.14	242.88	273.37	201.25	234.57	223.41	420.68
AL136531.1	0.0	0.55	0.0	0.0	0.68	1.48	1.5	3.38	2.29	2.1	2.29	1.2	2.29	0.66	0.0	3.41	4.9	1.68	6.46	1.57	3.38	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.95	0.19	0.0	0.0	13.72
AMT	4.13	65.72	109.66	28.24	264.03	226.54	39.22	293.07	236.21	236.21	99.43	176.29	166.73	241.19	231.32	460.44	1467.37	406.31	1044.52	470.14	1331.57	13.52	0.0	0.99	10.39	3.72	36.27	48.52	43.02	31.45	26.28	15.91	341.51
ANXA1	25354.3	1970321.01	21320.18	23169.48	447025.24	721179.07	573724.06	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	453265.5	1364554.84	168220.2	30151.71	131071.0	82378.63	57448.23	9474.59	437825.58	12076.21	400.71	55107.99	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81	3039.3
ARPC4-TTLL3	57.08	232.94	88.88	84.63	231.32	336.79	271.48	371.22	450.94	320.8	251.48	387.02	353.59	511.0	376.41	460.44	363.56	547.75	759.08	368.65	351.14	218.79	0.0	0.84	83.45	59.97	283.05	78.89	88.88	139.07	125.24	67.59	346.29
ATG2A	99.43	264.03	143.01	135.24	307.69	358.54	299.25	351.14	275.28	312.0	312.0	269.6	285.03	283.05	291.04	343.89	387.02	409.15	325.29	348.71	563.18	80.01	0.0	0.28	50.98	100.83	150.17	249.73	205.5	241.19	209.84	244.57	470.14
BET1L	291.04	316.37	327.56	500.46	733.19	612.11	825.0	825.0	753.83	599.49	575.03	612.11	638.15	995.0	551.56	638.15	743.43	698.41	748.61	928.3	1119.56	314.17	0.0	0.82	351.14	438.59	316.37	417.77	511.0	414.87	476.71	334.46	1407.55
BOD1L1	136.19	167.9	134.3	139.07	373.81	291.04	289.02	480.04	208.38	503.95	466.88	283.05	339.14	361.04	297.17	426.57	595.34	441.64	536.45	651.58	591.22	109.66	0.0	0.73	57.08	98.73	246.28	156.59	297.17	234.57	236.21	162.14	928.3
C11orf72	0.93	0.27	0.62	1.0	3.99	2.1	1.35	8.85	3.96	5.06	2.34	3.23	3.59	2.25	2.14	3.86	6.67	5.73	6.84	4.66	9.63	0.0	0.0	0.24	0.0	0.0	2.05	0.93	0.16	0.28	0.39	0.0	7.11
C5orf58	1.87	8.78	0.0	2.18	4.98	11.3	9.2	22.92	13.52	14.67	4.13	4.46	13.62	14.89	9.13	16.15	18.7	16.75	39.79	34.02	100.13	0.0	0.0	0.74	0.0	6.26	0.0	1.79	2.89	0.29	4.5	1.11	54.72
CTD-2583A14.10	34.26	9.7	3.79	16.39	11.13	73.54	33.06	101.54	29.27	26.86	37.59	14.14	52.45	25.72	24.63	31.45	55.1	42.11	114.36	71.0	41.81	9.56	0.0	0.23	9.56	17.13	4.21	15.0	28.65	11.64	28.24	7.94	178.77
DNAH1	1.27	32.36	21.63	8.19	68.07	80.01	19.25	90.14	69.03	65.26	47.5	68.07	57.89	65.72	79.45	153.34	358.54	176.29	244.57	208.38	363.56	10.31	0.0	0.69	1.17	3.53	24.11	11.91	21.94	24.81	16.27	10.08	480.04
DOPEY1	22.75	138.1	57.08	36.01	281.09	269.6	164.42	332.14	183.82	289.02	211.31	236.21	214.27	220.32	262.2	239.52	258.57	246.28	264.03	417.77	435.55	71.5	0.0	0.58	21.01	59.13	98.73	92.7	130.6	83.45	104.42	43.94	486.75
DYNC1LI2	497.0	543.96	507.46	514.56	974.5	1096.5	854.13	1119.56	981.29	1104.13	860.08	961.07	909.17	802.41	1199.98	1457.23	1427.22	1540.37	1457.23	1508.65	2104.58	723.08	483.38	106.63	234.57	529.06	825.0	417.77	854.13	836.53	733.19	514.56	1242.34
EHMT1	215.77	708.18	269.6	336.79	902.89	974.5	854.13	1023.0	808.0	1001.93	802.41	808.0	872.1	947.83	860.08	915.51	1457.23	909.17	981.29	848.22	1066.48	231.32	0.0	0.91	136.19	165.57	532.74	351.14	679.29	616.37	503.95	361.04	1407.55
ENTPD4	55.89	145.02	81.71	95.34	384.34	366.09	262.2	559.28	376.41	616.37	387.02	341.51	348.71	423.61	339.14	571.05	825.0	708.18	1127.35	791.35	1259.69	152.28	0.0	0.62	64.34	120.1	204.07	212.78	285.03	208.38	147.06	115.16	1001.93
FAM160B2	57.49	693.58	368.65	248.0	1322.37	1697.45	1233.75	1769.57	1936.53	1870.53	1551.09	1594.73	1896.65	1044.52	1529.73	2018.8	4639.29	1883.54	2956.17	2090.03	3039.3	205.5	0.0	1.19	108.9	115.97	438.59	669.92	620.67	503.95	348.71	251.48	1477.58
GOLGA8M	0.0	1.43	2.27	2.32	18.84	8.13	2.89	7.75	0.0	6.52	5.63	14.67	1.73	7.28	21.32	22.92	54.33	16.75	25.35	44.25	29.27	0.0	0.0	0.4	0.0	0.21	6.26	1.46	2.2	2.41	0.65	0.69	26.28
GOLGA8Q	0.0	0.0	0.0	3.29	33.78	26.28	2.43	3.38	11.47	24.46	15.56	34.51	10.96	5.5	17.13	33.3	55.49	48.87	65.72	35.0	49.91	4.24	0.0	0.48	0.0	0.0	0.55	4.94	3.59	1.57	1.19	2.76	64.8
GOLGA8R	0.0	1.6	3.5	0.0	29.48	23.59	4.06	23.76	7.06	23.76	6.57	35.0	10.88	11.04	39.79	84.63	60.39	36.53	84.63	80.57	122.64	6.21	0.0	0.52	0.0	2.46	24.63	3.99	7.82	1.73	8.38	1.19	59.13
GPR83	0.31	0.0	0.44	0.44	1.04	2.66	0.14	4.66	0.46	1.39	0.17	0.23	0.47	1.27	1.31	0.89	3.99	2.61	3.11	4.1	2.71	0.0	0.0	0.13	0.0	0.0	0.3	1.06	0.0	1.45	0.19	0.26	14.67
HMBOX1	50.98	123.5	82.29	89.51	279.14	223.41	156.59	287.01	212.78	341.51	265.87	244.57	251.48	193.01	244.57	279.14	679.29	325.29	441.64	490.14	612.11	61.68	0.0	0.56	37.05	26.67	91.41	161.02	128.79	117.6	103.69	95.34	579.04
KLHL36	150.17	220.32	209.84	218.79	314.17	420.68	329.84	303.44	435.55	389.72	316.37	379.04	327.56	316.37	529.06	575.03	808.0	669.92	743.43	813.63	599.49	197.09	0.0	0.73	198.47	185.11	255.0	325.29	412.0	258.57	273.37	191.67	954.43
KMT2A	76.71	122.64	48.18	67.59	193.01	251.48	158.79	356.05	180.02	241.19	223.41	229.72	186.4	197.09	248.0	248.0	279.14	218.79	363.56	348.71	297.17	50.98	0.0	0.25	21.32	47.5	102.97	73.03	150.17	91.41	71.0	36.01	988.12
