	TCGA.E5.A4TZ.01A.11R.A31N.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.LT.A5Z6.01A.11R.A28M.07	GTEX.146FQ.1026.SM.5LU8I	GTEX.133LE.0626.SM.5IFFJ	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	TCGA.60.2716.01A.01R.0851.07	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD	GTEX.117YX.1226.SM.5H11S
ACTL6A	2591.27	1159.07	2090.03	1745.2	1832.01	1896.65	1977.24	679.29	1447.15	1350.18	1397.83	693.58	599.49	493.56	656.11	483.38	403.5	536.45	567.1	555.41	775.05	551.56	674.59	633.73	612.11	476.71	463.65	728.11	514.56	633.73	728.11	514.56	529.06	525.39	547.75	587.13	579.04	607.87	500.46	575.03	507.46	579.04	651.58	591.22	559.28	497.0	591.22	769.69	579.04	450.94	320.8	490.14	507.46	432.53	511.0	432.53	454.09	376.41	438.59	444.72	470.14	503.95	447.82	432.53	242.88	171.45	229.72	1397.83	860.08	624.99	738.29	718.08	802.41	669.92	921.88	571.05	603.67	708.18	769.69	974.5	638.15	698.41	743.43	665.29	603.67	896.64	679.29	1044.52	764.36
ATAD2	713.11	435.55	162.14	224.97	312.0	343.89	497.0	74.06	241.19	363.56	669.92	42.41	14.89	31.22	26.1	12.36	24.46	23.59	22.92	18.7	40.64	53.19	81.14	43.32	54.72	24.46	27.44	191.67	33.78	35.76	48.52	34.26	33.54	37.05	30.34	30.34	24.11	31.22	27.25	27.05	34.26	32.13	37.32	26.28	26.67	29.48	47.5	52.08	47.5	25.54	6.94	19.11	42.41	21.63	21.94	29.48	27.64	18.29	21.63	22.75	24.99	43.32	18.29	25.72	36.79	146.03	63.89	165.57	85.82	180.02	116.78	130.6	89.51	69.03	79.45	90.77	105.89	80.01	140.04	75.11	82.29	66.65	71.5	80.57	98.04	121.79	108.9	98.04	115.97
ATAD5	52.45	67.59	40.93	43.63	59.13	32.82	88.88	29.06	83.45	72.01	113.56	6.41	4.7	6.31	4.31	3.82	4.66	2.84	5.11	2.84	8.19	13.93	15.56	10.96	8.25	4.9	5.36	38.95	8.51	4.21	6.94	6.26	6.73	7.82	6.67	5.68	6.73	6.57	5.77	6.84	4.94	7.4	9.27	9.56	5.11	7.57	6.01	7.82	9.93	4.54	0.39	6.46	12.0	4.17	3.99	7.75	6.41	3.72	5.96	6.52	7.69	6.01	6.06	4.82	0.0	3.06	2.97	33.78	16.15	27.25	14.56	19.11	15.91	6.94	20.86	11.38	10.71	16.75	11.47	11.21	14.45	10.96	8.51	11.82	16.88	16.27	14.78	15.22	13.22
ATAT1	332.14	246.28	842.36	878.17	728.11	961.07	521.76	273.37	902.89	403.5	218.79	135.24	76.17	118.43	114.36	78.89	97.36	135.24	173.85	63.0	209.84	223.41	140.04	249.73	90.77	90.77	63.89	176.29	148.09	95.34	132.44	77.25	74.06	109.66	96.68	132.44	127.89	113.56	100.13	124.37	94.67	120.1	165.57	129.69	85.22	102.97	111.99	81.14	110.43	206.94	76.71	110.43	129.69	97.36	106.63	96.01	131.51	130.6	85.22	116.78	169.07	85.22	89.51	86.43	43.32	87.65	59.13	540.19	514.56	293.07	229.72	255.0	305.55	201.25	358.54	208.38	389.72	241.19	211.31	214.27	177.53	336.79	356.05	223.41	151.22	267.73	186.4	358.54	164.42
BORA	303.44	316.37	470.14	220.32	279.14	214.27	283.05	108.14	426.57	202.66	297.17	42.11	22.1	28.45	26.67	21.94	18.43	30.56	39.22	26.1	44.89	46.5	44.25	49.91	65.72	24.63	26.67	95.34	37.85	40.93	48.18	25.72	41.81	34.75	42.71	47.17	34.75	45.85	36.01	40.93	30.56	35.5	35.25	37.59	39.79	34.51	40.07	50.63	48.18	30.78	19.25	22.43	43.94	24.46	31.67	32.13	34.51	18.16	36.79	31.22	35.5	43.63	29.27	33.54	8.85	33.54	21.16	137.14	53.95	55.49	87.65	95.34	85.22	90.77	92.7	72.52	96.68	90.14	71.0	111.21	64.8	92.05	72.52	67.59	74.58	95.34	57.08	85.22	103.69
C1orf112	229.72	1628.26	102.25	121.79	830.75	105.15	218.79	395.18	339.14	183.82	229.72	45.53	19.97	28.45	35.76	37.32	22.75	28.45	18.7	21.47	23.42	44.25	57.89	42.71	40.36	19.39	22.59	92.7	27.44	36.27	40.07	34.51	35.0	32.36	31.9	28.65	25.17	31.0	34.75	25.72	25.17	25.17	43.63	38.12	36.27	30.34	36.79	35.0	37.85	19.97	23.42	24.46	44.57	23.93	29.91	33.54	29.27	28.04	24.81	28.45	31.0	38.4	24.46	22.75	20.11	19.68	24.11	105.89	78.34	76.71	55.1	75.11	80.01	76.17	72.52	54.33	72.01	51.71	77.25	53.95	42.41	57.08	54.72	50.63	57.49	98.73	66.65	69.52	48.18
C1orf131	312.0	417.77	490.14	406.31	450.94	358.54	299.25	426.57	339.14	599.49	543.96	187.71	162.14	148.09	194.36	96.01	107.38	133.36	180.02	150.17	212.78	198.47	232.94	180.02	156.59	139.07	167.9	185.11	211.31	167.9	215.77	127.89	169.07	165.57	145.02	189.02	164.42	172.65	149.12	166.73	129.69	194.36	205.5	182.55	152.28	140.04	143.01	187.71	204.07	107.38	56.68	164.42	175.07	123.5	115.16	139.07	177.53	105.15	128.79	163.28	201.25	136.19	145.02	130.6	65.72	241.19	106.63	301.33	389.72	366.09	397.93	366.09	389.72	327.56	400.71	303.44	318.57	297.17	275.28	232.94	262.2	255.0	237.86	318.57	279.14	334.46	242.88	341.51	348.71
CASP2	1030.12	420.68	848.22	376.41	514.56	426.57	444.72	309.83	713.11	514.56	525.39	220.32	74.06	190.34	107.38	145.02	157.68	175.07	208.38	158.79	194.36	171.45	242.88	194.36	177.53	162.14	202.66	287.01	204.07	237.86	271.48	132.44	191.67	189.02	166.73	201.25	124.37	208.38	220.32	189.02	205.5	260.38	209.84	153.34	214.27	176.29	218.79	199.85	255.0	137.14	155.5	149.12	228.13	143.01	172.65	197.09	194.36	143.01	139.07	166.73	170.25	205.5	187.71	154.42	57.49	98.73	56.28	674.59	329.84	248.0	325.29	334.46	273.37	291.04	325.29	226.54	246.28	307.69	277.2	273.37	329.84	297.17	299.25	255.0	289.02	297.17	237.86	346.29	289.02
CCDC14	1199.98	1225.22	1295.13	1135.2	1769.57	1350.18	2004.85	674.59	1883.54	813.63	981.29	209.84	129.69	136.19	162.14	115.16	182.55	77.79	147.06	109.66	172.65	305.55	316.37	447.82	169.07	155.5	104.42	320.8	366.09	117.6	199.85	165.57	139.07	144.01	117.6	190.34	132.44	232.94	154.42	165.57	144.01	176.29	231.32	205.5	137.14	151.22	162.14	143.01	205.5	122.64	21.01	171.45	198.47	150.17	81.71	169.07	127.0	130.6	141.02	223.41	269.6	134.3	144.01	128.79	48.52	97.36	107.38	559.28	1104.13	738.29	473.41	629.35	813.63	248.0	1104.13	521.76	738.29	457.25	447.82	389.72	356.05	379.04	305.55	441.64	698.41	575.03	346.29	647.07	500.46
CDK2	1437.15	921.88	2384.37	1081.39	1037.29	1594.73	1583.71	1605.83	2209.26	595.34	947.83	332.14	293.07	346.29	371.22	255.0	264.03	267.73	325.29	221.86	500.46	409.15	356.05	224.97	246.28	244.57	260.38	830.75	316.37	329.84	486.75	248.0	251.48	320.8	258.57	373.81	301.33	289.02	208.38	341.51	297.17	309.83	341.51	256.78	343.89	287.01	423.61	267.73	309.83	432.53	255.0	248.0	356.05	255.0	234.57	265.87	314.17	251.48	312.0	253.23	346.29	301.33	281.09	264.03	251.48	218.79	371.22	743.43	497.0	878.17	441.64	466.88	450.94	366.09	497.0	395.18	351.14	476.71	351.14	309.83	392.44	480.04	420.68	316.37	551.56	457.25	450.94	503.95	305.55
