	TCGA.CV.5442.01A.01R.1514.07	GTEX.X4XY.1626.SM.46MVN	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.111CU.0326.SM.5GZXO	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.13X6J.0826.SM.5LU32	GTEX.11I78.0526.SM.5986A	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.OHPK.2626.SM.2HMK9	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
ABHD14A	118.43	135.24	0.0	0.36	236.21	1651.0	2645.74	1111.82	1059.11	2468.49	2240.11	2209.26	954.43	2796.65	947.83	1519.15	2032.85	1674.06	2133.97	1963.57	708.18	2573.36	2090.03	1870.53	1286.18	802.41	974.5	1617.0	1066.48	579.04	1757.34	1498.22	2417.67	2303.12
ABHD14B	612.11	1151.06	0.0	0.56	775.05	2240.11	3280.18	1950.0	1844.76	2816.11	2627.46	2915.45	1923.14	2935.74	1617.0	2075.59	2835.7	2935.74	3103.19	2956.17	1909.85	3257.52	3212.66	2351.53	2104.58	1883.54	1870.53	1870.53	2018.8	1769.57	2319.15	2758.13	2758.13	3168.41
AC012123.1	0.35	0.0	0.0	0.01	0.0	24.99	64.34	22.59	42.11	44.25	38.95	53.95	33.78	48.18	17.0	18.43	38.12	37.32	55.1	93.35	13.83	51.71	23.42	21.78	30.12	36.01	30.12	11.47	51.35	15.56	43.94	23.08	32.36	38.95
ADAM22	0.93	0.53	0.0	0.25	3.76	81.14	161.02	46.18	76.17	70.51	132.44	98.73	128.79	109.66	48.18	49.21	124.37	82.87	146.03	279.14	46.84	248.0	90.14	52.08	54.72	25.54	30.34	13.52	67.59	33.54	87.03	80.01	105.15	93.35
AGBL4	0.0	3.66	0.0	0.0	0.0	21.16	24.99	11.47	18.16	32.82	20.86	25.91	14.56	40.36	6.78	17.25	26.28	34.51	34.26	37.05	12.55	34.02	28.04	7.06	21.16	12.0	15.22	14.56	19.97	16.75	34.02	10.31	40.93	24.46
AGBL5	293.07	125.24	155.5	182.55	145.02	733.19	854.13	607.87	651.58	813.63	830.75	1030.12	529.06	921.88	599.49	591.22	1151.06	941.27	890.44	708.18	669.92	791.35	1008.9	629.35	612.11	599.49	563.18	642.59	603.67	532.74	583.07	703.28	909.17	947.83
ALDH5A1	10.88	171.45	0.0	0.0	67.59	325.29	473.41	195.72	236.21	384.34	406.31	389.72	279.14	371.22	100.83	258.57	336.79	264.03	417.77	507.46	191.67	395.18	387.02	275.28	279.14	246.28	197.09	211.31	412.0	157.68	323.03	318.57	327.56	457.25
ASCL2	17.77	5.63	0.0	0.13	28.24	11.3	54.33	10.79	10.08	22.26	6.73	31.0	24.63	30.34	12.93	7.17	40.36	15.34	34.02	51.71	23.25	136.19	12.83	30.56	8.25	14.24	13.42	2.73	2.51	7.88	28.24	12.18	41.81	18.43
BEND7	7.46	71.0	0.0	0.59	145.02	392.44	1427.22	674.59	665.29	764.36	1044.52	1059.11	563.18	921.88	507.46	361.04	669.92	759.08	679.29	1143.1	373.81	642.59	836.53	503.95	1369.04	698.41	423.61	441.64	583.07	511.0	642.59	743.43	607.87	1259.69
C14orf159	47.84	100.83	0.0	0.62	351.14	1073.91	1340.84	1051.79	1119.56	1081.39	1015.93	1143.1	1059.11	1331.57	723.08	1088.92	1397.83	934.76	1216.75	1639.59	780.44	1572.76	1104.13	981.29	1073.91	988.12	780.44	921.88	1059.11	785.88	1437.15	1044.52	1088.92	1191.69
