	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.BH.A0B7.01A.12R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.131YS.0626.SM.5EGKL	TCGA.CV.7183.01A.11R.2016.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.38.4625.01A.01R.1206.07	GTEX.13NYC.2626.SM.5K7VN
ABHD13	111.21	218.79	79.45	118.43	81.71	165.57	221.86	218.79	162.14	165.57	289.02	115.16	130.6	111.99	102.97	0.0	82.87
AGAP5	100.13	92.7	22.92	34.51	18.29	155.5	130.6	149.12	111.21	128.79	193.01	218.79	8.58	15.8	18.03	0.0	32.13
AGAP8	80.01	84.63	30.34	53.95	53.19	96.01	197.09	237.86	45.85	176.29	234.57	163.28	21.78	24.11	24.11	0.0	23.42
ANO4	5.68	9.7	0.0	5.19	0.57	3.99	13.03	8.19	2.36	13.42	13.22	12.74	2.16	1.66	5.96	0.0	1.38
AP4S1	62.56	178.77	143.01	79.45	81.71	182.55	172.65	153.34	135.24	157.68	237.86	141.02	75.11	46.18	67.59	0.0	98.73
ARL14EP	205.5	698.41	186.4	444.72	256.78	738.29	743.43	854.13	775.05	759.08	1073.91	543.96	161.02	191.67	195.72	0.0	392.44
ARMCX2	236.21	896.64	154.42	249.73	490.14	1037.29	928.3	1001.93	981.29	1191.69	2148.82	890.44	81.14	24.99	16.03	0.0	167.9
AUH	318.57	660.68	189.02	339.14	351.14	559.28	575.03	688.78	587.13	595.34	854.13	454.09	147.06	121.79	169.07	0.0	336.79
BBS4	291.04	420.68	183.82	403.5	125.24	511.0	435.55	529.06	503.95	511.0	830.75	679.29	78.34	113.56	94.01	0.0	255.0
C5orf63	66.65	139.07	56.28	32.59	119.26	127.0	133.36	177.53	108.9	145.02	351.14	104.42	26.86	66.18	70.51	0.0	31.22
C8orf48	12.93	32.13	10.24	9.34	4.03	36.79	46.18	19.25	49.91	40.93	72.01	27.05	4.1	0.0	1.41	0.0	11.13
CAAP1	134.3	392.44	50.98	242.88	162.14	287.01	376.41	490.14	387.02	417.77	921.88	217.27	157.68	115.16	195.72	0.0	281.09
CASC1	22.92	39.5	11.64	29.48	9.41	59.97	64.34	63.89	80.57	67.12	158.79	57.08	1.5	2.84	5.54	0.0	4.06
CCDC146	56.28	148.09	31.9	52.82	38.95	171.45	127.89	137.14	132.44	88.26	237.86	155.5	15.8	54.33	26.1	0.0	25.17
