	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.IG.A4QT.01A.21R.A260.31	GTEX.P4QS.1126.SM.3NMD5	TCGA.BP.4988.01A.01R.1334.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13N2G.0826.SM.5IJE6	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.OHPM.0526.SM.2YUMJ	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.98.A53C.01A.11R.A262.07	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.IN.7808.01A.11R.2203.13
ABCA7	1015.93	285.03	1605.83	69.03	2032.85	21.01	1008.9	934.76	0.0	155.5	309.83	260.38	575.03	185.11	511.0	547.75	514.56	432.53	780.44	633.73	486.75	409.15	447.82	269.6	1073.91	775.05	420.68	884.29	366.09	836.53	961.07	884.29	165.57	2434.5	854.13	1175.27	1001.93
AC010327.2	80.57	0.0	156.59	8.19	147.06	8.38	94.01	81.14	0.0	9.41	3.66	12.55	339.14	7.82	29.91	22.26	15.45	20.56	34.75	15.56	8.99	5.5	5.45	3.63	651.58	7.4	41.81	36.79	14.67	17.0	48.18	134.3	0.27	218.79	88.26	197.09	35.25
ACAP1	3491.39	68.55	1745.2	54.72	3349.13	10.16	1498.22	1936.53	0.0	144.01	78.34	124.37	591.22	78.34	209.84	175.07	279.14	392.44	226.54	400.71	111.21	145.02	137.14	100.83	3820.7	241.19	229.72	435.55	201.25	155.5	409.15	303.44	149.12	8421.31	1936.53	1417.35	1540.37
ADRBK1	3124.78	674.59	5112.16	579.04	2573.36	441.64	2537.92	2119.22	587.13	738.29	890.44	878.17	1857.6	813.63	1151.06	1151.06	1286.18	1331.57	1167.14	1388.16	934.76	1015.93	1001.93	743.43	4450.27	1628.26	1794.29	1519.15	1175.27	1183.45	1674.06	1304.15	603.67	6164.49	2061.24	3124.78	3018.3
AGAP8	131.51	17.13	151.22	23.76	825.0	12.45	78.34	127.89	0.0	74.06	15.34	14.24	183.82	45.53	56.68	28.65	156.59	81.71	36.27	42.11	74.58	120.94	37.32	62.56	208.38	92.05	72.52	204.07	21.32	85.82	123.5	56.68	22.75	612.11	90.77	320.8	193.01
AMT	457.25	96.01	503.95	403.5	1135.2	486.75	1378.57	743.43	0.0	139.07	201.25	138.1	1066.48	205.5	281.09	406.31	373.81	547.75	656.11	346.29	251.48	262.2	281.09	299.25	1111.82	503.95	665.29	473.41	137.14	616.37	638.15	536.45	58.71	974.5	583.07	341.51	358.54
ANKRD10	2796.65	703.28	2682.69	514.56	4512.4	275.28	2682.69	2591.27	0.0	819.3	842.36	607.87	1733.13	587.13	1001.93	974.5	988.12	1167.14	1167.14	629.35	703.28	718.08	813.63	995.0	2384.37	1225.22	1259.69	921.88	460.44	1447.15	1183.45	1350.18	480.04	3081.75	2193.99	2915.45	1662.49
ANKRD13D	1487.87	314.17	3212.66	175.07	2004.85	74.06	1757.34	1605.83	397.93	301.33	318.57	435.55	1096.5	260.38	441.64	476.71	620.67	595.34	529.06	543.96	441.64	384.34	379.04	320.8	1617.0	703.28	728.11	769.69	441.64	454.09	620.67	896.64	244.57	3235.01	1388.16	1331.57	1233.75
ANKZF1	1313.23	258.57	2400.97	151.22	3325.99	190.34	1427.22	1437.15	0.0	114.36	329.84	175.07	629.35	190.34	334.46	373.81	406.31	518.15	599.49	432.53	466.88	336.79	341.51	339.14	1519.15	1037.29	607.87	518.15	291.04	518.15	591.22	366.09	134.3	2645.74	1388.16	1605.83	2148.82
AP003068.6	31.67	3.56	41.81	3.38	82.29	2.16	30.56	34.51	0.0	4.21	4.03	5.92	21.47	2.66	4.21	11.21	15.34	10.39	14.14	6.52	9.7	9.7	11.21	7.82	21.32	13.12	11.21	17.13	4.39	10.16	5.02	15.22	3.69	50.63	25.72	23.59	45.85
