	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ABCA1	201.25	141.02	20.11	84.04	51.71	223.41	206.94	32.59	211.31	23.08	25.17	24.63	63.89	220.32	220.32	42.41	175.07	32.36	92.7	135.24	88.88	130.6	283.05	76.71	43.94	49.21	212.78	19.39	67.59	59.55	111.99	119.26	63.45	46.84	28.86	120.1	64.8	132.44	38.67	42.11	81.71	48.87	51.71	127.0	47.17	127.89	41.52	108.9	30.12	100.13	72.01	6.67	29.48	127.89	262.2	70.51	26.28	48.52	50.27	38.4	78.89	51.35	35.5	63.89	41.52	49.21	171.45	114.36	127.0	94.67	132.44	45.53	35.76	41.22	32.36	102.97	253.23	43.63	44.25	47.5	73.54	194.36	83.45	44.57	67.12	92.05	130.6	11.82	55.89	167.9	46.84	66.65	117.6	163.28	43.63	20.11	37.59	130.6	63.0	23.42	56.28	43.02	62.12	68.55	27.64	78.34	63.0	106.63	64.34	81.71	29.91	37.05	95.34	35.5	12.45
ALS2	226.54	214.27	70.51	128.79	153.34	253.23	248.0	135.24	223.41	121.79	137.14	125.24	187.71	262.2	212.78	158.79	256.78	133.36	162.14	224.97	120.94	187.71	191.67	199.85	115.16	125.24	246.28	132.44	167.9	145.02	69.52	212.78	158.79	139.07	117.6	128.79	142.01	305.55	105.89	102.25	182.55	190.34	142.01	212.78	140.04	206.94	158.79	195.72	153.34	87.03	202.66	76.71	90.14	197.09	202.66	153.34	105.89	180.02	133.36	130.6	173.85	158.79	148.09	146.03	124.37	114.36	217.27	164.42	220.32	178.77	176.29	218.79	145.02	138.1	127.0	201.25	212.78	133.36	127.0	135.24	150.17	209.84	211.31	126.12	136.19	143.01	214.27	85.22	155.5	229.72	141.02	140.04	177.53	275.28	92.05	125.24	122.64	172.65	145.02	118.43	119.26	133.36	125.24	163.28	153.34	156.59	132.44	132.44	182.55	152.28	146.03	199.85	186.4	169.07	111.21
ANKRD28	480.04	463.65	109.66	180.02	229.72	551.56	460.44	242.88	470.14	158.79	158.79	195.72	320.8	438.59	483.38	234.57	414.87	178.77	267.73	470.14	289.02	336.79	450.94	409.15	191.67	267.73	473.41	273.37	231.32	260.38	275.28	389.72	275.28	228.13	159.9	287.01	303.44	267.73	171.45	209.84	490.14	277.2	223.41	320.8	248.0	376.41	291.04	363.56	441.64	348.71	239.52	167.9	121.79	483.38	525.39	309.83	183.82	409.15	246.28	191.67	248.0	277.2	269.6	197.09	241.19	214.27	414.87	265.87	409.15	277.2	334.46	218.79	351.14	223.41	400.71	466.88	432.53	260.38	217.27	320.8	279.14	450.94	351.14	167.9	353.59	285.03	389.72	149.12	271.48	466.88	329.84	239.52	348.71	466.88	172.65	248.0	287.01	414.87	277.2	148.09	223.41	159.9	226.54	275.28	231.32	283.05	202.66	206.94	293.07	273.37	193.01	297.17	339.14	253.23	175.07
ARHGAP35	497.0	435.55	211.31	277.2	339.14	665.29	536.45	307.69	563.18	228.13	299.25	244.57	289.02	376.41	514.56	406.31	579.04	368.65	406.31	476.71	329.84	366.09	420.68	551.56	197.09	392.44	587.13	293.07	279.14	287.01	486.75	599.49	316.37	341.51	341.51	466.88	381.68	521.76	246.28	339.14	295.11	346.29	218.79	320.8	320.8	447.82	251.48	567.1	283.05	177.53	406.31	157.68	189.02	708.18	708.18	373.81	212.78	486.75	285.03	256.78	356.05	371.22	260.38	332.14	182.55	208.38	536.45	620.67	454.09	348.71	514.56	463.65	438.59	325.29	463.65	559.28	599.49	392.44	295.11	473.41	182.55	529.06	599.49	295.11	299.25	343.89	543.96	283.05	325.29	599.49	423.61	341.51	536.45	575.03	273.37	172.65	303.44	463.65	454.09	217.27	199.85	258.57	256.78	332.14	316.37	438.59	303.44	285.03	559.28	460.44	543.96	647.07	620.67	332.14	323.03
ARID1A	780.44	1001.93	309.83	503.95	723.08	1044.52	884.29	595.34	896.64	353.59	555.41	466.88	595.34	808.0	1277.29	713.11	1127.35	511.0	759.08	896.64	669.92	842.36	1225.22	1119.56	480.04	616.37	921.88	718.08	460.44	571.05	599.49	878.17	808.0	529.06	656.11	825.0	825.0	1073.91	429.54	718.08	1044.52	796.86	591.22	802.41	403.5	860.08	500.46	813.63	540.19	830.75	759.08	361.04	371.22	1225.22	1008.9	665.29	285.03	1001.93	536.45	514.56	612.11	796.86	571.05	432.53	555.41	361.04	988.12	890.44	819.3	785.88	941.27	860.08	941.27	490.14	713.11	1199.98	1023.0	540.19	525.39	679.29	409.15	941.27	669.92	366.09	909.17	679.29	1135.2	417.77	743.43	872.1	813.63	511.0	775.05	890.44	371.22	563.18	665.29	896.64	629.35	438.59	389.72	587.13	466.88	616.37	450.94	728.11	599.49	599.49	796.86	587.13	559.28	748.61	854.13	435.55	423.61
ARID1B	521.76	540.19	193.01	281.09	353.59	684.02	571.05	267.73	595.34	190.34	323.03	358.54	314.17	483.38	733.19	381.68	612.11	275.28	470.14	575.03	397.93	320.8	620.67	540.19	246.28	447.82	620.67	314.17	253.23	309.83	307.69	559.28	397.93	356.05	371.22	412.0	432.53	543.96	234.57	384.34	432.53	353.59	305.55	389.72	223.41	579.04	175.07	441.64	241.19	363.56	406.31	185.11	176.29	633.73	551.56	358.54	205.5	518.15	395.18	202.66	426.57	246.28	265.87	258.57	329.84	336.79	595.34	486.75	450.94	457.25	400.71	457.25	412.0	244.57	339.14	483.38	536.45	255.0	273.37	291.04	346.29	559.28	450.94	246.28	395.18	397.93	629.35	197.09	406.31	543.96	490.14	307.69	532.74	571.05	239.52	248.0	336.79	490.14	346.29	211.31	265.87	221.86	273.37	379.04	277.2	463.65	285.03	316.37	567.1	429.54	379.04	483.38	567.1	323.03	307.69
ASB7	163.28	155.5	81.14	53.95	111.21	189.02	163.28	84.63	183.82	89.51	123.5	99.43	105.15	175.07	182.55	111.99	167.9	124.37	108.14	138.1	115.97	131.51	161.02	158.79	100.13	107.38	193.01	111.21	96.01	115.97	86.43	161.02	118.43	100.83	123.5	101.54	136.19	117.6	81.14	130.6	166.73	112.77	105.15	137.14	104.42	141.02	105.89	170.25	89.51	128.79	122.64	75.11	81.14	193.01	199.85	135.24	84.63	135.24	138.1	86.43	135.24	105.89	102.97	98.73	111.99	102.97	182.55	144.01	158.79	132.44	148.09	136.19	108.14	116.78	103.69	143.01	155.5	92.05	100.83	119.26	88.26	180.02	189.02	98.04	124.37	127.89	173.85	85.82	100.13	166.73	138.1	108.14	157.68	187.71	90.77	118.43	115.16	159.9	104.42	93.35	104.42	104.42	123.5	117.6	96.01	120.1	98.73	120.94	142.01	157.68	96.68	159.9	169.07	98.73	117.6
ASH1L	507.46	454.09	106.63	197.09	273.37	559.28	540.19	120.94	529.06	108.9	237.86	303.44	244.57	463.65	587.13	277.2	547.75	212.78	318.57	389.72	297.17	339.14	543.96	441.64	173.85	318.57	555.41	251.48	150.17	228.13	189.02	420.68	307.69	264.03	260.38	297.17	318.57	583.07	139.07	209.84	358.54	312.0	241.19	414.87	201.25	583.07	205.5	320.8	206.94	336.79	265.87	120.1	110.43	616.37	529.06	193.01	140.04	473.41	241.19	132.44	301.33	236.21	177.53	173.85	224.97	202.66	507.46	325.29	420.68	381.68	361.04	351.14	264.03	176.29	198.47	457.25	412.0	234.57	181.28	258.57	239.52	518.15	466.88	182.55	287.01	343.89	507.46	136.19	291.04	454.09	314.17	244.57	400.71	497.0	161.02	202.66	206.94	412.0	262.2	142.01	214.27	253.23	191.67	291.04	204.07	301.33	198.47	209.84	447.82	314.17	253.23	371.22	497.0	255.0	175.07
ASXL2	76.71	214.27	27.25	62.12	112.77	228.13	199.85	57.49	228.13	35.76	56.28	59.13	70.01	201.25	224.97	80.57	205.5	48.87	94.01	157.68	111.21	102.25	212.78	186.4	50.27	90.14	229.72	71.0	60.39	59.55	71.0	161.02	94.01	85.22	78.89	100.83	101.54	172.65	44.25	61.25	142.01	83.45	67.59	165.57	55.89	181.28	49.91	140.04	53.19	70.51	105.89	29.27	31.0	255.0	273.37	72.52	41.52	110.43	70.51	42.71	109.66	82.29	55.89	41.52	62.12	56.28	170.25	140.04	161.02	113.56	153.34	223.41	85.82	49.21	66.65	185.11	114.36	65.26	63.89	63.45	77.79	244.57	180.02	44.89	85.22	123.5	171.45	42.71	82.87	199.85	59.97	76.71	148.09	214.27	46.84	57.49	68.07	145.02	92.05	43.63	54.72	51.35	55.49	85.22	48.87	131.51	60.82	55.49	142.01	123.5	85.22	152.28	186.4	89.51	52.08
ATE1	470.14	521.76	151.22	180.02	351.14	460.44	529.06	249.73	559.28	122.64	248.0	234.57	218.79	665.29	438.59	312.0	371.22	199.85	406.31	417.77	363.56	329.84	518.15	521.76	277.2	339.14	521.76	253.23	164.42	246.28	159.9	432.53	291.04	287.01	303.44	271.48	379.04	420.68	191.67	297.17	363.56	299.25	267.73	376.41	220.32	503.95	201.25	511.0	283.05	241.19	363.56	88.26	167.9	483.38	463.65	249.73	197.09	336.79	258.57	205.5	373.81	265.87	231.32	175.07	214.27	181.28	435.55	332.14	426.57	409.15	447.82	293.07	239.52	223.41	217.27	429.54	363.56	249.73	236.21	198.47	329.84	480.04	473.41	178.77	226.54	323.03	486.75	142.01	307.69	493.56	186.4	283.05	384.34	514.56	169.07	190.34	232.94	444.72	253.23	185.11	206.94	224.97	195.72	273.37	239.52	389.72	228.13	229.72	473.41	384.34	316.37	444.72	551.56	397.93	265.87
