	TCGA.BH.A1F0.01A.11R.A137.07	TCGA.A2.A25F.01A.11R.A169.07	TCGA.AR.A1AO.01A.11R.A12P.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.B2.4098.01A.02R.1325.07	TCGA.86.8669.01A.11R.2403.07	TCGA.86.8674.01A.21R.2403.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.67.6215.01A.11R.1755.07	TCGA.62.8395.01A.11R.2326.07	TCGA.73.4677.01A.01R.1206.07	TCGA.44.7671.01A.11R.2066.07	TCGA.86.7713.01A.11R.2066.07	TCGA.55.6970.01A.11R.1949.07	TCGA.85.8355.01A.11R.2296.07	TCGA.M7.A71Z.01A.12R.A32O.07
ADORA3	571.05	271.48	303.44	18.29	33.54	420.68	218.79	32.13	35.5	187.71	191.67	262.2	112.77	102.97	336.79	215.77	14.56
ADTRP	87.65	110.43	126.12	109.66	13.72	60.82	18.03	9.63	22.92	40.36	31.45	52.08	23.76	20.56	33.54	64.34	8.99
AIF1	3982.99	4972.34	4328.55	348.71	693.58	2664.15	1127.35	205.5	297.17	1388.16	878.17	947.83	514.56	497.0	1508.65	1963.57	137.14
AP1S2	909.17	1175.27	1008.9	42.41	126.12	825.0	381.68	47.84	84.63	231.32	206.94	260.38	169.07	133.36	438.59	447.82	121.79
APOC1	9808.75	23986.58	138544.47	373.81	902.89	20170.07	7857.29	928.3	909.17	19348.38	4066.71	3928.15	4903.87	3212.66	11424.74	12676.65	339.14
APOE	12329.98	22850.48	70727.3	1572.76	8305.36	16727.26	7911.95	1023.0	836.53	13492.72	5183.54	4010.71	3280.18	2434.5	14461.21	17804.06	384.34
ATP6V0D2	75.64	37.85	624.99	0.0	0.0	77.79	17.25	7.94	2.61	57.89	9.41	39.22	30.12	3.53	63.45	176.29	0.0
ATP6V1B2	1745.2	3614.55	3124.78	1467.37	1322.37	2701.35	934.76	1127.35	775.05	1369.04	941.27	1639.59	1286.18	540.19	1769.57	1923.14	620.67
BTK	511.0	665.29	595.34	17.25	32.59	348.71	129.69	30.56	36.79	198.47	114.36	105.15	62.56	57.49	224.97	551.56	6.52
C1QA	10225.32	13681.08	12853.63	688.78	1498.22	8421.31	3955.48	775.05	753.83	3395.89	2193.99	3212.66	1639.59	1008.9	4607.24	9025.81	379.04
C1QB	10883.59	19618.49	11345.82	595.34	1159.07	10808.41	4972.34	656.11	802.41	4704.07	3103.19	3955.48	2240.11	1044.52	6337.83	14461.21	373.81
C1QC	9025.81	12764.83	8247.98	540.19	974.5	6607.01	3901.01	454.09	629.35	3820.7	3018.3	2609.3	1498.22	1250.98	5672.41	11112.3	265.87
C1orf162	1733.13	2701.35	1721.16	22.59	236.21	708.18	305.55	66.18	138.1	624.99	283.05	414.87	161.02	185.11	559.28	890.44	48.87
C3AR1	1250.98	981.29	1096.5	28.65	102.97	808.0	271.48	25.35	83.45	267.73	299.25	220.32	161.02	103.69	420.68	684.02	24.99
C6orf203	1487.87	529.06	507.46	406.31	674.59	825.0	251.48	305.55	183.82	368.65	244.57	387.02	351.14	162.14	389.72	559.28	329.84
CCL18	2004.85	3443.31	1583.71	0.0	0.0	4450.27	1233.75	353.59	201.25	5147.73	406.31	3901.01	2875.3	1051.79	4769.75	5219.6	2.34
CCR1	1191.69	909.17	1059.11	28.45	38.67	579.04	137.14	24.99	100.13	157.68	97.36	138.1	97.36	119.26	253.23	348.71	5.5
CD14	3419.52	4481.23	4869.99	329.84	285.03	3794.3	1397.83	291.04	392.44	1225.22	1733.13	1127.35	1008.9	525.39	2090.03	2468.49	147.06
CD164	6121.9	4704.07	4972.34	2193.99	3146.52	4095.0	4836.35	1313.23	2502.97	4268.94	1857.6	4575.41	2627.46	2032.85	3103.19	3928.15	1044.52
CD209	208.38	490.14	163.28	10.0	18.84	114.36	42.71	10.0	26.47	26.47	57.89	82.87	65.72	53.57	75.64	567.1	4.66
CD300A	738.29	759.08	728.11	37.59	81.14	543.96	312.0	46.18	61.25	353.59	195.72	154.42	138.1	139.07	279.14	532.74	17.13
CD33	325.29	406.31	457.25	23.25	57.08	287.01	91.41	12.27	31.9	153.34	102.97	111.21	63.89	46.18	111.99	256.78	9.93
CD37	2240.11	4298.64	3820.7	84.04	384.34	1340.84	872.1	149.12	165.57	915.51	718.08	848.22	412.0	242.88	1015.93	3820.7	25.72
CD4	1832.01	4181.07	3168.41	144.01	255.0	1477.58	915.51	120.94	275.28	808.0	872.1	928.3	679.29	356.05	1175.27	2047.0	31.67
