	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.E9.A243.01A.21R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.55.7283.01A.11R.2039.07	TCGA.78.7536.01A.11R.2066.07	TCGA.05.4420.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.55.7815.01A.11R.2170.07	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.86.8674.01A.21R.2403.07	TCGA.78.7159.01A.11R.2039.07	TCGA.97.7938.01A.11R.2170.07	TCGA.55.8203.01A.11R.2241.07	TCGA.55.6642.01A.11R.1858.07	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6849.01A.11R.1949.07	TCGA.55.6986.01A.11R.1949.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.50.5932.01A.11R.1755.07	TCGA.55.8615.01A.11R.2403.07	TCGA.NJ.A4YF.01A.12R.A262.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.05.4396.01A.21R.1858.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.73.4675.01A.01R.1206.07	TCGA.99.8032.01A.11R.2241.07	TCGA.55.7724.01A.11R.2170.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4384.01A.01R.1755.07	TCGA.73.7498.01A.12R.2187.07	TCGA.91.8497.01A.11R.2403.07	TCGA.44.8119.01A.11R.2241.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7537.01A.11R.2066.07	TCGA.99.7458.01A.11R.2039.07	TCGA.55.8508.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.55.7725.01A.11R.2170.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.69.7764.01A.11R.2170.07	TCGA.55.6970.01A.11R.1949.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WWYW.0926.SM.3NB2Z	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FH7.1726.SM.5IJE7
GIGYF2	147.06	191.67	679.29	325.29	1037.29	327.56	638.15	559.28	323.03	183.82	139.07	154.42	177.53	144.01	195.72	177.53	128.79	139.07	189.02	155.5	620.67	551.56	384.34	842.36	1088.92	612.11	785.88	287.01	616.37	693.58	507.46	624.99	703.28	514.56	529.06	480.04	674.59	796.86	454.09	454.09	579.04	511.0	616.37	389.72	503.95	457.25	638.15	536.45	438.59	629.35	591.22	525.39	490.14	575.03	457.25	575.03	514.56	381.68	454.09	651.58	941.27	819.3	358.54	785.88	567.1	738.29	529.06	842.36	525.39	629.35	438.59
GPD2	241.19	109.66	414.87	279.14	688.78	78.34	426.57	642.59	82.29	59.13	22.1	40.93	42.11	42.41	50.27	15.91	29.7	43.94	47.84	19.97	511.0	651.58	327.56	493.56	684.02	301.33	423.61	264.03	361.04	555.41	575.03	381.68	368.65	295.11	325.29	289.02	314.17	890.44	301.33	130.6	314.17	406.31	612.11	262.2	423.61	232.94	780.44	392.44	327.56	426.57	432.53	234.57	283.05	426.57	253.23	567.1	195.72	295.11	208.38	447.82	579.04	444.72	255.0	665.29	500.46	718.08	476.71	156.59	293.07	368.65	351.14
GTF3C3	173.85	123.5	267.73	173.85	575.03	297.17	226.54	320.8	117.6	122.64	153.34	185.11	156.59	88.26	117.6	93.35	95.34	120.94	176.29	81.14	373.81	447.82	305.55	297.17	559.28	289.02	371.22	201.25	314.17	420.68	486.75	248.0	473.41	217.27	332.14	316.37	260.38	555.41	327.56	363.56	316.37	314.17	583.07	255.0	267.73	229.72	599.49	358.54	265.87	444.72	312.0	281.09	460.44	211.31	211.31	366.09	255.0	312.0	217.27	351.14	483.38	486.75	208.38	518.15	366.09	603.67	283.05	170.25	529.06	346.29	255.0
HEATR5B	67.59	59.55	293.07	92.05	463.65	98.73	193.01	260.38	76.71	85.82	79.45	74.06	70.51	40.36	55.49	31.0	73.03	36.27	100.13	56.68	228.13	260.38	142.01	206.94	273.37	206.94	237.86	125.24	182.55	246.28	218.79	232.94	204.07	171.45	185.11	231.32	161.02	215.77	154.42	120.1	239.52	143.01	231.32	116.78	143.01	167.9	265.87	236.21	153.34	208.38	191.67	209.84	224.97	178.77	134.3	258.57	167.9	96.01	134.3	264.03	256.78	251.48	148.09	305.55	215.77	260.38	218.79	186.4	241.19	167.9	211.31
HFE	48.52	80.01	197.09	82.87	237.86	35.25	129.69	187.71	318.57	121.79	95.34	102.25	127.89	176.29	113.56	218.79	154.42	99.43	157.68	139.07	339.14	131.51	358.54	211.31	483.38	175.07	281.09	201.25	115.16	329.84	121.79	194.36	215.77	215.77	117.6	91.41	332.14	366.09	138.1	36.79	129.69	124.37	575.03	158.79	191.67	91.41	171.45	165.57	117.6	223.41	277.2	166.73	95.34	249.73	158.79	237.86	122.64	75.11	84.63	172.65	291.04	260.38	231.32	72.52	262.2	346.29	275.28	74.58	381.68	169.07	221.86
HIF1AN	143.01	158.79	343.89	237.86	521.76	98.73	575.03	426.57	297.17	84.04	140.04	68.07	143.01	153.34	136.19	158.79	117.6	119.26	106.63	116.78	249.73	392.44	273.37	368.65	521.76	234.57	406.31	161.02	376.41	281.09	316.37	473.41	271.48	209.84	264.03	135.24	423.61	329.84	246.28	152.28	343.89	195.72	363.56	228.13	265.87	244.57	555.41	239.52	371.22	486.75	320.8	262.2	373.81	351.14	145.02	406.31	165.57	281.09	236.21	221.86	285.03	400.71	204.07	307.69	217.27	507.46	400.71	204.07	460.44	209.84	325.29
IARS2	665.29	651.58	4181.07	693.58	2104.58	836.53	1259.69	1427.22	718.08	698.41	674.59	764.36	813.63	1268.46	723.08	493.56	872.1	1111.82	591.22	866.07	2555.58	1844.76	890.44	1572.76	2520.38	738.29	1199.98	1561.89	1733.13	2209.26	1832.01	1286.18	1350.18	1733.13	1225.22	1313.23	3212.66	3564.78	1832.01	1151.06	1950.0	1498.22	1844.76	1769.57	1427.22	1295.13	1551.09	1519.15	1685.71	1977.24	1583.71	902.89	1594.73	1896.65	1268.46	2163.77	1551.09	1250.98	1662.49	1870.53	1909.85	2319.15	1159.07	1950.0	1369.04	2682.69	1519.15	551.56	921.88	941.27	1498.22
ICK	44.89	41.81	305.55	57.89	409.15	109.66	176.29	237.86	26.1	54.33	83.45	37.85	45.85	62.12	66.18	57.49	78.34	74.58	77.25	34.75	258.57	429.54	170.25	262.2	379.04	236.21	281.09	202.66	267.73	368.65	201.25	279.14	132.44	120.94	187.71	144.01	209.84	154.42	153.34	58.3	214.27	177.53	403.5	170.25	71.0	136.19	336.79	156.59	131.51	244.57	214.27	176.29	149.12	248.0	178.77	201.25	114.36	84.04	93.35	185.11	221.86	332.14	129.69	229.72	353.59	332.14	187.71	126.12	170.25	215.77	103.69
IDE	251.48	119.26	591.22	264.03	647.07	152.28	400.71	540.19	127.0	218.79	202.66	157.68	356.05	267.73	153.34	191.67	150.17	189.02	226.54	164.42	466.88	514.56	287.01	486.75	796.86	486.75	397.93	339.14	521.76	373.81	511.0	559.28	336.79	387.02	387.02	273.37	466.88	591.22	490.14	220.32	518.15	426.57	665.29	368.65	432.53	490.14	830.75	255.0	507.46	379.04	387.02	353.59	403.5	559.28	426.57	441.64	241.19	260.38	392.44	470.14	400.71	753.83	303.44	660.68	371.22	884.29	376.41	214.27	320.8	358.54	273.37
IFRG15	0.0	0.0	444.72	0.0	271.48	0.0	99.43	166.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.45	197.09	176.29	53.95	323.03	460.44	54.33	305.55	0.0	123.5	256.78	105.15	145.02	100.13	30.78	69.03	0.0	307.69	226.54	81.14	64.34	171.45	31.67	356.05	55.1	55.1	50.98	134.3	63.45	99.43	208.38	218.79	123.5	97.36	115.16	1.6	273.37	52.45	91.41	15.91	9.63	151.22	400.71	94.67	218.79	113.56	381.68	194.36	164.42	193.01	246.28	90.14
