	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.E9.A243.01A.21R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.55.7283.01A.11R.2039.07	TCGA.78.7536.01A.11R.2066.07	TCGA.05.4420.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.55.7815.01A.11R.2170.07	TCGA.78.7161.01A.11R.2039.07	TCGA.55.7573.01A.11R.2039.07	TCGA.86.8674.01A.21R.2403.07	TCGA.78.7159.01A.11R.2039.07	TCGA.97.7938.01A.11R.2170.07	TCGA.55.8203.01A.11R.2241.07	TCGA.55.6642.01A.11R.1858.07	TCGA.55.6971.01A.11R.1949.07	TCGA.91.6849.01A.11R.1949.07	TCGA.55.6986.01A.11R.1949.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.50.5932.01A.11R.1755.07	TCGA.55.8615.01A.11R.2403.07	TCGA.NJ.A4YF.01A.12R.A262.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.05.4396.01A.21R.1858.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.73.4675.01A.01R.1206.07	TCGA.99.8032.01A.11R.2241.07	TCGA.55.7724.01A.11R.2170.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4384.01A.01R.1755.07	TCGA.73.7498.01A.12R.2187.07	TCGA.91.8497.01A.11R.2403.07	TCGA.44.8119.01A.11R.2241.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7537.01A.11R.2066.07	TCGA.99.7458.01A.11R.2039.07	TCGA.55.8508.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.55.7725.01A.11R.2170.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.69.7764.01A.11R.2170.07	TCGA.55.6970.01A.11R.1949.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WWYW.0926.SM.3NB2Z	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FH7.1726.SM.5IJE7
NDUFS1	521.76	327.56	1023.0	348.71	1268.46	417.77	2148.82	1259.69	947.83	808.0	656.11	688.78	854.13	836.53	612.11	551.56	387.02	521.76	529.06	1216.75	1331.57	2319.15	878.17	1350.18	1844.76	624.99	947.83	647.07	967.76	954.43	753.83	825.0	1104.13	954.43	684.02	1015.93	1111.82	1806.78	954.43	1359.57	796.86	1119.56	1819.35	723.08	718.08	738.29	947.83	1159.07	1066.48	1051.79	974.5	884.29	902.89	1183.45	718.08	884.29	708.18	738.29	780.44	896.64	1437.15	1628.26	612.11	1313.23	813.63	2758.13	1159.07	432.53	521.76	1111.82	1322.37
NEK7	90.77	202.66	819.3	84.04	1286.18	111.99	629.35	728.11	109.66	165.57	211.31	102.25	145.02	244.57	218.79	176.29	220.32	232.94	283.05	91.41	660.68	536.45	366.09	825.0	866.07	371.22	764.36	314.17	493.56	1088.92	540.19	571.05	567.1	525.39	348.71	463.65	802.41	830.75	417.77	237.86	587.13	279.14	728.11	307.69	363.56	403.5	791.35	507.46	466.88	620.67	563.18	438.59	620.67	423.61	423.61	1037.29	412.0	389.72	351.14	866.07	830.75	651.58	356.05	665.29	603.67	733.19	624.99	563.18	1073.91	1295.13	642.59
NOC3L	91.41	126.12	406.31	74.58	426.57	127.89	220.32	165.57	25.35	122.64	94.01	100.13	74.06	70.01	115.97	102.97	82.29	72.01	77.79	17.38	323.03	251.48	185.11	199.85	211.31	201.25	224.97	114.36	176.29	241.19	220.32	244.57	155.5	171.45	139.07	100.13	189.02	215.77	138.1	84.63	253.23	73.03	148.09	125.24	139.07	199.85	267.73	151.22	187.71	185.11	151.22	157.68	180.02	114.36	100.13	395.18	127.89	148.09	166.73	323.03	156.59	289.02	173.85	267.73	175.07	384.34	185.11	161.02	130.6	156.59	208.38
NUP133	307.69	429.54	1183.45	316.37	842.36	255.0	368.65	500.46	204.07	205.5	166.73	246.28	164.42	237.86	195.72	208.38	293.07	267.73	128.79	158.79	748.61	961.07	361.04	616.37	759.08	361.04	599.49	463.65	620.67	559.28	802.41	507.46	466.88	511.0	395.18	579.04	941.27	1037.29	529.06	403.5	728.11	507.46	497.0	540.19	392.44	514.56	703.28	457.25	497.0	583.07	532.74	400.71	403.5	503.95	441.64	708.18	642.59	406.31	483.38	656.11	669.92	651.58	409.15	738.29	423.61	878.17	426.57	381.68	341.51	356.05	438.59
NUP153	123.5	182.55	669.92	121.79	791.35	202.66	473.41	540.19	131.51	197.09	120.94	103.69	104.42	83.45	154.42	116.78	175.07	125.24	146.03	144.01	438.59	480.04	412.0	483.38	493.56	346.29	450.94	327.56	397.93	567.1	358.54	417.77	426.57	332.14	368.65	246.28	507.46	633.73	361.04	249.73	336.79	258.57	463.65	249.73	149.12	275.28	438.59	441.64	277.2	346.29	381.68	334.46	353.59	400.71	202.66	420.68	265.87	353.59	262.2	466.88	480.04	651.58	232.94	529.06	432.53	633.73	325.29	269.6	384.34	629.35	384.34
PAPOLG	92.7	88.26	248.0	51.35	249.73	81.71	104.42	166.73	44.25	50.98	42.41	46.18	32.82	39.5	49.56	28.24	41.81	29.27	47.84	25.17	212.78	265.87	198.47	143.01	289.02	150.17	183.82	98.73	215.77	166.73	201.25	175.07	173.85	142.01	141.02	189.02	163.28	175.07	169.07	58.3	147.06	111.99	186.4	94.01	102.97	137.14	241.19	217.27	147.06	229.72	206.94	161.02	167.9	142.01	124.37	234.57	128.79	150.17	105.89	237.86	198.47	181.28	94.01	255.0	189.02	191.67	115.16	109.66	262.2	88.88	90.77
PBRM1	113.56	152.28	463.65	114.36	753.83	133.36	403.5	551.56	48.87	101.54	81.14	77.25	67.59	72.01	102.97	68.07	88.88	101.54	96.01	59.55	312.0	429.54	180.02	426.57	642.59	293.07	356.05	251.48	285.03	395.18	384.34	379.04	483.38	291.04	371.22	215.77	312.0	281.09	214.27	132.44	387.02	241.19	518.15	248.0	116.78	228.13	389.72	275.28	348.71	387.02	277.2	320.8	368.65	351.14	269.6	423.61	389.72	221.86	176.29	363.56	400.71	551.56	198.47	559.28	303.44	486.75	551.56	212.78	575.03	543.96	346.29
PIKFYVE	76.17	34.75	201.25	27.25	348.71	49.21	100.83	148.09	32.36	40.93	55.1	42.41	38.95	33.06	43.02	48.52	36.79	19.97	63.45	28.86	131.51	348.71	76.17	155.5	193.01	135.24	186.4	47.5	141.02	178.77	127.0	157.68	209.84	114.36	111.99	102.97	103.69	159.9	115.97	79.45	144.01	98.04	162.14	65.26	78.34	138.1	171.45	111.21	103.69	134.3	145.02	157.68	142.01	85.22	90.14	186.4	114.36	81.14	82.29	169.07	176.29	170.25	76.71	237.86	129.69	237.86	111.21	146.03	173.85	148.09	109.66
PLEKHM3	3.92	4.03	42.11	8.0	103.69	6.73	45.85	69.52	16.27	7.82	13.12	12.36	18.7	13.22	12.83	16.15	9.85	4.58	13.12	25.91	61.25	129.69	39.5	123.5	70.01	19.68	63.89	11.73	37.05	99.43	33.3	72.52	55.89	41.22	28.45	49.91	49.91	73.54	38.4	19.68	40.36	43.32	72.01	33.3	15.0	18.84	52.08	40.93	38.95	50.98	82.87	53.57	35.25	69.52	33.3	53.19	34.26	34.26	21.16	43.02	114.36	75.64	24.81	77.25	85.82	84.04	60.82	55.49	80.57	85.22	36.53
PPIL3	559.28	318.57	890.44	525.39	872.1	595.34	273.37	603.67	384.34	493.56	551.56	748.61	497.0	409.15	180.02	361.04	389.72	341.51	595.34	154.42	796.86	1340.84	603.67	575.03	961.07	191.67	813.63	567.1	518.15	579.04	764.36	460.44	624.99	540.19	764.36	603.67	974.5	579.04	674.59	567.1	808.0	571.05	642.59	518.15	237.86	483.38	769.69	518.15	384.34	624.99	848.22	540.19	305.55	536.45	607.87	796.86	511.0	267.73	353.59	791.35	1015.93	674.59	376.41	417.77	1208.34	1487.87	679.29	599.49	961.07	532.74	603.67
PRKRA	743.43	470.14	769.69	579.04	1199.98	718.08	915.51	616.37	387.02	480.04	224.97	397.93	197.09	271.48	358.54	281.09	209.84	334.46	291.04	249.73	660.68	1407.55	813.63	1088.92	1233.75	780.44	981.29	1001.93	1015.93	1127.35	1551.09	785.88	860.08	928.3	780.44	1001.93	928.3	974.5	872.1	934.76	860.08	947.83	1233.75	819.3	1008.9	941.27	1044.52	934.76	1081.39	796.86	866.07	775.05	947.83	713.11	854.13	688.78	988.12	599.49	884.29	884.29	1233.75	1216.75	669.92	934.76	934.76	1340.84	679.29	529.06	748.61	748.61	791.35
PRRC2C	567.1	583.07	2855.44	684.02	2555.58	902.89	1030.12	1769.57	325.29	450.94	384.34	353.59	301.33	387.02	547.75	256.78	429.54	532.74	599.49	224.97	1950.0	2224.63	633.73	1936.53	2520.38	1870.53	2090.03	1208.34	2193.99	1963.57	2255.7	1844.76	1991.0	1529.73	1313.23	1225.22	2163.77	1936.53	1350.18	1037.29	2090.03	1561.89	1498.22	1295.13	1104.13	2119.22	2178.83	1923.14	1104.13	1721.16	1950.0	1159.07	1733.13	1286.18	1733.13	2032.85	1709.26	1135.2	1407.55	2976.74	2163.77	2004.85	1322.37	2104.58	1794.29	1870.53	1119.56	1143.1	1023.0	2090.03	830.75
PRUNE	325.29	281.09	733.19	363.56	954.43	346.29	441.64	397.93	356.05	121.79	246.28	265.87	228.13	426.57	236.21	156.59	334.46	373.81	273.37	255.0	915.51	708.18	420.68	713.11	656.11	665.29	780.44	890.44	688.78	775.05	713.11	738.29	1111.82	547.75	348.71	728.11	866.07	808.0	693.58	813.63	651.58	591.22	624.99	665.29	583.07	536.45	595.34	660.68	579.04	878.17	753.83	529.06	490.14	543.96	490.14	708.18	708.18	587.13	579.04	753.83	791.35	551.56	441.64	457.25	759.08	1143.1	417.77	381.68	872.1	255.0	334.46
PUM2	384.34	426.57	1369.04	376.41	1733.13	555.41	759.08	1044.52	275.28	363.56	381.68	299.25	285.03	336.79	463.65	291.04	366.09	244.57	435.55	291.04	1023.0	1277.29	1044.52	890.44	1159.07	1015.93	1073.91	567.1	848.22	1135.2	872.1	1467.37	934.76	679.29	819.3	769.69	890.44	1277.29	808.0	559.28	974.5	642.59	1081.39	674.59	660.68	836.53	1378.57	1023.0	759.08	1059.11	842.36	830.75	884.29	848.22	733.19	1059.11	759.08	660.68	733.19	1088.92	1104.13	1191.69	718.08	1081.39	1295.13	1322.37	743.43	599.49	1340.84	915.51	414.87
RAB3GAP1	299.25	279.14	638.15	414.87	748.61	320.8	642.59	708.18	316.37	231.32	223.41	258.57	204.07	195.72	220.32	155.5	140.04	141.02	241.19	189.02	660.68	525.39	239.52	713.11	669.92	366.09	842.36	389.72	497.0	703.28	642.59	567.1	567.1	540.19	438.59	503.95	693.58	633.73	351.14	332.14	563.18	444.72	521.76	269.6	633.73	414.87	785.88	417.77	332.14	567.1	503.95	525.39	444.72	583.07	638.15	728.11	387.02	297.17	423.61	718.08	674.59	651.58	532.74	607.87	656.11	830.75	563.18	470.14	579.04	780.44	476.71
RAB3GAP2	100.83	107.38	638.15	53.19	575.03	110.43	217.27	267.73	36.01	92.7	99.43	75.11	103.69	116.78	106.63	69.52	115.97	115.16	113.56	35.5	373.81	368.65	164.42	454.09	748.61	244.57	366.09	248.0	457.25	406.31	417.77	348.71	334.46	289.02	212.78	312.0	563.18	638.15	244.57	176.29	450.94	249.73	307.69	343.89	234.57	327.56	379.04	217.27	395.18	384.34	346.29	262.2	318.57	314.17	293.07	384.34	371.22	242.88	234.57	454.09	403.5	493.56	246.28	414.87	366.09	529.06	154.42	318.57	305.55	346.29	173.85
RANBP2	147.06	120.94	703.28	144.01	981.29	198.47	575.03	633.73	63.89	162.14	130.6	104.42	144.01	100.83	118.43	100.83	162.14	75.64	102.25	84.63	466.88	476.71	242.88	555.41	738.29	368.65	753.83	183.82	532.74	656.11	384.34	591.22	438.59	371.22	441.64	356.05	346.29	403.5	205.5	182.55	447.82	334.46	420.68	228.13	287.01	381.68	603.67	450.94	265.87	368.65	358.54	368.65	447.82	420.68	400.71	575.03	262.2	253.23	265.87	521.76	567.1	543.96	314.17	688.78	376.41	591.22	363.56	373.81	638.15	346.29	299.25
RCAN3	94.67	211.31	293.07	131.51	423.61	92.7	208.38	429.54	70.01	37.59	25.91	55.49	37.59	16.51	35.5	16.27	92.7	125.24	23.93	13.12	211.31	223.41	253.23	343.89	249.73	127.0	295.11	217.27	175.07	291.04	209.84	157.68	279.14	208.38	127.89	258.57	260.38	189.02	180.02	327.56	264.03	199.85	249.73	148.09	128.79	181.28	209.84	198.47	177.53	215.77	189.02	201.25	172.65	305.55	98.04	361.04	145.02	93.35	253.23	253.23	343.89	253.23	163.28	379.04	303.44	264.03	320.8	285.03	218.79	547.75	165.57
RIF1	53.57	62.12	318.57	47.17	525.39	105.89	173.85	191.67	8.51	45.21	46.5	39.79	33.78	38.95	45.21	43.32	49.56	36.01	68.07	14.03	193.01	186.4	87.65	172.65	275.28	152.28	212.78	72.52	217.27	205.5	217.27	193.01	242.88	115.97	131.51	205.5	117.6	199.85	137.14	84.04	161.02	125.24	171.45	114.36	108.14	178.77	269.6	194.36	115.16	130.6	126.12	142.01	140.04	136.19	99.43	262.2	102.97	111.99	97.36	212.78	255.0	221.86	101.54	361.04	212.78	260.38	77.25	115.97	144.01	132.44	119.26
ROCK2	108.9	110.43	348.71	70.51	647.07	318.57	329.84	301.33	18.84	154.42	124.37	76.17	83.45	108.9	112.77	98.73	122.64	56.68	92.7	31.45	346.29	373.81	346.29	414.87	483.38	351.14	432.53	115.16	348.71	454.09	392.44	575.03	348.71	234.57	183.82	239.52	281.09	457.25	299.25	193.01	229.72	217.27	483.38	199.85	205.5	336.79	429.54	363.56	255.0	457.25	323.03	305.55	387.02	301.33	226.54	423.61	262.2	208.38	221.86	429.54	363.56	429.54	201.25	400.71	450.94	470.14	248.0	323.03	314.17	275.28	318.57
SAP130	180.02	164.42	229.72	212.78	291.04	205.5	255.0	314.17	206.94	87.65	94.67	132.44	123.5	108.9	130.6	89.51	95.34	96.01	120.1	94.01	373.81	412.0	248.0	371.22	356.05	228.13	420.68	190.34	291.04	285.03	289.02	287.01	329.84	223.41	224.97	226.54	279.14	363.56	271.48	215.77	246.28	289.02	226.54	229.72	285.03	218.79	358.54	341.51	249.73	301.33	293.07	285.03	248.0	281.09	251.48	262.2	198.47	212.78	199.85	275.28	373.81	277.2	229.72	392.44	351.14	351.14	309.83	223.41	325.29	136.19	327.56
SCRN3	212.78	145.02	327.56	149.12	563.18	177.53	353.59	376.41	69.03	149.12	265.87	122.64	150.17	161.02	134.3	157.68	155.5	129.69	201.25	100.83	423.61	525.39	273.37	518.15	470.14	466.88	429.54	251.48	358.54	532.74	543.96	293.07	447.82	346.29	316.37	327.56	511.0	277.2	343.89	336.79	348.71	329.84	698.41	220.32	334.46	223.41	457.25	351.14	379.04	417.77	327.56	346.29	251.48	373.81	291.04	420.68	202.66	205.5	551.56	318.57	759.08	728.11	376.41	540.19	656.11	764.36	483.38	189.02	473.41	295.11	397.93
SDE2	50.98	117.6	497.0	82.29	563.18	59.97	241.19	285.03	103.69	145.02	115.16	75.64	106.63	120.94	120.94	72.01	117.6	108.9	110.43	120.94	457.25	444.72	204.07	389.72	454.09	281.09	341.51	289.02	327.56	480.04	277.2	325.29	373.81	351.14	253.23	379.04	540.19	612.11	269.6	163.28	387.02	217.27	332.14	217.27	191.67	339.14	389.72	348.71	351.14	314.17	251.48	195.72	341.51	314.17	197.09	441.64	265.87	199.85	293.07	426.57	363.56	521.76	187.71	417.77	291.04	466.88	289.02	256.78	293.07	470.14	325.29
SEC23IP	248.0	197.09	703.28	182.55	995.0	140.04	435.55	540.19	185.11	249.73	171.45	115.97	217.27	199.85	220.32	175.07	172.65	134.3	171.45	145.02	543.96	651.58	397.93	748.61	684.02	555.41	532.74	346.29	743.43	559.28	595.34	703.28	551.56	599.49	532.74	450.94	579.04	693.58	409.15	503.95	647.07	476.71	808.0	414.87	406.31	423.61	693.58	426.57	674.59	647.07	466.88	420.68	693.58	575.03	480.04	559.28	320.8	432.53	463.65	665.29	525.39	780.44	379.04	743.43	473.41	733.19	514.56	620.67	457.25	665.29	638.15
SHOC2	199.85	287.01	842.36	231.32	1250.98	133.36	490.14	583.07	156.59	314.17	217.27	151.22	199.85	234.57	285.03	241.19	171.45	148.09	226.54	180.02	575.03	400.71	353.59	612.11	624.99	441.64	460.44	314.17	525.39	547.75	435.55	540.19	379.04	470.14	361.04	318.57	450.94	651.58	373.81	165.57	679.29	417.77	583.07	293.07	366.09	450.94	728.11	303.44	463.65	460.44	403.5	417.77	518.15	536.45	406.31	571.05	285.03	291.04	414.87	607.87	476.71	642.59	327.56	381.68	567.1	693.58	693.58	327.56	563.18	591.22	525.39
SLC30A6	159.9	148.09	420.68	89.51	420.68	106.63	176.29	260.38	108.14	107.38	75.11	75.11	138.1	94.67	104.42	88.88	109.66	78.89	96.68	84.63	441.64	314.17	417.77	241.19	371.22	208.38	283.05	140.04	361.04	379.04	264.03	395.18	332.14	164.42	248.0	273.37	301.33	332.14	316.37	204.07	273.37	161.02	426.57	215.77	206.94	220.32	366.09	289.02	242.88	287.01	198.47	191.67	244.57	295.11	229.72	444.72	215.77	248.0	218.79	289.02	193.01	299.25	143.01	432.53	289.02	511.0	323.03	139.07	241.19	169.07	255.0
SLC4A1AP	248.0	336.79	460.44	348.71	432.53	231.32	373.81	555.41	142.01	215.77	236.21	269.6	248.0	220.32	279.14	264.03	334.46	193.01	197.09	151.22	426.57	624.99	420.68	353.59	406.31	476.71	457.25	289.02	521.76	483.38	490.14	450.94	397.93	379.04	336.79	373.81	403.5	551.56	371.22	262.2	389.72	299.25	423.61	279.14	314.17	395.18	473.41	555.41	339.14	409.15	356.05	325.29	379.04	368.65	323.03	540.19	351.14	351.14	339.14	400.71	454.09	521.76	307.69	366.09	460.44	476.71	435.55	256.78	414.87	356.05	441.64
SMC3	242.88	281.09	1127.35	295.11	1066.48	260.38	483.38	723.08	47.17	177.53	170.25	131.51	162.14	157.68	183.82	187.71	221.86	153.34	239.52	73.54	607.87	1001.93	323.03	620.67	708.18	511.0	518.15	329.84	748.61	583.07	612.11	738.29	511.0	417.77	258.57	329.84	454.09	718.08	363.56	256.78	656.11	460.44	796.86	320.8	379.04	583.07	775.05	480.04	450.94	460.44	441.64	441.64	954.43	555.41	371.22	684.02	368.65	466.88	381.68	665.29	624.99	612.11	325.29	769.69	493.56	825.0	713.11	214.27	642.59	400.71	674.59
SMEK2	412.0	325.29	1628.26	217.27	1183.45	392.44	612.11	934.76	82.87	316.37	432.53	279.14	351.14	327.56	551.56	356.05	438.59	299.25	356.05	171.45	941.27	1359.57	909.17	769.69	995.0	848.22	878.17	503.95	872.1	1015.93	753.83	1073.91	748.61	629.35	607.87	934.76	796.86	909.17	1225.22	312.0	909.17	620.67	1119.56	463.65	642.59	698.41	1081.39	896.64	698.41	785.88	651.58	616.37	551.56	769.69	674.59	1081.39	536.45	486.75	583.07	947.83	902.89	866.07	490.14	928.3	967.76	1340.84	808.0	629.35	612.11	1268.46	514.56
SMG7	358.54	463.65	808.0	429.54	1037.29	551.56	583.07	748.61	316.37	371.22	460.44	348.71	269.6	403.5	307.69	287.01	320.8	327.56	358.54	246.28	884.29	1167.14	466.88	884.29	928.3	624.99	934.76	813.63	854.13	934.76	713.11	915.51	728.11	551.56	599.49	775.05	1159.07	1216.75	842.36	612.11	1001.93	616.37	947.83	769.69	679.29	753.83	1277.29	825.0	669.92	934.76	915.51	638.15	775.05	665.29	665.29	1037.29	872.1	460.44	842.36	1073.91	1001.93	1001.93	607.87	1721.16	995.0	1295.13	791.35	688.78	1388.16	536.45	480.04
SMNDC1	312.0	229.72	718.08	246.28	796.86	236.21	486.75	620.67	215.77	307.69	199.85	138.1	162.14	177.53	209.84	119.26	197.09	183.82	214.27	137.14	497.0	567.1	493.56	579.04	616.37	473.41	429.54	381.68	633.73	579.04	507.46	511.0	423.61	414.87	316.37	368.65	414.87	603.67	387.02	267.73	571.05	387.02	441.64	320.8	318.57	497.0	603.67	444.72	587.13	500.46	466.88	384.34	633.73	500.46	389.72	463.65	299.25	567.1	454.09	559.28	435.55	591.22	363.56	796.86	521.76	759.08	389.72	353.59	511.0	307.69	521.76
SOCS5	59.13	90.14	346.29	63.45	500.46	43.63	223.41	228.13	52.82	99.43	50.63	33.78	54.72	60.39	85.82	57.89	66.18	44.89	81.71	38.67	256.78	122.64	206.94	255.0	314.17	221.86	295.11	181.28	246.28	309.83	198.47	373.81	201.25	242.88	152.28	295.11	195.72	248.0	232.94	90.14	234.57	120.94	248.0	106.63	180.02	221.86	312.0	223.41	166.73	295.11	231.32	194.36	242.88	224.97	208.38	299.25	171.45	145.02	197.09	248.0	273.37	438.59	169.07	166.73	248.0	264.03	293.07	129.69	295.11	151.22	248.0
SOS1	146.03	127.0	493.56	68.07	624.99	120.94	206.94	332.14	38.12	76.17	88.26	77.25	76.17	65.26	90.14	83.45	123.5	55.49	99.43	59.13	297.17	412.0	212.78	312.0	371.22	271.48	361.04	190.34	366.09	348.71	316.37	493.56	353.59	248.0	220.32	275.28	201.25	314.17	253.23	141.02	305.55	221.86	400.71	176.29	155.5	277.2	423.61	358.54	215.77	289.02	255.0	265.87	289.02	228.13	221.86	356.05	205.5	190.34	187.71	309.83	305.55	409.15	172.65	358.54	384.34	412.0	260.38	267.73	579.04	217.27	285.03
SP3	164.42	255.0	1167.14	256.78	1883.54	392.44	629.35	884.29	135.24	246.28	273.37	191.67	153.34	239.52	309.83	241.19	223.41	176.29	299.25	155.5	1030.12	1191.69	591.22	954.43	1111.82	813.63	1051.79	511.0	915.51	1233.75	1096.5	981.29	995.0	583.07	595.34	785.88	759.08	1191.69	679.29	318.57	842.36	660.68	842.36	503.95	518.15	629.35	1286.18	1023.0	642.59	780.44	753.83	728.11	733.19	575.03	669.92	967.76	708.18	563.18	503.95	1175.27	1059.11	909.17	536.45	1159.07	1127.35	1183.45	514.56	483.38	896.64	591.22	447.82
SPAST	67.12	100.83	329.84	63.45	253.23	73.54	138.1	165.57	30.34	66.18	61.25	59.13	54.72	58.3	81.71	46.84	78.89	62.56	48.52	52.45	209.84	256.78	191.67	155.5	236.21	158.79	182.55	127.0	218.79	181.28	224.97	228.13	171.45	139.07	145.02	172.65	176.29	178.77	156.59	78.89	180.02	81.71	186.4	124.37	97.36	154.42	314.17	249.73	166.73	171.45	96.01	111.99	232.94	155.5	98.04	229.72	139.07	143.01	144.01	161.02	164.42	214.27	119.26	220.32	193.01	239.52	194.36	70.51	212.78	89.51	115.97
SPATA5	18.16	19.53	54.72	20.71	98.04	32.36	31.9	54.72	7.63	12.74	9.34	11.04	19.25	9.41	14.89	20.26	15.91	12.09	30.12	10.24	45.53	52.45	20.56	35.25	78.34	28.04	40.36	27.25	43.94	53.57	36.01	47.17	46.18	31.45	38.67	18.56	31.0	68.07	25.72	7.69	37.59	24.28	68.55	30.12	19.82	22.75	47.84	39.79	18.56	38.95	31.45	25.35	40.07	38.4	21.78	49.91	24.81	43.02	27.84	50.27	38.4	64.34	27.64	57.89	41.22	59.97	27.05	26.1	37.05	33.78	28.04
SPOPL	76.17	77.25	255.0	71.5	759.08	63.89	201.25	336.79	31.22	71.5	70.01	49.56	70.51	63.89	78.89	80.01	53.95	48.52	108.9	50.63	267.73	228.13	223.41	242.88	329.84	220.32	334.46	87.65	244.57	281.09	346.29	264.03	228.13	132.44	163.28	237.86	159.9	373.81	206.94	92.05	204.07	193.01	381.68	144.01	150.17	191.67	255.0	241.19	180.02	264.03	159.9	157.68	214.27	150.17	105.89	392.44	112.77	149.12	152.28	256.78	246.28	244.57	111.99	262.2	312.0	392.44	189.02	195.72	312.0	267.73	138.1
SPRTN	94.01	69.03	265.87	62.56	275.28	75.64	127.0	185.11	24.11	74.58	83.45	47.5	53.57	90.14	61.68	40.93	82.29	89.51	75.11	38.67	183.82	199.85	134.3	120.94	182.55	146.03	197.09	131.51	180.02	165.57	206.94	139.07	165.57	143.01	70.51	151.22	218.79	249.73	132.44	164.42	181.28	136.19	151.22	180.02	64.34	128.79	221.86	157.68	195.72	187.71	178.77	108.14	135.24	146.03	94.01	143.01	187.71	152.28	190.34	175.07	161.02	244.57	105.15	228.13	153.34	265.87	159.9	69.52	111.21	91.41	148.09
STAM2	115.16	74.06	314.17	85.22	624.99	92.05	228.13	348.71	39.5	84.04	115.16	85.82	102.97	119.26	98.73	124.37	74.06	106.63	138.1	49.91	295.11	194.36	171.45	339.14	346.29	199.85	595.34	226.54	262.2	503.95	309.83	223.41	217.27	258.57	209.84	253.23	363.56	309.83	156.59	237.86	256.78	215.77	363.56	141.02	307.69	195.72	463.65	218.79	255.0	291.04	307.69	285.03	169.07	279.14	242.88	395.18	123.5	242.88	191.67	351.14	423.61	325.29	159.9	392.44	384.34	559.28	366.09	226.54	423.61	441.64	256.78
STK33	26.28	31.45	133.36	6.62	10.47	10.96	71.0	231.32	58.71	23.76	0.69	1.41	2.25	0.0	1.08	0.97	5.73	0.0	0.0	8.92	211.31	341.51	361.04	312.0	299.25	323.03	267.73	191.67	297.17	339.14	201.25	114.36	289.02	37.32	177.53	136.19	237.86	186.4	414.87	149.12	470.14	186.4	75.64	332.14	59.55	234.57	96.68	194.36	142.01	172.65	100.13	199.85	409.15	265.87	318.57	187.71	251.48	229.72	144.01	201.25	476.71	417.77	92.7	309.83	361.04	154.42	1529.73	941.27	356.05	3235.01	629.35
SUCO	104.42	120.1	791.35	102.97	1015.93	291.04	297.17	656.11	58.71	132.44	109.66	117.6	156.59	138.1	118.43	113.56	121.79	138.1	144.01	41.52	420.68	403.5	209.84	454.09	872.1	353.59	540.19	277.2	547.75	612.11	493.56	441.64	339.14	316.37	169.07	334.46	384.34	693.58	420.68	226.54	417.77	287.01	575.03	351.14	183.82	420.68	395.18	414.87	318.57	397.93	307.69	295.11	341.51	275.28	368.65	503.95	371.22	341.51	255.0	493.56	361.04	334.46	212.78	511.0	417.77	536.45	507.46	143.01	435.55	392.44	189.02
SYNRG	217.27	145.02	547.75	129.69	775.05	140.04	323.03	441.64	205.5	92.7	111.21	129.69	102.97	76.17	111.21	43.02	118.43	73.03	119.26	127.89	361.04	409.15	178.77	587.13	563.18	277.2	450.94	167.9	420.68	381.68	387.02	460.44	511.0	289.02	299.25	318.57	299.25	447.82	387.02	303.44	314.17	283.05	262.2	228.13	232.94	301.33	373.81	432.53	256.78	332.14	339.14	384.34	423.61	320.8	246.28	511.0	376.41	197.09	202.66	444.72	356.05	387.02	248.0	514.56	684.02	409.15	237.86	384.34	688.78	438.59	211.31
