	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.JY.A93E.01A.11R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.X4XY.1726.SM.46MVO	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11WQC.0626.SM.5EQMF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.IN.8663.01A.11R.2402.13
ACAT1	14262.1	301.33	447.82	486.75	312.0	473.41	587.13	693.58	318.57	412.0	341.51	607.87	291.04	3716.2	3515.68	3039.3	5076.84	3847.29	0.0	0.56	511.0	1059.11	1819.35	698.41	748.61	660.68	1487.87	769.69	995.0	698.41	5555.65	775.05	237.86
AFG3L2	2287.2	842.36	483.38	633.73	518.15	629.35	497.0	400.71	571.05	511.0	620.67	612.11	656.11	1605.83	1467.37	1277.29	1857.6	1819.35	447.82	126.12	201.25	1268.46	1519.15	1583.71	934.76	1015.93	1059.11	1407.55	1313.23	1477.58	2384.37	587.13	728.11
ALAS1	2739.08	1651.0	389.72	743.43	660.68	511.0	536.45	579.04	651.58	587.13	934.76	769.69	842.36	1350.18	1963.57	1340.84	1417.35	1662.49	0.0	0.16	1529.73	1216.75	1529.73	1331.57	2485.67	1295.13	1594.73	1870.53	1417.35	1388.16	2796.65	738.29	547.75
ANK3	2384.37	642.59	241.19	303.44	143.01	309.83	172.65	212.78	177.53	277.2	197.09	279.14	131.51	1540.37	1340.84	974.5	2047.0	1909.85	0.0	0.02	158.79	248.0	759.08	173.85	236.21	607.87	373.81	241.19	281.09	132.44	1216.75	104.42	190.34
ATP5A1	32767.0	12244.81	4358.66	6207.38	3467.27	5517.27	3665.02	3690.52	4972.34	5672.41	5751.61	8658.09	2956.17	22850.48	20593.91	20170.07	25887.07	29124.6	0.0	0.89	2664.15	20170.07	24321.43	15934.98	13776.25	14561.8	20170.07	16383.0	14765.09	18560.17	59887.86	3847.29	3820.7
ATP5B	47313.67	18950.18	8479.89	12329.98	10084.54	10512.82	9344.14	7433.4	9673.69	11345.82	14461.21	12764.83	9344.14	34396.12	33688.23	30572.63	39510.91	42641.37	0.0	1.43	6652.97	25530.66	30785.28	22535.88	23009.42	20451.65	31215.04	21320.18	22692.63	26614.89	59887.86	7803.01	6887.62
ATP5C1	11584.24	5219.6	3146.52	4481.23	3955.48	4095.0	4152.18	3820.7	3716.2	4038.61	4239.45	4543.8	2351.53	8840.04	10659.59	10512.82	9409.14	10512.82	0.0	1.0	808.0	12244.81	10659.59	8247.98	6164.49	5831.91	9474.59	6561.36	6699.25	8022.41	25708.25	3540.14	2875.3
ATP5F1	12589.08	8305.36	4481.23	5076.84	4152.18	4836.35	3690.52	4512.4	4481.23	5219.6	5479.15	5633.22	3589.58	11035.54	11504.21	10368.08	10585.95	13968.57	0.0	0.59	1540.37	18819.27	9808.75	10512.82	8778.97	9945.68	11827.67	8305.36	10368.08	11909.94	20170.07	3146.52	3639.7
ATP5G1	14461.21	4123.49	2555.58	4152.18	2739.08	3665.02	2573.36	2976.74	2319.15	3395.89	4869.99	4419.52	1721.16	11035.54	12764.83	11909.94	10733.74	11424.74	0.0	0.57	713.11	12160.22	12589.08	11112.3	9606.86	8078.22	12244.81	7911.95	8363.13	8134.41	26248.46	1417.35	1437.15
ATP5G3	18052.61	10440.2	5517.27	5594.3	5594.3	4388.98	3820.7	3742.05	5633.22	4512.4	6037.61	6121.9	2701.35	15824.9	15715.58	14971.21	13586.57	18178.19	5292.48	642.59	1923.14	23330.64	17317.18	15934.98	13776.25	15075.35	13872.08	18431.96	14361.31	14262.1	53973.86	3103.19	2351.53
ATP5I	21468.49	15180.22	10512.82	11267.44	9876.98	8305.36	6426.31	6607.01	8191.0	11504.21	12943.04	12676.65	4010.71	22225.61	21172.91	33224.42	21172.91	21919.61	0.0	1.13	5255.91	26986.43	29327.18	33455.53	14765.09	15499.21	30999.42	19214.73	17558.94	20030.74	59887.86	4607.24	5147.73
ATP5J	16727.26	7537.18	4298.64	4450.27	2609.3	4066.71	2796.65	2119.22	3372.43	4575.41	4543.8	5711.87	1662.49	11035.54	11424.74	12244.81	11189.6	12415.75	0.0	0.99	1529.73	13968.57	9474.59	7485.11	8363.13	6294.04	9474.59	8305.36	8247.98	8538.88	21468.49	2591.27	2303.12
