	TCGA.BH.A0DP.01A.21R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.BH.A0BQ.01A.21R.A115.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E9.A249.01A.11R.A169.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E2.A1IK.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.113JC.0126.SM.5EGJW	GTEX.WWYW.0826.SM.3NB2X	GTEX.WHSE.0626.SM.4RGNF	GTEX.11EQ8.0826.SM.5N9FG	GTEX.145MI.1126.SM.5O9AK
AC104667.3	95.34	96.68	77.79	56.68	85.82	46.5	62.56	116.78	64.34	84.63	74.58	17.25	46.84	53.19	38.12	17.51	42.71	25.72	26.47	8.13	9.27	22.75	34.26	24.46
ADAT1	536.45	483.38	486.75	967.76	647.07	540.19	813.63	1304.15	1015.93	775.05	532.74	435.55	500.46	532.74	547.75	476.71	480.04	447.82	703.28	387.02	285.03	299.25	353.59	316.37
AFTPH	860.08	1051.79	759.08	1059.11	1617.0	775.05	1259.69	1498.22	1175.27	860.08	1051.79	429.54	444.72	563.18	476.71	540.19	441.64	563.18	633.73	392.44	536.45	432.53	620.67	679.29
AGPS	273.37	397.93	204.07	483.38	346.29	447.82	348.71	397.93	429.54	295.11	974.5	147.06	114.36	155.5	109.66	150.17	115.97	136.19	100.13	65.72	115.97	63.89	127.0	129.69
ALG1	947.83	791.35	825.0	775.05	947.83	1059.11	1059.11	665.29	733.19	981.29	603.67	684.02	733.19	599.49	813.63	591.22	780.44	579.04	780.44	221.86	224.97	205.5	323.03	395.18
ALG6	435.55	420.68	277.2	521.76	271.48	320.8	211.31	264.03	299.25	251.48	432.53	137.14	194.36	158.79	125.24	169.07	154.42	201.25	209.84	94.67	147.06	84.63	126.12	151.22
AP1S1	1923.14	854.13	1909.85	967.76	1407.55	2255.7	1950.0	1427.22	2573.36	2148.82	1651.0	713.11	665.29	825.0	769.69	708.18	698.41	769.69	1225.22	543.96	420.68	395.18	490.14	684.02
AP3B1	941.27	796.86	934.76	1199.98	860.08	1119.56	830.75	1030.12	1388.16	872.1	915.51	684.02	866.07	988.12	909.17	780.44	808.0	1008.9	665.29	633.73	656.11	651.58	599.49	791.35
ARHGAP19-SLIT1	41.52	30.78	47.17	43.32	43.02	40.64	20.11	67.59	38.95	29.48	87.03	1.62	0.69	5.63	13.03	24.81	24.81	7.34	17.77	5.32	25.35	5.59	2.81	1.22
ARSG	447.82	559.28	819.3	555.41	1111.82	802.41	764.36	1066.48	587.13	1051.79	555.41	264.03	371.22	529.06	432.53	466.88	379.04	334.46	358.54	236.21	163.28	212.78	98.73	147.06
ATG7	493.56	503.95	543.96	454.09	460.44	409.15	387.02	450.94	353.59	368.65	559.28	305.55	244.57	339.14	312.0	249.73	318.57	293.07	325.29	253.23	255.0	159.9	154.42	325.29
ATPAF1	1674.06	2303.12	1757.34	3081.75	2384.37	1870.53	2758.13	3103.19	2935.74	3039.3	2047.0	1529.73	1378.57	1806.78	1628.26	1583.71	1617.0	1519.15	1977.24	665.29	1369.04	769.69	1594.73	1427.22
BCDIN3D	287.01	287.01	228.13	376.41	262.2	353.59	447.82	567.1	423.61	381.68	305.55	132.44	120.94	152.28	191.67	158.79	155.5	169.07	264.03	55.49	84.63	50.63	232.94	223.41
BPNT1	1143.1	836.53	1127.35	1369.04	1417.35	1697.45	1199.98	1870.53	1508.65	738.29	890.44	363.56	329.84	381.68	384.34	320.8	348.71	417.77	518.15	158.79	320.8	400.71	255.0	336.79
BRE	1030.12	1096.5	1030.12	1066.48	1119.56	718.08	934.76	954.43	896.64	860.08	995.0	802.41	718.08	974.5	642.59	688.78	748.61	718.08	647.07	587.13	616.37	629.35	420.68	490.14
BRI3BP	120.1	212.78	153.34	218.79	220.32	209.84	343.89	277.2	384.34	217.27	199.85	63.0	49.91	77.25	48.87	59.55	53.57	55.89	89.51	40.36	53.57	29.27	88.26	58.3
CAP1	5006.93	5791.62	6121.9	4972.34	5366.37	4450.27	4450.27	4543.8	4450.27	4419.52	10014.87	3768.09	2148.82	3716.2	3146.52	3589.58	2935.74	3372.43	3124.78	3491.39	2104.58	2796.65	1950.0	2075.59
CASP6	785.88	934.76	1447.15	1350.18	1167.14	1127.35	802.41	1447.15	1044.52	733.19	1467.37	224.97	223.41	353.59	264.03	318.57	253.23	277.2	363.56	167.9	253.23	137.14	457.25	400.71
CCDC113	169.07	103.69	112.77	152.28	101.54	150.17	303.44	307.69	271.48	155.5	104.42	67.59	41.52	73.54	45.85	53.95	58.3	60.82	68.55	26.47	22.75	27.64	27.44	17.25
CCDC43	397.93	441.64	379.04	473.41	775.05	547.75	454.09	743.43	551.56	387.02	361.04	217.27	265.87	299.25	246.28	339.14	264.03	297.17	361.04	198.47	190.34	239.52	273.37	239.52
CCND1	3589.58	4328.55	2468.49	3124.78	5255.91	3564.78	5147.73	5594.3	5672.41	6250.56	3280.18	2502.97	836.53	1605.83	620.67	1508.65	1225.22	1628.26	1936.53	1407.55	559.28	688.78	890.44	503.95
CCRN4L	157.68	429.54	669.92	193.01	371.22	106.63	624.99	1359.57	395.18	204.07	117.6	14.45	18.84	18.7	14.67	16.15	13.03	31.45	39.79	75.64	224.97	132.44	35.76	29.48
CENPH	361.04	127.89	197.09	332.14	279.14	493.56	141.02	180.02	212.78	140.04	201.25	61.25	51.71	69.03	70.51	76.17	63.45	41.81	90.77	40.36	33.06	19.39	29.7	44.89
CHAF1B	111.21	105.89	120.1	178.77	99.43	251.48	51.71	88.88	78.89	52.45	77.25	29.27	16.03	36.79	27.44	34.02	31.67	34.51	38.4	19.39	15.0	24.63	12.18	7.88
CNTD1	72.52	50.27	40.36	90.77	138.1	48.18	55.1	147.06	46.84	100.13	60.39	23.42	19.11	23.59	16.51	16.03	15.45	23.42	40.36	48.52	19.53	23.42	25.17	21.47
COMMD3-BMI1	872.1	1127.35	1051.79	1159.07	1572.76	1127.35	1059.11	1896.65	620.67	460.44	2609.3	384.34	189.02	438.59	299.25	262.2	376.41	201.25	438.59	74.58	111.21	46.18	124.37	112.77
COPS4	909.17	1081.39	884.29	1175.27	1023.0	759.08	961.07	1199.98	1208.34	1250.98	1322.37	802.41	503.95	769.69	759.08	728.11	693.58	733.19	860.08	525.39	587.13	656.11	688.78	708.18
COX20	2468.49	4181.07	1977.24	3874.05	1950.0	2271.4	2075.59	4298.64	3982.99	2061.24	3443.31	1233.75	1001.93	1208.34	1159.07	1331.57	1015.93	1111.82	1111.82	1340.84	1617.0	1183.45	1167.14	848.22
CRNKL1	693.58	836.53	780.44	961.07	836.53	1088.92	769.69	884.29	878.17	638.15	759.08	384.34	371.22	503.95	450.94	466.88	414.87	518.15	500.46	260.38	438.59	269.6	400.71	423.61
DARS2	466.88	384.34	423.61	525.39	470.14	780.44	447.82	612.11	665.29	244.57	500.46	142.01	137.14	231.32	176.29	180.02	177.53	185.11	209.84	115.97	108.14	115.16	87.65	100.13
DCAF6	1870.53	1250.98	1662.49	1721.16	2209.26	3039.3	941.27	1508.65	1498.22	674.59	1794.29	802.41	753.83	921.88	813.63	802.41	791.35	878.17	836.53	1015.93	665.29	934.76	928.3	547.75
DCP1B	343.89	423.61	353.59	457.25	444.72	412.0	420.68	460.44	500.46	400.71	320.8	412.0	256.78	353.59	246.28	371.22	265.87	285.03	389.72	164.42	164.42	139.07	236.21	231.32
DENND1B	226.54	796.86	106.63	447.82	187.71	183.82	780.44	1286.18	307.69	511.0	1407.55	112.77	101.54	183.82	139.07	180.02	158.79	175.07	169.07	143.01	93.35	100.13	137.14	120.1
DHRS4-AS1	215.77	289.02	540.19	555.41	420.68	460.44	463.65	1037.29	684.02	281.09	450.94	136.19	171.45	163.28	94.01	215.77	134.3	99.43	42.71	58.3	43.02	89.51	171.45	73.03
DNAJC1	1447.15	2720.15	1407.55	3443.31	5517.27	1572.76	2400.97	4543.8	1617.0	1350.18	2935.74	587.13	567.1	536.45	713.11	629.35	656.11	599.49	395.18	463.65	791.35	854.13	769.69	703.28
DNAJC19	1088.92	2047.0	1051.79	2061.24	1208.34	1359.57	967.76	2520.38	1806.78	1183.45	2537.92	878.17	1037.29	1037.29	1081.39	1088.92	988.12	1259.69	1073.91	693.58	947.83	563.18	981.29	796.86
DPP3	679.29	1208.34	915.51	796.86	1250.98	1250.98	738.29	703.28	928.3	1104.13	1015.93	575.03	603.67	470.14	532.74	470.14	460.44	616.37	684.02	249.73	258.57	242.88	387.02	366.09
DRAM2	2758.13	2796.65	2591.27	3564.78	1909.85	2075.59	1572.76	2485.67	1685.71	1467.37	2976.74	842.36	836.53	896.64	1066.48	884.29	890.44	981.29	974.5	529.06	764.36	629.35	1540.37	921.88
DSCC1	53.95	43.32	43.32	66.65	63.89	104.42	57.08	53.19	90.14	81.14	98.73	29.48	11.47	8.58	10.39	27.84	18.84	13.93	41.22	9.7	8.06	5.23	10.88	11.55
DYNC1I2	2417.67	2997.45	2976.74	2664.15	2240.11	2090.03	4358.66	6337.83	2485.67	2287.2	3874.05	1304.15	961.07	1457.23	1208.34	1447.15	1051.79	1295.13	1250.98	1225.22	1191.69	1159.07	1096.5	1119.56
