	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.CM.6167.01A.11R.1653.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6603.11A.02R.1839.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.OXRL.0726.SM.3NM9A	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RM2N.0626.SM.48FD6	GTEX.TKQ2.1226.SM.4DXSV	GTEX.14BMV.1426.SM.5S2WA	GTEX.XBEW.1426.SM.4AT4J	GTEX.TML8.1426.SM.4DXUT	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.8297.01A.12R.2343.13	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4J2.01A.21R.A251.31	TCGA.CD.8530.01A.11R.2343.13
AC022400.2	3.03	9.56	3.69	9.06	0.0	0.0	13.12	9.56	2.66	5.82	0.0	0.0	0.0	0.0	0.0	0.0	7.28	0.0	13.52	42.71	31.45	21.94
ACSL3	974.5	928.3	1119.56	866.07	1119.56	759.08	420.68	603.67	336.79	500.46	575.03	463.65	543.96	599.49	525.39	406.31	698.41	708.18	1037.29	579.04	808.0	1437.15
ALYREF	3168.41	1639.59	1757.34	1331.57	1605.83	1216.75	961.07	1685.71	1015.93	921.88	928.3	825.0	674.59	660.68	532.74	738.29	647.07	974.5	1709.26	1286.18	1359.57	1498.22
APEX1	3589.58	2997.45	3257.52	2417.67	2758.13	3060.45	2777.33	2895.31	1697.45	2075.59	2591.27	2335.28	1936.53	1697.45	1628.26	2178.83	2047.0	2777.33	2739.08	3081.75	3146.52	3146.52
BCL2L12	718.08	417.77	366.09	351.14	454.09	353.59	389.72	454.09	236.21	178.77	215.77	262.2	190.34	244.57	215.77	215.77	206.94	217.27	555.41	457.25	497.0	529.06
BIRC5	769.69	28.65	56.28	24.28	241.19	102.25	1.41	28.45	0.0	1.07	7.63	8.85	4.5	8.06	1.57	5.36	12.93	19.53	289.02	190.34	221.86	215.77
C16orf59	72.01	42.71	29.06	31.9	75.11	20.26	3.76	32.13	0.84	4.1	12.09	13.83	4.5	15.45	14.78	6.01	5.32	13.72	93.35	50.98	100.13	71.0
C17orf100	27.05	9.2	12.0	9.7	10.31	18.97	0.0	19.39	0.0	0.0	13.52	7.22	21.78	9.48	4.1	15.8	0.0	15.34	19.68	26.1	33.06	7.57
C19orf40	119.26	91.41	68.55	36.53	55.1	46.18	46.5	45.21	17.64	26.47	28.04	39.79	34.75	28.45	9.85	18.56	42.11	53.19	70.01	82.87	112.77	92.7
C7orf57	2.58	0.0	2.76	1.62	1.19	0.0	2.34	2.25	0.54	0.0	0.39	0.0	0.77	0.0	0.0	1.46	0.0	0.49	3.2	3.23	1.07	0.8
CCNB2	684.02	58.71	47.84	36.01	312.0	215.77	6.67	63.0	0.18	9.78	7.82	17.64	4.9	13.83	10.63	8.65	26.28	45.85	320.8	175.07	423.61	281.09
CDCA3	406.31	85.22	137.14	105.89	299.25	193.01	24.99	320.8	9.48	49.91	34.02	105.89	31.9	63.89	72.01	43.02	72.52	73.54	368.65	146.03	493.56	432.53
CDYL2	74.58	39.79	43.63	29.7	27.64	23.25	18.29	27.64	9.78	6.01	11.21	21.32	18.97	8.51	11.82	8.92	14.14	28.04	52.08	34.75	58.71	100.13
CENPH	309.83	166.73	295.11	87.03	135.24	145.02	81.71	158.79	35.25	25.54	57.49	48.52	64.34	55.1	66.18	36.53	43.63	147.06	171.45	126.12	124.37	114.36
CENPW	1508.65	518.15	624.99	232.94	679.29	348.71	228.13	638.15	141.02	159.9	102.97	135.24	119.26	113.56	132.44	90.77	61.25	244.57	417.77	490.14	336.79	373.81
CHEK1	361.04	178.77	142.01	139.07	195.72	122.64	76.71	80.01	32.13	29.06	43.94	44.57	47.84	46.5	26.47	43.63	51.35	145.02	236.21	212.78	195.72	220.32
CHRNA5	108.9	131.51	124.37	87.03	122.64	66.65	77.25	57.89	40.36	7.51	7.4	21.78	28.24	22.1	15.8	11.04	16.27	59.55	43.63	39.5	44.89	87.03
CITED4	312.0	836.53	466.88	389.72	591.22	629.35	1008.9	323.03	214.27	170.25	293.07	154.42	194.36	108.14	237.86	271.48	186.4	239.52	723.08	693.58	275.28	688.78
CKS2	1991.0	366.09	921.88	236.21	1250.98	543.96	73.03	967.76	135.24	45.85	118.43	136.19	114.36	114.36	82.29	81.14	145.02	325.29	2384.37	928.3	1639.59	2148.82
