	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.12WSD.2026.SM.5HL7D	GTEX.11DYG.1426.SM.5A5JR	GTEX.12WSD.1926.SM.5GCOV	TCGA.CV.7183.11A.01R.2016.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZP4G.1926.SM.57WDZ	GTEX.13CF2.2426.SM.5LZYL
ASIC3	35.5	58.3	51.71	53.57	111.21	109.66	112.77	361.04	135.24	320.8	2.32	5.96	0.0	48.87	15.22	12.36	8.19	60.39	4.86	4.86	193.01
ATAD3B	435.55	195.72	198.47	583.07	392.44	265.87	460.44	647.07	633.73	483.38	89.51	90.14	0.0	444.72	107.38	153.34	108.14	152.28	46.18	42.71	183.82
ATXN2	713.11	669.92	1044.52	1044.52	1104.13	974.5	1066.48	1457.23	1359.57	1304.15	144.01	258.57	518.15	684.02	633.73	559.28	708.18	842.36	159.9	285.03	444.72
CCDC40	84.63	34.02	111.21	121.79	159.9	137.14	173.85	373.81	253.23	358.54	6.62	14.14	0.0	80.01	57.08	102.97	64.34	70.51	5.06	9.7	28.45
CDHR3	262.2	234.57	3146.52	1331.57	579.04	24.99	143.01	2384.37	2163.77	1487.87	8.85	15.45	0.0	100.13	94.67	29.91	34.26	429.54	23.42	11.04	154.42
CTC1	497.0	559.28	559.28	723.08	988.12	764.36	866.07	1159.07	878.17	825.0	78.89	83.45	0.0	379.04	329.84	303.44	214.27	454.09	60.82	114.36	138.1
CTRL	16.63	10.31	11.82	14.56	22.26	8.58	20.26	72.52	42.71	40.93	10.71	3.41	0.0	9.63	2.68	0.42	4.46	21.16	3.44	4.13	7.34
DMTF1	928.3	708.18	860.08	1427.22	1733.13	947.83	1594.73	2855.44	1757.34	2032.85	172.65	79.45	0.0	607.87	483.38	429.54	463.65	1051.79	56.28	115.97	260.38
DOCK3	180.02	77.25	348.71	215.77	334.46	358.54	256.78	249.73	234.57	231.32	13.72	0.13	0.0	43.94	120.94	80.57	92.05	159.9	4.24	30.34	9.34
DVL3	1313.23	941.27	1844.76	2004.85	1605.83	1674.06	1594.73	1769.57	1662.49	1923.14	289.02	253.23	0.0	941.27	1127.35	947.83	1295.13	1175.27	148.09	363.56	521.76
FAM156A	301.33	185.11	316.37	348.71	511.0	332.14	438.59	928.3	358.54	620.67	56.68	23.59	0.0	285.03	138.1	170.25	171.45	314.17	10.88	14.67	148.09
FAM194B	9.7	0.0	11.13	8.58	7.63	17.25	24.46	57.89	37.85	22.75	0.0	3.32	0.0	8.06	2.03	1.71	6.67	10.24	0.0	0.85	0.42
FAM227A	6.41	15.34	16.63	14.24	8.51	7.51	17.64	25.91	33.54	30.78	2.56	0.91	0.0	16.51	4.74	6.36	6.16	6.31	0.4	5.54	0.11
FOXP1	896.64	595.34	1044.52	1572.76	1617.0	2061.24	981.29	1437.15	1769.57	1662.49	224.97	120.1	167.9	620.67	738.29	624.99	579.04	974.5	147.06	161.02	262.2
GAB1	476.71	441.64	536.45	669.92	738.29	941.27	713.11	928.3	1059.11	967.76	400.71	60.82	0.0	166.73	351.14	212.78	208.38	688.78	381.68	463.65	241.19
GABBR1	713.11	813.63	1340.84	1832.01	2335.28	1844.76	2163.77	3124.78	2104.58	2417.67	29.91	8.38	0.0	642.59	376.41	397.93	159.9	884.29	5.96	29.7	83.45
GPSM1	239.52	162.14	316.37	232.94	327.56	291.04	353.59	555.41	633.73	514.56	25.72	4.28	0.0	285.03	211.31	211.31	120.94	223.41	50.98	33.06	232.94
GRK5	884.29	698.41	995.0	708.18	748.61	890.44	555.41	1001.93	1216.75	808.0	96.68	127.0	0.0	414.87	208.38	236.21	143.01	674.59	175.07	94.67	656.11
HSPA12A	217.27	199.85	476.71	753.83	728.11	1023.0	381.68	450.94	444.72	358.54	3.92	3.14	0.0	152.28	48.18	102.25	87.65	389.72	17.9	15.34	183.82
INPP5B	403.5	285.03	497.0	753.83	921.88	532.74	836.53	934.76	743.43	733.19	86.43	73.03	162.14	343.89	289.02	323.03	267.73	409.15	80.01	70.51	110.43
