	TCGA.BL.A13I.01A.11R.A277.07	TCGA.BL.A13I.01A.11R.A13Y.07	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.14C38.2626.SM.5RQI4	TCGA.CN.6019.01A.11R.1686.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.BW.A5NQ.01A.11R.A27V.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.60.2709.01A.21R.1820.07	TCGA.18.3411.01A.01R.0980.07	TCGA.66.2737.01A.01R.0980.07	TCGA.43.6773.01A.41R.1949.07	TCGA.77.8007.11A.01R.2187.07	TCGA.34.7107.11A.01R.1949.07
ADAMTS14	1674.06	1030.12	204.07	84.04	87.65	42.41	151.22	63.45	33.06	22.43	17.0	4.17	27.84	2.39	1.51	19.25	14.78	6.84	8.45	3.63	12.45	2.78	2.39	5.19	12.64	2.23	14.24	2.81	7.46	0.71	4.94	5.15	5.32	2.05	6.57	7.06	19.11	3.47	4.7	0.69	1.27	13.62	2.36	5.32	4.78	1.99	2.36	1.97	0.8	13.93	0.73	3.53	12.83	5.5	1.97	25.72	0.72	5.87	2.66	5.41	1.95	1.66	1.48	0.08	2.68	1.19	1.5	191.67	21.63	7.75	6.16	3.53	47.84	98.04	14.67	52.08	7.69	18.16	31.45	30.56	1.75	41.81	10.16	11.13	45.85	22.26	80.01	68.07	80.01	63.45
ADORA3	1369.04	2104.58	514.56	303.44	921.88	152.28	141.02	1322.37	2520.38	1447.15	1175.27	358.54	1685.71	8.85	20.11	80.57	83.45	94.67	67.59	57.89	36.79	84.04	11.04	43.02	19.53	10.55	40.36	9.85	64.8	2.51	3.41	43.94	64.8	19.25	61.25	16.39	142.01	62.12	64.34	7.46	9.34	53.19	6.73	14.35	44.57	29.48	29.7	27.25	15.22	47.84	29.06	28.45	52.82	18.43	41.81	353.59	20.11	41.22	62.12	28.65	384.34	40.93	180.02	186.4	493.56	131.51	159.9	514.56	902.89	73.03	1896.65	1073.91	954.43	409.15	140.04	718.08	559.28	285.03	595.34	143.01	249.73	493.56	432.53	314.17	642.59	368.65	366.09	237.86	1127.35	435.55
ADRA1D	132.44	220.32	17.13	3.53	18.7	0.91	2.94	3.72	0.75	5.82	24.63	6.78	0.75	0.44	1.46	0.53	4.13	9.56	0.83	0.0	8.25	11.47	2.71	20.41	17.9	0.51	1.58	1.38	0.89	0.43	0.42	30.12	0.54	0.46	6.41	4.17	2.51	19.53	21.78	0.77	0.0	2.05	0.44	1.91	60.82	2.07	1.14	1.85	0.0	130.6	1.57	94.01	15.45	16.15	0.0	2.89	3.26	9.78	0.89	1.66	0.79	0.0	0.29	1.68	1.23	0.0	0.0	13.93	16.15	1.97	12.93	25.54	0.0	13.32	6.62	48.52	37.05	63.0	33.54	19.11	25.54	10.79	12.0	0.61	3.89	0.75	6.36	2.56	12.64	18.84
AFAP1	400.71	103.69	228.13	291.04	323.03	559.28	395.18	303.44	64.8	65.26	162.14	103.69	143.01	30.56	9.13	47.84	47.17	55.89	36.79	10.71	22.75	19.39	26.47	14.78	29.27	16.03	26.28	6.36	31.45	3.79	4.82	49.91	14.56	11.64	77.79	29.06	114.36	77.79	39.22	2.97	12.27	74.58	15.22	5.54	36.01	15.22	7.57	19.11	27.05	12.74	13.12	12.74	75.11	35.5	25.72	116.78	27.84	43.02	4.43	12.64	29.48	6.36	10.24	9.06	19.53	4.7	14.03	444.72	138.1	108.14	70.51	113.56	307.69	316.37	260.38	193.01	62.56	379.04	293.07	551.56	162.14	48.87	87.03	87.03	285.03	67.12	218.79	224.97	113.56	305.55
AHRR	563.18	223.41	13.03	9.48	12.27	54.72	25.72	49.21	8.92	2.1	7.22	12.27	11.91	6.01	2.71	2.16	4.28	8.85	3.79	3.14	5.11	9.7	5.11	6.01	11.91	4.24	5.36	6.57	28.24	11.38	3.56	2.48	3.35	7.11	4.31	1.38	6.31	12.74	4.94	6.57	3.66	15.34	8.51	312.0	21.63	3.82	7.69	4.62	2.14	11.21	2.41	4.9	4.9	6.36	5.23	6.01	17.0	9.41	0.0	1.07	3.38	3.03	6.26	4.03	1.81	1.16	1.06	32.36	15.8	7.51	22.1	37.59	3.32	13.42	37.85	19.39	36.27	9.85	29.7	69.03	9.34	55.49	63.45	12.55	18.03	8.06	13.62	6.57	21.94	67.12
ALDH1L2	480.04	77.25	138.1	114.36	289.02	27.25	162.14	85.82	10.0	7.57	62.56	15.45	18.84	2.66	0.0	7.4	8.06	6.67	5.92	2.1	11.47	5.28	1.23	2.25	7.28	2.1	2.78	2.16	19.39	1.0	0.99	7.46	2.23	1.06	3.56	0.61	31.9	7.11	3.26	0.6	2.53	13.12	2.2	1.06	1.69	1.2	1.03	3.79	3.11	0.99	4.39	3.38	10.96	2.39	0.87	21.63	3.47	3.76	0.36	1.43	2.16	0.79	5.77	0.73	5.82	2.81	1.06	195.72	44.89	18.7	17.13	62.56	148.09	186.4	50.63	93.35	12.27	420.68	180.02	29.91	39.5	76.71	23.76	73.03	105.15	80.01	221.86	239.52	57.08	169.07
ANGPT1	813.63	397.93	56.68	38.12	58.3	6.31	29.91	271.48	9.85	22.92	40.64	11.21	3.32	28.24	2.29	24.46	32.59	147.06	50.63	5.96	5.02	61.68	57.08	27.05	8.85	12.45	7.75	4.98	60.39	1.95	3.99	10.96	8.99	7.28	12.27	4.13	39.22	42.41	14.89	23.08	9.13	30.12	96.01	4.28	48.18	3.41	10.39	10.08	23.59	19.25	23.42	65.26	48.87	53.57	3.35	26.47	35.0	65.26	10.96	10.16	6.06	4.31	13.32	3.0	7.34	3.0	18.97	217.27	189.02	18.16	348.71	543.96	271.48	234.57	323.03	211.31	269.6	612.11	813.63	1359.57	376.41	38.12	234.57	194.36	92.05	187.71	145.02	52.08	271.48	444.72
ANTXR1	934.76	665.29	1350.18	1044.52	934.76	595.34	4419.52	1991.0	332.14	343.89	1081.39	473.41	264.03	32.82	8.58	157.68	186.4	47.84	131.51	19.53	81.14	39.22	10.88	60.82	25.72	21.01	35.76	27.84	155.5	6.31	13.52	149.12	31.22	13.93	123.5	15.22	599.49	154.42	90.14	6.57	17.77	161.02	27.64	16.88	78.89	19.97	22.1	35.0	10.0	24.81	12.74	21.01	389.72	56.68	13.03	438.59	24.11	74.06	38.95	93.35	12.45	46.18	149.12	23.59	59.97	15.34	27.05	3467.27	571.05	312.0	599.49	1023.0	2855.44	1259.69	2796.65	854.13	497.0	1745.2	1832.01	3257.52	603.67	258.57	532.74	1015.93	1857.6	529.06	3235.01	1662.49	909.17	1923.14
AXL	2777.33	909.17	500.46	532.74	780.44	441.64	909.17	1936.53	738.29	567.1	1066.48	260.38	688.78	21.63	18.29	99.43	54.33	31.22	96.68	55.1	41.22	49.91	14.67	53.95	33.06	21.32	35.0	13.42	128.79	3.86	10.39	51.71	40.36	16.39	40.07	27.64	215.77	89.51	76.71	4.7	26.28	115.97	29.48	20.56	38.95	27.05	15.34	26.28	29.91	40.93	21.16	45.21	153.34	33.3	28.45	221.86	29.91	72.01	16.51	71.5	169.07	35.76	43.32	92.7	423.61	248.0	171.45	466.88	466.88	114.36	269.6	607.87	1135.2	426.57	708.18	379.04	1540.37	1467.37	547.75	4575.41	567.1	454.09	791.35	1977.24	713.11	244.57	563.18	493.56	412.0	902.89
BDKRB2	3235.01	2004.85	660.68	109.66	148.09	473.41	167.9	171.45	13.12	48.18	53.19	7.63	21.01	7.4	14.14	59.55	26.47	24.63	20.41	17.0	10.24	7.11	5.5	47.84	4.35	187.71	141.02	38.4	10.24	1.27	5.68	38.67	9.85	2.68	21.94	12.55	122.64	12.83	24.28	5.63	9.78	92.7	4.35	7.34	10.0	14.45	23.08	55.89	10.55	5.06	4.62	4.94	34.75	11.3	7.17	39.22	13.62	28.24	6.26	10.63	8.06	0.0	15.11	1.99	2.41	9.13	5.28	173.85	22.92	43.63	23.59	47.84	183.82	85.82	112.77	161.02	108.9	119.26	165.57	185.11	31.67	66.18	88.88	40.07	68.55	33.54	79.45	85.82	89.51	285.03
