	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.E2.A158.01A.11R.A12D.07	TCGA.BH.A1F2.01A.31R.A13Q.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A2.A0EU.01A.22R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7261.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.22.1016.01A.01R.0692.07	GTEX.ZQUD.2126.SM.51MSY	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13QJC.2326.SM.5Q5CD	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL
A4GALT	39.79	214.27	152.28	49.91	159.9	127.89	36.27	65.26	102.97	218.79	251.48	967.76	521.76	595.34	665.29	624.99	1447.15	0.0	423.61	441.64	366.09	2018.8	480.04	507.46	3820.7	3168.41	4769.75	4419.52	2720.15	1498.22
ANXA11	2061.24	3325.99	2796.65	2075.59	2434.5	1605.83	2335.28	2240.11	1769.57	1844.76	23330.64	8718.32	7382.04	5555.65	7589.61	6561.36	5791.62	0.0	2935.74	3768.09	4388.98	6250.56	3901.01	3515.68	10296.45	8363.13	13399.51	12244.81	11992.79	8305.36
CAPN1	3372.43	2664.15	2148.82	1806.78	3665.02	2104.58	3690.52	1617.0	1769.57	2739.08	15499.21	27745.15	8078.22	14065.74	28923.41	34396.12	11267.44	2351.53	5183.54	6516.03	9876.98	10296.45	7749.1	5995.9	21768.19	13872.08	15824.9	15934.98	15824.9	5112.16
CDA	10.0	41.81	93.35	22.26	67.12	64.8	37.85	8.0	13.42	57.49	36864.92	13872.08	6337.83	11504.21	26248.46	26986.43	1709.26	0.0	183.82	157.68	1119.56	10733.74	356.05	1561.89	26067.14	7589.61	16045.82	20593.91	19618.49	3124.78
CYP4F12	0.0	312.0	58.3	0.55	8.13	15.68	0.0	0.89	59.55	82.29	878.17	603.67	860.08	358.54	567.1	748.61	366.09	0.0	34.51	209.84	547.75	2224.63	147.06	366.09	5292.48	2271.4	4123.49	2061.24	5112.16	802.41
EFNB1	50.98	173.85	180.02	356.05	128.79	88.88	76.71	117.6	228.13	460.44	2915.45	1175.27	1508.65	1417.35	780.44	629.35	660.68	0.0	642.59	341.51	909.17	860.08	371.22	403.5	1674.06	848.22	1111.82	802.41	1111.82	819.3
ENDOU	2.12	12.93	4.9	4.66	4.54	1.1	0.79	14.78	4.98	5.19	20737.16	9409.14	2875.3	6294.04	20737.16	25530.66	1639.59	0.0	29.06	152.28	1870.53	16843.62	153.34	2090.03	35363.15	17927.91	23492.92	17681.08	23009.42	3589.58
EPHA2	84.04	202.66	100.83	14.24	64.34	34.75	32.13	65.72	60.39	86.43	43840.21	8247.98	4358.66	3491.39	6381.92	14561.8	4481.23	0.0	1119.56	902.89	1286.18	3060.45	2645.74	1561.89	11584.24	6250.56	7695.57	7911.95	6337.83	2451.44
EPHX3	3.89	14.78	9.41	26.1	8.71	5.15	5.06	0.69	5.19	66.65	906531.99	9279.58	1909.85	3467.27	9344.14	19754.96	1340.84	0.0	267.73	77.25	718.08	22380.2	149.12	753.83	39785.74	13586.57	29943.43	38164.99	63742.91	884.29
EPS8L1	483.38	2032.85	1427.22	543.96	500.46	420.68	444.72	872.1	1135.2	1605.83	104271.56	38164.99	9215.48	13399.51	131982.68	79022.82	12589.08	0.0	878.17	4181.07	5711.87	11909.94	4038.61	5329.3	25887.07	30361.44	35118.87	22535.88	61999.83	2061.24
FAM212A	4.5	50.27	83.45	9.63	7.28	6.84	11.64	26.67	38.95	39.5	1208.34	866.07	279.14	599.49	718.08	769.69	376.41	0.0	93.35	214.27	334.46	567.1	166.73	301.33	934.76	518.15	921.88	684.02	981.29	318.57
FAM219B	466.88	587.13	521.76	514.56	435.55	417.77	460.44	518.15	507.46	444.72	718.08	1359.57	909.17	1216.75	1697.45	2032.85	796.86	0.0	583.07	579.04	638.15	647.07	656.11	842.36	995.0	860.08	785.88	802.41	728.11	665.29
FAM83G	55.1	58.3	107.38	129.69	22.75	51.71	25.72	150.17	80.01	218.79	3564.78	2367.9	830.75	909.17	2555.58	3564.78	1242.34	0.0	176.29	320.8	638.15	1963.57	587.13	703.28	4543.8	1721.16	4038.61	2520.38	4210.15	507.46
FDXR	38.4	197.09	151.22	140.04	66.65	65.26	103.69	125.24	171.45	281.09	860.08	947.83	656.11	775.05	1015.93	1313.23	718.08	251.48	193.01	441.64	587.13	1313.23	348.71	327.56	1477.58	909.17	1427.22	1437.15	1561.89	575.03
GIPC1	651.58	4010.71	3039.3	2104.58	764.36	543.96	842.36	1104.13	2004.85	2434.5	16960.78	17078.76	6516.03	6079.61	19482.97	21768.19	8247.98	3081.75	2224.63	4181.07	4903.87	8363.13	4836.35	4639.29	11745.96	9474.59	13776.25	11992.79	11992.79	3372.43
GNA15	35.25	166.73	158.79	47.5	30.12	23.08	34.02	126.12	145.02	255.0	19754.96	7749.1	1561.89	3491.39	8305.36	17317.18	2682.69	0.0	551.56	802.41	1051.79	3303.0	1250.98	1008.9	4736.79	3690.52	4268.94	4972.34	5791.62	902.89
GSTP1	902.89	10440.2	22692.63	16045.82	4869.99	1096.5	1225.22	1963.57	15499.21	4268.94	150561.19	102836.01	46019.85	81244.48	95286.54	128373.58	59063.35	0.0	22380.2	30151.71	30572.63	121448.75	30572.63	41188.81	132900.7	101420.22	124000.67	108699.57	159145.95	32092.64
IL20RB	10.39	13.52	25.54	36.01	6.52	5.77	10.47	8.06	5.45	17.13	746611.43	8305.36	896.64	8247.98	8901.53	13776.25	2720.15	0.0	45.85	205.5	1037.29	9945.68	642.59	813.63	9474.59	6792.79	11112.3	9606.86	13681.08	1583.71
JUP	1936.53	6079.61	3443.31	2335.28	3467.27	2739.08	2956.17	1519.15	2119.22	6164.49	119776.72	85283.74	11664.82	51062.33	100023.92	256748.15	26248.46	0.0	4010.71	6792.79	13306.94	47974.16	13123.73	12853.63	93325.55	43537.38	75280.1	54727.32	65535.0	12502.12
KRT4	18.56	52.82	0.13	5.77	5.96	0.0	0.52	0.13	4.74	1359.57	3.697379928E7	1.810644424E7	2263304.65	6140819.49	2.276004283E7	3.109113511E7	428815.23	0.0	1191.69	30999.42	1851161.35	1.236706555E7	6164.49	2053992.24	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	1282030.25
KRT78	4.86	3.38	0.08	2.61	0.0	0.0	0.0	0.0	0.0	27.84	164758.26	414208.18	47642.77	253213.41	992012.34	767601.56	21026.65	0.0	166.73	1359.57	9474.59	223512.12	660.68	52497.92	309589.14	209994.66	220434.95	215898.44	447025.24	45701.96
LHPP	136.19	384.34	438.59	351.14	209.84	187.71	312.0	251.48	387.02	412.0	791.35	633.73	423.61	483.38	571.05	848.22	603.67	0.0	397.93	392.44	525.39	967.76	414.87	981.29	1286.18	866.07	1059.11	941.27	1015.93	563.18
LPCAT4	265.87	281.09	379.04	633.73	249.73	246.28	521.76	25.72	87.03	248.0	6079.61	1417.35	2976.74	1151.06	1583.71	1832.01	890.44	0.0	532.74	320.8	616.37	733.19	764.36	543.96	2004.85	1572.76	2061.24	1313.23	988.12	1417.35
PCP4L1	66.18	15.0	9.48	6.46	17.77	43.32	12.74	3.32	15.45	37.85	3257.52	384.34	90.14	334.46	239.52	473.41	497.0	0.0	152.28	108.9	329.84	3794.3	50.63	64.8	1628.26	2591.27	38164.99	5995.9	4210.15	144.01
PEX14	135.24	307.69	327.56	260.38	156.59	121.79	143.01	201.25	265.87	309.83	454.09	583.07	629.35	551.56	507.46	483.38	414.87	303.44	381.68	511.0	476.71	323.03	327.56	406.31	688.78	426.57	595.34	529.06	518.15	423.61
