	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.13OVJ.0626.SM.5J2O2	GTEX.OHPM.2626.SM.33HC5	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.WYBS.1926.SM.3NM8N
ABCB10	53.95	0.0	0.48	38.4	85.22	242.88	155.5	101.54	279.14	181.28	121.79	131.51	95.34	159.9	283.05	148.09	271.48	262.2	209.84	198.47	120.94	133.36	172.65
ABHD10	202.66	0.0	0.28	303.44	497.0	769.69	555.41	353.59	1233.75	836.53	629.35	743.43	293.07	518.15	884.29	642.59	753.83	896.64	825.0	728.11	642.59	808.0	529.06
ACBD5	123.5	0.0	0.21	154.42	332.14	878.17	447.82	314.17	718.08	679.29	486.75	529.06	387.02	612.11	866.07	454.09	551.56	802.41	521.76	559.28	483.38	642.59	536.45
AKAP5	10.96	0.0	0.05	4.82	7.57	15.56	10.88	6.94	28.24	18.03	9.13	14.03	4.74	9.27	17.64	9.93	29.06	26.47	15.68	16.88	13.72	11.64	17.13
AKTIP	361.04	0.0	0.59	693.58	896.64	1001.93	896.64	642.59	1030.12	909.17	607.87	915.51	651.58	836.53	1397.83	674.59	1073.91	1242.34	1081.39	825.0	872.1	934.76	813.63
ALS2	100.83	0.0	0.58	78.89	76.71	167.9	164.42	134.3	214.27	162.14	127.89	199.85	157.68	175.07	267.73	152.28	187.71	249.73	141.02	180.02	123.5	157.68	162.14
APH1B	191.67	0.0	0.35	409.15	273.37	363.56	361.04	256.78	624.99	361.04	429.54	397.93	397.93	343.89	567.1	297.17	480.04	647.07	379.04	303.44	387.02	612.11	397.93
ARHGAP12	115.97	291.04	336.79	195.72	231.32	514.56	329.84	236.21	599.49	444.72	341.51	432.53	373.81	392.44	723.08	389.72	579.04	624.99	470.14	463.65	356.05	409.15	400.71
ARL8B	665.29	1313.23	283.05	1151.06	860.08	1388.16	1388.16	921.88	2209.26	1870.53	1119.56	1437.15	1096.5	1191.69	2047.0	1104.13	1685.71	2061.24	1378.57	1331.57	1268.46	1437.15	1066.48
BIVM	82.87	0.0	0.59	98.73	135.24	273.37	185.11	221.86	348.71	275.28	208.38	205.5	253.23	312.0	460.44	170.25	339.14	320.8	236.21	242.88	127.0	223.41	242.88
C18orf54	6.62	0.0	0.27	3.59	2.78	15.34	10.96	8.71	39.22	22.75	8.85	15.34	14.35	17.38	27.05	16.03	30.34	24.63	12.83	11.3	6.01	14.35	13.42
C5orf15	532.74	0.0	0.56	651.58	848.22	1832.01	1304.15	738.29	1757.34	1397.83	1037.29	1104.13	974.5	1225.22	2119.22	836.53	1417.35	1498.22	1340.84	1378.57	1199.98	1295.13	1037.29
C5orf63	89.51	0.0	0.13	83.45	149.12	171.45	94.01	140.04	202.66	186.4	176.29	153.34	190.34	271.48	237.86	201.25	258.57	249.73	206.94	175.07	140.04	149.12	299.25
CDS1	138.1	0.0	0.0	255.0	249.73	842.36	813.63	281.09	1175.27	854.13	457.25	567.1	497.0	620.67	872.1	642.59	693.58	830.75	813.63	909.17	728.11	802.41	571.05
COX11	438.59	0.0	0.4	493.56	753.83	1233.75	902.89	688.78	1127.35	909.17	669.92	836.53	796.86	995.0	1225.22	825.0	1119.56	1008.9	1051.79	890.44	848.22	947.83	896.64
DMD	40.07	0.0	0.42	181.28	78.34	348.71	114.36	120.94	583.07	287.01	52.08	214.27	119.26	81.71	236.21	182.55	665.29	571.05	80.01	121.79	52.82	100.83	114.36
E2F5	59.97	0.0	0.57	92.7	191.67	199.85	170.25	141.02	312.0	220.32	251.48	195.72	176.29	185.11	293.07	164.42	264.03	312.0	301.33	262.2	217.27	205.5	152.28
ERBB2IP	153.34	0.0	0.64	348.71	291.04	836.53	536.45	389.72	1295.13	708.18	387.02	518.15	414.87	470.14	1073.91	503.95	928.3	753.83	417.77	693.58	303.44	567.1	384.34
FAM63B	31.45	46.5	206.94	31.45	43.32	295.11	123.5	98.04	329.84	228.13	101.54	130.6	166.73	229.72	316.37	120.1	249.73	226.54	145.02	127.89	120.94	172.65	183.82
FAM92A1	96.01	0.0	0.71	441.64	77.79	563.18	397.93	358.54	684.02	463.65	332.14	329.84	638.15	633.73	769.69	277.2	713.11	890.44	540.19	409.15	376.41	403.5	486.75
FASTKD1	246.28	0.0	0.16	176.29	511.0	409.15	297.17	409.15	543.96	647.07	511.0	447.82	400.71	412.0	559.28	748.61	769.69	669.92	620.67	656.11	470.14	470.14	406.31
FBXO25	536.45	0.0	0.47	775.05	688.78	934.76	698.41	638.15	1119.56	802.41	679.29	723.08	733.19	713.11	928.3	693.58	728.11	902.89	947.83	764.36	896.64	860.08	769.69
FOXN2	16.51	164.42	71.0	33.54	24.81	135.24	124.37	65.72	172.65	134.3	75.11	90.77	61.25	86.43	128.79	93.35	164.42	159.9	59.55	91.41	42.41	111.21	70.01
FRYL	220.32	144.01	121.79	123.5	121.79	371.22	214.27	199.85	514.56	351.14	218.79	320.8	275.28	299.25	426.57	253.23	400.71	435.55	269.6	255.0	226.54	237.86	229.72
