	GTEX.P4PP.0526.SM.2HMKE	GTEX.13D11.0326.SM.5LZXX	GTEX.O5YW.0526.SM.2YUMX	GTEX.ZZPU.0526.SM.5E44U	GTEX.QXCU.0626.SM.2TC69	GTEX.145LT.0326.SM.5LUAD	GTEX.13OVH.1026.SM.5J2NP	GTEX.P4QT.0526.SM.2I3EX	GTEX.ZT9X.0326.SM.51MTE	GTEX.SNOS.0426.SM.32PMH	GTEX.R55C.0526.SM.3GIKA	GTEX.S33H.0626.SM.2XCBJ	GTEX.14E7W.1326.SM.5RQIV	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.T6MO.0426.SM.32QOI	GTEX.1339X.0626.SM.5IJER	GTEX.13N1W.0726.SM.5MR57	GTEX.13VXU.2726.SM.5LU4N	GTEX.132QS.0726.SM.5IJE9	GTEX.UJHI.0726.SM.3DB92	GTEX.11TT1.1626.SM.5EQL7	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.UPK5.1126.SM.3GAEJ	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.QEG5.1126.SM.33HC2	GTEX.WYVS.0526.SM.3NM9W
ACOT7	454.09	1119.56	796.86	848.22	603.67	503.95	457.25	607.87	1662.49	708.18	981.29	1030.12	507.46	1397.83	543.96	384.34	264.03	503.95	148.09	1066.48	454.09	1073.91	1277.29	1340.84	1001.93	629.35	571.05	1477.58	674.59	571.05	928.3	1250.98	555.41	1388.16
ARL3	177.53	316.37	180.02	366.09	72.01	253.23	162.14	211.31	301.33	170.25	244.57	281.09	163.28	283.05	246.28	211.31	181.28	165.57	229.72	162.14	189.02	164.42	473.41	429.54	273.37	346.29	318.57	447.82	182.55	187.71	228.13	212.78	291.04	318.57
BORA	58.71	102.25	37.59	67.59	59.97	28.45	49.56	57.49	149.12	85.22	115.97	167.9	16.75	75.11	35.0	76.17	52.82	40.93	36.01	34.75	47.84	83.45	107.38	98.04	37.59	76.17	87.65	107.38	85.82	46.5	68.55	68.07	40.93	141.02
BRCA1	67.12	98.73	54.33	62.56	13.12	66.18	8.92	47.17	277.2	35.76	137.14	148.09	22.43	265.87	26.28	96.68	35.76	16.27	32.82	19.82	77.25	68.07	76.71	125.24	43.32	53.57	40.93	267.73	53.19	32.59	95.34	69.03	36.53	320.8
BRK1	3060.45	6079.61	2417.67	7081.29	2004.85	3639.7	5147.73	3168.41	6745.86	3039.3	6935.54	6983.79	4736.79	4481.23	5255.91	4512.4	3372.43	3874.05	4543.8	3467.27	3081.75	3768.09	9344.14	9474.59	4239.45	5517.27	5517.27	15499.21	3928.15	3467.27	4152.18	4328.55	4575.41	4671.57
C11orf74	470.14	579.04	293.07	551.56	79.45	441.64	74.58	221.86	473.41	403.5	684.02	669.92	180.02	607.87	178.77	373.81	249.73	82.29	183.82	229.72	323.03	361.04	669.92	567.1	480.04	490.14	728.11	1143.1	348.71	314.17	348.71	447.82	409.15	830.75
C14orf142	414.87	708.18	234.57	532.74	141.02	295.11	214.27	334.46	571.05	392.44	603.67	454.09	126.12	503.95	236.21	532.74	228.13	176.29	125.24	366.09	269.6	400.71	518.15	638.15	348.71	480.04	669.92	808.0	429.54	384.34	379.04	486.75	423.61	854.13
C1GALT1C1	450.94	1073.91	325.29	748.61	301.33	503.95	199.85	397.93	1216.75	483.38	928.3	1216.75	289.02	884.29	297.17	890.44	283.05	514.56	145.02	303.44	316.37	460.44	1104.13	1143.1	406.31	665.29	941.27	1088.92	698.41	441.64	406.31	647.07	435.55	941.27
C3orf14	633.73	1066.48	189.02	490.14	435.55	253.23	77.79	111.99	1844.76	265.87	890.44	819.3	84.63	518.15	180.02	629.35	161.02	53.19	49.91	312.0	178.77	438.59	679.29	974.5	231.32	571.05	409.15	878.17	511.0	463.65	190.34	460.44	599.49	698.41
C4orf27	325.29	688.78	314.17	579.04	212.78	334.46	281.09	361.04	947.83	460.44	575.03	780.44	220.32	599.49	242.88	543.96	379.04	325.29	228.13	325.29	353.59	463.65	743.43	921.88	371.22	624.99	629.35	1008.9	555.41	486.75	389.72	426.57	547.75	629.35
