	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.C5.A1BL.01A.11R.A13Y.07	TCGA.ZJ.AAX4.01A.11R.A42T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.VS.A957.01A.11R.A42T.07	TCGA.MY.A5BD.01A.11R.A26T.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.EA.A1QT.01A.11R.A14Y.07	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.VS.A8EG.01A.11R.A36F.07	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.ZTSS.0626.SM.59867	GTEX.XBEW.1326.SM.4AT63	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.13O3O.1826.SM.5IFGW	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ANP32E	796.86	346.29	961.07	988.12	1286.18	1331.57	2451.44	1745.2	915.51	1467.37	1769.57	854.13	1508.65	1151.06	915.51	651.58	575.03	612.11	303.44	497.0	633.73	860.08	420.68	693.58	813.63	301.33	241.19	289.02	214.27	228.13	353.59	305.55	854.13	579.04	543.96	409.15	748.61
APITD1-CORT	11.82	26.47	118.43	77.79	52.82	52.08	70.51	122.64	159.9	37.59	172.65	60.39	18.16	107.38	53.95	61.68	10.24	26.86	14.14	9.78	2.46	12.09	34.02	31.45	78.89	13.72	0.0	4.06	6.57	7.46	19.53	7.88	13.42	7.57	23.08	17.77	28.04
ARHGEF39	35.5	12.45	480.04	409.15	316.37	237.86	397.93	403.5	260.38	289.02	473.41	170.25	320.8	241.19	198.47	567.1	109.66	155.5	55.49	38.95	55.89	128.79	77.79	214.27	111.21	59.13	31.67	21.78	57.49	35.25	23.25	3.41	85.22	71.0	54.33	25.35	30.12
BCL7C	693.58	1447.15	1350.18	1277.29	813.63	1143.1	1662.49	1051.79	1001.93	1081.39	1551.09	1001.93	1407.55	1277.29	759.08	688.78	688.78	575.03	830.75	884.29	591.22	679.29	607.87	743.43	1073.91	647.07	366.09	348.71	483.38	318.57	579.04	295.11	616.37	616.37	638.15	457.25	457.25
BLOC1S5	154.42	134.3	202.66	206.94	182.55	221.86	165.57	147.06	447.82	172.65	182.55	208.38	167.9	166.73	139.07	180.02	127.0	94.01	64.34	96.01	115.16	130.6	111.21	117.6	96.68	116.78	112.77	106.63	81.14	51.71	62.12	52.45	127.0	146.03	147.06	187.71	157.68
BUB3	1857.6	1350.18	3124.78	2417.67	2104.58	1896.65	3690.52	2758.13	2701.35	2956.17	3614.55	2400.97	3039.3	3039.3	2520.38	1870.53	1709.26	2367.9	1733.13	2537.92	1437.15	1909.85	1447.15	1745.2	2018.8	1427.22	1388.16	1313.23	1407.55	1059.11	1417.35	493.56	1605.83	1457.23	872.1	1313.23	1487.87
C14orf80	356.05	242.88	420.68	693.58	796.86	967.76	575.03	708.18	559.28	567.1	988.12	579.04	854.13	796.86	153.34	189.02	198.47	228.13	199.85	483.38	153.34	171.45	102.25	612.11	551.56	149.12	175.07	84.04	138.1	103.69	111.21	70.01	497.0	150.17	120.94	171.45	182.55
C4orf46	90.14	51.71	149.12	223.41	242.88	152.28	273.37	92.05	339.14	150.17	267.73	120.94	211.31	105.15	107.38	102.25	71.5	95.34	43.94	73.54	60.82	183.82	58.3	74.06	102.25	33.06	31.9	26.86	36.01	29.7	52.08	9.34	72.01	49.21	40.64	58.71	44.25
C9orf40	88.88	67.59	281.09	206.94	234.57	154.42	170.25	134.3	178.77	159.9	173.85	177.53	158.79	177.53	138.1	119.26	116.78	147.06	127.89	126.12	148.09	136.19	111.99	146.03	92.05	112.77	32.36	47.17	64.8	58.71	48.52	9.7	72.52	63.0	29.7	42.11	40.07
CCHCR1	426.57	511.0	1832.01	1199.98	808.0	1127.35	1259.69	1242.34	2468.49	791.35	1322.37	733.19	1369.04	1081.39	514.56	543.96	395.18	332.14	287.01	423.61	199.85	271.48	303.44	371.22	368.65	273.37	447.82	435.55	314.17	159.9	181.28	51.35	379.04	279.14	224.97	205.5	148.09
CDC6	265.87	44.25	387.02	579.04	511.0	480.04	1088.92	785.88	450.94	669.92	559.28	447.82	902.89	713.11	283.05	587.13	176.29	166.73	9.2	157.68	169.07	223.41	36.01	127.0	327.56	44.89	26.47	41.81	77.79	48.87	80.57	7.4	406.31	161.02	154.42	130.6	185.11
CDCA7L	1242.34	665.29	693.58	1378.57	603.67	525.39	878.17	1051.79	791.35	215.77	1225.22	599.49	397.93	665.29	473.41	733.19	195.72	195.72	129.69	234.57	121.79	353.59	170.25	115.16	320.8	172.65	178.77	145.02	242.88	118.43	180.02	55.89	409.15	400.71	381.68	265.87	279.14
CEP19	148.09	15.68	312.0	202.66	152.28	63.45	66.65	68.07	307.69	84.63	262.2	94.01	108.14	68.07	153.34	285.03	31.9	53.19	27.05	43.02	46.18	48.52	32.59	42.11	62.56	18.84	8.71	7.28	3.17	9.34	20.86	1.3	32.82	45.53	67.12	42.41	103.69
CEP55	307.69	79.45	587.13	559.28	802.41	353.59	1008.9	551.56	718.08	1259.69	688.78	483.38	947.83	674.59	241.19	346.29	21.01	242.88	5.87	59.97	55.89	142.01	12.45	38.67	206.94	155.5	53.19	55.1	91.41	80.01	201.25	0.0	351.14	293.07	264.03	190.34	327.56
CHAF1B	72.52	46.5	463.65	400.71	248.0	607.87	429.54	148.09	379.04	256.78	2148.82	198.47	303.44	301.33	139.07	221.86	67.12	131.51	27.44	114.36	69.03	96.01	55.49	119.26	85.22	36.53	27.84	35.0	49.56	21.01	31.0	13.83	77.79	81.71	63.0	87.65	34.02
CHEK1	785.88	165.57	303.44	400.71	320.8	339.14	406.31	343.89	466.88	738.29	426.57	403.5	896.64	339.14	249.73	441.64	99.43	392.44	102.97	194.36	164.42	226.54	111.99	229.72	193.01	120.94	58.71	57.89	83.45	81.14	239.52	9.85	301.33	193.01	209.84	170.25	232.94
CMC4	92.05	414.87	813.63	660.68	723.08	733.19	403.5	376.41	1066.48	660.68	796.86	540.19	447.82	698.41	301.33	688.78	177.53	150.17	223.41	348.71	191.67	231.32	177.53	144.01	358.54	239.52	131.51	162.14	162.14	118.43	161.02	229.72	312.0	237.86	166.73	251.48	438.59
COQ7	131.51	314.17	373.81	500.46	409.15	447.82	559.28	341.51	493.56	389.72	555.41	423.61	423.61	309.83	497.0	249.73	267.73	211.31	114.36	198.47	208.38	226.54	140.04	218.79	297.17	159.9	183.82	269.6	208.38	110.43	132.44	77.79	423.61	327.56	323.03	332.14	258.57
CWF19L1	163.28	193.01	647.07	567.1	540.19	318.57	483.38	525.39	381.68	521.76	579.04	435.55	599.49	429.54	346.29	297.17	316.37	336.79	256.78	297.17	147.06	273.37	318.57	316.37	271.48	293.07	262.2	182.55	149.12	190.34	251.48	111.99	368.65	329.84	265.87	244.57	232.94
DEK	1628.26	902.89	3467.27	4543.8	4152.18	3060.45	5366.37	3690.52	5479.15	4038.61	3928.15	2777.33	4152.18	4095.0	1923.14	3146.52	1167.14	1225.22	559.28	1331.57	1388.16	1605.83	1051.79	1250.98	1757.34	753.83	674.59	759.08	674.59	518.15	780.44	426.57	2032.85	1286.18	842.36	753.83	1250.98
DNAJC8	1447.15	1819.35	2758.13	3124.78	2935.74	2591.27	3443.31	2956.17	2777.33	2956.17	3280.18	2682.69	2609.3	3081.75	2319.15	2119.22	1685.71	1950.0	1794.29	1721.16	1572.76	2303.12	1583.71	2119.22	1806.78	1437.15	1167.14	1467.37	1331.57	1277.29	1427.22	703.28	2193.99	2004.85	1844.76	1991.0	2133.97
DNAJC9	423.61	316.37	1175.27	1617.0	961.07	607.87	1540.37	1242.34	1088.92	1059.11	1437.15	848.22	1477.58	995.0	587.13	1073.91	403.5	595.34	309.83	490.14	258.57	470.14	376.41	441.64	490.14	329.84	241.19	246.28	279.14	194.36	211.31	66.18	728.11	351.14	271.48	285.03	426.57
DONSON	152.28	128.79	1199.98	1359.57	743.43	872.1	1216.75	738.29	1359.57	1359.57	660.68	638.15	1605.83	1268.46	595.34	612.11	327.56	356.05	194.36	351.14	397.93	373.81	312.0	612.11	460.44	265.87	129.69	197.09	206.94	269.6	141.02	151.22	295.11	183.82	75.64	146.03	228.13
DSCC1	111.99	37.59	199.85	463.65	183.82	94.67	336.79	217.27	202.66	177.53	242.88	136.19	463.65	217.27	140.04	166.73	78.89	88.88	57.89	65.26	70.51	100.83	48.18	101.54	120.94	36.01	18.7	22.43	34.75	10.39	15.68	22.59	91.41	71.0	74.58	49.56	49.21
DSN1	414.87	309.83	842.36	743.43	688.78	753.83	830.75	866.07	866.07	633.73	1427.22	688.78	728.11	567.1	567.1	518.15	220.32	232.94	92.05	316.37	142.01	269.6	182.55	232.94	341.51	137.14	112.77	177.53	154.42	130.6	98.04	36.79	309.83	163.28	211.31	177.53	209.84
ECT2	547.75	154.42	890.44	1457.23	1066.48	693.58	1697.45	1208.34	4066.71	1583.71	915.51	684.02	1268.46	1225.22	470.14	1909.85	242.88	256.78	73.03	273.37	323.03	363.56	105.89	384.34	540.19	107.38	149.12	112.77	127.0	166.73	173.85	26.47	346.29	208.38	150.17	158.79	384.34
EME1	100.83	14.45	171.45	211.31	159.9	206.94	299.25	301.33	169.07	171.45	202.66	107.38	239.52	167.9	159.9	95.34	15.22	57.89	13.83	65.26	44.89	82.87	27.44	41.22	76.17	18.16	38.12	24.28	59.13	18.84	28.86	8.25	72.01	38.95	27.25	16.39	41.52
EXOSC8	518.15	665.29	1540.37	1378.57	769.69	1167.14	1417.35	878.17	1605.83	1304.15	1096.5	764.36	1583.71	928.3	718.08	551.56	723.08	967.76	669.92	813.63	872.1	866.07	624.99	728.11	713.11	571.05	454.09	361.04	457.25	299.25	316.37	387.02	454.09	420.68	323.03	358.54	536.45
FAM64A	291.04	152.28	1159.07	309.83	128.79	518.15	1030.12	209.84	753.83	318.57	395.18	172.65	248.0	703.28	74.06	316.37	65.72	54.72	11.04	58.71	12.18	64.8	61.68	76.71	142.01	38.4	32.13	31.0	66.65	9.85	36.79	7.06	260.38	202.66	176.29	120.94	195.72
FANCG	559.28	318.57	1467.37	1242.34	872.1	947.83	1508.65	1447.15	941.27	1159.07	961.07	842.36	1199.98	1159.07	373.81	769.69	281.09	332.14	172.65	414.87	189.02	463.65	332.14	518.15	423.61	303.44	295.11	236.21	329.84	277.2	215.77	35.76	435.55	258.57	358.54	197.09	162.14
