	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.LN.A7HY.01A.12R.A354.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y111.1826.SM.4SOIR	GTEX.11OF3.2326.SM.5GU73	GTEX.12KS4.0926.SM.5BC5S	GTEX.X585.1226.SM.46MW7	GTEX.PSDG.1326.SM.48TD2	GTEX.ZAB4.1126.SM.5HL86	GTEX.N7MT.0326.SM.48TDP	GTEX.PLZ5.0926.SM.3TW8L	GTEX.ZYY3.1526.SM.5SIA9	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	TCGA.CV.7183.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.V1D1.0926.SM.4JBHQ
AC090186.1	343.89	525.39	651.58	314.17	224.97	297.17	341.51	165.57	224.97	1832.01	2090.03	633.73	620.67	271.48	473.41	543.96	409.15	518.15	1950.0	1295.13	1487.87	164.42	100.13	368.65	231.32	271.48	457.25	246.28	152.28	0.0	0.36	194.36	133.36	94.01	154.42	185.11	231.32	307.69	860.08
AGER	74.06	189.02	363.56	232.94	176.29	166.73	169.07	177.53	156.59	679.29	718.08	211.31	571.05	171.45	293.07	281.09	173.85	277.2	902.89	480.04	555.41	12.55	21.94	110.43	51.71	29.06	22.26	30.56	66.65	0.0	0.28	4.31	41.81	23.25	38.67	33.06	10.24	18.84	941.27
AHSA2	262.2	693.58	2537.92	1119.56	808.0	1233.75	1008.9	825.0	629.35	2573.36	3928.15	1950.0	2537.92	1498.22	2351.53	1883.54	1268.46	2209.26	3103.19	2816.11	3303.0	17.38	58.71	713.11	223.41	90.77	60.82	226.54	161.02	0.0	1.58	4.94	83.45	20.11	61.25	50.27	35.76	27.84	1977.24
ANKS3	183.82	356.05	555.41	521.76	334.46	323.03	228.13	409.15	293.07	921.88	1143.1	397.93	764.36	444.72	444.72	525.39	353.59	384.34	1175.27	974.5	708.18	46.5	66.65	283.05	131.51	126.12	55.1	162.14	186.4	0.0	0.78	40.36	77.79	115.97	83.45	111.21	54.33	50.63	764.36
AP000974.1	0.52	4.1	7.69	1.19	4.58	4.7	1.5	5.41	0.39	16.51	28.86	3.96	10.39	2.58	5.28	9.48	8.13	3.86	7.82	19.11	17.9	0.0	1.14	0.99	0.64	0.0	0.0	0.0	0.58	0.0	0.29	0.0	0.0	0.61	1.91	0.4	0.0	0.18	9.56
ARL8A	896.64	928.3	2047.0	1268.46	1216.75	1073.91	1216.75	1304.15	1216.75	1662.49	1417.35	1059.11	866.07	848.22	1096.5	1001.93	836.53	819.3	1639.59	1467.37	1331.57	612.11	764.36	808.0	698.41	775.05	497.0	733.19	775.05	0.0	0.88	723.08	733.19	1733.13	808.0	748.61	616.37	743.43	872.1
BDH2	395.18	785.88	1304.15	591.22	595.34	791.35	525.39	493.56	607.87	2104.58	1697.45	1151.06	1331.57	860.08	1135.2	1081.39	890.44	860.08	2104.58	1572.76	1733.13	267.73	164.42	780.44	575.03	616.37	896.64	551.56	693.58	0.0	0.66	769.69	486.75	518.15	780.44	483.38	723.08	379.04	2701.35
BZRAP1	74.58	339.14	567.1	190.34	215.77	191.67	128.79	92.05	197.09	2609.3	2090.03	563.18	915.51	420.68	409.15	435.55	387.02	392.44	3639.7	2701.35	2485.67	7.22	10.39	148.09	152.28	90.14	29.27	70.01	102.25	0.0	0.82	2.39	25.72	58.3	87.65	31.45	30.56	18.16	2319.15
C19orf55	111.21	242.88	521.76	325.29	438.59	575.03	358.54	483.38	265.87	348.71	289.02	264.03	262.2	435.55	318.57	323.03	412.0	318.57	275.28	457.25	414.87	137.14	201.25	269.6	295.11	191.67	53.95	198.47	183.82	249.73	353.59	69.52	162.14	228.13	183.82	97.36	95.34	88.88	371.22
C1orf52	327.56	497.0	620.67	567.1	381.68	642.59	368.65	384.34	346.29	629.35	638.15	536.45	497.0	503.95	441.64	511.0	389.72	409.15	674.59	616.37	500.46	201.25	255.0	412.0	361.04	389.72	466.88	287.01	314.17	0.0	0.74	403.5	323.03	466.88	323.03	435.55	281.09	307.69	616.37
C21orf67	20.56	20.86	89.51	23.08	28.04	22.26	12.83	17.38	14.56	52.08	47.17	30.34	52.82	39.79	34.02	40.07	18.56	22.75	55.49	50.98	54.72	27.44	12.0	47.84	14.35	13.32	20.56	18.29	27.64	0.0	0.03	22.75	5.23	10.96	40.93	26.86	28.04	5.68	46.18
C8orf82	163.28	236.21	579.04	521.76	497.0	547.75	435.55	466.88	490.14	624.99	775.05	483.38	441.64	540.19	379.04	559.28	493.56	480.04	633.73	651.58	753.83	127.89	158.79	334.46	255.0	389.72	309.83	447.82	275.28	0.0	0.47	127.89	191.67	143.01	332.14	159.9	223.41	262.2	587.13
C9orf37	110.43	217.27	426.57	171.45	204.07	166.73	151.22	293.07	167.9	587.13	819.3	197.09	334.46	262.2	271.48	271.48	180.02	215.77	674.59	587.13	486.75	72.52	95.34	193.01	91.41	90.77	80.01	111.99	121.79	0.0	0.73	78.34	48.18	125.24	141.02	77.25	90.77	40.93	656.11
