	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZVZP.1626.SM.5GIDJ	GTEX.1497J.2126.SM.5NQB8	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.ZQUD.0426.SM.57WFR	GTEX.R55C.0826.SM.48FCL	GTEX.111CU.0726.SM.5GZYD	GTEX.YF7O.0926.SM.5IFIF	GTEX.UPIC.1026.SM.4IHLT	GTEX.U4B1.0826.SM.4DXTW	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ZUS.0926.SM.5FQSY	GTEX.YECK.1726.SM.5IFI3	GTEX.WZTO.1526.SM.4PQYQ	TCGA.CV.7183.11A.01R.2016.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AARD	0.85	100.83	49.56	112.77	112.77	150.17	150.17	34.75	61.25	70.51	28.45	89.51	18.7	76.17	35.25	43.94	17.13	1.81	2.86	0.0	1.28	9.13	0.0
AATK	4.46	89.51	14.45	55.49	490.14	1023.0	409.15	96.68	108.14	112.77	55.89	86.43	26.28	669.92	902.89	1119.56	1008.9	4.28	5.15	15.68	8.06	10.47	6.21
ACACB	12.64	177.53	53.57	95.34	3564.78	2895.31	2335.28	447.82	426.57	514.56	269.6	353.59	307.69	2319.15	1561.89	3235.01	2178.83	16.88	33.06	53.19	23.08	63.45	45.21
ACOT9	56.68	320.8	115.16	126.12	1119.56	902.89	995.0	406.31	444.72	392.44	329.84	368.65	264.03	1066.48	1127.35	1001.93	988.12	187.71	336.79	145.02	143.01	204.07	131.51
ACTR3B	37.59	98.04	105.15	91.41	177.53	155.5	97.36	77.79	178.77	159.9	80.57	96.01	46.5	167.9	136.19	110.43	75.11	60.82	48.52	34.26	45.53	73.03	52.08
AFF3	0.0	27.05	11.21	41.52	204.07	114.36	332.14	95.34	78.34	88.26	76.71	82.29	35.25	122.64	127.89	162.14	171.45	11.73	0.83	0.55	1.69	7.17	1.17
ANKRD53	3.0	17.13	16.03	26.67	92.7	178.77	105.15	53.95	27.05	36.79	44.25	46.5	14.45	102.25	88.88	189.02	131.51	1.27	1.62	1.07	2.61	9.7	1.22
ANKS1A	221.86	651.58	409.15	329.84	1008.9	728.11	1037.29	329.84	447.82	381.68	358.54	343.89	353.59	842.36	921.88	1030.12	967.76	85.22	139.07	305.55	162.14	239.52	193.01
AP000322.53	0.0	0.0	0.0	0.0	6.41	4.1	11.38	2.53	0.0	1.87	0.0	2.29	2.2	14.67	4.35	8.45	6.94	0.0	0.0	0.57	0.0	1.58	0.0
ARHGAP29	33.54	78.89	50.27	47.84	299.25	603.67	348.71	127.0	180.02	141.02	66.65	133.36	54.33	525.39	486.75	409.15	764.36	51.35	31.22	50.98	14.24	28.65	5.54
ASMTL	32.82	182.55	91.41	166.73	412.0	406.31	366.09	277.2	157.68	208.38	197.09	215.77	142.01	358.54	353.59	414.87	339.14	171.45	123.5	93.35	147.06	120.1	132.44
ATP2B2	0.0	5.45	1.19	5.82	6.21	3.5	7.17	2.01	1.93	3.06	4.86	1.79	4.28	13.42	26.1	25.35	28.45	1.53	1.1	2.78	2.46	24.11	0.93
ATP7B	0.0	50.27	12.27	19.11	45.53	68.55	116.78	75.11	24.46	29.06	12.45	23.25	22.75	129.69	100.13	172.65	121.79	10.39	10.96	7.4	4.66	22.92	5.87
BMP1	122.64	1286.18	1322.37	961.07	1208.34	1313.23	1594.73	305.55	587.13	555.41	412.0	525.39	373.81	2047.0	825.0	995.0	995.0	157.68	275.28	332.14	182.55	248.0	224.97
BPI	0.0	13.03	5.77	0.0	50.27	58.3	75.11	14.67	50.27	30.12	5.92	15.91	2.61	29.27	49.56	47.5	82.87	0.0	9.06	4.46	4.62	1.25	0.0
BTC	155.5	178.77	157.68	154.42	297.17	237.86	543.96	153.34	139.07	146.03	108.14	165.57	53.95	186.4	253.23	406.31	426.57	183.82	64.34	98.04	65.26	54.72	24.28
C10orf107	1.51	1.83	0.18	0.4	15.22	42.71	12.83	10.79	0.0	1.69	0.0	1.64	1.2	17.38	38.4	61.25	28.04	0.99	5.32	3.23	2.12	1.46	0.0
C14orf132	5.11	267.73	148.09	199.85	764.36	493.56	866.07	106.63	120.94	187.71	78.89	112.77	102.25	397.93	718.08	460.44	339.14	32.36	139.07	406.31	121.79	100.13	248.0
C1QTNF4	0.0	20.41	8.19	13.72	105.89	45.85	73.54	23.42	14.56	15.11	7.88	16.27	9.13	56.68	83.45	68.07	46.84	0.0	0.0	2.34	5.45	1.85	4.21
C20orf194	16.88	136.19	132.44	143.01	289.02	327.56	460.44	217.27	190.34	190.34	169.07	175.07	138.1	376.41	450.94	466.88	514.56	27.05	41.22	86.43	52.45	49.91	41.22
C21orf62	2.1	7.22	0.96	0.69	8.45	9.93	6.11	4.28	4.98	7.34	7.46	7.51	0.92	12.0	38.67	14.89	14.35	0.0	0.09	0.0	0.35	0.45	0.0
CACNB2	2.39	113.56	51.35	85.22	603.67	500.46	674.59	109.66	193.01	86.43	66.18	91.41	59.55	759.08	423.61	555.41	693.58	2.18	0.75	2.63	2.92	3.26	3.96
CAMKK1	67.12	242.88	102.97	145.02	141.02	189.02	151.22	129.69	141.02	205.5	115.97	248.0	186.4	206.94	194.36	511.0	166.73	67.12	44.89	189.02	61.68	94.67	52.08
CAMKK2	191.67	470.14	289.02	368.65	684.02	703.28	521.76	420.68	450.94	420.68	356.05	414.87	463.65	748.61	954.43	830.75	872.1	202.66	299.25	241.19	226.54	255.0	194.36
