	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4760.01A.02R.1420.07	TCGA.BP.4795.01A.02R.1420.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.DV.5567.01A.01R.1541.07	TCGA.BP.4784.01A.01R.1305.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.B2.5636.01A.02R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.4177.01A.02R.1420.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV
ACVRL1	189.02	1286.18	1111.82	1883.54	1350.18	866.07	1757.34	941.27	1769.57	884.29	848.22	791.35	1388.16	285.03	738.29	132.44	60.39	171.45	167.9	93.35	161.02	194.36	52.82	91.41	0.0	536.45	262.2	435.55	387.02	791.35	351.14	543.96	1199.98
ADPRH	217.27	117.6	264.03	381.68	346.29	211.31	348.71	358.54	441.64	395.18	241.19	113.56	363.56	85.22	167.9	71.0	19.97	97.36	86.43	42.41	77.25	105.89	38.12	63.45	0.0	121.79	140.04	119.26	130.6	204.07	229.72	299.25	236.21
ADRA1B	48.52	5.63	285.03	373.81	316.37	412.0	583.07	463.65	476.71	406.31	336.79	23.25	305.55	3.53	4.46	95.34	228.13	297.17	204.07	169.07	88.88	493.56	127.89	197.09	0.0	178.77	161.02	172.65	128.79	41.81	35.76	15.22	36.79
AFAP1L1	105.15	74.58	341.51	540.19	591.22	341.51	575.03	444.72	902.89	279.14	251.48	73.03	307.69	16.39	31.0	42.11	38.12	67.59	38.95	49.91	60.39	86.43	71.0	40.93	0.0	271.48	191.67	193.01	146.03	117.6	127.89	214.27	178.77
APLN	51.71	2.18	954.43	1225.22	796.86	674.59	854.13	713.11	1304.15	743.43	1208.34	37.05	638.15	13.03	21.01	6.62	2.1	3.11	26.47	0.0	0.46	7.82	6.16	0.0	0.0	299.25	31.45	76.71	28.86	13.42	1.07	5.02	42.11
ARHGEF15	137.14	329.84	493.56	1286.18	551.56	493.56	555.41	563.18	1697.45	497.0	429.54	34.26	693.58	7.46	38.95	68.07	33.3	75.11	67.12	48.18	60.39	172.65	85.22	96.01	0.0	248.0	400.71	371.22	336.79	176.29	264.03	256.78	226.54
ASCC1	775.05	679.29	738.29	769.69	995.0	708.18	981.29	748.61	896.64	1008.9	830.75	813.63	718.08	389.72	450.94	303.44	334.46	275.28	305.55	438.59	358.54	356.05	186.4	305.55	0.0	511.0	543.96	497.0	493.56	651.58	454.09	500.46	536.45
ATL3	532.74	346.29	753.83	780.44	624.99	693.58	988.12	579.04	915.51	830.75	669.92	567.1	629.35	277.2	195.72	237.86	169.07	269.6	293.07	208.38	249.73	177.53	120.94	256.78	379.04	532.74	583.07	432.53	368.65	559.28	420.68	511.0	567.1
B3GNT2	583.07	497.0	921.88	967.76	941.27	647.07	866.07	669.92	624.99	796.86	651.58	764.36	665.29	226.54	371.22	244.57	214.27	287.01	204.07	194.36	133.36	199.85	152.28	223.41	0.0	571.05	493.56	343.89	332.14	423.61	379.04	460.44	555.41
C15orf39	438.59	291.04	909.17	825.0	733.19	915.51	785.88	743.43	684.02	934.76	860.08	206.94	836.53	111.21	301.33	186.4	17.51	75.11	57.08	18.84	70.51	169.07	65.26	63.45	0.0	387.02	536.45	441.64	392.44	341.51	267.73	351.14	392.44
C1QTNF1	113.56	679.29	1233.75	1832.01	1225.22	836.53	2090.03	1119.56	808.0	2609.3	1183.45	941.27	2047.0	244.57	629.35	514.56	228.13	878.17	409.15	293.07	915.51	2032.85	679.29	273.37	0.0	1216.75	1183.45	1286.18	1551.09	1819.35	493.56	1721.16	2255.7
C20orf202	5.41	4.62	40.07	28.86	30.12	18.43	32.82	20.56	19.97	32.59	30.34	2.2	21.16	1.91	3.72	3.35	2.73	3.69	3.17	1.55	4.17	5.96	0.0	3.03	0.0	13.12	4.74	5.59	3.14	3.59	1.5	2.12	1.85
C22orf34	57.89	31.22	71.0	122.64	27.44	52.45	165.57	131.51	135.24	79.45	141.02	10.31	57.89	7.06	28.65	16.03	5.92	31.45	12.93	9.13	12.27	18.7	7.0	8.85	0.0	93.35	38.12	61.68	80.57	35.5	26.47	41.22	65.26
C7orf41	224.97	1088.92	1304.15	775.05	947.83	1477.58	813.63	1023.0	995.0	1119.56	1242.34	119.26	764.36	217.27	199.85	189.02	54.72	244.57	142.01	117.6	152.28	299.25	50.63	279.14	145.02	373.81	348.71	244.57	299.25	500.46	571.05	497.0	273.37
CD34	723.08	2915.45	3103.19	6561.36	4937.99	4450.27	4836.35	4869.99	8363.13	3018.3	3491.39	262.2	4358.66	56.68	204.07	75.64	59.97	76.17	119.26	76.71	102.25	180.02	145.02	115.16	0.0	1268.46	1832.01	1745.2	1350.18	1030.12	1313.23	500.46	1313.23
CDH5	376.41	660.68	1277.29	2485.67	2061.24	1857.6	2018.8	1572.76	3491.39	1111.82	1427.22	87.65	1639.59	25.54	98.04	291.04	94.67	536.45	312.0	190.34	420.68	909.17	209.84	305.55	0.0	748.61	684.02	860.08	698.41	1001.93	616.37	507.46	902.89
CLEC14A	271.48	1628.26	1119.56	2468.49	1950.0	2255.7	3742.05	1819.35	2758.13	2148.82	1378.57	140.04	2255.7	29.27	90.14	138.1	75.64	195.72	251.48	85.82	208.38	291.04	186.4	155.5	0.0	1167.14	684.02	1313.23	607.87	575.03	595.34	358.54	511.0
CLU	1472666.19	2729110.67	184082.4	65535.0	85876.94	236256.4	236256.4	397335.0	172949.54	677564.08	191899.64	1085552.95	894051.48	524287.0	535303.41	672883.8	402881.61	1171559.48	817012.28	479109.86	1383603.33	1171559.48	619179.28	958220.73	0.0	672883.8	641014.63	938500.81	736332.6	736332.6	691801.16	682276.92	1131651.83
CNN3	743.43	2240.11	7966.99	9025.81	8305.36	10296.45	11745.96	9279.58	9151.82	8421.31	7382.04	7966.99	7589.61	2255.7	1991.0	1561.89	1857.6	2935.74	3280.18	2956.17	2720.15	2875.3	1519.15	2777.33	5633.22	5479.15	5441.3	5711.87	4869.99	3564.78	2739.08	4972.34	4268.94
COX7A1	1447.15	2573.36	4704.07	5711.87	3103.19	4937.99	4481.23	5479.15	2739.08	4736.79	2287.2	1066.48	4903.87	199.85	316.37	150.17	211.31	830.75	708.18	63.45	314.17	343.89	563.18	55.49	0.0	3212.66	1378.57	507.46	1051.79	2032.85	470.14	764.36	6887.62
CRHR1	0.66	18.03	55.49	204.07	285.03	229.72	316.37	277.2	616.37	351.14	490.14	40.07	265.87	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.56	52.45	12.74	27.44	9.85	5.59	17.25	7.4
CRISPLD2	202.66	802.41	1417.35	1044.52	1651.0	612.11	392.44	2777.33	429.54	2875.3	540.19	138.1	591.22	78.34	109.66	35.76	34.02	52.08	52.45	38.95	64.34	61.25	271.48	24.28	447.82	151.22	555.41	414.87	511.0	728.11	157.68	215.77	819.3
CYYR1	161.02	748.61	656.11	1340.84	1322.37	902.89	1427.22	995.0	1733.13	813.63	884.29	46.18	988.12	14.56	27.64	41.52	18.43	63.0	68.55	51.71	70.01	136.19	59.97	43.02	0.0	269.6	316.37	371.22	267.73	258.57	228.13	189.02	155.5
DLX5	9.06	19482.97	87.65	80.57	98.04	59.55	438.59	83.45	49.21	450.94	80.57	7.28	262.2	0.65	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86	0.0	0.0	44.57	21.63	57.08	40.36	10.55	11.64	19.82	36.53
DYRK3	33.06	175.07	285.03	197.09	497.0	521.76	239.52	314.17	267.73	234.57	228.13	77.79	202.66	77.25	57.08	63.45	6.84	64.8	73.54	144.01	23.42	63.89	87.03	72.01	0.0	85.82	92.7	76.17	92.05	111.21	212.78	162.14	157.68
DYSF	220.32	98.04	1304.15	1757.34	1216.75	1437.15	1467.37	1369.04	2502.97	961.07	1135.2	316.37	1081.39	118.43	121.79	379.04	327.56	463.65	447.82	157.68	450.94	438.59	162.14	616.37	0.0	679.29	796.86	738.29	470.14	195.72	211.31	191.67	373.81
EBF1	52.45	96.68	285.03	444.72	412.0	256.78	529.06	223.41	366.09	567.1	273.37	460.44	242.88	3.53	8.13	2.43	2.27	9.13	12.0	1.33	16.88	7.28	9.85	6.16	0.0	113.56	133.36	108.14	72.52	136.19	103.69	86.43	96.01
ECSCR	629.35	1331.57	2701.35	4639.29	3589.58	2664.15	4903.87	3168.41	5517.27	3325.99	2895.31	256.78	3639.7	64.8	189.02	157.68	115.97	336.79	379.04	205.5	366.09	325.29	241.19	147.06	0.0	1111.82	1037.29	1233.75	866.07	1259.69	1081.39	1561.89	2816.11
ELAVL3	0.36	0.0	5.06	5.54	38.95	10.0	2.53	19.25	9.56	38.67	4.31	0.0	23.25	0.0	2.36	0.0	0.0	0.14	0.0	0.49	1.69	0.57	0.47	0.0	0.0	0.72	1.58	1.99	2.46	0.0	0.52	0.59	0.0
ELTD1	384.34	351.14	902.89	1519.15	2032.85	1119.56	1844.76	1183.45	2133.97	1104.13	1015.93	74.58	1286.18	13.12	25.35	128.79	25.72	199.85	209.84	92.7	256.78	339.14	79.45	109.66	0.0	698.41	457.25	473.41	329.84	269.6	289.02	241.19	540.19
ERG	111.21	312.0	444.72	928.3	1015.93	656.11	808.0	642.59	1369.04	460.44	423.61	45.85	583.07	8.65	17.0	130.6	44.25	194.36	130.6	73.03	143.01	312.0	119.26	100.83	0.0	197.09	202.66	218.79	185.11	199.85	166.73	107.38	190.34
EXOC3L1	50.27	165.57	171.45	334.46	417.77	255.0	323.03	305.55	507.46	183.82	204.07	63.45	267.73	14.89	23.42	82.87	38.4	81.14	56.68	49.91	82.29	142.01	57.49	59.13	0.0	111.21	138.1	157.68	139.07	111.21	117.6	126.12	148.09
EXOC3L2	66.18	144.01	915.51	1844.76	642.59	595.34	872.1	1277.29	2537.92	718.08	785.88	64.34	780.44	31.9	81.14	65.72	33.78	142.01	67.12	74.06	117.6	186.4	98.04	86.43	0.0	297.17	351.14	423.61	180.02	348.71	414.87	189.02	348.71
FGD5	100.83	486.75	525.39	1628.26	1498.22	2163.77	2319.15	2701.35	2956.17	2502.97	1313.23	73.03	1651.0	307.69	24.28	74.06	24.11	111.99	64.34	40.93	90.14	152.28	98.04	90.14	0.0	176.29	231.32	212.78	181.28	176.29	107.38	249.73	195.72
FGF11	83.45	17.51	1781.89	1277.29	1697.45	2193.99	1183.45	2434.5	2520.38	2018.8	2417.67	291.04	1651.0	33.78	98.04	17.9	8.32	5.59	0.73	1.81	3.66	7.22	1.71	1.62	0.0	89.51	42.11	45.21	63.45	476.71	204.07	251.48	713.11
FKBP1B	248.0	1135.2	460.44	503.95	559.28	441.64	607.87	454.09	447.82	339.14	872.1	82.87	633.73	305.55	107.38	117.6	112.77	118.43	119.26	204.07	236.21	629.35	127.89	55.49	0.0	151.22	171.45	190.34	287.01	138.1	312.0	285.03	167.9
FLT1	154.42	215.77	1467.37	2645.74	2895.31	2451.44	1757.34	2335.28	4575.41	1167.14	1936.53	90.77	1685.71	18.29	25.17	44.89	24.46	90.14	86.43	53.57	80.01	142.01	43.02	62.12	0.0	457.25	748.61	507.46	507.46	521.76	395.18	309.83	387.02
FOXC2	7.4	2.76	128.79	217.27	211.31	81.71	249.73	105.15	80.57	336.79	89.51	84.63	234.57	1.95	6.84	1.1	3.89	0.0	0.0	0.0	2.01	0.0	1.13	0.0	0.0	10.63	17.77	38.4	20.26	26.67	8.45	21.94	16.75
FOXJ3	336.79	457.25	3018.3	836.53	2271.4	4512.4	1498.22	1044.52	4239.45	2609.3	2163.77	395.18	1794.29	281.09	232.94	112.77	127.89	114.36	149.12	157.68	120.1	161.02	218.79	94.67	420.68	389.72	497.0	417.77	423.61	470.14	563.18	466.88	426.57
GABRG1	0.67	1.6	10.16	2.16	15.68	25.17	21.63	18.29	24.99	39.79	27.84	0.0	22.1	0.0	0.0	0.0	0.0	0.0	0.54	0.51	1.66	0.56	2.07	0.89	0.0	0.66	0.0	0.97	0.38	0.53	6.73	3.66	0.14
GABRR1	1.89	1.04	10.0	8.06	16.39	4.28	8.99	13.93	5.96	11.64	3.23	1.08	9.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.43	0.83	2.03	0.77	0.0	1.83	0.21
GIMAP1	35.25	232.94	140.04	297.17	251.48	142.01	281.09	170.25	457.25	206.94	167.9	43.63	153.34	18.03	119.26	75.11	14.35	81.71	77.25	27.64	108.9	180.02	44.57	48.18	0.0	85.22	72.01	110.43	74.58	133.36	138.1	214.27	170.25
GIMAP4	371.22	1417.35	1322.37	3303.0	1685.71	1322.37	2609.3	1551.09	2485.67	1447.15	1769.57	251.48	1844.76	142.01	796.86	540.19	153.34	684.02	842.36	287.01	878.17	1304.15	255.0	384.34	0.0	669.92	420.68	718.08	599.49	1023.0	703.28	988.12	1313.23
GIMAP5	229.72	708.18	1605.83	1628.26	1991.0	1628.26	2645.74	2417.67	2047.0	1487.87	1388.16	170.25	1733.13	127.0	708.18	785.88	90.77	974.5	665.29	373.81	1427.22	1551.09	571.05	497.0	0.0	848.22	447.82	733.19	684.02	1051.79	511.0	1167.14	1119.56
GIMAP6	139.07	579.04	934.76	1457.23	1268.46	1001.93	1081.39	1008.9	2075.59	579.04	669.92	92.05	612.11	23.08	151.22	256.78	32.82	346.29	242.88	119.26	301.33	417.77	59.97	158.79	0.0	231.32	262.2	287.01	293.07	529.06	301.33	511.0	480.04
GIMAP7	218.79	896.64	1066.48	1950.0	1477.58	1073.91	1909.85	1519.15	2287.2	1605.83	1096.5	95.34	1313.23	86.43	130.6	329.84	78.89	483.38	381.68	167.9	547.75	713.11	117.6	293.07	0.0	500.46	255.0	555.41	406.31	1175.27	733.19	902.89	785.88
