	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZF29.1326.SM.4WWB6	GTEX.XGQ4.1526.SM.4AT6H	GTEX.RU72.0726.SM.46MUW	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.R55C.0826.SM.48FCL	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.11LCK.1726.SM.5S2OQ	GTEX.1399R.0826.SM.5IJEL	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13OVI.2626.SM.5KM4T	GTEX.WFG8.1226.SM.4V6EI	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.XMK1.1326.SM.4B65Q	GTEX.PWCY.0726.SM.48TCS	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.Y8E4.1726.SM.5LU9G	GTEX.OIZG.1026.SM.3LK5X	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.132AR.2226.SM.5J2NT	GTEX.13OVG.0626.SM.5IFEP	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.11O72.1326.SM.5BC5A	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ANLN	624.99	1037.29	1350.18	29.48	2061.24	514.56	277.2	48.52	808.0	392.44	688.78	669.92	198.47	309.83	265.87	1572.76	307.69	303.44	214.27	647.07	995.0	115.16	265.87	135.24	157.68	175.07	167.9	540.19	194.36	44.57	161.02	441.64	81.71	223.41	220.32	295.11	559.28	145.02	281.09	172.65	591.22	209.84	69.52	312.0	1127.35	63.0	429.54	426.57	320.8	226.54	684.02	414.87	16.51	775.05	1037.29	356.05	503.95	521.76	303.44	551.56
ANXA1	1970321.01	32092.64	78476.96	8305.36	195931.88	447025.24	721179.07	190574.09	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	453265.5	365622.68	1364554.84	208544.12	193234.41	170568.48	97965.44	162489.97	233003.78	194578.47	244588.0	277089.94	258533.99	141455.6	246289.25	143430.26	194578.47	133825.1	190574.09	269512.87	236256.4	279017.26	189257.69	207103.59	225066.78	198667.0	163620.18	205673.01	123144.13	294926.33	164758.26	215898.44	124000.67	324980.94	313910.86	437825.58	301123.38	303217.87	32540.65	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81
ARHGAP11A	339.14	679.29	620.67	20.26	287.01	140.04	57.89	12.36	525.39	125.24	156.59	669.92	32.59	84.04	53.57	620.67	199.85	130.6	85.22	334.46	395.18	55.1	88.88	65.72	127.89	119.26	99.43	218.79	142.01	34.75	117.6	197.09	46.84	118.43	143.01	146.03	154.42	105.15	99.43	46.84	236.21	72.01	44.57	134.3	450.94	28.65	212.78	185.11	115.16	70.01	206.94	197.09	2.58	368.65	432.53	178.77	277.2	262.2	141.02	283.05
ASF1B	1008.9	2520.38	1540.37	8.06	2555.58	232.94	67.12	3.63	201.25	180.02	25.72	218.79	46.18	249.73	78.89	493.56	281.09	190.34	153.34	536.45	642.59	57.08	223.41	127.0	85.22	120.1	88.88	397.93	156.59	54.72	154.42	435.55	87.03	260.38	173.85	258.57	476.71	156.59	175.07	185.11	540.19	197.09	97.36	155.5	688.78	61.25	309.83	202.66	215.77	232.94	232.94	438.59	13.22	529.06	708.18	373.81	379.04	429.54	339.14	387.02
ASPM	218.79	444.72	575.03	1.33	551.56	209.84	13.93	1.14	253.23	10.63	130.6	327.56	11.55	18.56	11.91	226.54	88.88	100.13	67.12	191.67	351.14	43.32	87.65	63.0	68.07	55.1	51.35	157.68	63.0	30.34	67.59	144.01	50.63	87.65	76.71	116.78	152.28	67.59	85.82	43.63	212.78	73.03	37.32	119.26	339.14	22.59	141.02	142.01	87.03	55.89	167.9	176.29	2.1	198.47	242.88	105.89	176.29	190.34	92.7	208.38
AUNIP	44.25	248.0	141.02	13.83	98.73	66.18	44.57	16.39	63.45	36.53	108.9	154.42	19.82	69.52	24.99	115.16	18.7	26.28	31.22	101.54	88.88	12.36	28.86	23.08	22.26	15.22	14.24	76.17	20.26	15.8	19.82	46.5	11.47	25.72	44.25	30.34	64.34	15.34	37.05	22.26	77.25	20.11	11.47	30.12	128.79	17.51	41.22	52.08	43.02	24.28	38.95	58.71	12.27	64.34	77.79	33.54	70.01	67.59	38.67	85.22
AURKA	327.56	1008.9	878.17	26.1	417.77	603.67	136.19	17.77	450.94	223.41	140.04	316.37	38.67	212.78	49.56	325.29	82.87	138.1	80.57	551.56	579.04	75.11	171.45	102.25	106.63	75.11	152.28	312.0	118.43	22.26	98.73	295.11	62.12	136.19	198.47	195.72	376.41	101.54	152.28	52.45	438.59	126.12	78.34	183.82	723.08	75.64	248.0	145.02	117.6	151.22	267.73	366.09	22.75	563.18	366.09	150.17	343.89	314.17	182.55	381.68
AURKB	567.1	2627.46	1685.71	12.09	1721.16	429.54	122.64	20.11	325.29	551.56	144.01	1051.79	48.18	237.86	47.17	1037.29	1096.5	454.09	271.48	1088.92	1216.75	236.21	441.64	232.94	199.85	197.09	206.94	753.83	356.05	108.14	244.57	656.11	198.47	473.41	341.51	559.28	921.88	236.21	460.44	262.2	819.3	307.69	172.65	423.61	1427.22	94.01	583.07	316.37	314.17	384.34	356.05	693.58	9.48	595.34	872.1	356.05	616.37	728.11	332.14	854.13
BIRC5	529.06	1233.75	1015.93	10.16	2148.82	125.24	41.52	14.03	140.04	318.57	165.57	854.13	36.79	105.89	11.73	1073.91	587.13	244.57	175.07	642.59	941.27	102.97	255.0	151.22	125.24	155.5	137.14	583.07	209.84	53.19	148.09	500.46	105.15	281.09	195.72	307.69	769.69	148.09	325.29	193.01	624.99	180.02	121.79	239.52	921.88	82.87	426.57	297.17	228.13	532.74	301.33	476.71	33.54	679.29	665.29	336.79	518.15	575.03	346.29	624.99
BLM	120.94	332.14	220.32	12.64	115.16	209.84	31.22	5.68	237.86	96.68	73.03	209.84	16.88	53.19	38.67	185.11	16.15	37.59	39.22	131.51	121.79	13.12	46.18	37.59	28.86	22.26	30.34	120.1	47.84	15.68	43.94	75.11	32.59	54.72	61.25	44.57	118.43	30.78	50.98	34.26	115.16	34.51	36.27	34.51	175.07	19.39	89.51	50.63	51.71	27.05	69.03	102.25	17.25	87.03	92.05	45.85	57.08	65.26	43.63	62.56
