	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A1F0.01A.11R.A137.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.A2.A25F.01A.11R.A169.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.GM.A2DI.01A.31R.A18M.07	TCGA.E9.A1ND.01A.11R.A144.07	TCGA.BH.A0BL.01A.11R.A115.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CR.7391.01A.11R.2016.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABCC6	43.02	8.99	88.26	19.25	88.26	30.56	67.12	1.69	39.79	123.5	88.88	115.16	26.67	8.13	18.7	6.62	2.23	12.18	1.89	1.35	3.92	9.41	6.36	5.63	4.58	6.06	21.47	8.13	5.41	11.38	0.69	4.35	27.44	6.67	5.63	3.72
ADORA2A	1059.11	147.06	2075.59	291.04	2075.59	120.94	241.19	90.77	96.68	271.48	486.75	201.25	229.72	19.68	10.63	49.56	14.35	64.8	23.76	23.59	22.59	57.08	56.68	18.56	45.21	35.76	84.63	75.64	61.25	146.03	5.41	13.93	23.42	43.63	9.2	8.92
ADPRH	172.65	334.46	262.2	432.53	262.2	356.05	183.82	336.79	323.03	201.25	205.5	211.31	281.09	20.86	44.25	63.89	49.91	98.04	21.78	11.91	28.86	129.69	107.38	124.37	81.14	55.1	63.0	128.79	66.18	156.59	28.45	35.5	78.89	18.16	62.12	14.78
APBB1IP	299.25	480.04	426.57	988.12	426.57	703.28	486.75	518.15	341.51	529.06	348.71	363.56	665.29	52.08	111.99	220.32	39.22	131.51	35.5	27.44	27.44	121.79	100.13	50.27	88.26	59.97	122.64	115.16	119.26	224.97	31.45	61.25	75.11	54.33	32.13	32.82
ARL6IP5	1963.57	3235.01	3190.46	4937.99	3190.46	3515.68	4010.71	4607.24	2777.33	2875.3	4268.94	4298.64	4671.57	1583.71	2537.92	1151.06	836.53	1259.69	1096.5	647.07	738.29	1073.91	909.17	587.13	1268.46	1359.57	988.12	1721.16	1359.57	2119.22	571.05	753.83	1909.85	928.3	1175.27	1030.12
ARSB	114.36	209.84	150.17	346.29	150.17	260.38	149.12	161.02	256.78	151.22	167.9	249.73	178.77	14.14	36.27	20.86	16.51	36.01	52.45	1.55	21.01	75.11	81.14	58.3	43.63	8.78	17.64	76.17	17.64	123.5	12.45	30.12	47.17	38.67	37.05	13.12
ATP8A1	88.26	185.11	135.24	351.14	135.24	149.12	283.05	64.8	107.38	144.01	195.72	153.34	480.04	20.56	78.89	20.11	4.39	24.28	5.19	7.88	5.36	46.5	15.45	9.56	25.54	19.82	30.78	34.75	48.18	48.52	46.18	36.79	36.27	8.85	20.41	8.92
BCL2L14	21.63	49.21	44.89	125.24	44.89	52.82	53.19	167.9	105.89	80.57	33.06	11.91	146.03	255.0	4.86	2.81	0.93	3.08	0.0	0.0	0.0	9.2	3.38	1.53	0.52	0.96	9.34	7.63	0.48	37.59	0.0	0.71	17.64	1.57	3.66	1.51
C15orf57	791.35	579.04	503.95	836.53	503.95	629.35	733.19	738.29	460.44	791.35	819.3	860.08	791.35	131.51	293.07	182.55	316.37	185.11	208.38	172.65	90.14	237.86	289.02	283.05	165.57	159.9	218.79	363.56	287.01	371.22	108.9	194.36	253.23	178.77	275.28	193.01
C15orf65	96.01	49.91	135.24	35.76	135.24	121.79	62.12	39.5	77.79	92.05	114.36	115.97	98.04	20.26	52.45	33.06	25.17	17.25	12.27	2.23	37.32	43.02	25.35	60.82	18.29	10.55	20.26	38.67	7.34	47.17	5.41	8.51	21.63	17.13	28.65	13.93
C19orf35	8.65	9.06	14.67	6.11	14.67	9.27	31.9	16.03	8.85	16.39	8.92	9.56	13.12	2.51	5.5	3.11	3.59	9.06	2.46	2.34	0.95	14.56	11.82	2.97	5.92	3.38	9.06	2.1	1.16	20.56	2.97	2.53	7.34	1.57	1.16	4.94
CCDC163P	34.51	126.12	80.57	49.56	80.57	24.99	70.01	98.04	43.32	67.12	47.5	59.97	61.25	42.71	37.59	74.06	12.45	30.78	38.67	10.47	31.45	26.28	38.67	3.17	31.9	13.22	24.46	20.71	11.64	32.36	15.68	8.65	34.75	9.48	19.68	8.13
CCPG1	607.87	1051.79	961.07	1340.84	961.07	961.07	915.51	679.29	1044.52	1073.91	1340.84	1561.89	1119.56	151.22	265.87	275.28	158.79	217.27	94.01	40.93	133.36	305.55	128.79	299.25	223.41	94.67	153.34	563.18	115.97	493.56	80.57	111.99	343.89	119.26	256.78	127.89
CCR8	17.51	53.57	38.95	231.32	38.95	39.5	80.01	63.45	56.68	63.45	69.03	44.25	63.45	0.0	0.0	6.26	0.53	8.58	3.06	2.2	0.58	16.63	3.06	2.43	2.32	2.2	6.73	7.46	1.31	49.91	15.56	52.45	12.83	3.99	0.0	0.0
CD14	2209.26	3419.52	1909.85	4481.23	1909.85	4869.99	1651.0	8022.41	1639.59	1806.78	1628.26	1923.14	1709.26	329.84	285.03	1023.0	1369.04	660.68	2816.11	237.86	1268.46	941.27	2075.59	269.6	525.39	432.53	954.43	624.99	303.44	1883.54	61.68	503.95	1350.18	417.77	1733.13	346.29
CD163	748.61	5872.48	1709.26	4268.94	1709.26	5831.91	1950.0	6337.83	1977.24	988.12	934.76	954.43	909.17	30.34	183.82	316.37	376.41	1242.34	392.44	130.6	50.27	2075.59	1427.22	187.71	194.36	143.01	237.86	258.57	71.0	679.29	25.17	131.51	417.77	77.25	249.73	571.05
CD1D	53.19	98.73	40.36	82.87	40.36	53.57	88.88	28.24	66.65	62.56	78.89	32.59	108.14	0.83	3.53	9.93	15.34	13.12	3.32	0.72	2.46	8.99	9.48	2.1	10.55	5.92	9.93	14.67	15.11	17.13	3.89	11.47	16.88	3.69	2.94	3.14
CD200	397.93	373.81	239.52	521.76	239.52	387.02	223.41	193.01	327.56	460.44	426.57	463.65	595.34	21.47	46.18	35.5	23.76	51.35	24.28	27.44	17.9	171.45	109.66	41.81	68.07	48.52	106.63	77.79	93.35	159.9	21.78	18.43	86.43	29.48	11.73	9.63
CD53	1242.34	3614.55	1977.24	7280.4	1977.24	5366.37	3190.46	2720.15	1662.49	2701.35	1819.35	1467.37	4123.49	170.25	603.67	329.84	253.23	463.65	212.78	122.64	122.64	616.37	571.05	218.79	392.44	220.32	334.46	497.0	547.75	1397.83	100.13	348.71	486.75	211.31	132.44	194.36
CD93	854.13	1096.5	583.07	1143.1	583.07	1127.35	954.43	406.31	802.41	890.44	651.58	884.29	884.29	100.83	147.06	98.73	33.78	246.28	120.94	138.1	36.27	334.46	195.72	64.8	175.07	111.21	339.14	206.94	115.97	571.05	295.11	314.17	169.07	69.03	65.72	115.97
CECR6	10.16	20.56	10.31	19.53	10.31	22.26	13.22	36.27	12.36	10.63	13.62	14.14	17.38	3.44	7.94	4.35	0.56	8.71	3.29	2.86	2.56	4.5	9.48	2.81	3.41	9.27	4.98	3.5	14.45	7.46	0.0	2.73	3.63	2.58	8.06	3.99
CMKLR1	197.09	473.41	260.38	961.07	260.38	376.41	265.87	215.77	143.01	303.44	166.73	236.21	265.87	6.11	18.97	30.12	11.13	102.25	17.51	13.72	10.24	139.07	101.54	14.14	37.85	32.59	53.19	29.48	17.51	156.59	3.92	20.11	23.93	16.39	16.39	8.92
