	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.YEC3.2426.SM.5IFJR	GTEX.13O21.2426.SM.5MR4A	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZT9W.1826.SM.51MQX	TCGA.KN.8422.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BR.8682.01A.11R.2402.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
ADAT3	157.68	366.09	273.37	316.37	353.59	273.37	299.25	169.07	536.45	346.29	334.46	426.57	287.01	228.13	293.07	120.94	86.43	68.55	102.25	96.01	32.82	31.22	55.89	48.87	26.28	159.9	178.77	293.07	38.67	166.73	118.43	20.26	36.27	43.63
ALDH18A1	2701.35	2133.97	1883.54	2163.77	2351.53	1551.09	1540.37	1250.98	2287.2	3018.3	2502.97	2573.36	1844.76	1896.65	2163.77	303.44	435.55	872.1	543.96	356.05	624.99	376.41	397.93	878.17	713.11	2758.13	1487.87	1008.9	353.59	759.08	698.41	830.75	878.17	612.11
AP1M2	5555.65	4869.99	5006.93	4450.27	4095.0	3589.58	4481.23	2701.35	5831.91	5366.37	5711.87	5112.16	6840.04	4450.27	5255.91	1963.57	2335.28	2520.38	403.5	2502.97	1023.0	2287.2	1806.78	1977.24	1870.53	1883.54	2758.13	2417.67	0.0	1896.65	1617.0	2417.67	2133.97	2682.69
APPL2	4802.93	2855.44	1819.35	2835.7	2895.31	1936.53	1529.73	1322.37	2591.27	2875.3	2400.97	3325.99	1733.13	2271.4	3847.29	190.34	366.09	1037.29	441.64	435.55	397.93	373.81	486.75	559.28	444.72	1216.75	909.17	753.83	346.29	1709.26	941.27	395.18	460.44	318.57
ARHGEF5	902.89	896.64	738.29	679.29	974.5	679.29	638.15	460.44	738.29	708.18	830.75	813.63	713.11	718.08	1313.23	432.53	356.05	320.8	642.59	269.6	95.34	571.05	395.18	389.72	90.14	2163.77	426.57	769.69	37.05	511.0	312.0	426.57	158.79	417.77
B3GNT3	4575.41	3349.13	3168.41	3124.78	3614.55	2351.53	2018.8	1572.76	3820.7	3564.78	4512.4	3540.14	3874.05	2573.36	5076.84	7.17	1.43	1.64	4.06	11.13	88.26	2.92	7.94	444.72	361.04	954.43	2224.63	1857.6	0.0	1216.75	1208.34	98.73	493.56	3.99
BAIAP2L2	3168.41	3257.52	3039.3	3212.66	2997.45	2468.49	3060.45	1417.35	3190.46	3190.46	3018.3	3039.3	2485.67	2335.28	2835.7	4.1	5.02	41.22	12.93	9.2	679.29	1.38	27.64	392.44	72.01	1167.14	211.31	1340.84	9.34	68.55	95.34	18.7	20.41	9.48
BAK1	2224.63	1870.53	2209.26	1896.65	1437.15	1447.15	1697.45	1250.98	1617.0	1583.71	2047.0	1721.16	2434.5	1331.57	2895.31	1008.9	327.56	1119.56	656.11	295.11	423.61	507.46	536.45	583.07	329.84	775.05	629.35	532.74	166.73	624.99	624.99	241.19	229.72	599.49
BCL2L14	967.76	1066.48	1233.75	1059.11	1191.69	981.29	928.3	728.11	2209.26	1167.14	1457.23	1508.65	1111.82	1183.45	1059.11	0.47	10.79	1.6	14.89	6.73	3.23	4.94	1.31	1.57	0.99	848.22	1359.57	460.44	0.45	237.86	163.28	0.97	5.5	0.0
BCL2L15	4388.98	2758.13	3146.52	3372.43	3146.52	1561.89	2997.45	2018.8	3589.58	3146.52	3928.15	2591.27	4328.55	3443.31	3018.3	2.39	5.63	9.2	8.0	12.93	0.93	22.59	10.47	13.32	29.7	642.59	638.15	171.45	1.3	473.41	117.6	13.42	13.03	1.22
BMP8B	198.47	164.42	128.79	183.82	223.41	123.5	138.1	84.63	122.64	132.44	169.07	232.94	74.06	149.12	164.42	10.24	2.43	6.16	13.12	15.11	37.85	7.63	6.73	221.86	14.67	94.67	86.43	59.55	59.13	31.45	45.85	87.03	55.1	16.03
C15orf48	82951.62	67377.47	63742.91	56657.31	57051.4	38697.77	55491.3	37639.55	70727.3	67377.47	72213.45	65082.31	88905.42	52135.28	75280.1	38.4	87.65	307.69	2.76	142.01	301.33	947.83	68.07	146.03	111.99	3235.01	5831.91	320.8	1.75	2240.11	473.41	85.82	961.07	85.22
C1orf106	4512.4	4575.41	3419.52	4328.55	4671.57	3168.41	2664.15	1639.59	5366.37	4328.55	4095.0	4704.07	3443.31	3325.99	5255.91	1.55	2.51	36.79	583.07	9.56	490.14	9.06	66.18	780.44	149.12	3564.78	1277.29	1594.73	0.0	1135.2	341.51	7.51	178.77	2.76
C1orf172	872.1	902.89	791.35	854.13	896.64	693.58	651.58	493.56	974.5	854.13	928.3	1001.93	947.83	743.43	981.29	392.44	273.37	688.78	94.67	312.0	38.67	283.05	264.03	209.84	0.0	299.25	226.54	285.03	0.0	348.71	318.57	371.22	182.55	420.68
C3orf83	217.27	236.21	198.47	218.79	236.21	176.29	180.02	131.51	343.89	295.11	318.57	299.25	255.0	223.41	236.21	54.33	36.27	23.25	9.27	21.01	0.95	12.45	14.89	9.06	1.27	74.58	136.19	49.56	10.47	167.9	68.55	56.28	57.49	2.29
C6orf132	1259.69	1359.57	941.27	1225.22	1359.57	884.29	928.3	457.25	1208.34	1183.45	1225.22	1331.57	1096.5	1340.84	1832.01	159.9	33.54	189.02	56.68	59.97	23.42	8.0	39.79	447.82	0.53	525.39	854.13	915.51	1.1	2351.53	1628.26	351.14	205.5	463.65
CALML4	6561.36	5006.93	4512.4	5076.84	4704.07	3235.01	4704.07	2720.15	5441.3	4972.34	5791.62	4736.79	5112.16	4388.98	6294.04	70.51	173.85	105.89	170.25	158.79	884.29	106.63	221.86	2018.8	283.05	1151.06	1617.0	1662.49	204.07	420.68	358.54	271.48	279.14	119.26
CAMSAP3	1023.0	1135.2	1081.39	1066.48	1088.92	967.76	1088.92	595.34	1023.0	1208.34	995.0	1208.34	928.3	836.53	1295.13	161.02	204.07	363.56	126.12	149.12	122.64	80.01	248.0	450.94	351.14	769.69	785.88	947.83	0.0	660.68	620.67	503.95	239.52	476.71
CASP3	1208.34	909.17	890.44	909.17	934.76	688.78	796.86	679.29	1059.11	915.51	1143.1	974.5	967.76	961.07	988.12	441.64	206.94	223.41	251.48	325.29	226.54	202.66	287.01	297.17	387.02	543.96	412.0	470.14	164.42	559.28	435.55	329.84	346.29	212.78
CASP6	2367.9	1950.0	1721.16	1857.6	1781.89	1167.14	1594.73	1519.15	2537.92	2047.0	2537.92	2018.8	2573.36	2090.03	1662.49	536.45	387.02	285.03	264.03	551.56	264.03	281.09	490.14	647.07	463.65	642.59	540.19	638.15	358.54	854.13	543.96	348.71	651.58	285.03
CBLC	2915.45	3103.19	2609.3	2915.45	2720.15	2400.97	2502.97	1498.22	2796.65	2855.44	2855.44	3060.45	3124.78	2351.53	3257.52	232.94	152.28	9.78	10.47	151.22	5.68	109.66	127.89	132.44	470.14	642.59	1073.91	1159.07	0.0	547.75	384.34	3.79	3.63	44.57
CD2AP	2075.59	1159.07	780.44	988.12	1331.57	743.43	713.11	591.22	1242.34	1111.82	1295.13	1457.23	1059.11	1313.23	1427.22	279.14	389.72	848.22	1191.69	289.02	429.54	72.52	486.75	314.17	728.11	830.75	775.05	521.76	217.27	559.28	323.03	336.79	242.88	246.28
CFL1	49322.93	46339.95	44145.15	35363.15	44452.21	31870.96	32092.64	37639.55	48982.22	47974.16	52497.92	39237.98	49666.0	38966.94	61146.25	17078.76	18178.19	10368.08	10014.87	27363.16	20881.4	22225.61	8901.53	19892.37	15607.02	17681.08	22225.61	26614.89	13033.07	19214.73	16157.44	14765.09	20737.16	15607.02
CGN	5183.54	4038.61	2997.45	4903.87	4388.98	3124.78	2400.97	1477.58	4239.45	4671.57	3901.01	4639.29	2976.74	3146.52	5517.27	214.27	167.9	500.46	98.73	205.5	111.21	94.67	211.31	211.31	1066.48	2367.9	728.11	1242.34	7.94	764.36	447.82	123.5	267.73	186.4
CHMP4C	981.29	559.28	629.35	723.08	620.67	540.19	511.0	103.69	954.43	759.08	921.88	961.07	780.44	796.86	830.75	305.55	373.81	389.72	209.84	248.0	218.79	157.68	343.89	297.17	223.41	713.11	836.53	1151.06	2.36	525.39	389.72	417.77	287.01	236.21
CHP1	7695.57	3874.05	2796.65	3589.58	3564.78	2739.08	2335.28	1870.53	3690.52	3690.52	5995.9	4512.4	3491.39	3372.43	5329.3	2915.45	1909.85	1594.73	1350.18	2434.5	961.07	3768.09	1651.0	1183.45	1709.26	2777.33	3190.46	974.5	1407.55	3039.3	2739.08	1685.71	1225.22	780.44
CLCN2	2319.15	1199.98	1250.98	1583.71	1081.39	890.44	928.3	493.56	1208.34	1295.13	1350.18	1551.09	1268.46	1066.48	1529.73	145.02	139.07	111.21	129.69	198.47	94.67	68.07	158.79	249.73	87.65	376.41	128.79	343.89	55.89	33.54	37.85	92.7	72.01	258.57
CLDN23	3928.15	1225.22	616.37	748.61	1733.13	928.3	599.49	384.34	1427.22	1295.13	1104.13	1896.65	974.5	728.11	2935.74	67.59	99.43	98.04	28.65	32.13	15.0	60.39	35.0	42.41	55.1	198.47	241.19	466.88	4.39	575.03	281.09	24.11	8.85	80.57
CMPK1	5292.48	2875.3	2303.12	2119.22	2739.08	2271.4	2104.58	2609.3	3349.13	3235.01	4010.71	3467.27	2956.17	3768.09	4450.27	738.29	1044.52	1498.22	915.51	836.53	1350.18	941.27	1015.93	1295.13	2061.24	2319.15	1594.73	1685.71	1295.13	1662.49	2104.58	1709.26	1487.87	1639.59
