	TCGA.A8.A08B.01A.11R.A00Z.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.A8.A06Q.01A.11R.A034.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A8.A06N.01A.11R.A00Z.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.A2.A0ET.01A.31R.A034.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AC.A2B8.01A.11R.A17B.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.AN.A0FN.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC112715.2	0.0	6.52	33.54	0.0	2.78	38.95	0.0	42.11	2.76	3.08	8.45	6.16	6.06	8.13	2.89	0.0	3.17	6.78	29.48	2.66	22.26	0.0	0.0	2.73	0.0	2.51	37.59	2.63	4.43	11.47	50.98	8.45	22.1	21.78	5.77	5.11	22.43	8.58	0.0	4.86	12.36	0.0	0.0	36.79	3.99	6.89	3.26	0.0	0.0
ADAMTS14	35.25	4.1	162.14	16.88	18.03	251.48	3.5	177.53	12.27	14.78	67.59	48.52	19.68	47.5	46.5	11.91	52.08	171.45	85.82	6.52	42.11	44.57	34.02	2.34	1.23	21.78	140.04	4.06	4.58	31.67	473.41	21.16	95.34	66.65	5.54	59.13	120.1	3.56	46.84	53.95	32.82	0.67	10.63	91.41	4.17	87.65	25.54	0.0	0.22
ADAMTS16	5.82	2.76	271.48	24.46	16.51	163.28	0.44	301.33	14.78	5.73	249.73	74.58	89.51	52.82	40.07	0.92	55.1	260.38	368.65	1.91	316.37	85.22	44.25	0.74	0.23	49.91	110.43	2.2	5.19	10.63	24.28	41.52	507.46	22.1	4.9	40.64	211.31	2.78	15.56	262.2	3.63	0.53	44.89	493.56	3.38	37.32	159.9	0.0	0.0
AHNAK2	1977.24	87.65	555.41	139.07	142.01	583.07	234.57	1088.92	122.64	24.63	2935.74	603.67	309.83	303.44	190.34	109.66	503.95	860.08	743.43	145.02	684.02	183.82	836.53	35.0	96.68	100.13	1088.92	18.03	47.5	346.29	1135.2	264.03	607.87	189.02	62.12	197.09	361.04	118.43	432.53	470.14	87.03	25.35	180.02	571.05	44.57	318.57	329.84	0.0	0.57
ANGPTL2	176.29	178.77	3491.39	432.53	295.11	1870.53	138.1	1844.76	389.72	476.71	4869.99	708.18	651.58	825.0	412.0	80.01	825.0	2417.67	2303.12	406.31	1617.0	785.88	567.1	58.71	62.12	223.41	2935.74	156.59	98.04	351.14	3081.75	607.87	1277.29	1378.57	199.85	842.36	1519.15	563.18	733.19	1359.57	723.08	40.36	470.14	2758.13	260.38	1088.92	2502.97	0.0	0.61
C1QTNF5	450.94	376.41	2319.15	587.13	624.99	1697.45	205.5	2240.11	612.11	536.45	4152.18	947.83	503.95	1001.93	426.57	106.63	854.13	4972.34	2119.22	540.19	2627.46	1225.22	780.44	312.0	125.24	444.72	2664.15	127.89	170.25	679.29	6079.61	1457.23	3349.13	902.89	223.41	1242.34	2163.77	603.67	995.0	1175.27	1151.06	94.01	651.58	5183.54	426.57	954.43	1183.45	0.0	0.4
C1S	1991.0	1008.9	11745.96	4481.23	1697.45	11584.24	121.79	8840.04	2915.45	2287.2	17558.94	3491.39	2796.65	6037.61	2555.58	397.93	2855.44	10659.59	11035.54	3794.3	12415.75	2104.58	1313.23	141.02	62.12	1806.78	9474.59	511.0	381.68	2104.58	24321.43	6207.38	11424.74	2758.13	642.59	6887.62	7911.95	2303.12	2976.74	6426.31	4671.57	551.56	1963.57	16269.83	1225.22	4450.27	5255.91	0.0	1.41
C22orf26	15.34	5.19	18.29	4.94	7.06	16.39	6.73	14.24	5.45	10.63	22.59	10.31	5.68	16.75	10.0	6.52	13.83	29.91	19.39	3.92	17.51	5.96	3.59	3.69	7.28	5.92	10.16	6.06	2.58	7.69	14.24	13.12	15.34	18.97	3.5	9.06	14.67	7.57	10.47	12.0	5.32	3.96	9.06	19.53	6.36	5.73	9.34	0.0	0.0
C3orf80	24.63	23.59	144.01	60.39	47.84	146.03	7.88	124.37	61.68	33.54	157.68	67.59	63.0	65.26	70.01	29.48	81.71	208.38	120.1	24.11	108.9	96.68	66.65	7.11	3.17	21.01	209.84	10.31	31.45	23.76	738.29	48.52	171.45	90.77	96.68	75.64	147.06	15.22	31.45	92.7	91.41	2.68	38.67	271.48	30.12	66.18	52.45	0.0	0.0
CALD1	738.29	830.75	5672.41	3235.01	2796.65	6607.01	163.28	4239.45	4123.49	1008.9	11745.96	3060.45	3018.3	2367.9	2178.83	651.58	2032.85	5555.65	6164.49	1757.34	4481.23	3190.46	2061.24	327.56	208.38	1467.37	8840.04	395.18	981.29	1769.57	12853.63	2303.12	4268.94	2367.9	733.19	4152.18	3847.29	1127.35	3716.2	2739.08	3794.3	387.02	974.5	7695.57	1242.34	3742.05	6516.03	1832.01	1832.01
