	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.TMMY.0726.SM.33HBE	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13OVI.1026.SM.5L3EM
AC109829.1	6.52	3.86	0.77	0.0	4.31	0.0	0.8	4.78	9.2	3.99	0.0	4.5	5.87	0.0	7.63	2.58	2.61	1.64	7.34	2.51	0.0	3.11	4.21	0.0	0.0	0.78	0.0	0.91	1.28	1.62	1.39	1.95	0.0	1.11	0.0	0.0	1.41	7.22
ACCS	688.78	591.22	341.51	327.56	379.04	368.65	323.03	629.35	507.46	466.88	309.83	277.2	514.56	480.04	305.55	341.51	470.14	339.14	909.17	289.02	525.39	220.32	587.13	260.38	301.33	483.38	72.01	202.66	336.79	191.67	343.89	460.44	281.09	158.79	236.21	202.66	123.5	616.37
ADAT2	165.57	117.6	62.12	37.85	141.02	127.0	58.71	165.57	231.32	175.07	81.14	66.18	136.19	68.55	72.52	115.97	113.56	55.1	212.78	111.21	47.5	42.11	123.5	35.25	103.69	85.22	62.56	29.06	182.55	86.43	106.63	107.38	124.37	13.72	47.17	7.51	28.24	151.22
AGAP4	111.21	217.27	20.56	3.06	19.11	96.01	33.54	208.38	291.04	182.55	82.87	13.22	273.37	53.95	28.86	181.28	137.14	44.89	318.57	4.46	1.99	5.59	224.97	27.84	70.01	67.59	20.26	21.63	56.68	56.68	87.03	47.84	0.0	3.14	50.98	12.0	6.46	149.12
AGBL2	60.39	45.85	18.29	1.16	27.44	3.72	0.87	35.76	42.11	22.26	9.41	11.64	73.03	6.31	8.25	38.12	4.46	2.14	54.33	17.13	17.64	0.08	43.02	1.19	8.13	40.36	5.23	4.13	5.06	29.91	19.25	11.47	3.06	2.71	18.97	19.11	31.9	29.7
AHSA2	1457.23	860.08	497.0	271.48	769.69	575.03	241.19	1199.98	1008.9	1119.56	438.59	514.56	1427.22	483.38	698.41	674.59	866.07	660.68	1583.71	532.74	236.21	195.72	1104.13	267.73	414.87	825.0	258.57	208.38	212.78	988.12	878.17	555.41	351.14	67.59	258.57	44.89	60.39	1250.98
AKAP13	1674.06	1407.55	995.0	748.61	1963.57	1529.73	878.17	1721.16	1794.29	1477.58	1259.69	1127.35	1617.0	1159.07	1023.0	1350.18	1015.93	878.17	1639.59	981.29	872.1	1167.14	1794.29	813.63	1159.07	1322.37	1572.76	785.88	1143.1	1015.93	1991.0	2061.24	1001.93	842.36	555.41	642.59	651.58	2502.97
ANAPC4	693.58	629.35	511.0	248.0	633.73	423.61	346.29	651.58	842.36	669.92	400.71	444.72	624.99	358.54	473.41	642.59	417.77	334.46	665.29	507.46	420.68	363.56	638.15	320.8	392.44	713.11	253.23	220.32	329.84	400.71	460.44	423.61	299.25	104.42	115.16	63.0	108.9	884.29
ANKRD49	579.04	511.0	420.68	155.5	493.56	295.11	236.21	493.56	551.56	414.87	301.33	336.79	447.82	231.32	293.07	414.87	229.72	223.41	476.71	224.97	178.77	190.34	379.04	102.97	215.77	954.43	181.28	139.07	166.73	283.05	291.04	169.07	211.31	29.7	82.87	15.22	119.26	532.74
ARGLU1	3257.52	2537.92	1745.2	934.76	2520.38	1819.35	808.0	3443.31	3303.0	2956.17	1923.14	1583.71	2720.15	1819.35	1857.6	2645.74	1781.89	1806.78	3419.52	1519.15	1159.07	1175.27	3168.41	902.89	825.0	3349.13	1143.1	902.89	1051.79	1628.26	1651.0	2104.58	1183.45	135.24	497.0	152.28	376.41	3589.58
