	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FY.A3NM.01A.11R.A21D.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
BTF3	10084.54	11584.24	9876.98	15934.98	12502.12	17804.06	13968.57	11035.54	16960.78	15392.14	9409.14	17804.06	12764.83	14867.79	15824.9	12415.75	10733.74	12764.83	13586.57	11424.74	12853.63	12764.83	15180.22	18560.17	13492.72	12589.08	16611.71	13776.25	19754.96	9740.98	17804.06	16269.83	13968.57	20030.74	12943.04	10808.41	14663.09	14663.09	12076.21	13968.57	16157.44	14461.21	18052.61	11345.82	14971.21	11827.67	12076.21	16496.96	16727.26	13872.08	13776.25
EEF1G	19214.73	22072.07	15715.58	48982.22	27174.14	45072.75	30572.63	27745.15	48307.85	48643.87	17197.56	43840.21	36357.37	47642.77	44145.15	24490.61	24490.61	32540.65	39510.91	29531.18	35118.87	31432.17	50011.46	54727.32	44761.41	35856.82	48982.22	37639.55	69753.56	23492.92	56657.31	50011.46	36357.37	66449.85	30151.71	27745.15	38966.94	38966.94	33224.42	30785.28	38164.99	32994.92	41188.81	21468.49	34876.28	28923.41	27174.14	54727.32	48643.87	38966.94	43840.21
EEF2	17681.08	10154.69	21026.65	42054.3	19214.73	30785.28	23656.34	20451.65	39785.74	33688.23	20881.4	31870.96	35363.15	37901.36	35363.15	17317.18	23492.92	31650.8	33688.23	19482.97	37121.34	25354.3	53230.77	47313.67	33455.53	33922.56	35118.87	23820.89	57448.23	23492.92	39237.98	34876.28	28525.2	49322.93	24153.43	20310.37	31870.96	32994.92	30151.71	20593.91	27553.49	32092.64	32540.65	26431.04	21919.61	21320.18	21468.49	44145.15	43236.64	32540.65	31650.8
EIF3F	3372.43	3280.18	2520.38	6516.03	3467.27	5711.87	3665.02	3395.89	5913.33	5995.9	2915.45	5366.37	4268.94	5112.16	6561.36	2895.31	3589.58	4607.24	4512.4	3467.27	4575.41	4010.71	7642.41	8305.36	5255.91	4736.79	5292.48	3982.99	10084.54	3280.18	6337.83	5633.22	4210.15	7433.4	4358.66	3349.13	4671.57	4123.49	4268.94	3349.13	4543.8	4358.66	5633.22	3716.2	4095.0	3467.27	3820.7	6121.9	6207.38	5751.61	5255.91
EIF3L	3639.7	7081.29	7537.18	23820.89	10585.95	17197.56	10225.32	8901.53	21468.49	17804.06	8305.36	19754.96	15715.58	15715.58	24321.43	7749.1	8598.28	11909.94	12589.08	7966.99	13215.02	11112.3	26614.89	24832.5	17197.56	14461.21	20737.16	12076.21	31870.96	7911.95	21768.19	20451.65	12589.08	30999.42	9474.59	8658.09	16383.0	14163.58	13776.25	10883.59	11664.82	11909.94	14065.74	10733.74	11189.6	9540.5	9740.98	21617.82	22225.61	19214.73	17558.94
FAU	14361.31	17804.06	11189.6	27553.49	13776.25	24832.5	23492.92	16611.71	37639.55	31650.8	12676.65	26248.46	24832.5	30572.63	27363.16	14361.31	20881.4	25887.07	26614.89	23656.34	23009.42	22380.2	31432.17	39237.98	26614.89	24660.96	31432.17	29327.18	39785.74	23820.89	34396.12	29531.18	25005.23	35609.13	20310.37	21617.82	33224.42	27745.15	24490.61	18304.63	21172.91	24321.43	32092.64	20310.37	21768.19	19892.37	23009.42	35363.15	30785.28	31215.04	26800.01
GLTSCR2	3928.15	4450.27	3325.99	17197.56	7130.55	11112.3	7695.57	7081.29	15715.58	13215.02	4038.61	11189.6	10296.45	15075.35	15075.35	6983.79	6607.01	11424.74	10512.82	5006.93	8778.97	7966.99	19082.0	19082.0	12853.63	9808.75	13033.07	9673.69	21617.82	4869.99	16727.26	14163.58	9740.98	23492.92	6652.97	5329.3	11745.96	10084.54	10296.45	7433.4	7966.99	7642.41	13123.73	6887.62	8305.36	6294.04	9876.98	16045.82	14561.8	13215.02	11189.6
GNB2L1	20451.65	21919.61	22535.88	46986.85	23656.34	35856.82	28328.16	23820.89	48307.85	42054.3	18304.63	34396.12	33455.53	43840.21	46019.85	24321.43	24660.96	33688.23	37379.55	28923.41	34635.37	25708.25	60723.88	61999.83	42054.3	36357.37	46339.95	31650.8	67846.12	25354.3	49322.93	41763.8	32315.87	61571.56	28525.2	25887.07	35609.13	36864.92	30785.28	26614.89	29943.43	32540.65	39785.74	23986.58	26800.01	25887.07	23330.64	43236.64	48982.22	42937.97	36610.26
NACA	35363.15	25354.3	22225.61	48982.22	24321.43	48643.87	30785.28	26431.04	53601.03	41188.81	21768.19	48643.87	40062.48	48643.87	47313.67	26986.43	25354.3	30361.44	30999.42	27174.14	28923.41	30999.42	45386.27	49666.0	40904.3	32092.64	43236.64	35118.87	55877.28	23492.92	51062.33	47313.67	33922.56	60723.88	26614.89	29736.59	35856.82	38697.77	37121.34	29736.59	30572.63	34876.28	42937.97	25530.66	31870.96	28328.16	33455.53	56265.94	50011.46	45072.75	42641.37
PFDN5	22850.48	17197.56	17197.56	34158.52	14065.74	29531.18	19082.0	17317.18	35118.87	27745.15	15607.02	33455.53	23986.58	31870.96	38966.94	18052.61	18689.27	21768.19	21919.61	17927.91	21768.19	22692.63	30572.63	39237.98	29124.6	20170.07	32994.92	21919.61	38697.77	19214.73	35609.13	30785.28	22692.63	33688.23	20170.07	21172.91	25354.3	20881.4	25887.07	18431.96	23492.92	23330.64	26986.43	18689.27	20593.91	16960.78	22692.63	31432.17	27553.49	32092.64	23986.58
RPL10A	19082.0	20881.4	16496.96	53601.03	23169.48	39785.74	31215.04	23169.48	51775.15	44145.15	17317.18	33922.56	33688.23	47313.67	46986.85	25708.25	26986.43	32315.87	31650.8	28723.62	32315.87	31650.8	52135.28	60723.88	43537.38	31870.96	49322.93	35856.82	71219.26	20170.07	60304.42	47313.67	36864.92	69753.56	30361.44	24832.5	42346.82	37379.55	33688.23	30785.28	33922.56	30999.42	43236.64	24660.96	32315.87	25354.3	25887.07	48982.22	52135.28	35856.82	41475.31
RPL11	23169.48	30151.71	28525.2	67846.12	33922.56	65082.31	40621.74	34396.12	71219.26	62865.33	26248.46	63302.6	48307.85	64186.29	65990.84	32767.0	37121.34	45072.75	48307.85	38430.46	44452.21	45072.75	67846.12	79572.48	59063.35	45701.96	66912.05	49666.0	94628.34	33688.23	73221.53	66449.85	49322.93	86474.27	39785.74	34635.37	55491.3	50359.33	45386.27	40062.48	47313.67	44145.15	53601.03	36106.23	43840.21	35856.82	42054.3	72715.74	68793.23	63742.91	56265.94
RPL12	21172.91	24153.43	19082.0	62431.08	22850.48	64186.29	32994.92	23656.34	85283.74	51775.15	16045.82	52135.28	50011.46	65990.84	54349.29	23492.92	25354.3	34158.52	37639.55	31870.96	33455.53	38697.77	64632.75	68793.23	56265.94	33224.42	68793.23	40062.48	88905.42	27363.16	84109.6	51417.5	38697.77	76861.91	34158.52	33922.56	53230.77	43840.21	49322.93	29736.59	40062.48	45072.75	53230.77	28132.47	41475.31	30361.44	35118.87	73221.53	64186.29	62431.08	51062.33
RPL14	13399.51	14561.8	11267.44	31432.17	14765.09	25354.3	20881.4	15824.9	40341.14	28132.47	12764.83	30785.28	23492.92	27745.15	33455.53	15285.81	15180.22	21026.65	22225.61	18304.63	22692.63	17317.18	36610.26	38164.99	24832.5	23330.64	32092.64	25005.23	45386.27	15392.14	34635.37	28923.41	26800.01	46019.85	18689.27	20030.74	25887.07	26248.46	19892.37	17317.18	19082.0	22692.63	25708.25	16960.78	19892.37	17437.64	19618.49	40341.14	36357.37	35609.13	25005.23
RPL15	22225.61	23986.58	20310.37	49322.93	28328.16	48643.87	32092.64	24321.43	50359.33	44761.41	20881.4	49322.93	34876.28	41475.31	42054.3	28328.16	28923.41	34158.52	36864.92	28923.41	35856.82	29531.18	46662.28	57847.82	39237.98	37901.36	49666.0	37121.34	66449.85	27938.14	53230.77	47974.16	37379.55	57847.82	36357.37	26067.14	39510.91	35609.13	34876.28	35118.87	36357.37	35856.82	47313.67	27553.49	30999.42	25887.07	29531.18	53230.77	52497.92	38697.77	40062.48
RPL17	23169.48	32092.64	20451.65	65535.0	31870.96	61146.25	41188.81	31650.8	79572.48	59887.86	27174.14	64186.29	53601.03	65082.31	68793.23	26067.14	38430.46	42641.37	40621.74	39237.98	42346.82	41763.8	64186.29	88291.3	56265.94	43840.21	66912.05	49322.93	99333.0	33455.53	73221.53	65082.31	47974.16	88905.42	38430.46	35856.82	54727.32	46986.85	48307.85	38164.99	45072.75	48982.22	51417.5	32994.92	40621.74	34876.28	39510.91	69753.56	71714.63	62431.08	57051.4
RPL18	27745.15	29124.6	20593.91	54349.29	26067.14	43840.21	31215.04	26614.89	69753.56	47642.77	18304.63	41475.31	46986.85	40341.14	52135.28	26614.89	35118.87	44452.21	40904.3	32994.92	40904.3	37379.55	48982.22	72213.45	44145.15	35118.87	60304.42	41188.81	90773.53	34158.52	65535.0	55491.3	37901.36	76330.98	41188.81	27938.14	50359.33	40062.48	40341.14	35118.87	46019.85	37639.55	56265.94	29531.18	37379.55	29124.6	34396.12	64186.29	55491.3	48643.87	45701.96
RPL18A	27553.49	17317.18	37639.55	75803.72	22072.07	44452.21	30572.63	28132.47	61999.83	55877.28	26986.43	40621.74	43236.64	82378.63	65990.84	21768.19	43537.38	40621.74	36106.23	35609.13	32767.0	42346.82	54349.29	84694.64	48643.87	42937.97	56657.31	37901.36	115696.65	38966.94	48982.22	66912.05	34635.37	85876.94	40621.74	50011.46	49322.93	33455.53	44145.15	25708.25	55491.3	32540.65	77396.54	27174.14	35363.15	28328.16	35856.82	61999.83	80125.95	53973.86	50359.33
RPL21	15934.98	20030.74	14765.09	45701.96	25530.66	48307.85	29736.59	23820.89	57051.4	42054.3	16496.96	54349.29	32315.87	50359.33	50359.33	23492.92	26800.01	30361.44	32315.87	30151.71	28132.47	33922.56	45701.96	70238.75	43537.38	28132.47	51417.5	38966.94	82378.63	21172.91	59063.35	47313.67	38430.46	71219.26	30785.28	25708.25	42054.3	38697.77	32994.92	28328.16	40341.14	29531.18	44452.21	19754.96	31432.17	25354.3	28923.41	52497.92	50011.46	43537.38	43537.38
RPL22	7966.99	10084.54	10084.54	17078.76	10296.45	21172.91	12853.63	10296.45	21320.18	19618.49	8022.41	22072.07	14065.74	17804.06	19348.38	9945.68	10585.95	11745.96	13872.08	11992.79	12502.12	12676.65	18689.27	22072.07	17078.76	14867.79	17078.76	15715.58	24153.43	9808.75	19618.49	19892.37	15180.22	24832.5	11992.79	11909.94	16383.0	15285.81	14065.74	10883.59	12764.83	14361.31	14663.09	10225.32	11745.96	11664.82	13399.51	21320.18	20451.65	19348.38	18950.18
RPL23	31432.17	27174.14	17927.91	48643.87	26067.14	41763.8	35363.15	25887.07	61571.56	48643.87	21919.61	44761.41	36864.92	55491.3	52863.07	27553.49	30999.42	36864.92	37379.55	33455.53	36864.92	35609.13	55107.99	68318.04	42346.82	41763.8	49322.93	42937.97	71219.26	29124.6	54349.29	44761.41	42937.97	70238.75	35609.13	30361.44	45386.27	40904.3	35856.82	32994.92	41475.31	37121.34	43840.21	26248.46	33688.23	29736.59	33224.42	53973.86	56657.31	53973.86	45072.75
RPL23A	20030.74	21320.18	13872.08	44452.21	22692.63	36610.26	31432.17	23330.64	51062.33	45701.96	19754.96	38164.99	33224.42	47974.16	51062.33	21026.65	26800.01	29736.59	32540.65	30572.63	29124.6	30572.63	46339.95	57051.4	40621.74	37639.55	40904.3	38164.99	55491.3	24490.61	47313.67	38430.46	35118.87	57051.4	28723.62	26431.04	38430.46	34396.12	34158.52	23820.89	32092.64	30785.28	39237.98	25005.23	28525.2	27174.14	29736.59	43537.38	44452.21	50011.46	38966.94
RPL24	23009.42	25530.66	21026.65	54349.29	23986.58	43537.38	34635.37	23009.42	58250.19	48307.85	26431.04	46986.85	53601.03	61146.25	57448.23	27553.49	24660.96	32994.92	36610.26	28132.47	34635.37	32994.92	48982.22	74760.09	40621.74	31215.04	56657.31	35118.87	81244.48	34635.37	60723.88	52135.28	35363.15	81244.48	31870.96	33922.56	43236.64	41188.81	34635.37	35118.87	41475.31	36864.92	47974.16	29124.6	33455.53	24832.5	32767.0	66912.05	69753.56	50709.61	44145.15
RPL26	33224.42	31870.96	22692.63	72213.45	37379.55	68793.23	48307.85	33224.42	88291.3	70727.3	27363.16	71714.63	58250.19	71714.63	74243.68	38430.46	42346.82	45701.96	53230.77	46339.95	46662.28	46986.85	68318.04	93325.55	64632.75	50709.61	76861.91	56657.31	101420.22	32092.64	87075.75	72715.74	60723.88	96616.71	41475.31	41475.31	60723.88	58250.19	58655.36	50359.33	51062.33	56265.94	69753.56	34396.12	46019.85	38164.99	49666.0	97288.74	84694.64	74760.09	61999.83
RPL28	20451.65	22535.88	15607.02	60723.88	16960.78	28923.41	28328.16	21172.91	51775.15	46662.28	16157.44	29736.59	35856.82	53601.03	50359.33	17927.91	33922.56	34635.37	26614.89	33922.56	30572.63	31650.8	44145.15	69753.56	40904.3	29124.6	45701.96	37639.55	92040.7	34635.37	58250.19	47642.77	30151.71	63742.91	34635.37	29124.6	40621.74	28132.47	28328.16	28328.16	46662.28	31650.8	46986.85	21468.49	27174.14	26431.04	27363.16	53230.77	59474.18	41188.81	38430.46
RPL29	24321.43	24153.43	13681.08	50359.33	19618.49	40904.3	27553.49	23656.34	52863.07	42937.97	16045.82	39237.98	33922.56	41188.81	45386.27	21026.65	25708.25	32767.0	31870.96	26800.01	29531.18	26067.14	52135.28	57847.82	40621.74	34396.12	47974.16	35609.13	65082.31	26431.04	46019.85	46986.85	30999.42	62431.08	23656.34	23330.64	36106.23	34876.28	30785.28	25887.07	38697.77	30572.63	39237.98	23656.34	26431.04	25179.16	29124.6	50359.33	51062.33	42054.3	36610.26
