	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A43J.01A.12R.A24K.31	TCGA.IC.A6RE.01A.11R.A336.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	GTEX.13O61.1226.SM.5KM21	TCGA.38.4625.01A.01R.1206.07	TCGA.60.2698.01A.01R.0851.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
AL033381.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.26	0.54	4.17	8.19	0.6	0.46	0.97	2.34	12.74	13.12	6.21	2.97	4.46	5.68	2.63	1.13	3.89	2.16	4.74
ALAD	185.11	145.02	255.0	447.82	190.34	273.37	242.88	141.02	242.88	265.87	271.48	336.79	708.18	0.0	293.07	540.19	1175.27	988.12	1369.04	490.14	947.83	575.03	928.3	764.36	583.07	780.44	1378.57	1008.9	1350.18	1733.13	1030.12	1059.11	1519.15	1388.16	866.07
APLP1	2.84	4.28	5.32	6.06	12.27	7.06	6.67	13.32	6.67	8.92	3.72	7.17	316.37	0.0	73.54	111.99	988.12	1119.56	358.54	1199.98	351.14	450.94	183.82	463.65	420.68	2417.67	713.11	1096.5	733.19	2255.7	529.06	2287.2	1572.76	3395.89	1457.23
ARHGAP44	8.25	15.68	29.06	75.64	46.84	20.11	14.78	17.0	14.78	12.64	20.71	11.13	115.16	0.0	90.14	49.56	159.9	114.36	236.21	209.84	108.14	128.79	182.55	127.89	134.3	249.73	205.5	197.09	186.4	183.82	262.2	102.97	154.42	99.43	164.42
ARSD	162.14	52.45	111.99	273.37	103.69	90.77	73.03	128.79	73.03	86.43	123.5	80.57	281.09	299.25	514.56	368.65	1183.45	884.29	738.29	426.57	1001.93	934.76	647.07	967.76	713.11	1477.58	1151.06	708.18	884.29	1950.0	753.83	660.68	1407.55	921.88	423.61
ASRGL1	26.28	3.5	25.17	229.72	127.0	32.82	19.25	15.91	19.25	17.9	25.91	20.26	217.27	141.02	180.02	127.89	529.06	1242.34	693.58	603.67	356.05	356.05	595.34	134.3	262.2	189.02	579.04	620.67	769.69	1111.82	435.55	775.05	583.07	679.29	476.71
ATP13A4	2.89	42.41	0.0	24.46	0.33	0.0	5.15	2.46	5.15	0.0	44.57	0.0	90.77	0.0	132.44	8.45	256.78	128.79	147.06	193.01	22.43	27.44	33.3	182.55	417.77	112.77	265.87	90.77	267.73	518.15	109.66	147.06	171.45	120.1	91.41
ATP2A3	46.84	81.14	125.24	476.71	81.71	161.02	84.63	94.67	84.63	140.04	52.45	150.17	884.29	0.0	283.05	295.11	3491.39	1304.15	3039.3	5403.7	1806.78	318.57	854.13	848.22	1806.78	1059.11	5594.3	3614.55	6381.92	5711.87	2997.45	2895.31	4575.41	3874.05	2367.9
B4GALNT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54	0.0	14.14	10.0	120.94	124.37	7.94	40.07	12.18	0.54	3.38	97.36	0.0	229.72	13.83	66.65	35.76	237.86	127.0	139.07	212.78	120.94	122.64
B4GALNT3	47.17	251.48	28.45	26.67	43.02	133.36	141.02	130.6	141.02	59.55	316.37	27.84	232.94	0.0	206.94	63.89	2163.77	525.39	1605.83	3820.7	234.57	493.56	599.49	674.59	341.51	4210.15	4210.15	2018.8	10659.59	7180.15	2664.15	684.02	5791.62	5366.37	395.18
B4GALT7	314.17	323.03	267.73	642.59	591.22	314.17	271.48	281.09	271.48	312.0	314.17	397.93	406.31	0.0	633.73	511.0	633.73	791.35	583.07	688.78	1135.2	480.04	616.37	684.02	836.53	1175.27	728.11	1023.0	674.59	954.43	507.46	909.17	1151.06	1417.35	854.13
BCAS1	0.0	1.48	0.49	41.52	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	224.97	0.0	21.01	143.01	1883.54	356.05	2816.11	3639.7	316.37	915.51	170.25	4298.64	785.88	22850.48	6699.25	2075.59	6652.97	7803.01	2417.67	1159.07	3928.15	3874.05	780.44
BHLHA15	11.21	0.0	0.0	12.74	0.0	0.0	1.22	1.01	1.22	0.73	2.05	0.0	78.34	0.0	32.36	3.06	825.0	872.1	260.38	3103.19	135.24	406.31	312.0	102.25	1883.54	3928.15	1104.13	1437.15	1757.34	3982.99	2335.28	1685.71	2758.13	1628.26	1733.13
C1orf116	273.37	120.94	1.69	182.55	0.0	45.85	71.5	63.45	71.5	104.42	3.92	68.07	144.01	0.0	447.82	167.9	684.02	454.09	1066.48	2520.38	967.76	693.58	511.0	1242.34	3081.75	1030.12	1923.14	1870.53	3665.02	3212.66	1519.15	718.08	2502.97	2645.74	559.28
