	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.4369.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4462.01A.01R.1157.13	TCGA.BR.8683.01A.11R.2402.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.CG.4449.01A.01R.1157.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ALG6	208.38	177.53	214.27	151.22	166.73	108.9	161.02	151.22	142.01	0.0	0.0	358.54	368.65	251.48	232.94	242.88	444.72	575.03	318.57	351.14	260.38	167.9	236.21	255.0	470.14	236.21	155.5	248.0	204.07	152.28	154.42
AMIGO2	16.51	26.28	27.05	29.91	33.06	51.71	58.71	68.07	55.89	0.0	0.62	189.02	171.45	830.75	57.49	244.57	137.14	961.07	180.02	1059.11	128.79	547.75	141.02	267.73	172.65	57.49	72.01	167.9	50.27	49.56	167.9
ANKRD27	70.51	50.98	84.63	55.1	36.01	52.45	57.89	62.56	50.27	0.0	0.62	371.22	312.0	368.65	244.57	323.03	420.68	684.02	297.17	351.14	406.31	785.88	320.8	429.54	1977.24	291.04	249.73	264.03	217.27	226.54	260.38
AP3M1	283.05	387.02	287.01	211.31	241.19	253.23	209.84	283.05	305.55	0.0	0.41	743.43	748.61	616.37	612.11	595.34	1104.13	1096.5	723.08	1044.52	830.75	1073.91	896.64	769.69	915.51	743.43	563.18	612.11	483.38	514.56	575.03
BIVM-ERCC5	2.2	5.54	17.9	0.0	10.47	18.29	0.0	33.3	0.0	0.0	0.0	127.0	106.63	92.7	76.71	66.18	312.0	148.09	85.22	153.34	172.65	162.14	117.6	115.16	239.52	161.02	85.22	41.81	43.63	48.87	65.26
BMPR2	59.55	146.03	79.45	92.05	52.08	122.64	129.69	141.02	112.77	0.0	0.13	591.22	441.64	312.0	157.68	256.78	490.14	429.54	379.04	638.15	651.58	854.13	327.56	414.87	674.59	287.01	208.38	182.55	215.77	199.85	173.85
C3orf17	153.34	271.48	262.2	277.2	133.36	236.21	239.52	220.32	229.72	0.0	0.84	743.43	693.58	409.15	297.17	353.59	629.35	607.87	463.65	507.46	454.09	723.08	473.41	476.71	708.18	406.31	248.0	511.0	273.37	312.0	379.04
C5orf28	122.64	143.01	93.35	73.03	58.71	47.17	72.52	70.51	102.25	0.0	0.43	612.11	346.29	202.66	226.54	248.0	551.56	441.64	226.54	514.56	314.17	226.54	529.06	218.79	293.07	236.21	138.1	236.21	126.12	120.1	202.66
CAMSAP2	68.07	55.1	63.0	43.02	21.94	60.82	50.63	44.57	49.56	0.0	0.35	381.68	314.17	248.0	105.15	151.22	368.65	389.72	260.38	356.05	361.04	409.15	241.19	293.07	400.71	143.01	84.63	101.54	101.54	202.66	108.14
CCNJ	21.63	16.63	9.93	16.03	8.0	19.11	18.97	17.0	17.9	0.0	0.45	125.24	119.26	86.43	58.3	115.16	124.37	215.77	116.78	182.55	127.89	144.01	125.24	193.01	171.45	63.45	57.49	61.25	51.35	33.78	59.13
CDYL2	28.86	25.17	6.21	20.26	18.43	21.78	20.26	17.13	29.27	0.0	0.43	97.36	76.17	119.26	53.95	51.71	59.55	105.15	63.89	124.37	111.21	194.36	53.19	147.06	135.24	39.5	137.14	45.53	29.06	42.11	58.3
CHRNA1	0.0	0.0	0.52	0.0	0.46	0.0	0.0	0.0	2.94	0.0	0.0	35.76	21.16	111.21	9.41	9.93	34.51	26.1	23.76	78.34	2.51	36.79	10.0	29.27	25.35	1.95	3.5	4.39	4.28	0.0	11.55
CNTF	3.56	3.63	6.31	5.59	1.66	0.0	1.83	4.35	4.62	0.0	0.16	10.0	15.0	7.17	9.06	5.59	37.32	50.27	18.43	15.45	15.0	23.59	9.34	9.7	20.86	3.5	6.62	3.63	4.9	0.0	4.54
CORIN	0.0	1.97	5.32	2.14	0.77	3.56	1.45	2.48	3.76	0.0	0.0	146.03	85.22	289.02	3.5	20.26	58.3	136.19	45.53	204.07	63.45	88.26	31.9	111.21	312.0	9.7	10.0	8.51	3.03	9.2	3.86
CST2	1.17	0.0	0.0	4.17	2.71	0.0	2.66	0.0	0.91	0.0	0.03	954.43	127.89	718.08	15.11	68.55	193.01	183.82	327.56	521.76	275.28	172.65	285.03	17.38	1883.54	32.82	9.85	0.0	26.47	2.48	11.3
DNAAF3	6.46	6.41	5.59	23.42	19.11	4.21	7.28	7.4	7.28	0.0	0.0	27.25	20.56	94.01	16.51	92.7	6.01	40.93	14.35	70.51	25.35	31.9	24.11	31.45	55.49	6.16	8.19	14.67	17.77	5.15	9.48
DOCK7	141.02	185.11	229.72	121.79	79.45	154.42	126.12	124.37	92.05	0.0	0.4	316.37	318.57	269.6	293.07	231.32	497.0	397.93	305.55	353.59	403.5	265.87	251.48	320.8	473.41	312.0	205.5	220.32	226.54	159.9	182.55
ERF	674.59	665.29	493.56	575.03	921.88	1208.34	551.56	583.07	620.67	0.0	0.44	1175.27	703.28	1977.24	743.43	1519.15	878.17	1268.46	884.29	791.35	981.29	1183.45	2163.77	1963.57	836.53	638.15	974.5	748.61	830.75	460.44	1199.98
EXOC4	361.04	397.93	587.13	341.51	334.46	325.29	305.55	341.51	339.14	0.0	0.59	633.73	629.35	679.29	473.41	406.31	890.44	1023.0	567.1	638.15	884.29	995.0	679.29	679.29	555.41	607.87	514.56	529.06	518.15	591.22	457.25
FLRT3	42.11	232.94	186.4	102.97	42.41	137.14	134.3	162.14	85.22	0.0	0.02	303.44	265.87	543.96	204.07	218.79	258.57	536.45	158.79	387.02	409.15	279.14	842.36	400.71	58.71	591.22	190.34	224.97	205.5	246.28	165.57
GPR111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.38	0.0	3.86	0.74	0.58	1.27	4.21	0.71	4.28	0.32	0.61	0.57	5.02	2.76	0.0	0.0	0.0	0.0	0.0	0.0
GPR85	10.16	7.46	3.2	4.24	0.68	2.05	10.71	2.46	2.63	0.0	0.0	59.55	16.88	22.59	2.97	16.88	23.76	8.58	7.69	63.45	26.67	19.97	20.86	22.75	35.76	12.83	0.4	19.11	19.39	9.13	12.93
GTF3C4	26.1	57.08	49.91	47.84	36.01	59.55	43.94	52.08	53.57	0.0	0.08	215.77	148.09	118.43	121.79	126.12	231.32	318.57	193.01	318.57	199.85	267.73	194.36	255.0	239.52	135.24	92.7	73.54	85.22	84.63	76.71
