	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.QK.A6IF.01A.11R.A31N.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.U3ZN.0226.SM.3DB8D	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.V1.A8WV.01A.11R.A37L.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.5S.A9Q8.01A.11R.A40A.07	TCGA.D1.A3DG.01A.11R.A19W.07
AGAP4	145.02	211.31	275.28	118.43	251.48	90.14	153.34	37.05	136.19	167.9	34.51	111.21	13.52	130.6	236.21	12.09	42.41	24.46	55.1	72.01	7.4	92.05	3.99	143.01	14.67	29.91	57.89	40.64	76.17	33.3	18.43	46.5	56.28	55.89	82.87	22.43	93.35	41.81	50.63	19.25	33.06	146.03	64.8	52.82	35.0	4.06	57.89	91.41	2.32	50.27	11.73	31.67	0.0	214.27	185.11	599.49	234.57	82.87	283.05	228.13
AHSA2	2664.15	1529.73	1781.89	1104.13	1378.57	525.39	981.29	603.67	1175.27	490.14	460.44	642.59	921.88	915.51	2178.83	150.17	244.57	332.14	480.04	361.04	76.71	381.68	206.94	595.34	175.07	70.51	346.29	264.03	470.14	228.13	124.37	343.89	256.78	318.57	470.14	123.5	307.69	271.48	400.71	111.21	426.57	432.53	189.02	220.32	371.22	348.71	432.53	470.14	124.37	146.03	447.82	229.72	141.02	1936.53	1628.26	2287.2	1051.79	656.11	3168.41	1059.11
AKAP17A	629.35	540.19	432.53	379.04	529.06	409.15	381.68	269.6	223.41	258.57	633.73	400.71	435.55	476.71	435.55	166.73	137.14	115.16	194.36	460.44	104.42	283.05	155.5	234.57	146.03	84.04	113.56	182.55	228.13	104.42	77.25	205.5	185.11	197.09	297.17	164.42	154.42	181.28	341.51	111.99	211.31	273.37	155.5	131.51	166.73	231.32	191.67	204.07	54.72	164.42	237.86	147.06	155.5	651.58	532.74	679.29	447.82	269.6	500.46	348.71
ALKBH4	297.17	366.09	262.2	293.07	301.33	248.0	271.48	218.79	299.25	231.32	178.77	229.72	237.86	217.27	305.55	131.51	177.53	178.77	169.07	237.86	75.64	171.45	133.36	183.82	193.01	132.44	181.28	185.11	195.72	154.42	148.09	220.32	351.14	198.47	232.94	148.09	155.5	152.28	167.9	182.55	183.82	199.85	217.27	136.19	152.28	135.24	158.79	137.14	83.45	76.71	170.25	162.14	143.01	305.55	507.46	507.46	305.55	351.14	356.05	808.0
ANXA2R	41.22	75.64	108.9	66.18	71.5	63.0	38.4	64.8	72.01	56.68	46.5	98.73	26.1	37.59	90.77	1.27	4.98	13.93	2.32	17.51	9.7	29.06	15.68	31.22	7.46	5.11	10.24	19.11	15.34	13.22	1.6	20.11	6.78	17.25	23.08	53.95	8.19	17.0	13.62	8.06	27.44	36.53	9.27	27.25	4.21	11.04	19.82	4.17	3.69	5.11	9.63	7.22	2.32	150.17	87.03	47.17	51.71	123.5	80.01	353.59
APBA3	813.63	579.04	466.88	353.59	693.58	466.88	470.14	463.65	612.11	403.5	301.33	454.09	532.74	476.71	435.55	249.73	379.04	293.07	199.85	336.79	145.02	264.03	199.85	301.33	182.55	181.28	199.85	303.44	291.04	228.13	258.57	242.88	239.52	260.38	353.59	314.17	212.78	314.17	277.2	228.13	289.02	297.17	258.57	297.17	318.57	241.19	269.6	314.17	234.57	206.94	206.94	202.66	248.0	607.87	409.15	647.07	473.41	400.71	450.94	466.88
BRAT1	769.69	1242.34	1037.29	860.08	796.86	642.59	759.08	438.59	759.08	890.44	674.59	733.19	575.03	693.58	842.36	454.09	454.09	536.45	392.44	624.99	135.24	423.61	323.03	536.45	409.15	429.54	400.71	366.09	540.19	444.72	490.14	457.25	551.56	536.45	503.95	403.5	500.46	503.95	536.45	463.65	551.56	698.41	429.54	575.03	532.74	466.88	497.0	450.94	376.41	363.56	412.0	521.76	450.94	884.29	1096.5	1844.76	1127.35	928.3	1051.79	1757.34
BRD2	3103.19	3742.05	4704.07	4328.55	3639.7	2976.74	3395.89	2417.67	2895.31	2664.15	4038.61	4769.75	4038.61	2855.44	2997.45	2758.13	2148.82	2004.85	1605.83	3665.02	1745.2	3081.75	1175.27	3639.7	1617.0	1697.45	2271.4	1832.01	2148.82	1369.04	1350.18	2720.15	2178.83	2032.85	3039.3	2682.69	2303.12	1498.22	2796.65	1277.29	2319.15	3639.7	1508.65	1427.22	1709.26	1757.34	2271.4	1819.35	854.13	2047.0	2047.0	1508.65	1806.78	2855.44	3874.05	3768.09	4268.94	3257.52	3303.0	3614.55
C12orf73	255.0	295.11	361.04	339.14	289.02	693.58	283.05	215.77	231.32	228.13	376.41	114.36	281.09	353.59	265.87	106.63	83.45	166.73	117.6	186.4	83.45	113.56	109.66	199.85	94.01	79.45	120.94	175.07	167.9	122.64	124.37	281.09	214.27	162.14	175.07	176.29	142.01	82.87	220.32	102.97	204.07	182.55	110.43	120.1	121.79	85.22	157.68	155.5	87.65	98.73	131.51	277.2	145.02	236.21	447.82	363.56	400.71	854.13	426.57	575.03
C19orf25	1498.22	921.88	688.78	665.29	775.05	738.29	698.41	567.1	674.59	525.39	1001.93	808.0	961.07	860.08	921.88	289.02	470.14	346.29	299.25	414.87	108.14	414.87	314.17	420.68	269.6	165.57	379.04	275.28	305.55	476.71	244.57	599.49	420.68	420.68	265.87	312.0	307.69	194.36	381.68	334.46	339.14	480.04	181.28	348.71	264.03	262.2	384.34	197.09	208.38	150.17	312.0	371.22	343.89	599.49	775.05	703.28	753.83	890.44	813.63	967.76
