	GTEX.TMMY.1526.SM.4DXST	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1BM.01A.11R.A13Y.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.VS.A9UI.01A.11R.A42T.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.C5.A1BE.01B.11R.A13Y.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.PVOW.1626.SM.48TC9	GTEX.145LV.1326.SM.5S2QI	GTEX.ZVE2.1326.SM.5NQ94	GTEX.144FL.2726.SM.5O98Z	GTEX.13U4I.1126.SM.5LU3S	GTEX.11ONC.1526.SM.5GU6S	GTEX.12WSA.1426.SM.5EGJU	GTEX.R45C.1226.SM.48FEE	GTEX.13O3Q.0826.SM.5IFGF	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.XK95.1026.SM.4GIDV	GTEX.13NZB.1226.SM.5J2MW	GTEX.145LS.1826.SM.5LUAZ	GTEX.X4LF.0626.SM.4QASB	GTEX.11DYG.1326.SM.5N9DO	GTEX.YFC4.1226.SM.5LU9R	GTEX.WVLH.1426.SM.4MVNX	GTEX.11ZU8.1526.SM.5EGHX	GTEX.139TU.1226.SM.5J2NL	GTEX.X585.1226.SM.46MW7	GTEX.ZTPG.1626.SM.5DUX2	GTEX.PLZ4.1626.SM.3P618	GTEX.11NUK.1326.SM.5P9GN	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZAB4.1126.SM.5HL86	GTEX.ZF3C.1626.SM.4WWB4	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.P78B.1026.SM.3NMC4	GTEX.XQ8I.1526.SM.4BOOH	GTEX.11ZTS.2626.SM.5EGIC	GTEX.132AR.2226.SM.5J2NT	GTEX.S33H.0826.SM.4AD5Y	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6021.01A.11R.1686.07	TCGA.UF.A71D.01A.12R.A34R.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.YJ8A.1526.SM.5P9FT	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
ABCD4	507.46	703.28	305.55	521.76	688.78	860.08	543.96	483.38	693.58	854.13	896.64	698.41	607.87	473.41	941.27	713.11	854.13	521.76	665.29	629.35	854.13	669.92	808.0	780.44	1037.29	974.5	941.27	518.15	1216.75	743.43	500.46	866.07	559.28	909.17	759.08	796.86	493.56	1008.9	547.75	389.72	842.36	543.96	921.88	995.0	1015.93	624.99	1159.07	1096.5	884.29	1561.89	769.69	1167.14	728.11	961.07	825.0	409.15	708.18	629.35	1135.2	915.51	708.18	651.58	1388.16	819.3	1191.69	1051.79	1081.39	1561.89	1447.15	1104.13	902.89	1407.55	1745.2	1519.15	1322.37	1313.23	1051.79	866.07	1540.37	860.08	1350.18	769.69	1073.91	842.36	1529.73	1519.15	620.67	1427.22	1051.79	1051.79	1359.57	1427.22	1529.73	708.18	1242.34	1397.83	1001.93	1023.0	981.29	1233.75	1313.23	536.45	371.22	289.02	307.69	361.04	209.84	221.86	218.79	525.39	486.75	229.72	339.14	228.13	1250.98	1151.06	718.08	447.82	191.67	417.77	607.87	463.65	339.14	327.56	341.51	373.81	591.22	2682.69	547.75	669.92
AC018755.1	10.88	15.45	3.23	6.57	3.99	9.27	8.38	4.17	6.89	15.56	13.03	6.26	8.0	2.34	8.71	4.13	11.47	4.31	6.52	6.16	8.99	6.31	7.34	7.57	7.17	8.92	9.56	2.68	3.92	22.26	12.74	10.47	2.81	2.51	3.23	11.04	5.82	5.11	4.17	3.99	5.36	2.66	7.34	6.52	15.34	6.21	5.23	3.5	5.54	6.57	8.19	11.13	7.11	9.56	12.18	8.71	3.32	4.46	14.67	3.08	3.26	6.06	14.24	7.34	19.97	3.96	21.01	21.78	11.64	11.82	7.88	15.22	28.04	7.22	12.64	10.55	16.03	14.56	14.45	17.51	38.67	3.76	9.7	0.0	12.64	19.82	6.21	21.16	9.56	10.55	23.42	19.39	22.26	9.93	11.55	23.76	13.12	9.7	11.91	17.9	54.72	1.33	1.55	12.83	3.32	2.63	3.11	1.93	3.56	2.25	7.46	2.27	4.82	1.73	8.19	6.31	6.57	6.84	0.95	1.5	4.62	7.94	5.06	4.13	3.56	6.36	5.5	24.11	15.34	30.12
ACCS	198.47	103.69	63.89	72.52	80.57	532.74	124.37	88.88	206.94	111.99	189.02	161.02	90.77	85.82	65.26	111.21	156.59	94.67	73.54	145.02	129.69	125.24	236.21	176.29	381.68	356.05	140.04	183.82	366.09	323.03	201.25	256.78	665.29	124.37	132.44	84.04	228.13	334.46	147.06	139.07	218.79	470.14	595.34	209.84	511.0	157.68	126.12	490.14	325.29	536.45	183.82	166.73	159.9	94.67	218.79	152.28	143.01	146.03	297.17	135.24	201.25	305.55	264.03	287.01	236.21	426.57	571.05	1044.52	529.06	536.45	316.37	1151.06	555.41	397.93	669.92	507.46	256.78	307.69	753.83	642.59	665.29	234.57	620.67	703.28	551.56	688.78	285.03	291.04	595.34	483.38	255.0	981.29	387.02	139.07	316.37	684.02	336.79	229.72	117.6	264.03	273.37	208.38	25.35	38.95	39.22	28.65	33.06	162.14	30.34	91.41	49.91	51.35	66.65	97.36	293.07	316.37	158.79	92.05	25.35	39.79	31.0	104.42	59.97	49.56	30.34	96.68	26.28	166.73	271.48	159.9
ACIN1	1674.06	1417.35	1191.69	1295.13	1529.73	1322.37	1551.09	1572.76	1605.83	2303.12	2119.22	2417.67	2303.12	2609.3	2255.7	1519.15	2520.38	1870.53	1936.53	2573.36	2193.99	2224.63	3039.3	2468.49	2032.85	2701.35	1950.0	2004.85	3235.01	2075.59	2240.11	2224.63	2351.53	2417.67	1857.6	2287.2	1662.49	2224.63	2224.63	2240.11	2855.44	1781.89	3928.15	2209.26	2645.74	2148.82	2119.22	2895.31	2645.74	4358.66	3768.09	3372.43	2240.11	2335.28	2645.74	1832.01	2319.15	2119.22	2739.08	2739.08	1950.0	2384.37	3491.39	2224.63	2875.3	2148.82	3690.52	4181.07	3564.78	3491.39	2148.82	3168.41	3742.05	2895.31	3716.2	3018.3	3515.68	2835.7	3018.3	2609.3	4095.0	2224.63	2434.5	2875.3	3349.13	4512.4	2537.92	4038.61	2627.46	3257.52	4575.41	3372.43	3467.27	2664.15	3325.99	4769.75	3467.27	2485.67	4038.61	3794.3	4543.8	1639.59	703.28	1977.24	1519.15	1096.5	974.5	718.08	1111.82	1733.13	1175.27	921.88	651.58	981.29	2351.53	1378.57	1639.59	890.44	435.55	1051.79	1340.84	1639.59	1051.79	1233.75	791.35	1806.78	1295.13	3716.2	1487.87	1721.16
AGAP10	57.49	65.26	18.84	45.21	41.52	44.57	48.52	56.28	46.5	144.01	11.55	39.5	69.03	53.19	45.21	20.56	17.51	59.55	34.02	84.04	13.52	66.65	90.14	47.84	81.14	35.5	74.06	116.78	69.03	26.28	95.34	105.15	58.3	70.01	68.55	67.59	65.72	68.55	46.18	64.34	75.11	18.84	172.65	55.49	43.63	132.44	63.89	86.43	54.72	271.48	173.85	73.03	66.18	62.12	44.89	14.89	26.47	28.24	170.25	94.67	67.59	98.04	63.0	97.36	102.25	279.14	334.46	438.59	441.64	269.6	220.32	309.83	189.02	181.28	283.05	98.73	206.94	167.9	180.02	381.68	341.51	95.34	603.67	348.71	205.5	571.05	102.97	260.38	154.42	161.02	164.42	256.78	368.65	82.29	400.71	358.54	215.77	231.32	157.68	156.59	146.03	134.3	9.41	20.41	11.13	23.76	10.55	24.63	6.84	32.13	28.65	8.99	5.87	13.12	38.4	122.64	68.07	34.26	9.7	34.26	23.08	31.9	35.25	34.51	7.82	48.18	25.54	183.82	52.82	39.22
AGAP5	35.76	56.28	19.82	26.86	33.78	45.21	55.89	26.47	64.8	93.35	49.56	50.27	65.72	55.1	60.82	37.59	85.22	35.76	19.82	31.67	32.59	47.84	96.68	58.3	108.14	85.82	80.01	83.45	92.7	91.41	54.72	81.14	57.08	46.18	63.0	36.53	81.14	77.25	53.57	91.41	100.13	67.59	146.03	51.35	74.58	64.8	65.26	98.04	105.15	220.32	135.24	64.34	76.71	66.18	72.01	50.27	59.97	61.68	146.03	84.04	65.72	53.57	105.15	69.03	281.09	83.45	180.02	262.2	212.78	189.02	124.37	169.07	185.11	135.24	185.11	201.25	140.04	114.36	202.66	150.17	363.56	144.01	154.42	182.55	167.9	325.29	122.64	169.07	178.77	217.27	175.07	206.94	212.78	154.42	197.09	211.31	190.34	112.77	124.37	190.34	148.09	87.65	4.94	11.13	59.13	15.8	18.03	16.03	11.04	55.49	25.35	12.45	18.29	13.72	51.35	35.0	52.08	28.24	5.54	12.83	15.8	25.35	15.0	18.29	6.84	58.71	45.21	88.26	26.86	41.81
AGAP6	95.34	167.9	78.89	90.14	119.26	128.79	105.15	108.9	49.21	301.33	191.67	100.83	187.71	189.02	231.32	80.01	170.25	126.12	68.55	159.9	105.89	204.07	297.17	167.9	332.14	363.56	267.73	285.03	262.2	444.72	269.6	239.52	303.44	246.28	194.36	187.71	329.84	320.8	217.27	536.45	236.21	253.23	503.95	162.14	221.86	420.68	208.38	318.57	314.17	802.41	563.18	273.37	239.52	251.48	346.29	157.68	226.54	172.65	275.28	303.44	264.03	260.38	329.84	215.77	961.07	312.0	543.96	540.19	466.88	387.02	327.56	583.07	595.34	381.68	476.71	341.51	486.75	314.17	521.76	332.14	842.36	346.29	211.31	358.54	397.93	723.08	187.71	341.51	341.51	536.45	438.59	366.09	353.59	351.14	454.09	579.04	320.8	346.29	231.32	323.03	470.14	260.38	21.94	30.12	141.02	31.9	36.53	52.82	25.54	99.43	60.39	20.86	18.7	32.36	120.94	43.32	217.27	86.43	7.46	20.11	53.19	38.4	31.67	31.67	27.84	89.51	90.77	264.03	120.1	117.6
AGAP8	34.75	57.08	16.75	42.11	17.64	67.12	12.55	7.57	37.32	78.89	57.89	59.13	72.52	46.84	54.72	5.59	98.04	18.16	29.06	22.26	51.35	58.71	120.94	127.89	212.78	154.42	70.51	74.06	81.71	143.01	80.57	87.65	92.7	100.13	51.71	74.58	93.35	81.14	66.65	107.38	98.73	63.0	198.47	80.57	56.28	91.41	29.06	120.94	76.71	295.11	167.9	44.57	87.65	101.54	108.9	44.57	63.0	48.18	206.94	70.01	62.12	72.52	173.85	110.43	262.2	159.9	182.55	258.57	503.95	214.27	178.77	175.07	341.51	232.94	403.5	175.07	373.81	341.51	214.27	101.54	429.54	104.42	46.18	91.41	260.38	256.78	45.85	273.37	126.12	169.07	518.15	87.65	248.0	44.89	253.23	287.01	204.07	81.14	67.12	133.36	80.01	82.29	16.27	36.53	33.3	24.11	24.11	19.68	13.72	49.56	31.0	36.27	18.56	22.1	42.41	29.91	37.59	29.48	2.97	14.45	39.79	22.26	12.64	22.75	3.2	66.18	33.54	130.6	31.67	82.87
AGAP9	11.73	17.64	8.58	38.12	24.81	0.0	8.13	2.97	25.54	40.64	3.14	57.49	31.67	26.47	12.93	36.27	3.76	22.75	16.63	18.84	6.57	22.26	20.26	48.18	70.51	13.83	54.72	66.18	56.68	8.78	53.57	59.13	37.59	76.17	43.63	33.54	46.84	76.71	18.97	58.3	47.5	9.85	71.5	38.67	60.82	72.52	61.68	59.97	21.32	165.57	108.9	60.39	55.89	27.44	61.25	12.27	48.18	26.1	95.34	83.45	57.08	37.32	17.25	79.45	95.34	85.82	332.14	239.52	161.02	182.55	140.04	267.73	87.65	149.12	71.5	165.57	144.01	76.71	132.44	197.09	146.03	84.63	253.23	122.64	71.0	457.25	74.06	189.02	102.25	127.89	145.02	220.32	217.27	70.01	221.86	166.73	112.77	148.09	55.49	62.12	113.56	37.59	1.83	4.62	39.79	6.21	4.62	11.3	21.32	13.83	13.93	8.92	17.25	9.85	21.63	50.98	75.11	13.62	9.34	18.56	14.03	18.84	16.15	14.14	9.93	29.48	19.68	63.45	18.03	9.06
AHSA2	334.46	728.11	113.56	275.28	400.71	764.36	253.23	185.11	262.2	995.0	825.0	295.11	470.14	420.68	486.75	275.28	583.07	267.73	204.07	414.87	603.67	381.68	728.11	1378.57	1388.16	2701.35	1119.56	1529.73	1529.73	525.39	1233.75	808.0	1896.65	791.35	638.15	679.29	1167.14	1015.93	1561.89	1427.22	1233.75	2018.8	2520.38	2271.4	1551.09	2148.82	842.36	2075.59	2739.08	2997.45	2351.53	2591.27	1008.9	825.0	1051.79	575.03	1286.18	1127.35	1295.13	1233.75	733.19	2032.85	1135.2	629.35	1477.58	1081.39	1199.98	2739.08	1936.53	1769.57	1519.15	2367.9	2255.7	1870.53	2335.28	2417.67	1757.34	1350.18	2956.17	1508.65	2796.65	1081.39	1628.26	1709.26	2240.11	2537.92	748.61	2075.59	1407.55	1651.0	1674.06	2351.53	2193.99	651.58	1467.37	1674.06	1001.93	1605.83	1059.11	1183.45	1594.73	1023.0	43.02	58.3	267.73	43.63	58.71	121.79	73.03	356.05	156.59	86.43	60.82	34.75	616.37	1119.56	1407.55	144.01	4.94	83.45	20.11	61.25	50.27	35.76	27.84	406.31	199.85	1127.35	384.34	242.88
