	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.139TS.1926.SM.5IJFO	GTEX.131YS.2926.SM.5EGKI	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Y8LW.1226.SM.4WWDP	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.11DXX.1826.SM.5H126	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.1399S.1926.SM.5J2M5	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.13VXT.2026.SM.5L3EW	GTEX.12WSD.2626.SM.5EGJE	GTEX.UJMC.1326.SM.4IHLS	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.TKQ2.1326.SM.4DXT9	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.XV7Q.2226.SM.4BRVY	GTEX.14A5I.2426.SM.5Q5CP	GTEX.132NY.2726.SM.5PNY2	GTEX.QEL4.1926.SM.4R1JI	GTEX.11EI6.2626.SM.5PNVT	GTEX.O5YW.1426.SM.3MJHF	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11NUK.1726.SM.5A5L2	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.13113.1026.SM.5LZWM	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.M7.A724.01A.12R.A32O.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.V1D1.1926.SM.4JBGX	GTEX.YB5E.1826.SM.5IFI4	GTEX.ZUA1.2826.SM.59HLE	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AG.3732.11A.01R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA
CEP63	379.04	226.54	454.09	441.64	392.44	318.57	316.37	376.41	412.0	301.33	490.14	414.87	269.6	543.96	264.03	260.38	297.17	373.81	603.67	248.0	414.87	432.53	432.53	400.71	457.25	381.68	392.44	214.27	536.45	283.05	444.72	307.69	392.44	363.56	384.34	376.41	373.81	348.71	285.03	414.87	486.75	295.11	229.72	514.56	182.55	371.22	332.14	223.41	395.18	447.82	514.56	314.17	248.0	258.57	303.44	392.44	525.39	269.6	420.68	381.68	466.88	339.14	400.71	253.23	423.61	463.65	293.07	521.76	457.25	327.56	366.09	466.88	361.04	293.07	353.59	318.57	406.31	334.46	303.44	438.59	273.37	283.05	348.71	384.34	400.71	223.41	116.78	133.36	231.32	323.03	305.55	149.12	218.79	81.14	264.03	88.88	283.05	395.18	239.52	651.58	323.03	361.04	368.65	414.87	429.54	591.22	603.67	759.08	738.29	309.83	231.32	435.55	234.57	373.81	412.0
CHIC1	124.37	38.67	163.28	142.01	173.85	92.7	47.84	127.0	114.36	147.06	161.02	107.38	43.32	113.56	61.25	21.47	126.12	172.65	127.0	35.5	129.69	166.73	137.14	156.59	121.79	224.97	148.09	43.94	144.01	36.27	77.79	149.12	172.65	108.14	159.9	149.12	190.34	151.22	61.25	85.82	153.34	61.68	65.26	132.44	40.36	165.57	125.24	47.17	127.0	135.24	127.0	63.45	36.79	59.55	110.43	111.21	150.17	61.68	111.21	171.45	143.01	171.45	129.69	52.08	87.03	163.28	72.01	111.21	128.79	146.03	123.5	103.69	132.44	125.24	106.63	88.88	127.89	126.12	44.25	132.44	164.42	172.65	87.03	144.01	118.43	153.34	97.36	110.43	112.77	127.89	94.67	93.35	53.95	38.12	49.91	6.52	31.67	71.5	25.17	190.34	80.57	120.94	62.56	118.43	90.14	206.94	52.08	195.72	273.37	28.04	38.4	20.56	60.82	29.27	29.91
CKB	89523.81	135693.24	103551.29	142439.51	124863.17	130165.62	84109.6	114897.47	129266.49	97288.74	81809.59	115696.65	164758.26	109455.64	277089.94	153724.82	110983.6	138544.47	100719.65	122293.5	117311.73	156954.93	115696.65	248002.34	125731.67	99333.0	96616.71	98646.85	103551.29	111755.56	129266.49	96616.71	150561.19	144427.91	101420.22	107948.72	61571.56	101420.22	87075.75	153724.82	99333.0	267651.2	190574.09	88291.3	98646.85	93974.69	140478.49	205673.01	91404.92	118127.7	99333.0	158046.64	184082.4	122293.5	87075.75	118127.7	111755.56	104996.83	112532.89	90773.53	136637.07	126606.21	133825.1	204252.32	120609.84	129266.49	180294.02	103551.29	90773.53	181548.07	148488.36	95949.32	77934.88	93974.69	109455.64	103551.29	111755.56	130165.62	115696.65	122293.5	95286.54	99333.0	114103.8	109455.64	93974.69	140478.49	34158.52	51062.33	52497.92	123144.13	114103.8	76330.98	43537.38	17681.08	56265.94	1936.53	61999.83	96616.71	54349.29	29124.6	125731.67	100719.65	88291.3	187950.38	130165.62	44761.41	171754.88	58655.36	59474.18	103551.29	149521.18	104271.56	154794.07	95286.54	109455.64
DEK	1651.0	860.08	1628.26	1583.71	1457.23	1001.93	1096.5	1437.15	1685.71	1066.48	2224.63	1674.06	1008.9	2104.58	981.29	941.27	1135.2	1540.37	1936.53	896.64	2018.8	1651.0	1540.37	1457.23	1508.65	1674.06	1857.6	836.53	2018.8	1023.0	1551.09	1806.78	2104.58	1023.0	1781.89	1519.15	1950.0	1369.04	759.08	1572.76	2193.99	1023.0	1225.22	2061.24	941.27	1208.34	1250.98	1008.9	2417.67	2090.03	2090.03	1216.75	748.61	1015.93	1175.27	1268.46	2047.0	1059.11	1417.35	1697.45	1733.13	1417.35	2148.82	1073.91	1662.49	1685.71	988.12	2720.15	1733.13	1313.23	1617.0	1662.49	1561.89	1175.27	1350.18	1529.73	1447.15	1561.89	872.1	1685.71	728.11	961.07	759.08	967.76	1191.69	463.65	190.34	256.78	273.37	420.68	237.86	293.07	366.09	90.77	277.2	150.17	409.15	941.27	409.15	2303.12	738.29	988.12	543.96	1313.23	1242.34	2664.15	1015.93	2047.0	2303.12	934.76	941.27	813.63	1322.37	1001.93	813.63
DIXDC1	567.1	81.14	536.45	536.45	460.44	363.56	125.24	441.64	470.14	368.65	536.45	579.04	92.7	708.18	135.24	67.12	301.33	361.04	620.67	70.51	575.03	493.56	500.46	441.64	583.07	476.71	595.34	69.52	493.56	94.01	420.68	497.0	612.11	343.89	532.74	432.53	555.41	432.53	152.28	264.03	647.07	118.43	303.44	647.07	96.68	384.34	444.72	82.87	842.36	607.87	551.56	249.73	71.5	100.13	371.22	444.72	540.19	218.79	417.77	525.39	493.56	291.04	583.07	87.03	414.87	591.22	246.28	432.53	583.07	473.41	423.61	624.99	555.41	447.82	420.68	194.36	412.0	486.75	82.29	341.51	480.04	480.04	414.87	426.57	348.71	36.27	59.55	142.01	48.87	37.05	87.65	44.89	239.52	54.72	417.77	63.45	48.87	262.2	61.68	1594.73	134.3	334.46	122.64	395.18	185.11	2434.5	138.1	1639.59	2004.85	249.73	183.82	114.36	379.04	201.25	133.36
EEF2K	836.53	248.0	713.11	563.18	397.93	483.38	363.56	490.14	587.13	366.09	802.41	941.27	323.03	540.19	406.31	400.71	329.84	540.19	753.83	348.71	775.05	420.68	733.19	346.29	866.07	647.07	688.78	381.68	607.87	323.03	571.05	521.76	629.35	518.15	612.11	397.93	813.63	563.18	460.44	575.03	703.28	395.18	571.05	1023.0	438.59	532.74	483.38	444.72	896.64	441.64	941.27	497.0	323.03	486.75	748.61	466.88	591.22	500.46	457.25	503.95	460.44	532.74	616.37	463.65	629.35	1191.69	511.0	759.08	842.36	532.74	387.02	1008.9	684.02	543.96	490.14	420.68	414.87	607.87	323.03	723.08	638.15	438.59	283.05	309.83	387.02	140.04	135.24	190.34	113.56	89.51	56.68	94.01	141.02	197.09	275.28	105.89	223.41	1605.83	353.59	1519.15	738.29	1369.04	470.14	1295.13	896.64	981.29	226.54	536.45	525.39	373.81	303.44	253.23	480.04	366.09	265.87
EXOC5	454.09	137.14	514.56	426.57	435.55	301.33	204.07	412.0	373.81	339.14	529.06	373.81	185.11	612.11	234.57	177.53	423.61	429.54	633.73	155.5	536.45	417.77	397.93	412.0	457.25	444.72	435.55	170.25	460.44	206.94	417.77	438.59	483.38	325.29	376.41	400.71	500.46	412.0	236.21	341.51	511.0	189.02	224.97	612.11	165.57	400.71	379.04	182.55	629.35	587.13	559.28	246.28	198.47	237.86	323.03	476.71	460.44	256.78	483.38	371.22	460.44	366.09	363.56	162.14	476.71	420.68	205.5	435.55	497.0	301.33	403.5	476.71	507.46	400.71	353.59	275.28	400.71	460.44	175.07	325.29	244.57	291.04	244.57	363.56	281.09	253.23	177.53	248.0	178.77	244.57	209.84	224.97	145.02	48.52	155.5	51.35	139.07	267.73	138.1	753.83	202.66	336.79	279.14	366.09	283.05	708.18	376.41	540.19	733.19	191.67	211.31	194.36	248.0	228.13	232.94
FAM172A	246.28	115.16	318.57	273.37	253.23	208.38	120.94	232.94	224.97	198.47	258.57	264.03	112.77	253.23	133.36	101.54	195.72	234.57	295.11	82.29	258.57	248.0	218.79	258.57	218.79	229.72	232.94	73.54	299.25	118.43	226.54	271.48	279.14	165.57	253.23	221.86	264.03	226.54	127.0	189.02	295.11	129.69	132.44	316.37	111.99	182.55	208.38	111.99	265.87	314.17	312.0	158.79	100.13	128.79	177.53	208.38	312.0	138.1	229.72	237.86	285.03	183.82	248.0	150.17	253.23	236.21	146.03	269.6	277.2	195.72	265.87	241.19	246.28	205.5	241.19	156.59	220.32	206.94	119.26	211.31	199.85	197.09	197.09	232.94	195.72	87.03	37.05	123.5	59.55	84.63	162.14	73.54	78.34	54.33	67.12	39.79	150.17	231.32	51.35	738.29	148.09	226.54	194.36	277.2	151.22	480.04	127.0	511.0	521.76	191.67	194.36	161.02	212.78	226.54	182.55
FYTTD1	1008.9	339.14	1088.92	941.27	791.35	571.05	483.38	708.18	909.17	595.34	1051.79	1001.93	457.25	1151.06	476.71	316.37	748.61	728.11	1340.84	384.34	1066.48	872.1	961.07	796.86	928.3	872.1	884.29	346.29	928.3	450.94	860.08	808.0	995.0	607.87	693.58	842.36	1111.82	785.88	450.94	624.99	1151.06	346.29	616.37	1304.15	420.68	738.29	743.43	412.0	1259.69	1030.12	1119.56	543.96	381.68	412.0	607.87	738.29	1081.39	493.56	866.07	733.19	1044.52	679.29	1044.52	389.72	878.17	915.51	444.72	947.83	1096.5	764.36	775.05	1051.79	915.51	703.28	738.29	551.56	713.11	884.29	460.44	723.08	454.09	507.46	480.04	633.73	599.49	525.39	273.37	223.41	392.44	633.73	351.14	205.5	318.57	285.03	348.71	223.41	256.78	571.05	371.22	1870.53	607.87	890.44	674.59	1030.12	941.27	1519.15	1674.06	1561.89	1685.71	571.05	384.34	447.82	819.3	607.87	743.43
GNA13	1037.29	466.88	819.3	656.11	669.92	525.39	583.07	587.13	819.3	483.38	1183.45	1081.39	493.56	1199.98	836.53	1427.22	473.41	540.19	1191.69	540.19	947.83	738.29	915.51	629.35	791.35	713.11	1066.48	796.86	995.0	674.59	941.27	848.22	1051.79	463.65	620.67	483.38	988.12	426.57	450.94	1096.5	974.5	432.53	759.08	1088.92	813.63	728.11	656.11	890.44	934.76	1447.15	995.0	775.05	351.14	775.05	688.78	490.14	1143.1	723.08	536.45	616.37	638.15	514.56	775.05	567.1	866.07	1030.12	454.09	1378.57	1044.52	500.46	603.67	642.59	1151.06	629.35	563.18	688.78	651.58	934.76	497.0	665.29	309.83	314.17	297.17	540.19	480.04	246.28	104.42	96.68	78.34	143.01	110.43	100.13	318.57	242.88	312.0	131.51	105.89	273.37	77.25	884.29	217.27	295.11	163.28	371.22	297.17	836.53	384.34	1304.15	1159.07	279.14	320.8	291.04	656.11	320.8	409.15
HIPK1	536.45	249.73	579.04	514.56	438.59	303.44	293.07	348.71	500.46	536.45	785.88	511.0	429.54	638.15	381.68	277.2	314.17	466.88	612.11	329.84	579.04	420.68	591.22	329.84	525.39	532.74	616.37	384.34	376.41	358.54	400.71	559.28	567.1	323.03	361.04	420.68	785.88	679.29	351.14	500.46	738.29	283.05	483.38	651.58	518.15	406.31	454.09	346.29	473.41	457.25	884.29	447.82	323.03	392.44	389.72	329.84	647.07	463.65	447.82	400.71	583.07	473.41	463.65	336.79	406.31	497.0	363.56	483.38	674.59	551.56	389.72	466.88	616.37	376.41	334.46	444.72	368.65	595.34	521.76	381.68	444.72	624.99	346.29	320.8	420.68	206.94	275.28	201.25	339.14	231.32	244.57	332.14	201.25	217.27	195.72	161.02	156.59	389.72	166.73	921.88	301.33	412.0	441.64	483.38	363.56	703.28	713.11	759.08	915.51	400.71	303.44	265.87	1417.35	376.41	429.54
IPO5	1183.45	493.56	1350.18	1135.2	995.0	934.76	688.78	1023.0	1167.14	928.3	1295.13	1369.04	563.18	1447.15	503.95	211.31	974.5	988.12	1477.58	511.0	1175.27	1159.07	961.07	988.12	1268.46	995.0	1143.1	403.5	1378.57	466.88	1250.98	1051.79	1216.75	884.29	1437.15	1250.98	1572.76	915.51	748.61	753.83	1397.83	497.0	836.53	1467.37	389.72	974.5	1059.11	371.22	1417.35	1143.1	1674.06	753.83	595.34	473.41	961.07	1066.48	1407.55	665.29	1051.79	1037.29	1104.13	1001.93	1277.29	708.18	1183.45	1295.13	802.41	1304.15	1183.45	848.22	1151.06	1143.1	1143.1	1044.52	961.07	785.88	1167.14	1044.52	688.78	1143.1	808.0	808.0	967.76	1151.06	1304.15	432.53	353.59	379.04	351.14	525.39	490.14	363.56	616.37	297.17	693.58	351.14	708.18	947.83	769.69	1685.71	813.63	934.76	583.07	1127.35	941.27	1781.89	1111.82	1977.24	2075.59	698.41	836.53	656.11	1008.9	1250.98	1447.15
KAT2B	373.81	127.89	559.28	409.15	444.72	314.17	152.28	351.14	283.05	314.17	423.61	466.88	155.5	387.02	275.28	218.79	341.51	387.02	447.82	123.5	348.71	540.19	384.34	384.34	336.79	423.61	525.39	211.31	497.0	194.36	348.71	521.76	518.15	343.89	387.02	397.93	651.58	444.72	198.47	269.6	432.53	113.56	264.03	441.64	239.52	466.88	426.57	199.85	351.14	507.46	441.64	281.09	104.42	170.25	432.53	368.65	620.67	267.73	432.53	441.64	480.04	483.38	228.13	187.71	353.59	297.17	199.85	323.03	293.07	299.25	480.04	371.22	466.88	423.61	397.93	363.56	450.94	327.56	161.02	486.75	353.59	454.09	269.6	511.0	361.04	97.36	77.25	110.43	176.29	138.1	137.14	68.55	85.22	70.51	45.53	186.4	73.03	301.33	65.72	339.14	295.11	336.79	265.87	205.5	132.44	476.71	470.14	629.35	595.34	559.28	409.15	218.79	224.97	361.04	825.0
KCTD20	595.34	236.21	595.34	529.06	420.68	376.41	299.25	463.65	599.49	379.04	612.11	599.49	267.73	518.15	275.28	186.4	373.81	400.71	629.35	246.28	616.37	454.09	575.03	417.77	473.41	493.56	503.95	226.54	444.72	269.6	457.25	511.0	551.56	356.05	429.54	460.44	457.25	444.72	289.02	366.09	660.68	258.57	299.25	540.19	237.86	435.55	507.46	312.0	660.68	559.28	633.73	320.8	232.94	241.19	441.64	423.61	486.75	336.79	486.75	376.41	525.39	387.02	454.09	256.78	450.94	483.38	332.14	450.94	470.14	473.41	353.59	583.07	473.41	339.14	429.54	275.28	368.65	454.09	295.11	420.68	325.29	389.72	265.87	363.56	325.29	146.03	115.16	136.19	161.02	120.1	146.03	103.69	214.27	291.04	157.68	256.78	221.86	358.54	220.32	802.41	297.17	500.46	353.59	441.64	463.65	921.88	353.59	813.63	825.0	291.04	303.44	232.94	463.65	339.14	237.86
KHDRBS1	1769.57	1540.37	2287.2	1674.06	1745.2	1378.57	1709.26	1540.37	1662.49	1313.23	1870.53	1909.85	1651.0	1909.85	1350.18	1259.69	1359.57	1709.26	1697.45	1388.16	1844.76	1487.87	1806.78	1397.83	2178.83	1923.14	1857.6	1088.92	2319.15	1508.65	1909.85	1617.0	2303.12	1397.83	1733.13	1883.54	2224.63	1572.76	1350.18	1950.0	2451.44	1540.37	1359.57	2240.11	1199.98	1417.35	1561.89	1350.18	2271.4	1769.57	2090.03	1295.13	1250.98	1322.37	1073.91	1322.37	2047.0	1295.13	1757.34	1721.16	1819.35	1583.71	2018.8	1498.22	1199.98	1883.54	1605.83	2004.85	2104.58	1378.57	1216.75	1950.0	2018.8	1286.18	1709.26	1572.76	1477.58	1936.53	1561.89	1551.09	1127.35	1159.07	1167.14	1397.83	1322.37	961.07	791.35	486.75	587.13	759.08	575.03	684.02	1250.98	890.44	1175.27	490.14	1059.11	1551.09	1175.27	2240.11	1529.73	1331.57	1313.23	1844.76	1806.78	2255.7	1529.73	1721.16	1745.2	1059.11	1104.13	995.0	1286.18	1143.1	1561.89
KIF1B	432.53	153.34	423.61	373.81	371.22	269.6	169.07	327.56	403.5	698.41	466.88	368.65	217.27	368.65	265.87	155.5	334.46	376.41	529.06	181.28	466.88	346.29	432.53	325.29	392.44	447.82	423.61	246.28	403.5	275.28	320.8	466.88	450.94	281.09	371.22	379.04	543.96	466.88	191.67	351.14	473.41	167.9	283.05	473.41	220.32	381.68	351.14	212.78	444.72	457.25	466.88	297.17	144.01	281.09	325.29	409.15	432.53	228.13	379.04	348.71	351.14	525.39	376.41	211.31	301.33	429.54	258.57	329.84	379.04	366.09	299.25	444.72	363.56	323.03	334.46	236.21	325.29	426.57	182.55	320.8	379.04	493.56	295.11	346.29	281.09	155.5	228.13	228.13	189.02	177.53	171.45	293.07	193.01	204.07	229.72	115.16	224.97	248.0	171.45	409.15	220.32	285.03	189.02	287.01	181.28	486.75	2468.49	651.58	753.83	198.47	157.68	140.04	297.17	205.5	177.53
KLHL20	392.44	140.04	358.54	305.55	309.83	217.27	156.59	262.2	309.83	209.84	426.57	366.09	165.57	403.5	195.72	151.22	244.57	291.04	438.59	126.12	353.59	249.73	273.37	248.0	316.37	325.29	384.34	158.79	314.17	155.5	376.41	303.44	381.68	229.72	251.48	291.04	397.93	265.87	187.71	267.73	450.94	166.73	206.94	447.82	162.14	312.0	260.38	187.71	381.68	409.15	314.17	208.38	136.19	226.54	244.57	239.52	395.18	209.84	260.38	265.87	316.37	249.73	291.04	149.12	368.65	334.46	147.06	269.6	444.72	242.88	249.73	299.25	312.0	232.94	231.32	231.32	232.94	318.57	142.01	218.79	223.41	211.31	177.53	241.19	178.77	126.12	52.82	61.25	63.89	114.36	88.88	72.52	115.97	76.17	116.78	101.54	77.25	289.02	67.59	435.55	242.88	718.08	281.09	759.08	166.73	476.71	297.17	323.03	356.05	172.65	145.02	106.63	248.0	141.02	217.27
KPNA4	470.14	237.86	457.25	490.14	397.93	323.03	291.04	397.93	525.39	395.18	551.56	473.41	256.78	583.07	314.17	316.37	387.02	454.09	647.07	251.48	555.41	417.77	466.88	447.82	447.82	438.59	497.0	253.23	371.22	265.87	490.14	395.18	490.14	339.14	356.05	384.34	599.49	444.72	287.01	373.81	532.74	226.54	341.51	642.59	264.03	358.54	403.5	318.57	579.04	559.28	642.59	361.04	237.86	318.57	423.61	420.68	480.04	301.33	438.59	379.04	480.04	368.65	500.46	293.07	529.06	486.75	325.29	599.49	591.22	358.54	414.87	529.06	457.25	341.51	381.68	327.56	379.04	429.54	255.0	406.31	273.37	309.83	283.05	406.31	397.93	327.56	163.28	155.5	316.37	395.18	323.03	173.85	166.73	193.01	170.25	88.26	116.78	303.44	177.53	723.08	293.07	339.14	356.05	497.0	429.54	759.08	954.43	802.41	769.69	248.0	239.52	249.73	400.71	314.17	299.25
LANCL1	651.58	239.52	785.88	540.19	603.67	327.56	262.2	486.75	575.03	371.22	813.63	825.0	307.69	753.83	281.09	146.03	371.22	521.76	830.75	194.36	723.08	460.44	703.28	507.46	698.41	559.28	656.11	175.07	591.22	237.86	563.18	486.75	842.36	438.59	435.55	480.04	693.58	518.15	336.79	480.04	921.88	309.83	348.71	1051.79	205.5	426.57	466.88	224.97	872.1	703.28	713.11	301.33	267.73	229.72	409.15	371.22	753.83	346.29	525.39	420.68	679.29	435.55	466.88	285.03	591.22	769.69	376.41	629.35	896.64	414.87	373.81	540.19	693.58	403.5	480.04	293.07	450.94	555.41	336.79	379.04	420.68	353.59	320.8	460.44	316.37	242.88	130.6	195.72	171.45	195.72	208.38	185.11	316.37	224.97	291.04	191.67	316.37	493.56	356.05	1304.15	409.15	802.41	460.44	802.41	480.04	1151.06	660.68	866.07	967.76	470.14	417.77	265.87	417.77	529.06	486.75
LSM14A	1806.78	825.0	1639.59	1870.53	1628.26	1286.18	1073.91	1397.83	1628.26	1191.69	1844.76	2018.8	954.43	2032.85	1096.5	759.08	1233.75	1322.37	1806.78	890.44	1806.78	1477.58	1388.16	1322.37	1617.0	1561.89	1477.58	909.17	1359.57	915.51	1781.89	1639.59	1457.23	1322.37	1407.55	1437.15	1857.6	1551.09	941.27	1233.75	1757.34	974.5	1037.29	2004.85	872.1	1322.37	1277.29	974.5	1844.76	1832.01	1794.29	1295.13	753.83	995.0	1191.69	1378.57	1583.71	1037.29	1697.45	1427.22	1662.49	1233.75	1447.15	974.5	1733.13	1498.22	1081.39	1487.87	1991.0	1388.16	1572.76	1628.26	1487.87	1208.34	1331.57	1216.75	1250.98	1551.09	1081.39	1508.65	967.76	1167.14	902.89	1233.75	1167.14	902.89	1008.9	571.05	1008.9	769.69	785.88	890.44	1191.69	688.78	1233.75	473.41	1015.93	1437.15	902.89	2417.67	1111.82	1388.16	1519.15	1594.73	1397.83	1832.01	1151.06	2209.26	2417.67	1233.75	902.89	1233.75	1685.71	1340.84	1119.56
MED21	599.49	214.27	536.45	616.37	532.74	460.44	339.14	540.19	432.53	507.46	616.37	529.06	277.2	684.02	325.29	271.48	525.39	616.37	679.29	234.57	633.73	603.67	518.15	483.38	624.99	511.0	567.1	220.32	698.41	309.83	466.88	536.45	616.37	423.61	500.46	563.18	633.73	493.56	265.87	395.18	669.92	277.2	366.09	620.67	201.25	476.71	571.05	234.57	665.29	579.04	532.74	379.04	197.09	320.8	432.53	518.15	543.96	297.17	591.22	579.04	656.11	511.0	651.58	242.88	540.19	532.74	293.07	629.35	543.96	438.59	532.74	642.59	583.07	497.0	543.96	426.57	669.92	493.56	262.2	521.76	318.57	470.14	426.57	547.75	409.15	483.38	358.54	144.01	348.71	486.75	218.79	470.14	346.29	136.19	209.84	118.43	239.52	595.34	206.94	974.5	476.71	525.39	426.57	684.02	466.88	703.28	503.95	1268.46	1135.2	389.72	366.09	312.0	660.68	532.74	684.02
MED4	1551.09	860.08	1331.57	1685.71	1331.57	1066.48	988.12	1369.04	1457.23	860.08	1457.23	1757.34	974.5	1594.73	1001.93	796.86	1104.13	1233.75	1199.98	1037.29	1508.65	1159.07	1639.59	1225.22	1583.71	1350.18	1286.18	775.05	1467.37	825.0	1216.75	1127.35	1832.01	961.07	1059.11	1135.2	1397.83	1651.0	791.35	1225.22	1757.34	890.44	808.0	1844.76	547.75	1081.39	1119.56	825.0	1477.58	1388.16	1388.16	961.07	941.27	988.12	866.07	988.12	1427.22	842.36	1498.22	1051.79	1447.15	1167.14	1322.37	688.78	1350.18	1781.89	1119.56	1605.83	1594.73	890.44	1059.11	1551.09	1051.79	954.43	1073.91	819.3	1233.75	1167.14	665.29	819.3	872.1	1051.79	1001.93	1151.06	1088.92	638.15	483.38	536.45	651.58	575.03	684.02	603.67	1487.87	348.71	1159.07	426.57	759.08	1127.35	954.43	1628.26	1183.45	1127.35	1119.56	1605.83	1073.91	1437.15	1447.15	1135.2	1066.48	860.08	723.08	660.68	1030.12	988.12	819.3
MTMR6	400.71	111.21	361.04	260.38	237.86	154.42	125.24	215.77	244.57	157.68	400.71	373.81	162.14	432.53	162.14	84.63	198.47	239.52	507.46	128.79	366.09	191.67	320.8	212.78	358.54	267.73	279.14	127.89	293.07	144.01	201.25	212.78	356.05	204.07	197.09	205.5	423.61	271.48	144.01	229.72	435.55	106.63	167.9	466.88	120.1	185.11	185.11	131.51	470.14	295.11	329.84	146.03	118.43	159.9	159.9	167.9	336.79	162.14	248.0	169.07	309.83	226.54	275.28	112.77	277.2	334.46	135.24	334.46	426.57	138.1	202.66	314.17	273.37	178.77	214.27	180.02	180.02	239.52	162.14	169.07	177.53	220.32	166.73	204.07	218.79	115.16	84.63	108.14	72.01	78.34	85.22	113.56	195.72	50.98	120.1	41.81	95.34	153.34	105.15	647.07	172.65	265.87	204.07	283.05	295.11	353.59	129.69	381.68	435.55	206.94	145.02	137.14	275.28	228.13	229.72
