	GTEX.SE5C.1026.SM.4BRUG	TCGA.AZ.6605.11A.01R.1839.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13CF2.2426.SM.5LZYL	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.1399U.1626.SM.5P9J3	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.FL.A1YF.11A.12R.A16F.07	TCGA.FL.A1YI.11A.11R.A16F.07	GTEX.13N11.1126.SM.5KM41	GTEX.TMMY.2226.SM.4DXTN	GTEX.POMQ.1226.SM.3P61F	GTEX.S341.1026.SM.4AD71	GTEX.RU1J.1026.SM.46MUR	GTEX.XUZC.0926.SM.4BOQF	GTEX.WEY5.0726.SM.4LMID	GTEX.S7SF.0826.SM.4AD4W	GTEX.P78B.2526.SM.3P5ZY
ADORA1	12.45	14.67	0.0	0.17	24.11	25.72	15.0	10.55	28.45	4.17	12.0	6.21	11.64	5.73	5.02	19.53	10.96	23.08	12.45	9.78	6.89	21.78	70.01	53.95	133.36	55.1	98.73	46.84	78.34	208.38	59.55	28.04	24.63
AL589739.1	2.92	7.17	0.0	0.13	2.16	7.28	0.0	0.0	1.62	0.0	1.19	2.32	0.92	1.25	1.04	0.0	4.62	3.38	2.78	1.53	2.84	9.34	11.47	20.41	7.75	2.29	21.78	11.82	13.72	7.06	21.16	15.22	15.91
AMHR2	1.13	1.07	0.0	0.0	20.86	19.53	2.25	0.4	3.03	0.19	0.6	2.23	0.16	3.92	0.0	0.18	0.85	0.0	3.96	0.0	2.14	4.31	6.06	9.13	7.46	5.15	24.81	21.63	8.71	9.93	2.27	3.99	12.55
ANTXR1	629.35	1167.14	0.0	0.44	928.3	2163.77	1991.0	934.76	2335.28	890.44	819.3	651.58	1051.79	802.41	1030.12	1051.79	764.36	1397.83	884.29	819.3	728.11	2816.11	4419.52	3665.02	6471.02	3190.46	5366.37	2520.38	3103.19	5633.22	2895.31	10512.82	2451.44
ANXA4	928.3	1457.23	0.0	0.48	1397.83	1175.27	1127.35	1250.98	1651.0	536.45	1104.13	1001.93	902.89	769.69	947.83	1721.16	813.63	624.99	890.44	802.41	961.07	2555.58	2935.74	3690.52	4937.99	2997.45	9876.98	4639.29	6607.01	2351.53	7331.05	2701.35	2796.65
ANXA5	6337.83	9151.82	0.0	1.11	2915.45	4328.55	4836.35	6699.25	6037.61	9025.81	4769.75	3146.52	4181.07	7537.18	4972.34	12329.98	3168.41	6745.86	5555.65	3665.02	3395.89	12244.81	11664.82	11584.24	11827.67	16157.44	17197.56	12589.08	9673.69	8078.22	10225.32	9540.5	10368.08
ARAP3	118.43	173.85	0.0	0.59	150.17	167.9	98.04	45.85	94.67	195.72	66.18	51.71	59.97	71.5	56.68	81.71	86.43	33.3	98.04	52.82	47.5	366.09	409.15	483.38	785.88	339.14	511.0	403.5	165.57	323.03	171.45	981.29	500.46
ARFRP1	703.28	791.35	866.07	769.69	854.13	934.76	842.36	688.78	1081.39	595.34	878.17	703.28	890.44	688.78	941.27	802.41	842.36	603.67	890.44	567.1	486.75	1119.56	961.07	1073.91	1208.34	1225.22	1151.06	854.13	854.13	1407.55	738.29	1135.2	1286.18
BCL2L1	1225.22	1135.2	0.0	0.61	854.13	825.0	698.41	1059.11	718.08	1819.35	1437.15	836.53	1059.11	921.88	1051.79	1304.15	698.41	660.68	1030.12	884.29	819.3	1143.1	1437.15	1487.87	1407.55	1883.54	1583.71	1923.14	1498.22	2609.3	1639.59	1896.65	1143.1
C16orf80	507.46	620.67	0.0	0.1	808.0	547.75	642.59	684.02	842.36	656.11	511.0	392.44	507.46	872.1	599.49	454.09	802.41	379.04	457.25	316.37	490.14	738.29	836.53	830.75	878.17	674.59	934.76	941.27	785.88	733.19	728.11	890.44	785.88
C5orf15	400.71	521.76	0.0	0.56	559.28	497.0	497.0	525.39	575.03	579.04	571.05	336.79	368.65	395.18	466.88	607.87	395.18	409.15	466.88	368.65	301.33	684.02	616.37	612.11	624.99	642.59	1191.69	718.08	1407.55	748.61	1457.23	896.64	563.18
CARD10	26.28	100.83	0.0	0.66	283.05	214.27	140.04	116.78	148.09	323.03	95.34	90.77	170.25	73.54	84.63	150.17	141.02	85.22	84.63	79.45	61.68	403.5	351.14	332.14	1733.13	379.04	1119.56	934.76	150.17	262.2	248.0	2018.8	327.56
CCDC153	21.01	35.0	0.0	0.0	76.71	28.65	18.56	18.43	32.82	14.89	13.83	22.26	12.45	15.68	29.27	22.26	23.59	7.06	14.56	7.22	11.91	47.17	48.52	63.0	53.57	102.97	133.36	318.57	41.52	54.72	99.43	108.14	214.27
CCIN	16.75	15.22	0.0	0.0	4.03	5.06	4.21	7.46	2.41	12.93	2.78	3.17	0.0	14.78	10.71	7.11	4.46	0.82	3.59	3.11	8.58	49.21	48.52	31.45	43.63	94.01	65.72	39.5	17.9	51.71	59.97	48.18	21.47
CD200	387.02	204.07	0.0	0.0	92.05	368.65	293.07	150.17	244.57	127.89	132.44	44.57	151.22	206.94	178.77	133.36	62.56	1073.91	123.5	108.9	91.41	1437.15	595.34	728.11	1208.34	679.29	3820.7	480.04	1583.71	1806.78	507.46	2451.44	1883.54
CDC42EP1	2739.08	842.36	0.0	0.96	860.08	3847.29	1304.15	884.29	1397.83	2018.8	1030.12	660.68	884.29	2178.83	1008.9	1794.29	718.08	1159.07	748.61	872.1	713.11	2209.26	1594.73	1487.87	2609.3	6471.02	7485.11	2384.37	3419.52	3419.52	2537.92	1769.57	3564.78
CHPF2	275.28	295.11	0.0	0.4	201.25	454.09	173.85	435.55	256.78	612.11	447.82	356.05	353.59	373.81	423.61	571.05	441.64	262.2	466.88	423.61	466.88	591.22	995.0	836.53	1066.48	836.53	825.0	785.88	718.08	1295.13	733.19	638.15	483.38
COPZ1	2502.97	2018.8	0.0	0.36	2163.77	2319.15	1950.0	2367.9	2032.85	1794.29	1745.2	1662.49	1896.65	1709.26	2047.0	1896.65	1806.78	1594.73	1883.54	1781.89	1870.53	3491.39	2935.74	2591.27	3589.58	2875.3	3564.78	3928.15	3303.0	2915.45	2875.3	2555.58	3039.3
CREB3L1	314.17	198.47	0.0	0.31	108.9	1030.12	361.04	51.35	281.09	1417.35	185.11	102.97	91.41	133.36	42.71	123.5	87.03	178.77	127.89	65.26	68.55	583.07	1143.1	1397.83	934.76	341.51	3768.09	1340.84	1977.24	3467.27	1844.76	511.0	759.08
DAD1	4704.07	4769.75	0.0	0.99	5329.3	4972.34	4543.8	5751.61	5441.3	3325.99	3467.27	2701.35	3081.75	2739.08	4972.34	5255.91	3146.52	3060.45	5751.61	2816.11	2835.7	7230.1	7966.99	6887.62	10585.95	8191.0	9876.98	10296.45	6250.56	5711.87	6164.49	7081.29	6792.79
DAP	1233.75	915.51	2133.97	490.14	825.0	2287.2	1628.26	1447.15	1605.83	2047.0	1073.91	1030.12	1340.84	1008.9	1991.0	1857.6	748.61	1313.23	1143.1	1508.65	1277.29	2609.3	2351.53	2090.03	2701.35	4769.75	4903.87	4298.64	3257.52	2895.31	1781.89	2664.15	1936.53
DCAF12L1	4.94	0.0	0.0	0.0	0.36	3.26	0.0	0.0	0.65	2.66	1.3	0.54	0.36	0.55	0.21	0.53	0.8	0.0	0.69	0.06	0.22	0.56	17.38	18.03	12.18	67.12	158.79	130.6	2.66	6.21	26.28	151.22	11.13
DCTD	988.12	1183.45	0.0	0.72	860.08	967.76	718.08	1216.75	947.83	1066.48	934.76	684.02	830.75	674.59	884.29	921.88	733.19	483.38	753.83	728.11	842.36	1467.37	1519.15	1540.37	1304.15	1369.04	1819.35	1322.37	1617.0	1721.16	1883.54	1757.34	1023.0
DES	1364554.84	919186.72	0.0	0.73	2924988.47	945028.61	1026995.62	1246973.04	851707.37	1545882.32	783730.52	581732.96	706337.4	1108362.75	912837.43	1800541.22	1452391.55	1048575.0	1063212.58	691801.16	581732.96	177811.84	38966.94	30999.42	228208.61	383800.28	577714.63	746611.43	98646.85	48643.87	180294.02	36106.23	139508.13
DRAXIN	0.51	1.66	0.0	0.05	2.81	1.69	0.6	0.59	1.39	0.0	1.41	0.59	0.56	0.61	0.56	0.0	0.59	1.39	0.61	0.58	0.57	0.93	10.39	11.73	1.45	1.43	13.42	13.22	3.79	1.38	1.55	6.67	1.35
EML6	6.46	25.54	0.0	0.51	7.4	11.13	27.05	14.24	10.31	57.08	10.0	12.45	16.03	5.87	1.43	15.45	3.72	10.71	13.93	27.84	3.79	28.86	28.45	13.32	353.59	64.34	52.45	55.89	55.49	131.51	13.03	31.45	11.73
ESM1	11.47	3.5	0.0	0.0	3.17	9.93	40.36	1.81	19.82	47.5	1.77	0.0	3.63	5.28	2.71	0.49	1.81	14.89	2.56	3.08	0.48	22.92	36.27	50.63	48.52	22.1	121.79	45.53	12.45	24.28	7.0	241.19	38.95
FAM107B	206.94	457.25	0.0	0.67	251.48	759.08	450.94	277.2	486.75	1037.29	403.5	220.32	258.57	339.14	387.02	460.44	320.8	314.17	438.59	253.23	253.23	1059.11	1151.06	1277.29	325.29	1175.27	2148.82	497.0	2090.03	460.44	563.18	2287.2	785.88
FAM211A	155.5	33.3	0.0	0.16	22.92	74.06	69.52	14.24	55.1	25.72	47.5	9.7	35.0	29.91	18.97	21.78	76.17	11.21	23.42	10.47	10.39	110.43	103.69	98.04	336.79	157.68	316.37	109.66	239.52	124.37	84.04	127.89	143.01
FOXS1	19.11	80.57	0.0	0.18	61.25	128.79	16.39	11.3	51.71	11.13	8.58	15.91	13.72	4.62	10.24	44.25	49.21	6.21	5.02	2.51	0.93	156.59	412.0	236.21	339.14	178.77	1127.35	258.57	105.15	133.36	309.83	426.57	555.41
ID4	791.35	175.07	0.0	0.47	563.18	571.05	346.29	212.78	587.13	303.44	934.76	258.57	1208.34	728.11	273.37	896.64	123.5	896.64	551.56	332.14	130.6	1096.5	3190.46	4704.07	7749.1	3280.18	3768.09	5791.62	3235.01	995.0	2855.44	3395.89	4512.4
IL20	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.16	20.11	9.56	23.93	11.55	13.32	9.93	8.13	87.03	4.78	3.29	11.55
ITGB5	3928.15	2104.58	0.0	0.93	974.5	2875.3	2468.49	2061.24	3467.27	2777.33	2224.63	1277.29	2163.77	2271.4	2758.13	5076.84	2193.99	1697.45	1909.85	1806.78	1685.71	5006.93	3190.46	2956.17	5041.77	4836.35	5441.3	4210.15	6607.01	11424.74	4095.0	4388.98	7032.37
LBH	197.09	555.41	463.65	514.56	397.93	1498.22	587.13	1023.0	693.58	651.58	947.83	318.57	417.77	1709.26	551.56	2777.33	532.74	483.38	656.11	500.46	583.07	4419.52	3039.3	2047.0	10296.45	5183.54	8718.32	1427.22	4010.71	3768.09	7589.61	5441.3	3614.55
LRRN2	406.31	232.94	0.0	0.36	6.62	403.5	229.72	132.44	253.23	117.6	447.82	92.7	104.42	43.32	105.89	155.5	124.37	87.65	115.97	135.24	77.25	323.03	89.51	98.04	1037.29	651.58	4512.4	3614.55	884.29	1832.01	974.5	211.31	371.22
MORN3	0.84	7.46	0.0	0.0	0.64	3.17	7.63	14.67	3.72	32.59	2.61	3.5	6.16	4.03	1.13	4.28	1.91	2.92	0.92	13.93	1.5	8.65	19.68	25.17	128.79	24.11	77.79	63.45	17.38	37.59	16.03	100.13	19.97
MOSPD1	110.43	139.07	0.0	0.48	275.28	152.28	178.77	138.1	189.02	142.01	198.47	171.45	182.55	90.77	241.19	127.0	150.17	69.03	156.59	120.94	166.73	642.59	500.46	511.0	583.07	327.56	607.87	295.11	392.44	579.04	438.59	808.0	591.22
NECAP2	638.15	536.45	0.0	0.73	651.58	842.36	775.05	915.51	753.83	780.44	607.87	460.44	511.0	429.54	612.11	703.28	674.59	264.03	620.67	473.41	423.61	1225.22	1216.75	1104.13	1781.89	860.08	1277.29	1030.12	1151.06	1259.69	733.19	1457.23	1175.27
NGEF	6.26	2.61	0.0	0.27	139.07	45.85	79.45	15.11	67.59	69.52	13.72	4.86	19.11	31.9	18.7	25.17	14.56	10.63	21.47	14.35	29.06	108.14	29.27	91.41	187.71	99.43	988.12	571.05	136.19	14.14	253.23	143.01	182.55
NGF	47.17	97.36	0.0	0.32	89.51	77.79	95.34	31.22	113.56	62.56	39.5	28.45	57.89	50.27	47.17	25.54	47.84	103.69	38.67	47.84	35.25	123.5	88.26	119.26	117.6	490.14	684.02	217.27	279.14	476.71	884.29	90.14	124.37
NPM3	1529.73	547.75	0.0	0.43	1001.93	444.72	215.77	500.46	165.57	392.44	285.03	400.71	759.08	454.09	279.14	371.22	279.14	145.02	329.84	283.05	218.79	988.12	1437.15	1388.16	1111.82	1508.65	1896.65	1378.57	1073.91	2434.5	1015.93	1023.0	1111.82
ORMDL3	1088.92	1457.23	1369.04	197.09	647.07	1487.87	896.64	738.29	620.67	796.86	728.11	532.74	718.08	583.07	638.15	830.75	796.86	532.74	878.17	759.08	629.35	1963.57	1909.85	1551.09	3982.99	2739.08	2075.59	1870.53	1208.34	3146.52	1685.71	1359.57	3540.14
PALMD	40.36	336.79	0.0	0.25	2720.15	242.88	283.05	363.56	525.39	607.87	242.88	231.32	346.29	332.14	211.31	373.81	343.89	316.37	463.65	236.21	239.52	2485.67	1015.93	638.15	9876.98	3257.52	2777.33	1674.06	4210.15	1081.39	961.07	5006.93	6294.04
PAPSS1	638.15	688.78	0.0	0.12	575.03	361.04	376.41	412.0	379.04	389.72	329.84	271.48	285.03	231.32	291.04	327.56	289.02	215.77	293.07	287.01	273.37	854.13	1304.15	1709.26	1819.35	1023.0	1757.34	1242.34	1304.15	1104.13	1561.89	1369.04	928.3
PLS3	1662.49	2796.65	0.0	0.83	3874.05	1417.35	1651.0	2090.03	2271.4	1498.22	1551.09	1073.91	1111.82	813.63	1594.73	3018.3	1909.85	1617.0	1259.69	1159.07	878.17	3928.15	2240.11	2451.44	8963.45	6745.86	6935.54	4450.27	5219.6	3419.52	5441.3	5041.77	2104.58
PLXND1	674.59	1437.15	0.0	1.17	1268.46	1331.57	642.59	884.29	1030.12	1331.57	698.41	759.08	684.02	599.49	432.53	909.17	909.17	334.46	723.08	567.1	688.78	4123.49	2915.45	2609.3	4937.99	1963.57	3540.14	3395.89	2682.69	4903.87	3395.89	3847.29	2351.53
PRDX4	1322.37	1127.35	0.0	0.36	1359.57	2163.77	1350.18	1806.78	1540.37	1388.16	1023.0	915.51	981.29	902.89	1378.57	1167.14	842.36	780.44	1088.92	890.44	854.13	3325.99	2335.28	1806.78	2816.11	2400.97	3018.3	3716.2	1991.0	2061.24	2417.67	1870.53	1896.65
RAI14	1135.2	395.18	0.0	0.72	281.09	878.17	603.67	403.5	698.41	2240.11	351.14	271.48	314.17	1030.12	567.1	1378.57	291.04	830.75	395.18	318.57	567.1	2075.59	1407.55	1378.57	2720.15	2682.69	3212.66	1498.22	1733.13	813.63	1175.27	2163.77	2367.9
REM1	15.8	177.53	0.0	0.0	110.43	156.59	87.03	98.73	195.72	71.5	172.65	134.3	109.66	47.17	74.06	94.67	267.73	55.89	120.1	127.0	154.42	283.05	348.71	186.4	291.04	961.07	967.76	444.72	466.88	271.48	1037.29	497.0	253.23
SCYL1	1572.76	1508.65	0.0	1.1	1175.27	1477.58	1437.15	1397.83	1096.5	1936.53	1605.83	1322.37	1519.15	1191.69	1437.15	1447.15	2032.85	1111.82	1605.83	1883.54	1447.15	1628.26	2417.67	2434.5	1857.6	3018.3	2485.67	1950.0	2319.15	2287.2	1923.14	2090.03	2451.44
