	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.BH.A204.01A.11R.A157.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.U3ZM.0426.SM.3DB73	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13FTX.0326.SM.5J2NG	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.PW2O.0526.SM.2I3DX	GTEX.OHPM.0526.SM.2YUMJ
ABCA9	11.04	27.64	3.29	13.22	0.0	0.28	110.43	69.52	52.82	273.37	81.71	63.0	71.0	85.82	48.18	17.51	105.15	30.56	56.28	161.02	265.87	138.1	30.12	60.82	105.15	170.25	66.65
AC007401.2	0.0	1.85	0.0	0.0	0.0	0.21	4.98	7.22	5.54	1.95	14.24	3.06	1.46	3.03	0.0	2.14	5.19	0.0	1.68	12.27	11.21	1.95	5.82	2.2	5.06	3.26	3.82
ACADL	0.33	713.11	0.66	253.23	0.0	0.1	1477.58	1909.85	638.15	1832.01	1250.98	1015.93	1551.09	1896.65	759.08	358.54	1883.54	1208.34	1508.65	2384.37	2627.46	1457.23	785.88	921.88	2555.58	896.64	209.84
ADAM11	1.79	1.62	1.5	0.0	0.0	0.45	5.5	6.26	2.03	5.02	3.0	2.07	0.91	2.2	2.92	0.08	1.79	0.37	3.14	11.47	9.2	7.46	0.89	2.18	7.69	1.28	0.84
AK1	438.59	693.58	967.76	2434.5	1781.89	341.51	15715.58	17197.56	10084.54	20881.4	19754.96	6887.62	14163.58	17317.18	10440.2	3467.27	11664.82	15499.21	16727.26	20451.65	23492.92	19348.38	4543.8	6426.31	15715.58	22850.48	10883.59
AKAP13	624.99	813.63	1051.79	381.68	0.0	0.61	6887.62	5594.3	3168.41	5633.22	4704.07	2777.33	4671.57	2816.11	4388.98	1685.71	4512.4	3742.05	5255.91	6699.25	6426.31	4802.93	2018.8	2367.9	9808.75	4671.57	4607.24
AL163636.6	100.13	336.79	84.63	3564.78	0.0	0.03	1651.0	1977.24	480.04	3467.27	1605.83	595.34	733.19	603.67	466.88	89.51	1769.57	470.14	1427.22	1605.83	2319.15	1313.23	128.79	417.77	1081.39	358.54	738.29
ALDH2	151.22	435.55	954.43	6164.49	0.0	0.78	17078.76	26986.43	10512.82	24832.5	17681.08	11424.74	13586.57	9409.14	9279.58	4210.15	18431.96	19348.38	14262.1	15934.98	18304.63	10883.59	4671.57	5872.48	19082.0	13215.02	6935.54
ANKRD33B	0.37	1.83	0.38	0.0	0.0	0.06	35.76	20.86	3.82	25.91	23.08	1.11	10.79	13.42	0.87	12.93	12.0	23.25	5.28	49.21	48.52	23.76	2.16	9.48	50.27	10.47	21.01
ARPC4-TTLL3	75.11	201.25	178.77	34.75	0.0	0.84	314.17	228.13	82.87	258.57	327.56	186.4	194.36	208.38	293.07	106.63	251.48	336.79	397.93	490.14	395.18	242.88	130.6	187.71	220.32	201.25	153.34
