	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.RU72.0726.SM.46MUW	GTEX.PVOW.1626.SM.48TC9	GTEX.R3RS.1326.SM.48FE7	GTEX.T5JC.1726.SM.4DM6U	GTEX.X585.1226.SM.46MW7	GTEX.PLZ4.1626.SM.3P618	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.N7MT.0326.SM.48TDP	GTEX.S33H.0826.SM.4AD5Y	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABCC5	551.56	599.49	435.55	1991.0	1259.69	2240.11	2004.85	1540.37	2915.45	2090.03	2720.15	1794.29	2255.7	329.84	620.67	0.0	1.0	507.46	961.07	1733.13	287.01	483.38	397.93
ADRA2B	25.54	6.52	2.56	7.88	2.94	7.06	8.38	59.13	24.81	24.11	16.15	30.12	4.06	4.24	1.17	0.0	0.41	0.16	0.85	5.96	0.0	1.58	1.93
AL009178.1	6.36	4.58	3.11	5.36	7.82	14.67	5.82	24.11	19.25	15.45	8.19	6.67	41.52	4.13	5.32	0.0	0.0	0.0	2.71	0.62	2.41	2.66	1.69
AL358813.2	48.52	106.63	64.8	76.17	31.67	137.14	42.71	133.36	100.83	105.89	124.37	57.08	105.15	8.32	35.76	0.0	0.36	5.28	22.43	24.28	14.45	15.0	26.47
ALG13	595.34	651.58	532.74	981.29	450.94	896.64	902.89	1167.14	941.27	813.63	1073.91	866.07	1051.79	575.03	540.19	0.0	0.82	616.37	358.54	348.71	332.14	547.75	389.72
ANKS3	334.46	228.13	293.07	397.93	395.18	511.0	363.56	764.36	511.0	521.76	540.19	525.39	457.25	60.82	191.67	0.0	0.78	40.36	77.79	115.97	111.21	54.33	50.63
AP003068.6	30.12	30.12	22.1	33.06	15.68	42.41	36.79	56.28	50.63	45.85	50.63	42.11	46.84	1.89	4.5	0.0	0.67	0.0	2.56	0.46	2.46	2.61	0.97
AP006621.5	143.01	190.34	182.55	229.72	89.51	218.79	224.97	265.87	435.55	166.73	271.48	301.33	246.28	39.22	88.26	0.0	0.42	22.43	41.52	33.06	25.35	31.45	26.28
AP1G2	2384.37	2502.97	2835.7	3540.14	2104.58	3190.46	4704.07	6516.03	5711.87	5147.73	5366.37	3955.48	4038.61	595.34	1359.57	0.0	1.33	320.8	1030.12	1051.79	1096.5	872.1	836.53
AP2A2	1037.29	780.44	866.07	769.69	723.08	819.3	759.08	1369.04	909.17	934.76	902.89	1119.56	813.63	500.46	571.05	738.29	161.02	543.96	435.55	503.95	303.44	454.09	444.72
