	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.E2.A14Y.01A.21R.A12D.07	TCGA.B6.A1KN.01A.11R.A13Q.07	TCGA.A8.A08X.01A.21R.A00Z.07	TCGA.OL.A5RZ.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A2.A1G1.01A.21R.A13Q.07	TCGA.A7.A2KD.01A.31R.A21T.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E2.A1B0.01A.11R.A12P.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DI.A2QT.01A.12R.A19W.07
ABCB7	239.52	368.65	191.67	293.07	129.69	412.0	684.02	409.15	470.14	287.01	202.66	403.5	277.2	234.57	183.82	209.84	178.77	260.38	194.36	316.37
ABCC1	348.71	441.64	283.05	249.73	303.44	320.8	693.58	305.55	403.5	255.0	332.14	497.0	146.03	9.93	26.47	35.5	45.21	14.78	26.47	368.65
ACTR3	1757.34	3794.3	4010.71	4419.52	2319.15	4512.4	6079.61	4388.98	5006.93	5517.27	3928.15	5403.7	1870.53	361.04	348.71	753.83	1030.12	536.45	466.88	2895.31
AGO3	114.36	82.29	111.99	76.17	38.4	66.65	253.23	130.6	198.47	116.78	68.07	156.59	56.68	30.34	53.19	33.78	51.35	23.42	26.67	56.68
AKAP11	87.65	107.38	215.77	239.52	70.51	164.42	395.18	312.0	267.73	248.0	214.27	258.57	120.94	30.12	51.35	52.82	52.45	53.57	38.67	72.52
ANKRD13C	152.28	143.01	221.86	194.36	114.36	185.11	341.51	297.17	339.14	212.78	208.38	273.37	170.25	53.95	125.24	73.03	103.69	47.84	48.18	155.5
ANKRD17	325.29	500.46	808.0	708.18	571.05	775.05	974.5	656.11	460.44	1628.26	728.11	808.0	211.31	127.89	142.01	228.13	251.48	307.69	176.29	358.54
APOOL	59.13	105.89	118.43	133.36	38.95	126.12	212.78	211.31	137.14	150.17	63.0	231.32	81.71	81.14	49.56	30.34	55.1	54.33	71.5	79.45
ASAP1	384.34	450.94	417.77	507.46	356.05	511.0	559.28	647.07	283.05	575.03	373.81	423.61	202.66	36.27	87.03	129.69	102.97	92.7	54.72	256.78
ASCC3	316.37	642.59	432.53	409.15	237.86	567.1	1073.91	629.35	1119.56	733.19	414.87	902.89	148.09	116.78	90.14	356.05	142.01	303.44	142.01	339.14
