	TCGA.D6.6824.01A.11R.1915.07	TCGA.22.5472.11A.11R.1635.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11TT1.2026.SM.5EQM8	GTEX.139T6.1526.SM.5P9G6	GTEX.YJ8A.1126.SM.5IFJU	GTEX.11NSD.0826.SM.5986S	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.13O61.1726.SM.5KM46	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.14E6E.1126.SM.5S2R4	GTEX.QLQ7.1326.SM.4R1JY	GTEX.WFG8.1826.SM.4LVM4
CERK	403.5	341.51	123.5	41.52	194.36	10.39	102.97	171.45	147.06	131.51	68.07	229.72	107.38	220.32	154.42	14.03	164.42	59.13	79.45	158.79	202.66	115.97	94.01	133.36	126.12	157.68	78.89	209.84	67.12	133.36	67.59	348.71	358.54	241.19	212.78	285.03	153.34	318.57	166.73	234.57	420.68	157.68	226.54	417.77	269.6	206.94	215.77	255.0	295.11	583.07	231.32	132.44	136.19	543.96	150.17	117.6	149.12	121.79	444.72	476.71	368.65
CHST11	236.21	358.54	46.84	25.17	108.9	6.16	49.91	78.89	68.07	52.08	20.41	62.12	9.34	137.14	53.19	12.74	69.52	23.42	33.06	42.11	70.01	103.69	65.26	40.93	48.52	34.75	24.81	118.43	22.26	38.4	26.67	169.07	242.88	146.03	111.21	92.7	77.25	105.15	88.26	81.71	147.06	39.5	85.22	262.2	115.16	56.28	95.34	113.56	161.02	229.72	127.89	81.14	80.01	417.77	72.01	74.06	70.51	52.82	158.79	392.44	165.57
CHST3	343.89	224.97	115.97	21.16	234.57	9.78	111.21	153.34	111.99	130.6	36.01	146.03	10.16	221.86	158.79	10.0	128.79	46.18	80.01	144.01	211.31	134.3	90.77	71.0	139.07	111.21	77.25	223.41	60.82	77.79	81.14	341.51	518.15	223.41	159.9	232.94	58.71	242.88	202.66	92.7	307.69	165.57	191.67	269.6	165.57	173.85	186.4	281.09	201.25	1259.69	229.72	122.64	146.03	389.72	60.82	82.29	84.04	110.43	1008.9	587.13	220.32
CMIP	1059.11	1044.52	318.57	239.52	651.58	208.38	295.11	392.44	412.0	412.0	260.38	507.46	134.3	555.41	381.68	339.14	460.44	327.56	314.17	366.09	486.75	435.55	339.14	397.93	409.15	409.15	318.57	503.95	376.41	260.38	285.03	878.17	819.3	728.11	543.96	629.35	180.02	571.05	432.53	371.22	656.11	575.03	698.41	825.0	703.28	309.83	454.09	954.43	587.13	1340.84	748.61	366.09	567.1	688.78	567.1	384.34	441.64	384.34	785.88	525.39	679.29
DKK1	1051.79	147.06	91.41	17.38	66.65	2.25	86.43	51.71	66.18	18.29	31.9	48.18	2.73	105.15	19.39	17.0	543.96	12.64	84.04	11.82	376.41	167.9	228.13	53.19	64.8	30.56	4.17	89.51	12.74	53.57	30.12	813.63	1143.1	325.29	88.88	277.2	113.56	406.31	90.14	1467.37	397.93	67.12	208.38	921.88	231.32	43.94	27.64	1259.69	1143.1	1963.57	170.25	77.79	234.57	616.37	44.57	38.4	28.04	97.36	802.41	941.27	1498.22
DSE	688.78	638.15	107.38	31.0	170.25	30.12	86.43	159.9	162.14	102.25	112.77	129.69	15.34	241.19	102.25	55.89	175.07	83.45	81.14	167.9	185.11	147.06	127.89	69.52	139.07	98.04	63.45	171.45	92.7	83.45	74.06	435.55	412.0	320.8	182.55	221.86	181.28	332.14	129.69	248.0	329.84	158.79	205.5	507.46	255.0	171.45	229.72	251.48	323.03	316.37	265.87	110.43	123.5	591.22	77.25	118.43	112.77	155.5	341.51	346.29	312.0
EFHD2	2287.2	1991.0	1991.0	638.15	1268.46	1388.16	647.07	928.3	890.44	808.0	532.74	1340.84	371.22	1088.92	1127.35	341.51	974.5	1175.27	1104.13	684.02	1457.23	1159.07	1037.29	1322.37	1127.35	974.5	1225.22	1127.35	1457.23	1216.75	909.17	1721.16	872.1	1407.55	1008.9	1397.83	1015.93	1407.55	819.3	1605.83	1487.87	825.0	1757.34	1388.16	1427.22	954.43	753.83	1250.98	1572.76	2502.97	1199.98	1242.34	1216.75	1242.34	974.5	872.1	1963.57	1081.39	1286.18	1242.34	3124.78
EHD4	753.83	967.76	332.14	279.14	457.25	239.52	312.0	353.59	273.37	363.56	157.68	463.65	234.57	540.19	361.04	281.09	438.59	246.28	237.86	279.14	633.73	316.37	438.59	356.05	351.14	293.07	246.28	507.46	220.32	376.41	265.87	884.29	555.41	536.45	575.03	579.04	287.01	693.58	353.59	616.37	591.22	500.46	486.75	878.17	529.06	366.09	684.02	764.36	607.87	563.18	620.67	466.88	540.19	679.29	518.15	698.41	503.95	312.0	547.75	718.08	551.56
ELF4	417.77	543.96	39.22	24.81	125.24	9.41	49.56	89.51	77.79	66.18	16.75	136.19	8.06	142.01	77.79	16.51	110.43	36.01	46.5	94.67	157.68	96.68	65.26	73.54	82.29	64.8	29.48	126.12	32.59	46.18	39.79	287.01	181.28	223.41	116.78	244.57	59.13	164.42	94.01	166.73	198.47	111.21	194.36	255.0	295.11	104.42	115.97	293.07	228.13	332.14	279.14	85.22	123.5	395.18	104.42	90.77	115.97	59.97	147.06	197.09	435.55
FAM132B	56.28	14.56	9.78	2.84	16.27	5.06	4.46	4.06	12.93	1.48	0.0	4.9	17.9	31.67	32.13	3.23	7.75	2.76	0.0	5.59	1.14	8.85	29.48	2.23	15.8	1.1	1.93	4.06	2.78	1.85	8.19	75.11	18.29	21.32	3.86	6.89	7.94	53.19	4.31	10.71	10.16	13.72	28.24	29.06	5.06	2.66	31.67	69.03	22.43	38.95	41.81	2.71	29.91	12.55	3.08	0.69	2.1	6.06	71.5	57.08	23.08
FAM186B	11.82	4.82	2.94	8.25	8.78	4.28	5.02	7.46	6.57	3.99	2.97	7.63	1.35	6.01	7.69	5.59	6.16	3.47	3.11	3.82	7.06	9.48	4.28	4.74	6.36	7.17	2.66	9.06	1.19	3.96	5.19	9.85	9.2	9.41	6.36	8.13	2.63	8.13	9.93	6.11	7.63	5.5	9.06	7.22	5.68	5.54	5.63	8.99	7.0	10.71	10.24	7.0	7.11	8.92	8.13	2.73	5.82	1.79	20.26	12.36	7.4
FAM3C	2434.5	1081.39	607.87	507.46	629.35	587.13	775.05	896.64	934.76	780.44	941.27	559.28	397.93	698.41	503.95	540.19	830.75	450.94	688.78	934.76	733.19	915.51	669.92	575.03	665.29	591.22	420.68	718.08	480.04	698.41	651.58	1167.14	802.41	1119.56	669.92	808.0	738.29	854.13	656.11	1001.93	896.64	713.11	603.67	890.44	1216.75	616.37	890.44	1096.5	961.07	1059.11	748.61	679.29	753.83	896.64	518.15	684.02	525.39	842.36	1151.06	866.07	1407.55
GALNT6	1447.15	246.28	13.03	6.89	54.72	1.31	12.36	26.86	17.64	20.86	3.79	51.71	3.35	35.76	16.03	3.56	31.45	13.93	15.56	14.67	34.26	29.27	32.36	19.25	10.55	15.56	6.94	30.12	10.24	14.78	9.48	132.44	69.52	55.89	34.51	65.26	33.78	63.45	15.56	57.49	45.53	46.5	49.21	166.73	51.71	20.41	31.0	69.03	50.63	95.34	51.35	44.89	40.64	104.42	29.06	28.45	35.5	14.56	52.82	59.13	50.98
GLT1D1	21.63	24.46	7.82	1.58	8.38	0.58	4.5	11.38	2.34	2.66	6.89	7.4	0.33	35.0	15.11	0.67	9.06	2.46	4.17	7.46	7.94	17.77	1.2	2.32	14.35	8.58	6.01	3.53	3.5	0.68	4.31	19.25	38.4	5.54	8.92	13.03	31.0	19.53	3.92	8.19	37.05	5.77	12.09	22.75	6.78	13.12	14.67	21.16	37.32	41.22	12.83	9.34	11.21	60.39	5.23	3.44	22.1	2.39	30.12	63.89	28.65
GLTP	1651.0	1044.52	995.0	688.78	1233.75	878.17	1096.5	1104.13	941.27	890.44	579.04	1216.75	642.59	1073.91	961.07	723.08	848.22	738.29	665.29	860.08	1073.91	1268.46	1757.34	1008.9	860.08	802.41	947.83	995.0	981.29	1001.93	1059.11	1551.09	1008.9	1397.83	1259.69	995.0	1044.52	1378.57	988.12	1233.75	1359.57	854.13	1096.5	1066.48	1709.26	866.07	1143.1	1417.35	1540.37	1378.57	1191.69	921.88	961.07	1081.39	954.43	902.89	1104.13	860.08	1359.57	941.27	1697.45
GNPDA1	860.08	830.75	555.41	525.39	733.19	287.01	599.49	748.61	808.0	559.28	387.02	796.86	387.02	738.29	718.08	248.0	638.15	642.59	429.54	728.11	684.02	866.07	473.41	748.61	780.44	718.08	483.38	693.58	409.15	780.44	547.75	884.29	698.41	1183.45	748.61	633.73	1225.22	1015.93	733.19	954.43	934.76	759.08	909.17	813.63	791.35	878.17	642.59	1088.92	981.29	764.36	764.36	708.18	915.51	1008.9	796.86	693.58	1119.56	780.44	1111.82	830.75	1242.34
GPR157	249.73	279.14	61.68	35.76	202.66	58.71	88.88	218.79	105.15	96.01	59.55	117.6	38.67	90.14	112.77	76.71	72.52	48.18	57.49	133.36	111.21	121.79	94.01	96.01	96.68	66.65	46.18	153.34	63.0	108.14	85.22	145.02	164.42	162.14	144.01	175.07	46.84	141.02	177.53	158.79	105.15	88.26	116.78	175.07	146.03	94.01	89.51	137.14	90.77	175.07	96.68	127.89	102.25	96.68	70.51	84.63	79.45	105.15	205.5	67.12	106.63
HIPK1	708.18	981.29	318.57	170.25	500.46	295.11	356.05	351.14	387.02	400.71	318.57	353.59	166.73	441.64	336.79	327.56	423.61	271.48	301.33	616.37	575.03	312.0	305.55	234.57	371.22	371.22	239.52	395.18	275.28	289.02	273.37	669.92	607.87	647.07	414.87	373.81	223.41	579.04	373.81	351.14	547.75	521.76	473.41	780.44	503.95	432.53	579.04	514.56	454.09	638.15	503.95	295.11	395.18	669.92	450.94	343.89	214.27	376.41	848.22	583.07	490.14
HUNK	33.78	26.47	5.59	0.3	23.42	0.8	3.38	13.93	5.87	3.11	13.83	22.92	0.58	39.5	12.74	0.31	23.59	2.66	8.13	11.38	11.73	12.27	4.39	4.94	7.88	6.36	6.06	29.48	2.66	5.77	1.28	49.91	58.71	14.14	12.93	27.05	14.56	25.91	7.34	10.55	29.48	15.34	21.01	57.89	24.99	15.56	8.13	50.63	24.81	29.91	12.64	25.35	38.67	81.14	13.52	7.0	11.91	17.38	104.42	127.0	29.48
ID1	1745.2	2287.2	769.69	563.18	2609.3	143.01	1519.15	4704.07	1268.46	813.63	460.44	1529.73	63.45	2835.7	3540.14	202.66	723.08	764.36	928.3	915.51	2061.24	3103.19	2835.7	3928.15	2104.58	373.81	551.56	2148.82	450.94	988.12	1044.52	7331.05	2976.74	3928.15	2537.92	12589.08	3874.05	3515.68	2682.69	4869.99	7032.37	961.07	3794.3	1277.29	10296.45	1639.59	3124.78	8078.22	11909.94	8901.53	4095.0	1388.16	4450.27	5219.6	1674.06	2645.74	1685.71	5672.41	4512.4	1417.35	7911.95
IL13RA2	34.75	175.07	102.25	10.47	57.08	7.63	20.86	45.21	38.4	82.87	41.22	33.54	2.23	53.57	17.64	4.94	12.83	8.25	25.72	23.25	43.32	77.25	9.93	30.56	16.15	10.0	58.71	28.86	68.07	17.13	31.0	71.5	84.04	61.68	35.25	92.7	61.25	110.43	20.11	53.95	82.29	53.57	48.52	175.07	13.32	65.26	27.64	199.85	92.7	65.26	55.1	13.83	31.67	170.25	17.38	12.18	40.36	4.1	251.48	307.69	81.71
IL18R1	117.6	115.97	47.84	12.93	34.02	10.24	24.81	35.25	32.13	15.22	8.78	34.75	3.2	28.86	15.68	5.63	28.65	15.22	18.56	23.93	27.25	26.1	48.18	20.56	24.28	15.8	9.34	36.01	17.77	15.11	39.79	89.51	65.72	51.71	31.0	38.4	17.25	50.63	21.63	46.84	42.41	23.08	27.84	71.5	33.54	25.91	81.14	104.42	101.54	121.79	28.86	17.9	12.83	199.85	48.87	29.7	12.64	38.4	158.79	139.07	88.26
ITGA2	941.27	473.41	32.13	32.36	147.06	65.26	57.49	118.43	119.26	88.88	54.33	107.38	7.51	157.68	49.91	31.67	154.42	19.11	57.89	143.01	155.5	124.37	41.22	44.89	61.25	69.03	27.44	137.14	37.05	71.0	25.91	379.04	218.79	289.02	176.29	234.57	105.15	253.23	57.89	131.51	256.78	151.22	169.07	295.11	269.6	108.9	153.34	583.07	197.09	890.44	228.13	187.71	228.13	432.53	153.34	81.14	96.01	80.57	718.08	221.86	343.89
ITGA3	5076.84	3372.43	253.23	293.07	1250.98	62.12	693.58	808.0	738.29	591.22	269.6	1369.04	197.09	967.76	813.63	117.6	819.3	237.86	473.41	571.05	775.05	988.12	412.0	780.44	555.41	674.59	423.61	988.12	271.48	540.19	521.76	1519.15	1135.2	928.3	854.13	1477.58	674.59	1313.23	775.05	651.58	1250.98	884.29	1051.79	1477.58	1295.13	830.75	642.59	2400.97	1662.49	3103.19	1457.23	1088.92	684.02	2004.85	532.74	563.18	981.29	543.96	909.17	1259.69	2739.08
JAK1	1757.34	2061.24	624.99	409.15	974.5	563.18	511.0	878.17	638.15	638.15	473.41	723.08	211.31	842.36	669.92	429.54	733.19	397.93	595.34	836.53	791.35	743.43	571.05	521.76	633.73	607.87	480.04	860.08	555.41	555.41	341.51	1551.09	1529.73	1073.91	921.88	848.22	493.56	1295.13	748.61	708.18	1397.83	921.88	860.08	1936.53	947.83	775.05	1199.98	1304.15	884.29	1340.84	1295.13	480.04	836.53	1340.84	860.08	591.22	490.14	674.59	1561.89	1359.57	1008.9
KCNK13	16.88	25.17	1.46	2.2	5.32	1.71	7.82	6.36	3.56	10.55	3.59	4.1	2.92	9.06	4.98	1.68	7.28	3.11	1.23	3.41	7.82	8.85	1.71	3.82	7.88	12.45	2.12	6.36	4.39	2.32	16.27	13.72	14.24	12.74	5.77	5.68	6.11	12.83	2.78	11.91	14.24	15.0	7.94	22.26	8.58	6.94	2.03	4.98	15.34	22.92	8.13	13.12	10.47	21.63	5.68	4.78	26.28	9.63	20.41	14.45	16.39
KCTD11	412.0	318.57	264.03	169.07	271.48	125.24	217.27	232.94	199.85	169.07	198.47	258.57	198.47	287.01	265.87	115.97	241.19	148.09	173.85	228.13	186.4	212.78	94.67	237.86	251.48	236.21	187.71	260.38	201.25	260.38	177.53	341.51	283.05	262.2	244.57	438.59	169.07	285.03	255.0	224.97	305.55	231.32	251.48	314.17	299.25	237.86	255.0	450.94	303.44	253.23	314.17	229.72	303.44	332.14	180.02	215.77	283.05	194.36	353.59	334.46	379.04
KIRREL	651.58	607.87	111.21	21.16	206.94	12.09	76.71	173.85	127.89	123.5	56.28	143.01	11.38	253.23	144.01	12.74	163.28	59.55	91.41	178.77	187.71	86.43	90.77	69.52	151.22	119.26	76.71	226.54	80.01	95.34	61.25	423.61	543.96	239.52	198.47	244.57	72.52	309.83	153.34	124.37	339.14	197.09	211.31	441.64	242.88	201.25	241.19	356.05	152.28	412.0	262.2	102.25	209.84	281.09	134.3	109.66	58.3	95.34	389.72	463.65	241.19
KSR1	866.07	693.58	100.13	14.89	217.27	6.89	49.91	211.31	231.32	126.12	29.48	244.57	15.45	231.32	144.01	20.86	187.71	58.71	67.59	130.6	189.02	71.0	146.03	82.29	150.17	123.5	21.01	327.56	85.82	98.04	80.57	575.03	454.09	376.41	169.07	454.09	71.0	366.09	144.01	255.0	339.14	193.01	341.51	460.44	414.87	226.54	157.68	334.46	156.59	444.72	450.94	166.73	253.23	470.14	221.86	127.89	195.72	151.22	297.17	518.15	353.59
LAPTM4B	2018.8	1457.23	299.25	141.02	656.11	29.06	301.33	493.56	441.64	332.14	190.34	629.35	87.65	540.19	441.64	91.41	392.44	142.01	287.01	351.14	514.56	412.0	297.17	353.59	435.55	305.55	256.78	521.76	248.0	275.28	223.41	1135.2	988.12	775.05	460.44	638.15	518.15	890.44	470.14	612.11	1135.2	470.14	612.11	1199.98	551.56	738.29	872.1	1359.57	665.29	1388.16	669.92	323.03	642.59	1259.69	312.0	339.14	366.09	277.2	2209.26	1350.18	1208.34
LRRC8A	1896.65	1008.9	616.37	575.03	941.27	460.44	988.12	1066.48	836.53	981.29	551.56	679.29	312.0	981.29	954.43	543.96	748.61	651.58	555.41	713.11	878.17	848.22	571.05	684.02	796.86	830.75	543.96	947.83	476.71	669.92	693.58	1088.92	1111.82	988.12	1023.0	1457.23	403.5	928.3	1015.93	698.41	954.43	896.64	1059.11	854.13	1304.15	743.43	921.88	1350.18	1295.13	1819.35	1096.5	796.86	785.88	1143.1	836.53	836.53	713.11	629.35	1721.16	1183.45	1498.22
LUZP1	555.41	373.81	126.12	70.51	265.87	99.43	137.14	199.85	167.9	171.45	78.34	187.71	47.5	218.79	149.12	66.65	175.07	87.03	105.89	256.78	320.8	127.89	101.54	98.73	145.02	141.02	72.01	182.55	84.04	119.26	96.68	466.88	366.09	366.09	218.79	260.38	109.66	312.0	151.22	193.01	309.83	249.73	220.32	420.68	260.38	199.85	256.78	314.17	301.33	525.39	267.73	217.27	209.84	351.14	187.71	183.82	153.34	127.89	387.02	323.03	387.02
MESDC1	351.14	283.05	260.38	171.45	236.21	145.02	194.36	269.6	176.29	255.0	214.27	224.97	151.22	289.02	285.03	287.01	173.85	255.0	242.88	144.01	351.14	297.17	209.84	215.77	283.05	173.85	195.72	260.38	189.02	218.79	343.89	389.72	209.84	260.38	125.24	358.54	96.68	171.45	197.09	260.38	289.02	190.34	285.03	234.57	381.68	143.01	158.79	409.15	336.79	314.17	316.37	215.77	361.04	262.2	171.45	197.09	199.85	255.0	323.03	267.73	358.54
MEX3C	414.87	356.05	182.55	128.79	291.04	189.02	236.21	309.83	215.77	217.27	151.22	199.85	63.0	329.84	166.73	262.2	297.17	162.14	204.07	248.0	267.73	223.41	183.82	114.36	226.54	191.67	176.29	214.27	178.77	182.55	195.72	543.96	441.64	361.04	242.88	228.13	157.68	356.05	224.97	256.78	332.14	269.6	312.0	514.56	301.33	229.72	343.89	371.22	295.11	417.77	301.33	223.41	246.28	361.04	287.01	198.47	137.14	198.47	426.57	466.88	241.19
MLLT1	559.28	808.0	555.41	303.44	909.17	305.55	450.94	698.41	563.18	612.11	314.17	591.22	316.37	647.07	551.56	466.88	703.28	376.41	435.55	595.34	764.36	616.37	318.57	444.72	579.04	616.37	351.14	679.29	414.87	429.54	432.53	866.07	769.69	791.35	642.59	780.44	262.2	708.18	454.09	473.41	723.08	753.83	848.22	743.43	575.03	470.14	733.19	909.17	698.41	974.5	633.73	567.1	698.41	599.49	718.08	591.22	547.75	493.56	1295.13	559.28	624.99
MMP14	6037.61	2417.67	638.15	234.57	1277.29	111.99	679.29	1119.56	909.17	842.36	389.72	1250.98	106.63	1806.78	934.76	123.5	1073.91	612.11	616.37	642.59	995.0	974.5	595.34	902.89	738.29	802.41	429.54	1304.15	612.11	656.11	500.46	2032.85	2255.7	1551.09	1037.29	1936.53	753.83	1437.15	1175.27	878.17	2163.77	813.63	1477.58	2047.0	1487.87	1175.27	1008.9	1519.15	1963.57	2682.69	1883.54	836.53	884.29	4123.49	915.51	587.13	780.44	674.59	3665.02	3257.52	4210.15
MNT	305.55	305.55	158.79	180.02	287.01	170.25	169.07	376.41	231.32	287.01	195.72	285.03	197.09	273.37	260.38	212.78	305.55	228.13	220.32	248.0	327.56	195.72	264.03	241.19	283.05	223.41	167.9	277.2	232.94	221.86	253.23	379.04	343.89	271.48	218.79	543.96	84.63	242.88	187.71	215.77	265.87	246.28	320.8	267.73	351.14	189.02	217.27	297.17	244.57	466.88	273.37	202.66	309.83	305.55	329.84	138.1	239.52	329.84	287.01	267.73	253.23
MORN3	13.12	46.18	5.59	1.73	6.52	0.47	4.86	9.34	8.71	5.54	0.0	10.71	1.66	15.34	3.59	0.85	27.64	3.56	7.57	0.93	8.51	12.83	15.56	3.99	6.01	8.51	2.2	8.32	3.59	7.63	2.18	19.68	19.25	8.32	7.69	16.27	8.38	10.24	3.89	12.27	42.71	3.76	13.83	26.28	7.34	13.32	3.08	23.08	10.47	30.56	14.56	4.03	7.06	37.85	0.0	9.78	6.94	17.13	43.02	21.32	46.18
MSMB	105727.15	154.42	800198.39	23820.89	502929.67	9540.5	894051.48	602247.76	783730.52	569761.05	48982.22	558035.51	5112.16	509950.32	711250.37	6652.97	1019901.63	198667.0	131982.68	811368.76	778316.89	691801.16	706337.4	659036.03	456418.21	554180.87	76861.91	845824.19	96616.71	453265.5	1212874.47	92040.7	172949.54	554180.87	778316.89	400098.69	1264380.15	242898.5	1308968.45	1139523.1	169390.27	1171559.48	919186.72	70727.3	581732.96	958220.73	919186.72	334117.42	102836.01	56265.94	509950.32	550352.86	1645391.11	165904.25	894051.48	619179.28	762299.34	654483.73	40341.14	149521.18	87075.75
MYOF	3419.52	2104.58	358.54	133.36	954.43	50.27	470.14	647.07	1104.13	656.11	131.51	934.76	23.76	830.75	620.67	34.51	674.59	121.79	555.41	769.69	902.89	656.11	409.15	438.59	647.07	780.44	356.05	921.88	305.55	281.09	633.73	1794.29	1709.26	1583.71	884.29	1233.75	514.56	1250.98	791.35	830.75	1216.75	848.22	1295.13	1709.26	1832.01	825.0	941.27	2835.7	961.07	3395.89	1268.46	470.14	1467.37	1233.75	813.63	392.44	1467.37	981.29	2777.33	1191.69	2400.97
NCOR2	1583.71	2434.5	1378.57	860.08	2468.49	624.99	1304.15	2148.82	1594.73	2133.97	1286.18	1806.78	1104.13	1628.26	2018.8	1104.13	1721.16	1030.12	1044.52	1259.69	1709.26	1508.65	909.17	1477.58	1551.09	2104.58	796.86	1909.85	733.19	1322.37	1651.0	2303.12	2434.5	1832.01	1806.78	2400.97	470.14	1639.59	1540.37	842.36	1883.54	1923.14	2148.82	2032.85	1685.71	1023.0	1199.98	1697.45	1617.0	3372.43	1008.9	1628.26	1674.06	2855.44	2384.37	1572.76	2287.2	1733.13	1963.57	1963.57	1794.29
PAK1	1467.37	647.07	341.51	102.97	629.35	99.43	490.14	450.94	748.61	473.41	241.19	480.04	55.49	728.11	414.87	185.11	591.22	466.88	332.14	497.0	447.82	728.11	450.94	483.38	500.46	426.57	265.87	543.96	363.56	426.57	376.41	1008.9	1096.5	909.17	543.96	723.08	603.67	748.61	463.65	665.29	974.5	665.29	785.88	995.0	629.35	693.58	507.46	775.05	503.95	813.63	830.75	429.54	571.05	1225.22	708.18	684.02	567.1	500.46	961.07	1001.93	909.17
PNPLA1	6.36	4.13	0.0	0.0	0.71	0.27	0.32	0.0	1.08	0.0	0.72	0.69	0.0	1.19	0.35	0.31	1.64	0.0	0.36	0.0	0.34	1.11	0.39	0.69	0.0	0.69	0.0	1.99	0.36	0.0	0.34	1.77	3.0	0.64	1.0	1.43	1.01	1.3	0.0	0.6	2.29	0.27	0.96	1.41	0.69	0.62	0.0	2.32	1.1	3.11	4.1	0.0	0.83	1.06	0.85	2.01	1.39	0.0	6.36	2.25	5.87
RAPGEF1	1111.82	1457.23	395.18	211.31	660.68	181.28	305.55	536.45	417.77	507.46	231.32	473.41	281.09	579.04	518.15	232.94	493.56	303.44	361.04	521.76	603.67	379.04	400.71	323.03	454.09	438.59	231.32	684.02	262.2	373.81	277.2	909.17	854.13	708.18	563.18	607.87	197.09	708.18	480.04	395.18	708.18	607.87	571.05	1023.0	642.59	420.68	599.49	620.67	688.78	854.13	497.0	497.0	525.39	769.69	579.04	426.57	379.04	307.69	872.1	860.08	674.59
RBMS1	842.36	1286.18	260.38	53.95	400.71	27.64	332.14	406.31	417.77	267.73	155.5	320.8	47.84	563.18	289.02	85.82	397.93	136.19	208.38	417.77	493.56	293.07	246.28	228.13	336.79	224.97	154.42	460.44	190.34	217.27	239.52	934.76	896.64	629.35	400.71	536.45	334.46	748.61	346.29	503.95	780.44	454.09	525.39	928.3	660.68	486.75	486.75	759.08	500.46	2004.85	447.82	253.23	356.05	819.3	332.14	232.94	234.57	497.0	1359.57	988.12	503.95
RHOBTB2	215.77	1883.54	132.44	79.45	291.04	52.45	120.94	231.32	198.47	193.01	164.42	253.23	85.22	232.94	267.73	49.56	209.84	87.03	117.6	215.77	237.86	164.42	123.5	171.45	206.94	191.67	144.01	224.97	111.21	104.42	159.9	400.71	314.17	267.73	226.54	265.87	116.78	305.55	176.29	169.07	271.48	217.27	242.88	320.8	215.77	215.77	285.03	438.59	447.82	206.94	341.51	189.02	285.03	450.94	361.04	253.23	201.25	173.85	769.69	412.0	547.75
RP11-796G6.2	18.56	27.64	1.43	0.0	11.47	1.16	1.08	6.21	6.73	4.5	0.0	7.28	0.0	10.16	5.11	0.0	2.63	8.71	4.46	2.78	2.71	5.02	6.84	1.1	2.41	5.36	2.73	7.57	7.11	6.94	3.96	16.03	11.3	7.82	0.0	5.11	5.59	10.39	4.98	26.67	13.12	4.5	12.18	10.88	9.56	0.0	3.92	14.24	15.34	22.26	0.0	0.0	17.25	29.91	18.43	0.0	3.92	0.0	17.77	23.25	24.81
RPP25	450.94	265.87	105.15	185.11	224.97	10.24	127.89	143.01	175.07	104.42	135.24	145.02	38.95	199.85	208.38	70.51	155.5	92.05	175.07	100.13	143.01	303.44	224.97	162.14	202.66	195.72	218.79	186.4	153.34	171.45	127.0	214.27	154.42	164.42	95.34	164.42	189.02	275.28	220.32	215.77	363.56	130.6	258.57	156.59	92.05	136.19	124.37	231.32	214.27	133.36	435.55	117.6	185.11	273.37	92.7	100.83	325.29	109.66	417.77	244.57	483.38
