	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KM.8639.01A.11R.2403.07	GTEX.QLQW.1626.SM.4R1K1	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU
AAGAB	575.03	902.89	1127.35	651.58	1051.79	995.0	764.36	1081.39	796.86	791.35	703.28	1001.93	967.76	587.13	599.49	753.83	660.68	307.69	693.58	684.02	780.44	688.78	743.43	743.43	974.5	1008.9	896.64	1151.06	860.08	808.0	836.53	769.69	830.75	651.58	669.92	1030.12	346.29	703.28	836.53	476.71	902.89	629.35	624.99	723.08	934.76	813.63	607.87	775.05	660.68	1008.9	733.19	688.78	660.68	642.59	435.55	642.59	208.38	420.68
ACBD5	299.25	785.88	909.17	387.02	854.13	547.75	854.13	1191.69	775.05	444.72	307.69	921.88	532.74	438.59	521.76	679.29	420.68	366.09	571.05	346.29	423.61	490.14	397.93	796.86	1073.91	620.67	563.18	902.89	884.29	802.41	536.45	791.35	483.38	642.59	297.17	813.63	136.19	417.77	733.19	351.14	819.3	665.29	638.15	332.14	480.04	206.94	293.07	423.61	688.78	629.35	165.57	503.95	287.01	412.0	260.38	279.14	406.31	703.28
ADAM17	86.43	182.55	334.46	158.79	262.2	215.77	327.56	563.18	409.15	143.01	155.5	297.17	175.07	205.5	220.32	226.54	138.1	79.45	154.42	98.73	161.02	146.03	182.55	244.57	334.46	190.34	226.54	327.56	279.14	165.57	104.42	124.37	135.24	208.38	120.94	277.2	124.37	95.34	283.05	111.99	248.0	269.6	205.5	135.24	175.07	275.28	105.89	110.43	186.4	264.03	136.19	194.36	45.53	119.26	19.39	105.89	23.59	185.11
AFF4	156.59	450.94	698.41	457.25	483.38	579.04	967.76	1369.04	967.76	348.71	336.79	981.29	441.64	612.11	450.94	718.08	392.44	181.28	412.0	185.11	444.72	323.03	395.18	723.08	1023.0	514.56	409.15	860.08	808.0	819.3	775.05	647.07	285.03	473.41	271.48	753.83	113.56	234.57	759.08	267.73	665.29	567.1	536.45	217.27	256.78	688.78	214.27	248.0	444.72	486.75	175.07	669.92	171.45	289.02	373.81	114.36	111.99	185.11
AGGF1	175.07	303.44	379.04	249.73	267.73	314.17	426.57	587.13	397.93	320.8	217.27	379.04	289.02	387.02	234.57	309.83	224.97	115.16	217.27	140.04	253.23	217.27	249.73	293.07	432.53	320.8	339.14	392.44	371.22	343.89	305.55	343.89	224.97	291.04	212.78	279.14	45.85	212.78	307.69	232.94	303.44	314.17	287.01	234.57	267.73	351.14	125.24	180.02	262.2	265.87	84.63	277.2	133.36	198.47	143.01	126.12	48.18	241.19
AKAP10	137.14	283.05	368.65	293.07	480.04	392.44	318.57	400.71	371.22	229.72	262.2	571.05	285.03	373.81	301.33	305.55	387.02	65.26	215.77	208.38	299.25	256.78	287.01	563.18	703.28	547.75	423.61	571.05	551.56	603.67	271.48	325.29	325.29	476.71	198.47	309.83	90.14	253.23	536.45	289.02	403.5	420.68	435.55	248.0	212.78	417.77	218.79	232.94	387.02	239.52	171.45	299.25	105.89	297.17	45.53	130.6	44.57	89.51
AKAP11	86.43	175.07	307.69	118.43	194.36	285.03	371.22	785.88	423.61	88.88	155.5	339.14	229.72	217.27	126.12	248.0	153.34	88.88	189.02	67.12	194.36	110.43	180.02	267.73	325.29	208.38	127.0	283.05	291.04	248.0	281.09	285.03	112.77	194.36	109.66	368.65	38.4	84.63	277.2	156.59	307.69	209.84	212.78	116.78	173.85	447.82	81.14	97.36	156.59	275.28	63.89	277.2	76.17	96.68	30.12	102.25	38.67	82.29
ALG11	47.84	93.35	269.6	96.01	105.15	150.17	234.57	353.59	277.2	45.53	80.01	218.79	124.37	131.51	44.25	131.51	70.51	29.48	84.04	44.25	87.65	55.49	62.12	153.34	185.11	109.66	93.35	197.09	187.71	169.07	102.97	127.89	38.67	91.41	60.82	251.48	28.04	51.71	187.71	80.57	204.07	148.09	94.67	44.25	79.45	94.67	28.65	46.18	87.03	145.02	29.7	132.44	27.84	39.5	22.75	11.91	28.65	136.19
ASXL2	47.17	186.4	309.83	121.79	162.14	241.19	249.73	368.65	323.03	113.56	116.78	447.82	161.02	151.22	132.44	316.37	150.17	68.07	204.07	72.52	159.9	105.15	139.07	318.57	312.0	194.36	138.1	371.22	351.14	363.56	151.22	155.5	104.42	169.07	83.45	323.03	43.94	98.04	371.22	75.11	291.04	248.0	198.47	81.14	124.37	265.87	72.01	92.05	156.59	169.07	66.18	277.2	70.01	115.16	20.71	87.65	23.25	50.27
B3GALNT2	18.29	162.14	262.2	60.39	152.28	125.24	164.42	275.28	226.54	116.78	72.01	329.84	102.25	49.56	73.54	159.9	72.52	36.79	75.64	28.86	127.0	56.28	112.77	194.36	218.79	135.24	96.01	147.06	218.79	122.64	67.59	146.03	59.55	105.15	52.82	264.03	46.18	50.63	201.25	28.86	186.4	143.01	111.21	44.57	122.64	258.57	36.53	43.02	122.64	125.24	46.18	149.12	28.24	46.18	18.97	29.7	31.67	84.04
