	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07
ADRBK2	4.21	265.87	78.34	236.21	325.29	163.28	110.43	198.47	139.07	177.53	373.81	125.24	329.84	171.45	214.27	129.69	242.88	241.19	147.06	67.59	110.43	251.48	66.18	441.64	105.15	214.27	178.77	129.69	181.28	334.46	343.89	88.88	177.53	269.6	155.5	172.65	209.84	158.79	199.85	229.72	95.34	139.07	155.5	255.0	117.6
ANKHD1	848.22	1745.2	595.34	1127.35	2032.85	808.0	769.69	1233.75	703.28	1709.26	2004.85	1030.12	1923.14	928.3	1183.45	1104.13	1685.71	1359.57	1225.22	738.29	587.13	2255.7	743.43	1806.78	967.76	1104.13	884.29	1066.48	1605.83	2163.77	1806.78	591.22	1268.46	1639.59	490.14	1651.0	1225.22	928.3	1745.2	1159.07	733.19	842.36	1096.5	1540.37	743.43
ANKIB1	89.51	363.56	101.54	224.97	389.72	191.67	191.67	236.21	110.43	295.11	414.87	197.09	555.41	176.29	220.32	208.38	341.51	194.36	265.87	103.69	104.42	417.77	145.02	447.82	127.89	234.57	182.55	229.72	267.73	376.41	327.56	127.89	246.28	397.93	173.85	332.14	251.48	166.73	312.0	220.32	170.25	153.34	176.29	256.78	176.29
AP2B1	466.88	1662.49	981.29	1277.29	1651.0	1191.69	1001.93	1199.98	1037.29	1487.87	1745.2	921.88	2224.63	1151.06	1127.35	1104.13	1199.98	961.07	1313.23	896.64	866.07	1427.22	878.17	1628.26	995.0	1066.48	1008.9	1151.06	1268.46	1617.0	1407.55	854.13	1191.69	1540.37	1001.93	1674.06	1135.2	764.36	1467.37	1268.46	1268.46	1001.93	928.3	1397.83	1159.07
ARID4A	66.65	220.32	57.89	120.94	303.44	100.13	81.71	134.3	48.18	191.67	264.03	85.82	159.9	80.01	99.43	107.38	228.13	105.89	152.28	43.32	51.35	215.77	91.41	258.57	70.01	103.69	85.22	100.83	142.01	170.25	193.01	64.34	123.5	209.84	77.25	182.55	114.36	106.63	170.25	112.77	65.72	107.38	104.42	159.9	94.01
ATP6V1A	255.0	884.29	490.14	647.07	909.17	555.41	547.75	540.19	490.14	679.29	915.51	246.28	1175.27	567.1	551.56	547.75	647.07	529.06	775.05	307.69	353.59	947.83	356.05	1051.79	384.34	483.38	486.75	551.56	915.51	866.07	872.1	450.94	503.95	866.07	612.11	665.29	743.43	432.53	769.69	616.37	435.55	441.64	339.14	764.36	490.14
ATRX	57.89	511.0	109.66	267.73	642.59	224.97	176.29	325.29	94.67	435.55	693.58	206.94	277.2	223.41	281.09	223.41	507.46	246.28	387.02	98.04	115.97	563.18	139.07	607.87	134.3	258.57	193.01	267.73	356.05	511.0	500.46	122.64	275.28	521.76	182.55	420.68	314.17	226.54	392.44	260.38	142.01	197.09	191.67	358.54	197.09
BAZ2B	40.36	466.88	74.06	271.48	514.56	181.28	214.27	325.29	67.59	316.37	435.55	161.02	406.31	161.02	236.21	212.78	555.41	209.84	208.38	45.85	101.54	555.41	123.5	480.04	140.04	260.38	129.69	277.2	236.21	514.56	320.8	96.01	239.52	414.87	132.44	341.51	249.73	158.79	265.87	251.48	122.64	151.22	162.14	323.03	140.04
BRAF	128.79	395.18	211.31	303.44	543.96	255.0	305.55	395.18	172.65	406.31	536.45	351.14	529.06	262.2	928.3	273.37	595.34	361.04	325.29	195.72	211.31	426.57	226.54	507.46	249.73	314.17	291.04	191.67	339.14	470.14	400.71	224.97	299.25	387.02	283.05	368.65	320.8	256.78	387.02	361.04	201.25	249.73	271.48	329.84	183.82
BRWD3	27.64	100.83	18.43	42.11	100.13	31.0	34.02	48.52	14.45	68.07	105.89	48.87	59.55	40.64	41.81	47.17	90.14	30.12	43.63	15.56	21.94	81.14	24.28	102.25	25.72	40.07	36.79	51.71	69.52	92.05	66.18	26.28	43.63	79.45	34.51	70.01	37.05	45.53	75.64	35.76	24.28	28.24	29.7	35.5	24.28
